FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001199,3.489339,0.648804,4.139342,10373.211418,N/A
1,0.001087,3.466479,0.782472,4.250038,10373.215682,4.264118
2,0.001100,3.470646,0.621355,4.093101,10373.219788,4.105852
3,0.000975,3.487253,0.694577,4.182805,10373.223983,4.195321
4,0.001428,3.481934,0.694840,4.178202,10373.228174,4.190678
5,0.001011,3.486734,0.590443,4.078188,10373.232265,4.091590
6,0.000952,3.480719,0.689909,4.171580,10373.236449,4.184179
7,0.000911,3.463244,0.719459,4.183614,10373.240646,4.196518
8,0.000967,3.437293,0.719009,4.157269,10373.244816,4.169686
9,0.000985,3.448918,0.702383,4.152286,10373.248981,4.165081
10,0.000961,3.488024,0.691528,4.180513,10373.253174,4.193255
11,0.001040,3.473740,0.629536,4.104316,10373.257291,4.116751
12,0.001038,3.550982,0.606200,4.158220,10373.261461,4.170653
13,0.002562,3.580800,0.522827,4.106189,10373.265590,4.128454
14,0.001428,3.468450,0.738932,4.208810,10373.269812,4.222138
15,0.000958,3.448142,0.705390,4.154490,10373.273979,4.166992
16,0.001007,3.457012,0.746224,4.204243,10373.278196,4.216963
17,0.000952,3.458546,0.616216,4.075714,10373.282285,4.089098
18,0.000996,3.459589,0.690512,4.151097,10373.286448,4.163588
19,0.000973,3.456444,0.733669,4.191086,10373.290652,4.203614
20,0.001120,3.432309,0.725131,4.158560,10373.294823,4.170887
21,0.000941,3.465772,0.693173,4.159886,10373.298995,4.172276
22,0.001230,3.445132,0.742929,4.189291,10373.303204,4.209050
23,0.000929,3.456849,0.607984,4.065762,10373.307283,4.078288
24,0.000903,3.476265,0.684925,4.162093,10373.311457,4.174861
25,0.001142,3.461822,0.722971,4.185935,10373.315657,4.199259
26,0.001166,3.450593,0.699724,4.151483,10373.319820,4.163767
27,0.000955,3.458069,0.701008,4.160032,10373.323993,4.172340
28,0.001517,3.469489,0.646415,4.117421,10373.328132,4.139477
29,0.000957,3.512272,0.653249,4.166478,10373.332311,4.178859
30,0.000918,3.470024,0.672937,4.143879,10373.336468,4.156434
31,0.000963,3.401596,0.776124,4.178683,10373.340659,4.191040
32,0.000919,3.474836,0.677503,4.153258,10373.344824,4.165628
33,0.001197,3.484740,0.652238,4.138175,10373.348976,4.151282
34,0.000946,3.443420,0.700043,4.144409,10373.353133,4.157007
35,0.000905,3.501382,0.681987,4.184274,10373.357329,4.196696
36,0.001074,3.514888,0.609454,4.125416,10373.361467,4.138169
37,0.002932,3.605198,0.501178,4.109308,10373.365604,4.136273
38,0.001258,3.476639,0.738375,4.216272,10373.369835,4.231785
39,0.000915,3.501496,0.627729,4.130140,10373.373978,4.142523
40,0.001187,3.468999,0.706293,4.176479,10373.378167,4.188942
41,0.000992,3.447808,0.647900,4.096700,10373.382277,4.109581
42,0.001050,3.505310,0.669194,4.175554,10373.386465,4.188272
43,0.001177,3.458235,0.727412,4.186824,10373.390664,4.199238
44,0.001171,3.444179,0.717633,4.162983,10373.394839,4.175425
45,0.000932,3.473681,0.668293,4.142906,10373.398995,4.155283
46,0.000983,3.450942,0.693810,4.145735,10373.403162,4.167694
47,0.000944,3.464115,0.694246,4.159305,10373.407334,4.171688
48,0.000971,12.090693,0.132851,12.224515,10373.419571,12.236965
49,0.001077,3.463934,0.950593,4.415604,10373.423998,4.426875
50,0.000937,3.494936,0.574966,4.070839,10373.428090,4.092282
51,0.000977,3.471732,0.739074,4.211783,10373.432315,4.224377
52,0.001064,3.461121,0.534153,3.996338,10373.436323,4.008828
