FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001046,3.475957,0.725717,4.202720,7650.610798,N/A
1,0.000827,3.509272,0.568153,4.078252,7650.614890,4.092096
2,0.000765,3.411277,0.815599,4.227641,7650.619130,4.240475
3,0.000858,3.466864,0.606027,4.073749,7650.623216,4.086169
4,0.000825,3.477054,0.776154,4.254033,7650.627483,4.266327
5,0.000745,3.477766,0.505713,3.984224,7650.631480,3.996839
6,0.000752,3.474507,0.837693,4.312952,7650.635805,4.325136
7,0.000736,3.476819,0.611199,4.088754,7650.639906,4.101003
8,0.000804,3.419533,0.783218,4.203555,7650.644122,4.215883
9,0.000761,3.479796,0.595899,4.076456,7650.648211,4.089221
10,0.000766,3.506811,0.553252,4.060829,7650.652284,4.073271
11,0.000767,3.440047,0.724206,4.165020,7650.656461,4.177266
12,0.000794,3.700374,0.544260,4.245428,7650.660720,4.258254
13,0.001461,3.549945,0.535704,4.087110,7650.664828,4.108832
14,0.000770,3.448382,0.838040,4.287192,7650.669128,4.299542
15,0.000754,3.502644,0.539649,4.043047,7650.673183,4.055280
16,0.001116,3.515714,0.764834,4.281664,7650.677477,4.293812
17,0.000785,3.479853,0.570729,4.051367,7650.681541,4.064458
18,0.000789,3.489671,0.771081,4.261541,7650.685815,4.273848
19,0.001049,3.442400,0.670868,4.114317,7650.689942,4.126566
20,0.000952,3.540900,0.547595,4.089447,7650.694044,4.101667
21,0.001100,3.527407,0.703246,4.231753,7650.698288,4.244200
22,0.000744,3.508213,0.561029,4.069986,7650.702370,4.082325
23,0.000732,3.480923,0.766659,4.248314,7650.706630,4.260411
24,0.000837,3.487750,0.605778,4.094365,7650.710737,4.106642
25,0.000760,3.480300,0.740707,4.221767,7650.714972,4.234623
26,0.000771,3.483947,0.591859,4.076577,7650.719061,4.088798
27,0.000965,3.462307,0.783567,4.246839,7650.723320,4.259178
28,0.000727,3.499140,0.557099,4.056966,7650.727389,4.069298
29,0.000780,3.481535,0.736195,4.218510,7650.731620,4.230780
30,0.001088,3.505850,0.577140,4.084078,7650.735716,4.096307
31,0.001105,3.530901,0.618874,4.150880,7650.739879,4.163114
32,0.000770,3.474198,0.779587,4.254555,7650.744146,4.266614
33,0.000750,3.490438,0.539585,4.030773,7650.748189,4.043562
34,0.000717,3.492078,0.812244,4.305039,7650.752507,4.317356
35,0.000789,3.472851,0.528589,4.002229,7650.756521,4.014379
36,0.000892,3.626003,0.499172,4.126067,7650.760659,4.138299
37,0.002169,3.588692,0.706784,4.297645,7650.764979,4.319967
38,0.000762,3.490909,0.580074,4.071745,7650.769064,4.084371
39,0.000774,3.485760,0.756960,4.243494,7650.773320,4.255984
40,0.000873,3.488840,0.551555,4.041268,7650.777373,4.053580
41,0.000761,3.477086,0.703025,4.180872,7650.781567,4.193694
42,0.000767,3.506509,0.723765,4.231041,7650.785810,4.243204
43,0.000785,3.457889,0.675906,4.134580,7650.789957,4.147109
44,0.000863,3.500230,0.642389,4.143482,7650.794113,4.155836
45,0.000877,3.496475,0.630898,4.128250,7650.798254,4.140404
46,0.000904,3.494373,0.615334,4.110611,7650.802376,4.122847
47,0.000811,3.495583,0.692331,4.188725,7650.806578,4.201080
48,0.000746,3.505222,0.707884,4.213852,7650.810804,4.226078
49,0.000772,13.129718,0.092877,13.223367,7650.824039,13.235903
50,0.000865,3.491422,0.150734,3.643021,7650.827694,3.654953
51,0.000834,3.489363,0.175923,3.666120,7650.831371,3.677057
52,0.001311,3.493708,0.876254,4.371273,7650.835754,4.382154
53,0.000782,3.497861,0.453014,3.951657,7650.839718,3.964687
54,0.000782,3.475754,0.872368,4.348904,7650.844078,4.359663
55,0.000780,3.509147,0.562296,4.072223,7650.848162,4.084407
56,0.000919,3.496497,0.733771,4.231187,7650.852406,4.243266
57,0.000748,3.489795,0.594706,4.085249,7650.856503,4.097378
58,0.000751,3.567170,0.565600,4.133521,7650.860649,4.145492
59,0.002182,3.625065,0.554919,4.182166,7650.864860,4.211340
60,0.000898,3.448815,0.758270,4.207983,7650.869082,4.222126
61,0.000853,3.495416,0.607045,4.103314,7650.873198,4.115545
62,0.000761,3.492566,0.716439,4.209766,7650.877419,4.221748
63,0.000742,3.489361,0.661969,4.152072,7650.881584,4.164529
64,0.001312,3.486255,0.654274,4.141841,7650.885738,4.153992
65,0.000781,3.499895,0.585372,4.086048,7650.889837,4.098988
66,0.000738,3.461465,0.773655,4.235858,7650.894085,4.248094
67,0.000758,3.492685,0.607134,4.100577,7650.898198,4.112862
68,0.001084,3.494519,0.713032,4.208635,7650.902419,4.220808
69,0.000733,3.486189,0.585408,4.072330,7650.906503,4.084532
70,0.000778,3.489073,0.745371,4.235222,7650.910750,4.247364
71,0.000852,3.472981,0.475635,3.949468,7650.914712,3.961610
72,0.000754,3.504184,0.860801,4.365739,7650.919090,4.377926
73,0.000719,3.522894,0.455535,3.979148,7650.923081,3.991419
74,0.001097,3.493544,0.824278,4.318919,7650.927412,4.330914
75,0.000761,3.482426,0.714673,4.197860,7650.931622,4.209817
76,0.000812,3.494029,0.609661,4.104502,7650.935739,4.116392
77,0.000767,3.424697,0.712891,4.138355,7650.939891,4.152044
78,0.000813,3.435932,0.780092,4.216837,7650.944119,4.228745
79,0.000790,3.525239,0.429964,3.955993,7650.948087,3.967990
80,0.000785,3.487163,0.871535,4.359483,7650.952459,4.371233
81,0.000760,3.425398,0.693709,4.119867,7650.956590,4.131878
82,0.000751,3.491731,0.552476,4.044958,7650.960647,4.056801
83,0.001081,5.912321,0.202315,6.115717,7650.966778,6.130745
84,0.002011,3.665857,0.153591,3.821459,7650.970618,3.840138
85,0.000925,3.496629,0.154562,3.652116,7650.974281,3.662538
86,0.000772,3.539940,0.083484,3.624196,7650.977915,3.634714
87,0.000687,3.441552,0.161726,3.603965,7650.981530,3.614363
88,0.001166,3.376493,0.630331,4.007990,7650.985548,4.017989
89,0.000947,3.392167,0.887855,4.280969,7650.989839,4.290912
90,0.000756,3.476255,0.785380,4.262391,7650.994113,4.274217
91,0.000757,3.425683,0.627581,4.054021,7650.998179,4.065937
92,0.000779,3.420711,0.797852,4.219342,7651.002410,4.231100
93,0.000735,3.466094,0.694551,4.161380,7651.006585,4.175431
94,0.001014,3.497136,0.648545,4.146695,7651.010744,4.158473
95,0.000781,3.520667,0.617513,4.138961,7651.014895,4.150828
96,0.000723,3.401094,0.808762,4.210579,7651.019117,4.222438
97,0.000983,3.458438,0.596481,4.055902,7651.023185,4.068107
98,0.000707,3.484811,0.745386,4.230904,7651.027428,4.242691
99,0.000775,3.464926,0.679307,4.145008,7651.031585,4.156993
100,0.000870,3.441917,0.709217,4.152004,7651.035749,4.163870
101,0.000764,3.428702,0.730619,4.160085,7651.039921,4.171888
102,0.000765,3.455794,0.724711,4.181270,7651.044114,4.193036
103,0.000800,3.468348,0.589241,4.058389,7651.048184,4.070437
104,0.000777,3.425360,0.796952,4.223089,7651.052419,4.235064
105,0.000790,3.478240,0.637647,4.116677,7651.056548,4.128425
106,0.000797,3.491252,0.650502,4.142551,7651.060702,4.154461
107,0.000957,3.585090,0.601714,4.187761,7651.064902,4.199680
108,0.001491,3.440826,0.756373,4.198690,7651.069122,4.219818
109,0.000752,3.439034,0.624594,4.064380,7651.073200,4.078845
110,0.000760,3.483776,0.732503,4.217039,7651.077429,4.228870
111,0.000886,3.423667,0.722833,4.147386,7651.081589,4.159267
112,0.000767,3.438916,0.716734,4.156417,7651.085757,4.168240
113,0.000774,3.484392,0.659920,4.145086,7651.089914,4.156908
114,0.000748,3.358279,0.834055,4.193082,7651.094119,4.204865
115,0.000822,3.424554,0.644368,4.069744,7651.098200,4.081728
116,0.000807,3.425552,0.787288,4.213647,7651.102426,4.225433
117,0.000733,3.463802,0.675776,4.140311,7651.106578,4.152006
118,0.000737,3.476503,0.691276,4.168516,7651.110758,4.180247
119,0.000782,3.422939,0.733723,4.157444,7651.114927,4.169231
