FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001225,3.581898,0.160276,3.743399,13032.769791,N/A
1,0.001180,3.427717,0.147559,3.576456,13032.773384,3.592768
2,0.000983,3.551560,0.074117,3.626660,13032.777021,3.637645
3,0.001137,3.558649,0.143348,3.703134,13032.780735,3.713938
4,0.001099,3.662824,0.139582,3.803505,13032.784549,3.813871
5,0.001192,3.606173,0.140442,3.747807,13032.788308,3.758785
6,0.001011,3.592169,0.068715,3.661895,13032.791980,3.672425
7,0.001443,3.610237,0.073650,3.685330,13032.795676,3.695804
8,0.001360,3.560202,0.139736,3.701298,13032.799388,3.711668
9,0.001049,3.532523,0.104974,3.638546,13032.803037,3.649440
10,0.001113,3.430622,0.141461,3.573196,13032.806622,3.584774
11,0.001034,3.565255,0.136762,3.703051,13032.810336,3.713598
12,0.001060,3.591597,0.076553,3.669210,13032.814015,3.679770
13,0.001146,3.609544,0.140358,3.751048,13032.817777,3.761530
14,0.001110,3.566335,0.140958,3.708403,13032.821496,3.718716
15,0.000998,3.589023,0.143863,3.733884,13032.825240,3.744204
16,0.001135,3.598255,0.072614,3.672004,13032.828922,3.682389
17,0.001092,3.602160,0.142382,3.745634,13032.832679,3.757112
18,0.001005,3.558051,0.152299,3.711355,13032.836401,3.721755
19,0.001889,3.425035,0.069338,3.496262,13032.839914,3.512432
20,0.001041,3.560486,0.149975,3.711502,13032.843636,3.722006
21,0.000993,3.602199,0.141182,3.744374,13032.847390,3.754876
22,0.001030,3.617512,0.138845,3.757387,13032.851159,3.768018
23,0.001026,3.769777,0.175659,3.946462,13032.855115,3.956704
24,0.003046,3.661471,0.113098,3.777615,13032.858912,3.797001
25,0.001180,3.598569,0.139172,3.738921,13032.862663,3.751016
26,0.001217,3.604561,0.137563,3.743341,13032.866417,3.754069
27,0.001117,3.649658,0.145572,3.796347,13032.870224,3.806912
28,0.001216,3.561019,0.126548,3.688783,13032.873924,3.699373
29,0.001422,3.409395,0.144898,3.555715,13032.877493,3.569447
30,0.001203,3.567572,0.149490,3.718265,13032.881222,3.728508
31,0.001031,3.581978,0.100579,3.683588,13032.884915,3.693695
32,0.001179,3.616749,0.144348,3.762276,13032.888688,3.772614
33,0.001131,3.603792,0.152729,3.757652,13032.892456,3.768410
34,0.001090,3.598150,0.138594,3.737834,13032.896204,3.748019
35,0.001171,3.594410,0.098747,3.694328,13032.899909,3.704724
36,0.001160,3.562074,0.139381,3.702615,13032.903622,3.712865
37,0.001403,3.558173,0.084068,3.643644,13032.907276,3.654076
38,0.001567,3.443015,0.145120,3.589702,13032.910877,3.600614
39,0.001037,3.568404,0.139991,3.709432,13032.914596,3.719524
40,0.001153,3.587190,0.139113,3.727456,13032.918334,3.737784
41,0.001079,3.596313,0.075544,3.672936,13032.922018,3.684263
42,0.001022,3.593315,0.146793,3.741130,13032.925770,3.751858
43,0.001133,3.602646,0.139741,3.743520,13032.929524,3.753880
44,0.001181,3.611768,0.145118,3.758067,13032.933292,3.768400
45,0.001063,3.549974,0.074718,3.625755,13032.936928,3.636083
46,0.001053,3.566023,0.082363,3.649439,13032.940588,3.659712
47,0.001110,3.425594,0.137176,3.563880,13032.944166,3.578293
48,0.001055,3.565439,0.141222,3.707716,13032.947884,3.717850
49,0.001050,3.580421,0.141186,3.722657,13032.951617,3.732779
50,0.001012,3.742520,0.192574,3.936106,13032.955564,3.946530
51,0.002885,3.737891,0.153854,3.894630,13032.959481,3.917570
52,0.001347,3.590098,0.144996,3.736441,13032.963230,3.749187
53,0.001082,3.610223,0.074273,3.685578,13032.966927,3.696768
54,0.001167,3.618613,0.139130,3.758910,13032.970696,3.769406
55,0.001075,3.566485,0.142433,3.709993,13032.974417,3.720434
56,0.001248,3.518605,0.101247,3.621100,13032.978048,3.631505
57,0.001075,3.432733,0.149524,3.583332,13032.981643,3.594822
58,0.001105,3.570832,0.137162,3.709099,13032.985363,3.719440
59,0.000970,14.079089,0.143929,14.223988,13032.999597,14.234188
60,0.001210,3.344320,0.075519,3.421049,13033.003028,3.431463
61,0.000994,3.393957,0.142857,3.537808,13033.006576,3.548007
62,0.000969,3.378614,0.071999,3.451582,13033.010038,3.461334
63,0.000870,3.386801,0.140050,3.527721,13033.013575,3.537374
64,0.000862,3.384600,0.073696,3.459158,13033.017044,3.469073
65,0.000953,3.382176,0.143119,3.526248,13033.020582,3.538051
66,0.001301,3.367582,0.070636,3.439519,13033.024031,3.449020
67,0.000849,3.388216,0.142800,3.531865,13033.027573,3.541757
68,0.000901,3.373223,0.070234,3.444358,13033.031027,3.453756
69,0.000962,3.377905,0.141453,3.520320,13033.034557,3.530161
