FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001160,3.471036,0.543663,4.015859,10493.626121,N/A
1,0.001064,3.467320,0.765862,4.234246,10493.630369,4.247778
2,0.001238,3.468130,0.611979,4.081347,10493.634462,4.093791
3,0.000969,3.454551,0.759108,4.214628,10493.638689,4.227050
4,0.000934,3.414201,0.930540,4.345675,10493.643048,4.358166
5,0.000989,7.196585,0.183901,7.381475,10493.650442,7.394226
6,0.003210,3.636798,1.170011,4.810019,10493.655273,4.830788
7,0.000953,3.492643,0.680724,4.174320,10493.659460,4.187438
8,0.001026,3.496346,0.732577,4.229949,10493.663702,4.242411
9,0.000934,3.478347,0.629338,4.108619,10493.667824,4.121242
10,0.001169,3.420943,0.782006,4.204118,10493.672040,4.216531
11,0.000986,3.490661,0.578284,4.069931,10493.676122,4.082245
12,0.001032,3.465102,0.639359,4.105493,10493.680240,4.117834
13,0.000905,3.503330,0.709760,4.213995,10493.684467,4.226420
14,0.001008,3.495545,0.729177,4.225730,10493.688705,4.238466
15,0.000988,3.479704,0.604957,4.085649,10493.692803,4.097986
16,0.001012,3.415662,0.808346,4.225020,10493.697040,4.237332
17,0.000953,3.480967,0.655057,4.136977,10493.701191,4.150327
18,0.001020,3.519484,0.556761,4.077265,10493.705280,4.089474
19,0.000907,3.502224,0.679710,4.182841,10493.709475,4.195156
20,0.000994,3.490344,0.709267,4.200605,10493.713688,4.212961
21,0.000904,3.479853,0.627747,4.108504,10493.717809,4.120846
22,0.000963,3.414075,0.815614,4.230652,10493.722052,4.242934
23,0.000964,3.494900,0.602270,4.098134,10493.726163,4.110559
24,0.000927,3.491627,0.584660,4.077214,10493.730252,4.089482
25,0.000895,3.487567,0.702308,4.190770,10493.734456,4.203899
26,0.000921,3.498008,0.731777,4.230706,10493.738699,4.242893
27,0.001130,3.498517,0.642628,4.142275,10493.742854,4.154646
28,0.001257,3.465038,0.717260,4.183555,10493.747050,4.195881
29,0.004743,3.593843,0.473144,4.071730,10493.751152,4.102293
30,0.001158,3.518592,0.584384,4.104134,10493.755272,4.119755
31,0.001064,3.501117,0.688672,4.190853,10493.759474,4.201981
32,0.000978,3.500035,0.723123,4.224136,10493.763710,4.236429
33,0.000870,3.477107,0.618867,4.096844,10493.767820,4.109654
34,0.000907,3.426576,0.784801,4.212284,10493.772044,4.224606
35,0.001013,3.474158,0.631422,4.106593,10493.776163,4.119038
36,0.001230,3.496234,0.612839,4.110303,10493.780286,4.122956
37,0.000877,3.471926,0.713838,4.186641,10493.784485,4.198837
38,0.000921,3.499092,0.692029,4.192042,10493.788690,4.204773
39,0.000893,3.487048,0.657193,4.145134,10493.792847,4.157548
40,0.001038,3.447007,0.731579,4.179624,10493.797039,4.191873
41,0.000905,3.478823,0.632114,4.111842,10493.801164,4.124538
42,0.000900,3.471220,0.733095,4.205215,10493.805381,4.217448
43,0.000934,3.493413,0.596564,4.090911,10493.809484,4.103144
44,0.001202,3.459683,0.692882,4.153767,10493.813651,4.166233
45,0.000904,3.453357,0.746670,4.200931,10493.817864,4.213125
46,0.000933,13.221713,0.156608,13.379254,10493.831255,13.391685
47,0.001124,3.480430,0.150519,3.632073,10493.834898,3.642436
48,0.001118,3.439392,0.159076,3.599586,10493.838508,3.610426
49,0.000920,3.489882,0.840916,4.331718,10493.842850,4.342017
50,0.001206,3.456278,0.523087,3.980571,10493.846843,3.992759
51,0.001141,3.626979,0.549145,4.177265,10493.851032,4.188535
52,0.001837,3.538211,0.774732,4.314780,10493.855367,4.335660
53,0.000915,3.494083,0.622082,4.117080,10493.859498,4.130674
54,0.000909,3.487606,0.692600,4.181115,10493.863691,4.193567
55,0.000924,3.489828,0.648513,4.139265,10493.867843,4.151592
56,0.000903,3.475164,0.708954,4.185021,10493.872040,4.197300
