FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001232,3.373524,0.137931,3.512687,13151.844548,N/A
1,0.001258,3.422591,0.119410,3.543259,13151.848103,3.555022
2,0.001278,3.434564,0.137616,3.573458,13151.851687,3.584543
3,0.001014,3.438131,0.079177,3.518322,13151.855216,3.528902
4,0.000991,3.499794,0.140039,3.640824,13151.858868,3.651569
5,0.000996,3.414425,0.137268,3.552689,13151.862431,3.563280
6,0.001047,3.862972,0.148287,4.012306,13151.866454,4.022424
7,0.001387,3.383547,0.072271,3.457205,13151.869921,3.467644
8,0.001134,3.883294,0.100820,3.985248,13151.873917,3.995437
9,0.001118,3.387246,0.135996,3.524360,13151.877452,3.535632
10,0.001082,3.850614,0.142725,3.994421,13151.881457,4.004943
11,0.001213,3.392936,0.075866,3.470015,13151.884938,3.481046
12,0.000959,3.687804,0.168001,3.856764,13151.888805,3.867126
13,0.001502,3.472635,0.138217,3.612354,13151.892435,3.629278
14,0.000974,3.349123,0.105337,3.455434,13151.895901,3.466334
15,0.001111,4.009682,0.132545,4.143338,13151.900054,4.153159
16,0.002399,3.452038,0.145846,3.600283,13151.903673,3.618638
17,0.001194,3.923852,0.142847,4.067893,13151.907753,4.079895
18,0.001191,3.408284,0.137376,3.546851,13151.911311,3.558033
19,0.000947,3.949241,0.155240,4.105428,13151.915427,4.115762
20,0.001198,3.484519,0.067234,3.552951,13151.918993,3.566131
21,0.000929,3.819318,0.074913,3.895160,13151.922906,3.913620
22,0.001202,3.385289,0.079199,3.465690,13151.926382,3.476182
23,0.001001,3.377984,0.133984,3.512969,13151.929906,3.523180
24,0.000983,3.424887,0.141638,3.567508,13151.933483,3.577615
25,0.001038,3.380445,0.067704,3.449187,13151.936943,3.459911
26,0.000786,3.385645,0.139812,3.526243,13151.940479,3.536273
27,0.001023,3.383942,0.068630,3.453595,13151.943943,3.463599
28,0.000948,3.426576,0.077162,3.504686,13151.947458,3.514570
29,0.000861,3.380926,0.073989,3.455776,13151.950924,3.465897
30,0.000998,3.383845,0.138508,3.523351,13151.954456,3.532930
31,0.000837,3.378197,0.068674,3.447708,13151.957914,3.457439
32,0.000829,3.379892,0.147427,3.528148,13151.961452,3.537962
33,0.000780,3.416134,0.068445,3.485359,13151.964947,3.495498
34,0.000940,3.388910,0.144033,3.533883,13151.968491,3.543656
35,0.000803,3.374621,0.070362,3.445786,13151.971946,3.455396
36,0.000858,3.363052,0.072830,3.436740,13151.975393,3.446398
37,0.000792,3.393472,0.098025,3.492289,13151.978895,3.502090
38,0.000825,3.405156,0.148326,3.554307,13151.982459,3.564081
39,0.000812,3.376822,0.069017,3.446651,13151.985916,3.456669
40,0.000824,3.377642,0.139339,3.517805,13151.989443,3.527626
41,0.000894,3.368853,0.069346,3.439093,13151.992893,3.449402
42,0.001196,3.359368,0.137300,3.497864,13151.996400,3.507686
43,0.000736,4.505075,0.123064,4.628875,13152.001039,4.638407
44,0.002275,3.419182,0.081536,3.502993,13152.004558,3.519367
45,0.000925,3.375006,0.073242,3.449173,13152.008019,3.460478
46,0.000916,3.377855,0.146234,3.525005,13152.011554,3.535279
47,0.000812,3.363360,0.066444,3.430616,13152.014994,3.440290
48,0.000896,3.384018,0.140937,3.525851,13152.018536,3.541367
49,0.000904,3.376050,0.067282,3.444236,13152.021990,3.453951
50,0.005975,3.387875,0.097426,3.491276,13152.025490,3.500962
51,0.000910,3.376968,0.068201,3.446079,13152.028946,3.456004
52,0.000870,3.390158,0.147604,3.538632,13152.032495,3.548506
53,0.000825,3.375304,0.066726,3.442855,13152.035948,3.453506
54,0.000943,3.382000,0.138666,3.521609,13152.039480,3.531479
55,0.000838,3.347282,0.072104,3.420224,13152.042910,3.429798
56,0.000915,3.381113,0.140091,3.522119,13152.046442,3.531884
57,0.000796,3.379581,0.068830,3.449207,13152.049901,3.458987
58,0.000788,12.666246,0.149224,12.816258,13152.062727,12.826095
59,0.000837,3.364990,0.145548,3.511375,13152.066248,3.521170
60,0.000836,3.371221,0.138224,3.510281,13152.069768,3.520486
61,0.000867,3.389276,0.065499,3.455642,13152.073233,3.464965
62,0.000942,3.376686,0.147152,3.524780,13152.076768,3.534551
63,0.000846,3.392487,0.146570,3.539903,13152.080318,3.549710
64,0.001368,3.382705,0.142691,3.526764,13152.083854,3.536456
65,0.000832,3.371876,0.147321,3.520029,13152.087385,3.530492
66,0.000776,3.375079,0.128061,3.503916,13152.090898,3.513512
67,0.000898,3.382950,0.138836,3.522684,13152.094430,3.532356
68,0.001070,3.384024,0.096820,3.481914,13152.097922,3.491610
69,0.000892,3.541524,0.181922,3.724338,13152.101656,3.733892
70,0.001952,3.474597,0.137165,3.613714,13152.105289,3.633361
71,0.001046,3.411817,0.098902,3.511765,13152.108812,3.522380
72,0.000817,3.410858,0.068587,3.480262,13152.112301,3.489684
73,0.001128,3.408381,0.139588,3.549097,13152.115860,3.558968
74,0.000935,3.392800,0.139105,3.532840,13152.119403,3.542638
75,0.000876,3.393207,0.103494,3.497577,13152.122910,3.507396
76,0.000893,3.395820,0.140243,3.536956,13152.126457,3.547046
77,0.000992,3.434174,0.066030,3.501196,13152.129971,3.513257
78,0.000994,3.393071,0.168988,3.563053,13152.133543,3.572833
79,0.000851,3.392409,0.071141,3.464401,13152.137018,3.474118
80,0.000860,3.394493,0.137887,3.533240,13152.140561,3.543175
81,0.000841,3.397886,0.072471,3.471198,13152.144042,3.481018
82,0.000860,3.416506,0.145342,3.562708,13152.147614,3.572657
83,0.000926,3.392408,0.143408,3.536742,13152.151161,3.546434
84,0.000821,3.382530,0.137160,3.520511,13152.154691,3.530448
85,0.001125,3.396571,0.139405,3.537101,13152.158238,3.546700
86,0.001051,3.404891,0.141330,3.547272,13152.161795,3.557039
87,0.000974,3.409146,0.104877,3.514997,13152.165320,3.524836
88,0.000976,3.403892,0.142829,3.547697,13152.168878,3.557718
89,0.000820,3.404521,0.064566,3.469907,13152.172357,3.479760
90,0.000836,3.415211,0.108514,3.524561,13152.175892,3.534369
91,0.001011,3.424471,0.145506,3.570988,13152.179473,3.580813
92,0.000930,3.421166,0.065737,3.487833,13152.182970,3.497784
93,0.000848,3.398330,0.143707,3.542885,13152.186525,3.554164
94,0.001041,3.391653,0.064731,3.457425,13152.189992,3.467510
95,0.000950,3.395007,0.150266,3.546223,13152.193554,3.561861
96,0.001156,3.419817,0.073039,3.494012,13152.197058,3.503961
97,0.000876,3.718331,0.162617,3.881824,13152.200950,3.891864
98,0.003394,4.172831,0.174450,4.350675,13152.205324,4.374017
99,0.001480,3.427830,0.137771,3.567081,13152.208909,3.585649
100,0.000941,3.398044,0.136147,3.535132,13152.212455,3.546033
101,0.000885,3.393976,0.068046,3.462907,13152.215928,3.473051
102,0.001057,3.353923,0.142465,3.497445,13152.219436,3.507242
103,0.000852,3.307805,0.130711,3.439368,13152.222885,3.448877
104,0.000827,3.349392,0.141370,3.491589,13152.226386,3.500970
105,0.000828,3.430672,0.093917,3.525417,13152.229920,3.534914
106,0.000937,3.311060,0.138959,3.450956,13152.233381,3.460493
107,0.000957,3.308926,0.146540,3.456423,13152.236847,3.465885
108,0.000816,3.300806,0.136383,3.438005,13152.240295,3.447712
109,0.000817,3.303546,0.138323,3.442686,13152.243750,3.455049
110,0.001015,3.317533,0.131186,3.449734,13152.247208,3.458855
111,0.000936,3.339532,0.138907,3.479375,13152.250697,3.488725
112,0.000958,3.347207,0.136678,3.484843,13152.254192,3.494356
113,0.000928,3.300869,0.131399,3.433196,13152.257634,3.442550
114,0.000807,3.306859,0.068013,3.375679,13152.261019,3.385112
115,0.000741,3.316520,0.139505,3.456766,13152.264485,3.466108
116,0.000848,3.313191,0.093288,3.407327,13152.267902,3.416905
117,0.000914,3.302939,0.137519,3.441372,13152.271353,3.450737
118,0.001117,3.346416,0.135866,3.483399,13152.274845,3.492470
119,0.000985,3.312646,0.137723,3.451354,13152.278306,3.460731
120,0.000999,3.367973,0.137606,3.506578,13152.281822,3.516261
121,0.000904,3.342086,0.141072,3.484062,13152.285316,3.493625
122,0.000798,3.307830,0.136014,3.444642,13152.288770,3.454050
123,0.000837,3.435017,0.142073,3.577927,13152.292358,3.587453
124,0.001128,3.347192,0.133393,3.481713,13152.295849,3.491201
125,0.000827,3.389655,0.138838,3.529320,13152.299387,3.538578
126,0.000962,6.124926,0.451843,6.577731,13152.305974,6.587138
127,0.002354,3.670340,0.247724,3.920418,13152.309917,3.942638
128,0.001556,3.637388,0.140097,3.779041,13152.313712,3.794966
129,0.001108,3.390343,0.145302,3.536753,13152.317262,3.550265
130,0.001238,3.348718,0.138066,3.488022,13152.320761,3.498273
131,0.000978,3.362814,0.140637,3.504429,13152.324275,3.514555
132,0.001192,3.373529,0.135950,3.510671,13152.327796,3.520401
133,0.000824,3.348319,0.135133,3.484276,13152.331289,3.493926
134,0.000966,3.343378,0.134119,3.478463,13152.334777,3.487935
135,0.000848,3.352040,0.110025,3.462913,13152.338250,3.472608
136,0.000953,3.315779,0.135325,3.452057,13152.341711,3.461441
137,0.000839,3.304438,0.139205,3.444482,13152.345165,3.454020
138,0.000780,3.328159,0.133854,3.462793,13152.348638,3.472305
139,0.000994,3.397454,0.136224,3.534672,13152.352182,3.544059
140,0.000853,3.382475,0.132333,3.515661,13152.355707,3.525435
141,0.000831,3.376587,0.132776,3.510194,13152.359227,3.519855
142,0.001013,3.349977,0.070917,3.421907,13152.362658,3.431290
143,0.000907,3.357157,0.146315,3.504379,13152.366172,3.513758
144,0.001040,3.306092,0.138318,3.445450,13152.369627,3.455052
145,0.000897,3.302878,0.069145,3.372920,13152.373010,3.382382
146,0.000833,3.332154,0.138016,3.471003,13152.376490,3.480491
147,0.000926,3.344729,0.065639,3.411294,13152.379911,3.420646
148,0.000849,3.309655,0.140982,3.451486,13152.383372,3.461114
149,0.000812,3.341473,0.138503,3.480788,13152.386865,3.492844
150,0.001250,3.305090,0.137157,3.443497,13152.390318,3.453100
151,0.000763,3.307739,0.131707,3.440209,13152.393768,3.449831
152,0.000828,3.374625,0.138533,3.513986,13152.397291,3.523274
153,0.000824,3.356628,0.135439,3.492891,13152.400793,3.502501
154,0.000863,4.592952,0.180359,4.774174,13152.405578,4.784090
155,0.001646,3.579439,0.141371,3.722456,13152.409320,3.742315
156,0.001325,3.332402,0.114009,3.447736,13152.412778,3.458487
157,0.000913,3.296108,0.134128,3.431149,13152.416219,3.441082
158,0.000951,3.311160,0.140269,3.452380,13152.419681,3.462021
159,0.000839,3.304692,0.144008,3.449539,13152.423140,3.458987
160,0.000929,3.310334,0.137844,3.449107,13152.426599,3.458637
161,0.000880,3.301573,0.071511,3.373964,13152.429982,3.383245
162,0.000892,3.308982,0.142294,3.452168,13152.433444,3.461765
163,0.001145,3.315029,0.129136,3.445310,13152.436899,3.454644
164,0.000832,3.362570,0.145973,3.509375,13152.440417,3.518645
165,0.000654,3.350256,0.101624,3.452534,13152.443879,3.462067
166,0.000662,3.393320,0.137853,3.531835,13152.447421,3.541400
167,0.000743,3.346285,0.100267,3.447295,13152.450878,3.456793
168,0.000677,3.303304,0.137534,3.441515,13152.454328,3.450816
169,0.000727,3.304753,0.136652,3.442132,13152.457780,3.451482
170,0.000656,3.338983,0.103574,3.443213,13152.461232,3.452520
171,0.000618,3.319364,0.134928,3.454910,13152.464697,3.464189
172,0.000668,3.344088,0.140136,3.484892,13152.468191,3.494230
173,0.000635,3.304181,0.134752,3.439568,13152.471643,3.451798
174,0.000722,3.304743,0.067833,3.373298,13152.475025,3.382612
175,0.000606,3.342153,0.137624,3.480383,13152.478515,3.489711
176,0.000834,3.389447,0.064059,3.454340,13152.481978,3.463475
177,0.000683,3.302189,0.138409,3.441281,13152.485429,3.450783
178,0.000725,3.336490,0.106891,3.444106,13152.488883,3.453491
179,0.001145,3.371093,0.143691,3.515929,13152.492408,3.525297
180,0.000889,3.305878,0.131588,3.438355,13152.495856,3.447547
181,0.000676,3.396811,0.138041,3.535528,13152.499400,3.544841
182,0.000886,3.344305,0.130629,3.475820,13152.502886,3.485257
183,0.000710,3.588727,0.175987,3.765424,13152.506660,3.774713
184,0.001846,3.388356,0.143657,3.533859,13152.510213,3.552259
185,0.001050,3.343182,0.136381,3.480613,13152.513704,3.491454
186,0.000917,3.341292,0.142746,3.484955,13152.517198,3.494408
187,0.001224,3.343225,0.137399,3.481848,13152.520690,3.491269
188,0.000846,3.307387,0.137559,3.445792,13152.524145,3.455250
189,0.000876,3.314867,0.131972,3.447715,13152.527603,3.457603
190,0.000900,3.333931,0.069500,3.404331,13152.531016,3.413730
191,0.000946,3.304392,0.139653,3.444991,13152.534471,3.454805
192,0.000971,3.301813,0.102429,3.405213,13152.537886,3.414538
193,0.000974,3.313363,0.142926,3.457263,13152.541352,3.466634
194,0.000860,3.342440,0.135497,3.478797,13152.544841,3.488295
195,0.000924,3.343734,0.138005,3.482663,13152.548333,3.491983
196,0.000769,3.395481,0.136276,3.532526,13152.551875,3.541982
197,0.000881,3.315826,0.136306,3.453013,13152.555337,3.462409
198,0.000882,3.325074,0.139537,3.465493,13152.558812,3.474907
199,0.000914,3.363729,0.137667,3.502310,13152.562324,3.512129
200,0.001158,3.319287,0.135098,3.455543,13152.565789,3.465116
201,0.000972,3.343055,0.102540,3.446567,13152.569248,3.458691
202,0.000823,3.304670,0.142580,3.448073,13152.572706,3.457811
203,0.001142,3.342141,0.139412,3.482695,13152.576198,3.491947
204,0.000840,3.322184,0.132674,3.455698,13152.579663,3.464984
205,0.000839,3.312509,0.069818,3.383166,13152.583055,3.392848
206,0.000934,3.308376,0.137760,3.447070,13152.586512,3.456847
207,0.001369,3.311030,0.065253,3.377652,13152.589899,3.387045
208,0.000880,3.345577,0.138180,3.484637,13152.593393,3.494117
209,0.000737,3.329857,0.134729,3.465323,13152.596868,3.474791
210,0.001049,3.311283,0.108829,3.421161,13152.600299,3.430848
211,0.000855,3.354652,0.138438,3.493945,13152.603803,3.503632
212,0.000889,4.597695,0.147723,4.746307,13152.608558,4.755664
213,0.001742,3.427703,0.154837,3.584282,13152.612159,3.601131
214,0.001341,3.422087,0.141451,3.564879,13152.615735,3.575830
215,0.001226,3.460627,0.141472,3.603325,13152.619348,3.612944
216,0.000832,3.430106,0.103420,3.534358,13152.622892,3.544084
217,0.000893,3.419479,0.142778,3.563150,13152.626465,3.572703
218,0.000895,3.394350,0.067386,3.462631,13152.629937,3.472048
219,0.000872,3.346924,0.135763,3.483559,13152.633430,3.493303
220,0.000861,3.320367,0.129869,3.451097,13152.636891,3.460528
221,0.000916,3.344935,0.137194,3.483045,13152.640383,3.492350
222,0.000871,3.370840,0.129404,3.501115,13152.643894,3.510389
223,0.000737,3.362307,0.139833,3.502877,13152.647406,3.512317
224,0.001178,3.345233,0.134158,3.480569,13152.650896,3.489956
225,0.000860,3.378268,0.068921,3.448049,13152.654354,3.457556
226,0.000791,3.310473,0.141416,3.452680,13152.657815,3.461950
227,0.000735,3.345282,0.137075,3.483092,13152.661308,3.492486
228,0.000812,3.426329,0.135091,3.562232,13152.664879,3.571552
229,0.000779,3.377942,0.142020,3.520741,13152.668410,3.530159
230,0.000927,3.349506,0.129575,3.480008,13152.671899,3.489399
231,0.000831,3.314805,0.139697,3.455333,13152.675364,3.464766
232,0.000919,3.378231,0.128478,3.507628,13152.678881,3.517059
233,0.000755,3.515453,0.137442,3.653650,13152.682546,3.665430
234,0.000854,3.462821,0.173093,3.636768,13152.686193,3.646202
235,0.000778,3.405665,0.133216,3.539659,13152.689742,3.549195
236,0.000819,3.446960,0.097991,3.545770,13152.693297,3.555020
237,0.001077,3.512552,0.091445,3.605074,13152.696911,3.614607
238,0.000940,3.335279,0.140536,3.476755,13152.700413,3.501352
239,0.000898,3.374834,0.102900,3.478632,13152.703901,3.488161
240,0.000894,3.634654,0.177722,3.813270,13152.707724,3.822832
241,0.002293,3.465725,0.136376,3.604394,13152.711347,3.623118
242,0.001201,3.343382,0.139812,3.484395,13152.714842,3.494843
243,0.001087,3.320252,0.135619,3.456958,13152.718308,3.466810
244,0.000781,3.310927,0.138716,3.450424,13152.721768,3.459917
245,0.000864,3.352901,0.070398,3.424163,13152.725202,3.433666
246,0.000878,3.304344,0.146008,3.451230,13152.728663,3.460961
247,0.000880,3.391952,0.151140,3.543972,13152.732217,3.553814
248,0.000945,3.411603,0.132945,3.545493,13152.735772,3.555002
249,0.000967,3.446736,0.135557,3.583260,13152.739365,3.592931
250,0.000820,3.370308,0.136706,3.507834,13152.742882,3.517247
251,0.000841,3.418790,0.141939,3.561570,13152.746453,3.571127
252,0.000891,3.426142,0.065620,3.492653,13152.749956,3.502424
253,0.000824,3.439167,0.140431,3.580422,13152.753545,3.589840
254,0.000914,3.302749,0.065271,3.368934,13152.756924,3.378382
255,0.000869,3.413430,0.141517,3.555816,13152.760489,3.565089
256,0.000779,3.369341,0.066212,3.436332,13152.763934,3.445651
257,0.000919,3.381164,0.136710,3.518793,13152.767463,3.528358
258,0.000810,3.489125,0.088026,3.577961,13152.771050,3.587306
259,0.000816,3.376888,0.134500,3.512204,13152.774572,3.521624
260,0.001044,3.340905,0.061585,3.403534,13152.777985,3.412895
261,0.000811,3.409215,0.138610,3.548636,13152.781543,3.557906
262,0.000955,3.342435,0.064523,3.407913,13152.784960,3.417383
263,0.000913,3.328192,0.134455,3.463560,13152.788433,3.473214
264,0.001049,3.308507,0.104824,3.414380,13152.791857,3.423724
265,0.000844,3.317274,0.139638,3.457756,13152.795324,3.467366
266,0.000844,3.325584,0.134919,3.461347,13152.798795,3.471154
267,0.000831,3.374404,0.102085,3.477320,13152.802282,3.486950
268,0.000781,3.387211,0.139785,3.527777,13152.805819,3.537033
269,0.000916,6.323235,0.163499,6.487650,13152.812319,6.500067
270,0.002808,4.374126,0.174559,4.551493,13152.816903,4.583662
271,0.001325,3.396926,0.153789,3.552040,13152.820471,3.567418
272,0.000862,3.389709,0.067554,3.458125,13152.823939,3.468494
273,0.001039,3.390551,0.139639,3.531229,13152.827480,3.541113
274,0.001026,3.388576,0.067648,3.457250,13152.830948,3.467376
275,0.000834,3.382395,0.137845,3.521074,13152.834479,3.531056
276,0.000895,3.381708,0.067247,3.449850,13152.837938,3.459564
277,0.000879,3.382806,0.141553,3.525238,13152.841473,3.535015
278,0.000884,3.384223,0.066737,3.451844,13152.844935,3.461666
279,0.000776,3.374076,0.143439,3.518291,13152.848463,3.528048
280,0.000912,3.384062,0.066170,3.451144,13152.851923,3.460608
281,0.000851,3.394064,0.147027,3.541942,13152.855475,3.551617
282,0.000824,3.382526,0.067512,3.450862,13152.858936,3.460430
283,0.000779,3.383319,0.136366,3.520464,13152.862466,3.530046
284,0.000867,3.386658,0.065508,3.453033,13152.865928,3.462609
285,0.000816,3.384650,0.138376,3.523842,13152.869462,3.533423
286,0.001002,3.379946,0.065978,3.446926,13152.872918,3.456621
