FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001295,3.475813,0.627018,4.104126,10547.549357,N/A
1,0.000959,3.475393,0.741371,4.217723,10547.553589,4.231997
2,0.001000,3.472408,0.673389,4.146797,10547.557749,4.159588
3,0.000990,3.508495,0.638980,4.148465,10547.561909,4.160949
4,0.000976,3.445834,0.719434,4.166244,10547.566088,4.178775
5,0.000962,3.480103,0.655804,4.136869,10547.570238,4.149948
6,0.001092,3.474071,0.644995,4.120158,10547.574371,4.132693
7,0.000991,3.470270,0.737237,4.208498,10547.578592,4.221047
8,0.001047,3.402244,0.743566,4.146857,10547.582751,4.159380
9,0.001061,3.481305,0.659105,4.141471,10547.586906,4.154840
10,0.001106,3.449996,0.729787,4.180889,10547.591100,4.193496
11,0.001025,3.477566,0.649305,4.127896,10547.595240,4.140654
12,0.000940,3.463396,0.627969,4.092305,10547.599345,4.104773
13,0.000979,3.455954,0.724398,4.181331,10547.603539,4.194262
14,0.001138,3.466437,0.755063,4.222638,10547.607775,4.235275
15,0.001018,3.455819,0.664249,4.121086,10547.611908,4.133611
16,0.000988,3.447470,0.726914,4.175372,10547.616096,4.188017
17,0.000993,3.536782,0.566339,4.104114,10547.620214,4.117832
18,0.000978,3.469159,0.901662,4.371799,10547.624599,4.384448
19,0.001016,3.587114,0.349954,3.938084,10547.628549,3.950600
20,0.002033,3.528615,0.650506,4.181154,10547.632751,4.202170
21,0.000985,3.452298,0.724075,4.177358,10547.636942,4.190212
22,0.001015,3.426432,0.711079,4.138526,10547.641093,4.151199
23,0.000964,3.469001,0.681303,4.151268,10547.645257,4.164121
24,0.001083,3.469171,0.672264,4.142518,10547.649412,4.155090
25,0.000927,3.462996,0.711220,4.175143,10547.653600,4.188490
26,0.001158,3.471129,0.680367,4.152654,10547.657766,4.165142
27,0.000952,3.485045,0.664141,4.150138,10547.661928,4.162572
28,0.000930,3.420277,0.733228,4.154435,10547.666095,4.166930
29,0.000957,3.477847,0.664860,4.143664,10547.670251,4.156196
30,0.001100,3.466618,0.626014,4.093732,10547.674358,4.106260
31,0.000945,3.474752,0.771832,4.247529,10547.678618,4.260416
32,0.000946,3.464514,0.667818,4.133278,10547.682764,4.145695
33,0.000917,3.468528,0.688304,4.157749,10547.686934,4.170766
34,0.000932,3.446250,0.708306,4.155488,10547.691103,4.168166
35,0.000980,3.481837,0.655743,4.138560,10547.695254,4.151316
36,0.000933,3.484410,0.631944,4.117287,10547.699384,4.129857
37,0.001013,3.472368,0.732513,4.205894,10547.703602,4.218432
38,0.001053,3.482679,0.662889,4.146621,10547.707761,4.159055
39,0.000945,3.492181,0.671001,4.164127,10547.711938,4.176836
40,0.001084,3.443872,0.704415,4.149371,10547.716100,4.162033
41,0.000998,3.491226,0.659477,4.151701,10547.720265,4.164847
42,0.000956,3.474247,0.656087,4.131290,10547.724409,4.143836
43,0.000942,3.473916,1.260779,4.735637,10547.729157,4.748103
44,0.006242,6.412436,0.140620,6.559298,10547.735768,6.610652
45,0.001936,3.541556,0.158249,3.701741,10547.739484,3.716924
46,0.001101,10.751807,0.155348,10.908256,10547.750404,10.919476
47,0.001050,3.431796,0.080995,3.513841,10547.753929,3.525177
48,0.000910,3.487516,0.186447,3.674873,10547.757614,3.685335
49,0.000929,3.467440,0.675595,4.143964,10547.761768,4.153965
50,0.000950,3.438405,0.809831,4.249186,10547.766028,4.259606
51,0.000884,3.459767,0.537749,3.998400,10547.770037,4.008617
52,0.000849,3.497237,0.862933,4.361019,10547.774408,4.371466
53,0.001210,3.465165,0.693892,4.160267,10547.778582,4.173830
54,0.001037,3.495949,0.645417,4.142403,10547.782737,4.154772
55,0.000871,3.499335,0.681522,4.181728,10547.786931,4.194170
56,0.000993,3.460442,0.687940,4.149375,10547.791093,4.161811
57,0.000962,3.495634,0.605496,4.102092,10547.795207,4.114554
58,0.000957,3.490143,0.707435,4.198535,10547.799418,4.210853
59,0.001364,3.493218,0.671695,4.166277,10547.803597,4.178570
60,0.000917,3.490907,0.639661,4.131485,10547.807741,4.143867
61,0.000936,3.498603,0.647868,4.147407,10547.811900,4.159734
62,0.001035,3.464212,0.718391,4.183638,10547.816096,4.195974
63,0.001013,3.503171,0.553364,4.057548,10547.820166,4.070090
64,0.000952,3.512701,0.697771,4.211424,10547.824390,4.223798
65,0.000854,3.495941,0.698026,4.194821,10547.828598,4.208128
66,0.000873,3.624098,0.361871,3.986842,10547.832598,3.999340
67,0.001649,3.555084,0.752521,4.309254,10547.836928,4.330815
68,0.000919,3.460100,0.692616,4.153635,10547.841095,4.166244
69,0.000926,3.494252,0.587522,4.082700,10547.845190,4.095129
70,0.000985,3.498100,0.728284,4.227369,10547.849430,4.239825
71,0.000894,3.488775,0.663804,4.153473,10547.853596,4.166052
72,0.000963,3.486228,0.662282,4.149473,10547.857758,4.161880
73,0.000916,3.495378,0.655477,4.151771,10547.861922,4.164152
74,0.000908,3.443828,0.715787,4.160523,10547.866095,4.173065
75,0.000896,3.490836,0.656337,4.148069,10547.870255,4.160580
76,0.000931,3.492256,0.545562,4.038749,10547.874306,4.051126
77,0.000926,3.494788,0.774553,4.270267,10547.878592,4.285902
78,0.000971,3.482685,0.675704,4.159360,10547.882764,4.171736
79,0.000906,3.516408,0.605340,4.122654,10547.886899,4.134992
80,0.000893,3.460741,0.723915,4.185549,10547.891097,4.197949
81,0.000931,3.503317,0.590180,4.094428,10547.895204,4.107002
82,0.000890,3.461476,0.750828,4.213194,10547.899430,4.225529
83,0.000887,3.496039,0.660902,4.157828,10547.903600,4.170001
84,0.000793,3.482275,0.678400,4.161468,10547.907773,4.173935
85,0.000931,3.504415,0.609760,4.115106,10547.911901,4.127500
86,0.000975,3.438795,0.738392,4.178162,10547.916091,4.190461
87,0.000941,3.463558,0.725972,4.190471,10547.920294,4.202829
88,0.000956,3.470781,0.565757,4.037494,10547.924344,4.049689
89,0.000892,3.473375,0.807416,4.281683,10547.928638,4.293822
90,0.000899,4.509467,0.205477,4.715843,10547.933366,4.727837
91,0.002164,3.515950,0.085044,3.603158,10547.936988,3.622225
92,0.006104,3.459683,0.471442,3.937229,10547.940936,3.948382
93,0.000989,3.475571,0.876578,4.353138,10547.945302,4.366211
94,0.000948,3.428486,0.604942,4.034376,10547.949349,4.046539
95,0.001398,3.484898,0.810234,4.296530,10547.953657,4.308501
96,0.000882,3.486496,0.594175,4.081553,10547.957751,4.093734
97,0.000875,3.432469,0.765730,4.199074,10547.961963,4.211289
98,0.000903,3.345924,0.808925,4.155752,10547.966131,4.168257
99,0.000938,3.438880,0.659036,4.098854,10547.970242,4.110999
100,0.000876,3.437648,0.777838,4.216362,10547.974470,4.228465
101,0.000893,3.472171,0.647769,4.120833,10547.978603,4.132929
102,0.001007,3.449438,0.747360,4.197805,10547.982813,4.209696
103,0.000857,3.501139,0.605372,4.107368,10547.986932,4.119415
104,0.000914,3.532509,0.630775,4.164198,10547.991109,4.176426
105,0.000939,3.437535,0.728324,4.166798,10547.995288,4.178843
106,0.000870,3.383123,0.783402,4.167395,10547.999467,4.179397
107,0.000890,3.512677,0.633613,4.147180,10548.003626,4.159302
108,0.000853,3.464270,0.710681,4.175804,10548.007814,4.187856
109,0.000861,3.430670,0.723875,4.155406,10548.011984,4.170201
110,0.000938,3.493989,0.609338,4.104265,10548.016101,4.116298
111,0.000824,3.468473,0.713068,4.182365,10548.020295,4.194639
112,0.001166,3.421301,0.546341,3.968808,10548.024276,3.980889
113,0.000819,3.482429,0.876961,4.360209,10548.028648,4.372287
114,0.000851,3.443200,0.625762,4.069813,10548.032730,4.081889
115,0.002841,3.593075,0.483882,4.079798,10548.036835,4.104416
116,0.001134,3.471727,0.827097,4.299958,10548.041150,4.314931
117,0.000940,3.470644,0.610490,4.082074,10548.045244,4.094218
118,0.001039,3.374416,0.849834,4.225289,10548.049481,4.237319
119,0.001037,3.460171,0.696132,4.157340,10548.053651,4.169627
120,0.000948,3.451720,0.704082,4.156750,10548.057820,4.168886
121,0.000956,3.430301,0.725082,4.156339,10548.061988,4.168455
122,0.001065,3.421891,0.713094,4.136050,10548.066144,4.155546
123,0.001219,3.481401,0.634281,4.116901,10548.070273,4.128934
124,0.000922,3.422162,0.770720,4.193804,10548.074479,4.206229
125,0.000875,3.475818,0.683501,4.160194,10548.078651,4.172502
126,0.000945,3.411885,0.740927,4.153757,10548.082817,4.165868
127,0.000983,3.397418,0.849494,4.247895,10548.087077,4.259964
128,0.000999,3.452556,0.537556,3.991111,10548.091081,4.003436
129,0.000855,3.440494,0.770677,4.212026,10548.095307,4.226866
130,0.000886,3.399869,0.565656,3.966411,10548.099286,3.978461
131,0.000907,3.443114,0.687406,4.131427,10548.103430,4.143552
132,0.000933,3.419560,0.937982,4.358475,10548.107800,4.370428
133,0.000906,3.435529,0.672216,4.108651,10548.111921,4.120742
134,0.001015,3.424394,0.712857,4.138266,10548.116071,4.150326
135,0.000964,3.436845,0.791684,4.229493,10548.120313,4.241566
136,0.001081,3.428918,0.526322,3.956321,10548.124281,3.968340
137,0.000950,3.478783,0.869267,4.349000,10548.128642,4.361147
138,0.000909,3.437101,0.651791,4.089801,10548.132744,4.101854
139,0.001447,4.420271,0.199993,4.621711,10548.137383,4.639137
140,0.001514,3.548729,0.133339,3.683582,10548.141084,3.700919
141,0.001015,3.438228,0.768999,4.208242,10548.145303,4.218980
142,0.000993,3.406285,0.563730,3.971008,10548.149286,3.983118
143,0.000915,3.482717,0.670025,4.153657,10548.153452,4.165833
144,0.000901,3.396325,0.978034,4.375260,10548.157839,4.387499
145,0.000973,3.398666,0.734836,4.134475,10548.161986,4.146617
146,0.001174,3.403389,0.678436,4.082999,10548.166082,4.095668
147,0.000896,3.431186,0.775561,4.207643,10548.170302,4.219974
148,0.000886,3.467915,0.503592,3.972393,10548.174286,3.984470
149,0.000974,3.431961,0.719864,4.152799,10548.178454,4.168151
150,0.000924,3.442158,0.941812,4.384894,10548.182851,4.396907
