FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001237,3.370155,0.070006,3.441398,13217.972842,N/A
1,0.001423,3.389885,0.124288,3.515596,13217.976369,3.527221
2,0.001235,3.389826,0.163273,3.554334,13217.979934,3.565252
3,0.001683,3.371126,0.100418,3.473227,13217.983423,3.489065
4,0.000908,3.400791,0.071869,3.473568,13217.986907,3.483997
5,0.000925,3.369392,0.126205,3.496522,13217.990414,3.507171
6,0.000947,3.411318,0.072318,3.484583,13217.993909,3.494467
7,0.000935,3.375137,0.123280,3.499352,13217.997418,3.509469
8,0.001138,3.371943,0.103826,3.476907,13218.000905,3.486854
9,0.001787,3.488911,0.126171,3.616869,13218.004537,3.631868
10,0.001071,3.379013,0.069633,3.449717,13218.007997,3.459974
11,0.000902,3.553508,0.178718,3.733128,13218.011745,3.748120
12,0.002461,3.510024,0.132351,3.644836,13218.015411,3.665912
13,0.001461,3.432602,0.071572,3.505635,13218.018930,3.518991
14,0.001066,3.376703,0.125400,3.503169,13218.022445,3.514941
15,0.001021,3.390671,0.070509,3.462201,13218.025917,3.472645
16,0.001322,3.500107,0.123567,3.624996,13218.029553,3.635441
17,0.001007,3.382443,0.072797,3.456247,13218.033020,3.467493
18,0.000987,3.413294,0.129268,3.543549,13218.036574,3.553768
19,0.000950,3.361921,0.071087,3.433958,13218.040018,3.444239
20,0.000919,3.358434,0.071096,3.430449,13218.043459,3.440579
21,0.001073,3.362635,0.071968,3.435676,13218.046905,3.446136
22,0.000927,3.360013,0.150231,3.511171,13218.050427,3.521395
23,0.000887,3.385939,0.099815,3.486641,13218.053923,3.496617
24,0.001133,3.345597,0.123933,3.470663,13218.057404,3.480831
25,0.000942,3.364600,0.069810,3.435352,13218.060850,3.445971
26,0.000911,3.350601,0.134193,3.485705,13218.064346,3.496441
27,0.000966,3.343317,0.135338,3.479621,13218.067836,3.489670
28,0.001283,3.367304,0.119801,3.488388,13218.071334,3.498120
29,0.001070,3.365360,0.126527,3.492957,13218.074837,3.502591
30,0.000953,3.383590,0.127194,3.511737,13218.078358,3.521475
31,0.001008,3.358277,0.122032,3.481317,13218.081849,3.491259
32,0.000893,3.366438,0.123382,3.490713,13218.085350,3.500432
33,0.000976,3.360516,0.122957,3.484449,13218.088845,3.494626
34,0.000972,3.368902,0.155290,3.525164,13218.092380,3.535026
35,0.000870,3.355512,0.124302,3.480684,13218.095870,3.490244
36,0.000926,3.350107,0.123254,3.474287,13218.099354,3.483989
37,0.000962,3.360132,0.120058,3.481152,13218.102845,3.491049
38,0.001222,3.359624,0.125176,3.486022,13218.106340,3.495594
39,0.000947,3.364928,0.123137,3.489012,13218.109839,3.498718
40,0.000874,3.573633,0.112525,3.687032,13218.113536,3.696668
41,0.002413,3.375865,0.072558,3.450836,13218.117004,3.468615
42,0.000932,3.378675,0.127343,3.506950,13218.120522,3.517325
43,0.001071,3.359804,0.067447,3.428322,13218.123960,3.438006
44,0.000852,3.346060,0.123876,3.470788,13218.127440,3.480527
45,0.000961,3.381738,0.069806,3.452505,13218.130902,3.461978
46,0.001307,3.364247,0.127447,3.493001,13218.134405,3.502934
47,0.000942,3.363796,0.128011,3.492749,13218.137908,3.502581
48,0.000930,3.350268,0.123651,3.474849,13218.141392,3.484484
49,0.000824,3.359646,0.123920,3.484390,13218.144886,3.493998
50,0.000976,3.356194,0.125084,3.482254,13218.148378,3.491707
51,0.000917,3.342068,0.067223,3.410208,13218.151798,3.420178
52,0.000990,3.350140,0.124182,3.475312,13218.155283,3.484912
53,0.000810,3.347001,0.122253,3.470064,13218.158763,3.480409
54,0.000868,3.373687,0.125769,3.500324,13218.162273,3.509921
55,0.000947,3.387328,0.122159,3.510434,13218.165794,3.520262
56,0.001286,3.361025,0.120883,3.483194,13218.169287,3.492913
57,0.000937,3.364184,0.124045,3.489166,13218.172786,3.499071
58,0.000978,3.372811,0.121839,3.495628,13218.176291,3.505341
59,0.000873,3.384813,0.139445,3.525131,13218.179826,3.534758
60,0.000903,3.378021,0.120988,3.499912,13218.183336,3.509958
61,0.000912,3.375764,0.121974,3.498650,13218.186844,3.508377
62,0.000844,3.365027,0.125140,3.491011,13218.190345,3.500553
63,0.000911,12.659458,0.378258,13.038627,13218.203393,13.048471
64,0.000877,3.348417,0.135177,3.484471,13218.206888,3.494471
65,0.000994,3.351917,0.137199,3.490110,13218.210388,3.500745
66,0.000950,6.933727,0.195885,7.130562,13218.217529,7.140272
67,0.002725,3.487260,0.136764,3.626749,13218.221175,3.646517
68,0.000976,3.381721,0.144774,3.527471,13218.224715,3.539504
69,0.000936,3.433335,0.140207,3.574478,13218.228299,3.584364
70,0.000980,3.386076,0.141164,3.528220,13218.231837,3.538375
71,0.001016,3.384121,0.139394,3.524531,13218.235372,3.534657
72,0.001072,3.372095,0.131317,3.504484,13218.238886,3.514073
73,0.000926,3.386779,0.139410,3.527115,13218.242423,3.536563
74,0.000980,3.381420,0.096940,3.479340,13218.245912,3.489055
75,0.000882,3.401420,0.145017,3.547319,13218.249469,3.557097
76,0.001136,3.386273,0.067526,3.454935,13218.252933,3.464568
77,0.000891,3.374682,0.139893,3.515466,13218.256462,3.528141
78,0.001118,3.378485,0.067823,3.447426,13218.259919,3.457406
79,0.000936,3.379084,0.144762,3.524782,13218.263454,3.534788
80,0.000935,3.389463,0.066630,3.457028,13218.266920,3.466562
81,0.000857,3.387353,0.142175,3.530385,13218.270460,3.540055
82,0.000982,3.376807,0.067448,3.445237,13218.273915,3.455032
83,0.000897,3.378438,0.144217,3.523552,13218.277448,3.533003
