FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001268,3.393064,0.068453,3.462785,13290.703988,N/A
1,0.001210,3.384917,0.132975,3.519102,13290.707526,3.537491
2,0.001023,3.377261,0.067049,3.445333,13290.710983,3.456645
3,0.000890,3.365781,0.125534,3.492205,13290.714485,3.502306
4,0.000994,3.370710,0.071227,3.442931,13290.717938,3.453547
5,0.001230,3.344366,0.124264,3.469860,13290.721419,3.480649
6,0.000971,3.373043,0.096468,3.470482,13290.724900,3.480621
7,0.000886,3.377195,0.107870,3.485951,13290.728396,3.496115
8,0.001069,3.387259,0.114630,3.502958,13290.731909,3.512938
9,0.001137,3.505672,0.144298,3.651107,13290.735571,3.662033
10,0.001141,3.502491,0.155110,3.658742,13290.739242,3.671271
11,0.000942,3.583571,0.084285,3.668798,13290.742922,3.679587
12,0.001493,3.386791,0.141790,3.530074,13290.746463,3.541471
13,0.001046,3.466253,0.083524,3.550823,13290.750025,3.561484
14,0.001520,3.464168,0.151571,3.617259,13290.753653,3.628525
15,0.001137,3.478182,0.146542,3.625861,13290.757290,3.636762
16,0.001132,3.406672,0.138599,3.546403,13290.760848,3.557870
17,0.000932,3.626586,0.137407,3.764925,13290.764624,3.776379
18,0.003441,7.099996,0.162437,7.265874,13290.771913,7.288426
19,0.001672,3.425281,0.158403,3.585356,13290.775513,3.600770
20,0.001006,3.418384,0.075601,3.494991,13290.779019,3.506099
21,0.001294,3.414835,0.141004,3.557133,13290.782588,3.568425
22,0.001321,3.393349,0.114122,3.508792,13290.786107,3.519275
23,0.000907,3.400572,0.144668,3.546147,13290.789664,3.556566
24,0.000911,3.417060,0.137532,3.555503,13290.793229,3.565783
25,0.000956,3.411923,0.128340,3.541219,13290.796782,3.552243
26,0.000933,3.389817,0.124106,3.514856,13290.800307,3.524882
27,0.000970,3.388979,0.124918,3.514867,13290.803832,3.525017
28,0.000940,3.409572,0.126878,3.537390,13290.807379,3.547344
29,0.001071,3.440608,0.071196,3.512875,13290.810902,3.523390
30,0.001050,3.396737,0.145501,3.543288,13290.814456,3.553529
31,0.000949,3.388052,0.072345,3.461346,13290.817927,3.471319
32,0.001052,3.407096,0.144536,3.552684,13290.821490,3.562872
33,0.000981,3.398098,0.068798,3.467877,13290.824968,3.478412
34,0.000994,3.394881,0.138811,3.534686,13290.828513,3.544876
35,0.001014,3.410948,0.086564,3.498526,13290.832022,3.509012
36,0.001141,3.500694,0.116608,3.618443,13290.835652,3.630106
37,0.003062,3.556331,0.118803,3.678196,13290.839347,3.694194
38,0.002147,3.574255,0.132168,3.708570,13290.843071,3.724780
39,0.002129,3.540110,0.109254,3.651493,13290.846739,3.667866
40,0.002276,3.482339,0.119144,3.603759,13290.850361,3.621856
41,0.001056,3.407657,0.106360,3.515073,13290.853888,3.526460
42,0.000980,3.410390,0.140886,3.552256,13290.857450,3.562169
43,0.000905,3.383408,0.072127,3.456440,13290.860916,3.466343
44,0.000928,3.580386,0.198963,3.780277,13290.864707,3.790361
45,0.002696,3.482786,0.143064,3.628546,13290.868350,3.643384
46,0.001164,3.422535,0.107993,3.531692,13290.871892,3.542349
47,0.000893,3.423435,0.146479,3.570807,13290.875473,3.581069
48,0.001009,3.405859,0.067602,3.474470,13290.878958,3.484682
49,0.001031,3.404548,0.138720,3.544299,13290.882512,3.554451
50,0.001077,3.396154,0.068425,3.465656,13290.885989,3.476510
51,0.000958,3.435800,0.141733,3.578491,13290.889578,3.588541
52,0.000956,3.399026,0.116819,3.516801,13290.893105,3.527230
53,0.000903,3.420287,0.141676,3.562866,13290.896679,3.574172
54,0.001070,3.405014,0.141595,3.547679,13290.900237,3.557916
55,0.000926,3.400827,0.143681,3.545434,13290.903792,3.555619
56,0.001348,3.396145,0.105096,3.502589,13290.907305,3.512958
57,0.001033,3.393766,0.160890,3.555689,13290.910871,3.565925
58,0.000986,3.421809,0.139514,3.562309,13290.914444,3.572292
59,0.000945,3.398266,0.071779,3.470990,13290.917925,3.480989
60,0.000955,11.708199,0.233799,11.942953,13290.929878,11.952940
61,0.000989,3.373182,0.145427,3.519598,13290.933408,3.530349
62,0.001197,3.403391,0.094204,3.498792,13290.936917,3.508843
63,0.000855,3.424946,0.142842,3.568643,13290.940496,3.578836
64,0.000947,3.434668,0.073489,3.509104,13290.944015,3.519139
65,0.001227,3.442138,0.138328,3.581693,13290.947608,3.593028
66,0.001107,3.458032,0.139528,3.598667,13290.951217,3.608779
67,0.001011,3.408593,0.137891,3.547495,13290.954774,3.557913
68,0.000918,3.440145,0.138777,3.579840,13290.958365,3.590329
69,0.000923,3.437757,0.101121,3.539801,13290.961915,3.549975
70,0.001028,3.558232,0.186223,3.745483,13290.965670,3.755662
71,0.002741,3.546265,0.115582,3.664588,13290.969355,3.684398
72,0.001680,3.478194,0.070780,3.550654,13290.972918,3.562834
73,0.001026,3.454301,0.139521,3.594848,13290.976523,3.605102
74,0.001015,3.434578,0.078231,3.513824,13290.980047,3.524174
75,0.000945,3.397017,0.142764,3.540726,13290.983598,3.551209
76,0.001087,3.413603,0.144419,3.559109,13290.987167,3.569212
77,0.000923,3.416954,0.139221,3.557098,13290.990736,3.569054
78,0.001045,3.422021,0.137584,3.560650,13290.994307,3.570582
79,0.000928,3.384244,0.142186,3.527358,13290.997844,3.537378
80,0.000953,3.395623,0.145528,3.542104,13291.001396,3.551932
81,0.000843,3.406534,0.097343,3.504720,13291.004911,3.514549
82,0.000972,3.428137,0.140315,3.569424,13291.008490,3.579410
83,0.001204,3.408610,0.066671,3.476485,13291.011977,3.486564
84,0.000925,3.430415,0.138932,3.570272,13291.015557,3.580046
85,0.000891,3.361405,0.065161,3.427457,13291.018994,3.437237
86,0.001512,3.327734,0.139229,3.468475,13291.022482,3.487614
87,0.000955,3.390233,0.077226,3.468414,13291.025960,3.478497
88,0.001889,3.456990,0.108022,3.566901,13291.029539,3.579168
89,0.001093,3.366186,0.066123,3.433402,13291.032983,3.443378
90,0.000913,3.365781,0.146438,3.513132,13291.036506,3.522843
91,0.000931,3.414366,0.066657,3.481954,13291.039997,3.491668
92,0.001031,3.412396,0.143645,3.557072,13291.043570,3.573093
93,0.001032,3.411367,0.110420,3.522819,13291.047105,3.534164
94,0.001090,3.360859,0.137311,3.499260,13291.050614,3.509242
95,0.000988,3.317434,0.073681,3.392103,13291.054016,3.401783
96,0.001043,3.298284,0.140967,3.440294,13291.057466,3.450307
97,0.000892,3.401515,0.066803,3.469210,13291.060945,3.478803
98,0.000892,3.479788,0.146122,3.626802,13291.064581,3.636576
99,0.001021,3.516738,0.182156,3.699915,13291.068291,3.709729
100,0.002057,3.378465,0.138752,3.519274,13291.071829,3.537893
101,0.000926,3.329467,0.134562,3.464955,13291.075305,3.475759
102,0.000927,3.409752,0.142370,3.553049,13291.078867,3.562767
103,0.001015,3.412344,0.136482,3.549841,13291.082428,3.560166
104,0.000963,3.333734,0.131694,3.466391,13291.085904,3.476395
105,0.001028,3.331562,0.145058,3.477648,13291.089392,3.487631
106,0.001064,3.337874,0.139005,3.477943,13291.092880,3.488024
107,0.000934,3.368004,0.139242,3.508180,13291.096398,3.517996
108,0.000978,3.326398,0.142357,3.469733,13291.099877,3.479455
109,0.001051,3.319388,0.133836,3.454275,13291.103344,3.466951
110,0.000941,3.324096,0.136394,3.461431,13291.106815,3.471439
111,0.001151,3.325092,0.136134,3.462377,13291.110288,3.472351
112,0.000980,3.318179,0.136391,3.455550,13291.113753,3.465506
113,0.000832,3.322553,0.138041,3.461426,13291.117224,3.471096
114,0.001005,3.355244,0.137974,3.494223,13291.120729,3.504204
115,0.000963,3.335560,0.138816,3.475339,13291.124214,3.485190
116,0.000919,3.393473,0.138654,3.533046,13291.127757,3.542930
117,0.000910,3.451681,0.137508,3.590099,13291.131357,3.599980
118,0.001011,3.326542,0.141436,3.468989,13291.134836,3.478971
119,0.001038,3.408407,0.139946,3.549391,13291.138395,3.559298
120,0.001135,3.389788,0.103726,3.494649,13291.141900,3.504636
121,0.000978,3.389308,0.137495,3.527781,13291.145437,3.537432
122,0.001216,3.324034,0.130195,3.455445,13291.148902,3.465201
123,0.000946,3.343182,0.141627,3.485755,13291.152398,3.495475
124,0.000908,3.324214,0.137350,3.462472,13291.155870,3.472358
125,0.000864,3.324549,0.137171,3.462584,13291.159342,3.472438
126,0.000999,3.322814,0.133147,3.456960,13291.162809,3.466722
127,0.000795,3.384204,0.139208,3.524207,13291.166343,3.534018
128,0.001001,3.582027,0.156846,3.739874,13291.170093,3.749665
129,0.002158,3.363567,0.135316,3.501041,13291.173617,3.524170
130,0.000981,3.327571,0.074906,3.403458,13291.177031,3.413712
131,0.000864,3.325758,0.142304,3.468926,13291.180510,3.478911
132,0.000908,3.331308,0.068104,3.400320,13291.183920,3.409981
133,0.000935,3.410413,0.141312,3.552660,13291.187482,3.562563
134,0.000949,3.336973,0.066282,3.404204,13291.190896,3.414251
135,0.000872,3.333875,0.143140,3.477887,13291.194384,3.487565
136,0.001028,3.319710,0.132760,3.453498,13291.197847,3.463053
137,0.001385,3.321320,0.136286,3.458991,13291.201316,3.468615
138,0.000956,3.336767,0.138571,3.476294,13291.204802,3.486297
139,0.000896,3.318866,0.139799,3.459561,13291.208271,3.469295
140,0.000864,3.329998,0.138193,3.469055,13291.211750,3.479017
141,0.000907,3.325866,0.138791,3.465564,13291.215226,3.475225
142,0.000894,3.312844,0.141590,3.455328,13291.218691,3.465195
143,0.001214,3.341179,0.144639,3.487032,13291.222187,3.496497
144,0.001013,3.323604,0.135968,3.460585,13291.225658,3.470287
145,0.000840,3.313632,0.106895,3.421367,13291.229089,3.431044
146,0.001022,3.320467,0.138728,3.460217,13291.232559,3.470036
147,0.001311,3.319581,0.067434,3.388326,13291.235957,3.398025
148,0.000856,3.318234,0.138116,3.457206,13291.239424,3.466932
149,0.000891,3.332442,0.132916,3.466249,13291.242902,3.478679
150,0.000996,3.319122,0.098117,3.418235,13291.246330,3.427937
151,0.000947,3.360651,0.143273,3.504871,13291.249844,3.514215
152,0.001113,3.331670,0.132037,3.464820,13291.253319,3.474527
153,0.000947,3.356251,0.137041,3.494239,13291.256823,3.504180
154,0.001035,3.320275,0.136225,3.457535,13291.260290,3.467099
155,0.000896,3.318932,0.138298,3.458126,13291.263758,3.467748
156,0.000988,3.340103,0.141165,3.482256,13291.267250,3.491979
157,0.000939,3.494449,0.172721,3.668109,13291.270928,3.677782
158,0.002174,3.385852,0.146019,3.534045,13291.274479,3.551625
159,0.000908,3.335482,0.097442,3.433832,13291.277923,3.444060
160,0.000967,3.339363,0.141543,3.481873,13291.281415,3.491723
161,0.000930,3.321786,0.130701,3.453417,13291.284878,3.463286
162,0.000929,3.341397,0.138166,3.480492,13291.288369,3.490113
163,0.000947,3.316017,0.140020,3.456984,13291.291835,3.466950
164,0.000891,3.379455,0.136310,3.516656,13291.295362,3.526671
165,0.000709,3.361377,0.133212,3.495298,13291.298867,3.505182
166,0.000717,3.325789,0.141238,3.467744,13291.302345,3.477406
167,0.000724,3.319433,0.234644,3.554801,13291.305909,3.564548
168,0.000696,3.352798,0.140786,3.494280,13291.309413,3.504065
169,0.000792,3.311824,0.133874,3.446490,13291.312869,3.456113
170,0.000792,3.382422,0.137695,3.520909,13291.316400,3.530484
171,0.000889,3.341391,0.128230,3.470510,13291.319880,3.480087
172,0.000758,3.399062,0.134850,3.534670,13291.323424,3.544341
173,0.000702,3.283576,0.133186,3.417464,13291.326854,3.429150
174,0.000811,3.332045,0.133193,3.466049,13291.330329,3.475458
175,0.000841,3.303243,0.105982,3.410066,13291.333748,3.419338
176,0.000777,3.284530,0.137811,3.423118,13291.337181,3.432635
177,0.000708,3.301613,0.135712,3.438033,13291.340629,3.447617
178,0.000888,3.268654,0.062607,3.332149,13291.343970,3.341638
179,0.000751,3.394025,0.139882,3.534658,13291.347514,3.544191
