FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001183,3.619036,0.522766,4.142985,10687.007967,N/A
1,0.002015,3.641047,0.555955,4.199017,10687.012185,4.217797
2,0.000985,3.579607,0.537919,4.118511,10687.016316,4.130923
3,0.001114,3.569284,0.632009,4.202407,10687.020531,4.214948
4,0.001665,3.598295,0.518676,4.118636,10687.024668,4.137370
5,0.001174,3.573833,0.586064,4.161071,10687.028842,4.174143
6,0.001191,3.558321,0.555061,4.114573,10687.032971,4.128684
7,0.001772,3.586376,0.614487,4.202635,10687.037192,4.221072
8,0.001419,3.578572,0.529687,4.109678,10687.041321,4.128569
9,0.001018,3.678729,0.514206,4.193953,10687.045527,4.206565
10,0.003482,3.649614,0.444710,4.097806,10687.049650,4.123190
11,0.001653,3.580999,0.558221,4.140873,10687.053810,4.159393
12,0.001767,3.561327,0.636197,4.199291,10687.058027,4.216972
13,0.001685,3.579366,0.554378,4.135429,10687.062180,4.153500
14,0.000973,3.575334,0.572509,4.148816,10687.066342,4.161584
15,0.001205,3.583848,0.617596,4.202649,10687.070557,4.215053
16,0.001004,3.565117,0.532966,4.099087,10687.074669,4.111720
17,0.001083,3.610404,0.506813,4.118300,10687.078800,4.131362
18,0.001991,3.568272,0.788322,4.358585,10687.083177,4.376874
19,0.001012,3.602711,0.403604,4.007327,10687.087197,4.019770
20,0.000971,3.537848,0.545008,4.083827,10687.091293,4.096092
21,0.002089,3.585474,0.603831,4.191394,10687.095503,4.209857
22,0.001379,3.565084,0.581345,4.147808,10687.099669,4.166278
23,0.001840,3.540132,0.648737,4.190709,10687.103877,4.207950
24,0.001726,3.537002,0.560721,4.099449,10687.107994,4.117536
25,0.001758,3.588657,0.614611,4.205026,10687.112226,4.231189
26,0.000972,3.545410,0.605869,4.152251,10687.116390,4.164399
27,0.000985,3.576609,0.520871,4.098465,10687.120502,4.112240
28,0.000929,3.461228,0.765273,4.227430,10687.124742,4.239593
29,0.000915,3.467276,0.877474,4.345665,10687.129100,4.357846
30,0.000928,3.503403,0.345159,3.849490,10687.132961,3.861615
31,0.001675,3.501743,0.721261,4.224679,10687.137202,4.241079
32,0.001029,3.513835,0.677417,4.192281,10687.141407,4.204564
33,0.000853,3.548576,0.563782,4.113211,10687.145532,4.125615
34,0.003064,5.586807,0.195332,5.785203,10687.151340,5.807682
35,0.002033,4.092524,0.172295,4.266852,10687.155623,4.282830
36,0.001343,3.507154,0.173633,3.682130,10687.159318,3.695396
37,0.000966,3.523218,0.082523,3.606707,10687.162936,3.617253
38,0.001383,3.495745,0.147675,3.644803,10687.166595,3.659765
39,0.001065,3.537609,0.383101,3.921775,10687.170527,3.931964
40,0.001205,3.532307,0.580905,4.114417,10687.174652,4.124961
41,0.001030,3.529081,0.659993,4.190104,10687.178854,4.201689
42,0.001107,3.536195,0.645257,4.182559,10687.183047,4.193206
43,0.000953,3.443976,0.678906,4.123835,10687.187182,4.134934
44,0.000968,3.438170,0.708103,4.147241,10687.191342,4.159617
45,0.000922,3.487639,0.667482,4.156043,10687.195510,4.168195
46,0.000929,3.547566,0.676769,4.225264,10687.199761,4.251138
47,0.000986,12.521818,0.112318,12.635122,10687.212408,12.647239
48,0.001112,3.423180,0.435624,3.859916,10687.216279,3.870934
49,0.000982,3.391530,0.858211,4.250723,10687.220543,4.263567
50,0.001011,3.399757,0.744025,4.144793,10687.224700,4.157498
51,0.000970,3.379321,0.830510,4.210801,10687.228924,4.223255
52,0.000939,3.397610,0.730491,4.129040,10687.233065,4.141497
53,0.001090,3.379507,0.746672,4.127269,10687.237204,4.139097
54,0.000904,3.386656,0.799708,4.187268,10687.241404,4.199869
55,0.000992,3.418399,0.622652,4.042043,10687.245459,4.054624
56,0.000913,3.590381,0.674264,4.265558,10687.249737,4.278424
57,0.001825,3.464045,0.693371,4.159241,10687.253915,4.178372
58,0.000945,3.392189,0.756100,4.149234,10687.258076,4.160794
59,0.000985,3.395473,0.691161,4.087619,10687.262175,4.098498
60,0.000930,3.399669,0.792624,4.193223,10687.266381,4.205826
61,0.000956,3.389790,0.591728,3.982474,10687.270375,3.994898
62,0.000845,3.391342,0.750776,4.142963,10687.274531,4.155484
63,0.000891,3.386459,0.983663,4.371013,10687.278914,4.383339
64,0.000930,3.386696,0.772127,4.159753,10687.283086,4.172125
65,0.001046,3.388857,0.719806,4.109709,10687.287210,4.123369
66,0.000997,3.389871,0.803167,4.194035,10687.291416,4.206572
67,0.000983,3.397042,0.747140,4.145165,10687.295574,4.157542
68,0.000994,3.383594,0.778197,4.162785,10687.299749,4.175218
69,0.000877,3.368476,0.786857,4.156210,10687.303918,4.168858
70,0.000911,3.396534,0.766144,4.163589,10687.308094,4.175961
71,0.000903,3.390573,0.600236,3.991712,10687.312098,4.004083
72,0.000939,3.316500,1.004951,4.322390,10687.316433,4.334567
73,0.000845,3.312839,0.615387,3.929071,10687.320374,3.941357
74,0.000936,3.311560,1.060566,4.373062,10687.324759,4.385242
75,0.000868,3.285945,0.862144,4.148957,10687.328920,4.161257
76,0.000891,3.398685,0.765377,4.164953,10687.333098,4.177239
77,0.000948,3.314312,0.771090,4.086350,10687.337199,4.100986
78,0.000898,3.310104,0.887937,4.198939,10687.341410,4.211194
79,0.000934,3.376138,0.790954,4.168026,10687.345590,4.180183
80,0.000826,3.567253,0.564089,4.132168,10687.349735,4.144450
81,0.001982,3.417318,0.760775,4.180075,10687.353935,4.200500
82,0.001080,3.374674,0.777346,4.153100,10687.358100,4.165380
83,0.000946,3.320136,0.764755,4.085837,10687.362198,4.097968
84,0.000898,3.362015,0.862678,4.225591,10687.366436,4.237841
85,0.000913,3.319998,0.825977,4.146888,10687.370595,4.159170
86,0.000861,3.304983,0.847314,4.153158,10687.374761,4.165302
87,0.000907,3.320931,0.840718,4.162556,10687.378936,4.175093
88,0.001049,3.351916,0.804529,4.157494,10687.383107,4.171610
89,0.000905,3.348987,0.738771,4.088663,10687.387208,4.100877
90,0.001096,3.322593,0.888258,4.211947,10687.391432,4.224105
91,0.000973,3.315748,0.612999,3.929720,10687.395374,3.941998
92,0.000934,3.318370,1.058942,4.378246,10687.399765,4.390347
93,0.000977,3.289988,0.861807,4.152772,10687.403931,4.166630
94,0.000908,3.313205,0.837734,4.151847,10687.408096,4.164222
95,0.000989,3.319915,0.822457,4.143361,10687.412251,4.155472
96,0.000890,3.266058,0.932613,4.199561,10687.416463,4.211576
97,0.000891,3.272050,0.662032,3.934973,10687.420409,3.946856
98,0.000934,3.239872,1.114295,4.355101,10687.424777,4.367095
99,0.000932,3.205768,0.974864,4.181564,10687.428970,4.193501
100,0.000992,3.331097,0.566224,3.898313,10687.432881,3.910882
101,0.000869,3.281645,1.065485,4.347999,10687.437241,4.359887
102,0.000762,3.243643,0.964550,4.208955,10687.441462,4.220966
103,0.000935,3.237549,0.815570,4.054054,10687.445528,4.065996
104,0.000901,3.597293,0.551120,4.149314,10687.449689,4.161166
105,0.003881,3.362190,0.905417,4.271488,10687.453988,4.299317
106,0.000985,3.243949,0.870983,4.115917,10687.458122,4.133754
107,0.001097,3.243608,0.879200,4.123905,10687.462258,4.136382
108,0.000918,3.268220,0.930285,4.199423,10687.466470,4.211653
109,0.000990,3.235094,0.692565,3.928649,10687.470414,3.944113
110,0.000859,3.239151,1.139843,4.379853,10687.474806,4.391680
111,0.000972,3.246213,0.923368,4.170553,10687.478988,4.182517
112,0.001009,3.316873,0.799570,4.117452,10687.483123,4.134764
113,0.000903,3.248149,0.905746,4.154798,10687.487290,4.166829
114,0.001006,3.257356,0.910133,4.168495,10687.491470,4.180452
115,0.000944,3.269583,0.665113,3.935640,10687.495418,3.947493
116,0.000934,3.304931,0.847079,4.152944,10687.499583,4.164851
117,0.000872,3.239034,1.135111,4.375017,10687.503970,4.386933
118,0.000900,3.264196,0.892702,4.157798,10687.508140,4.170196
119,0.000928,3.238537,0.905667,4.145132,10687.512297,4.157018
120,0.000858,3.293058,0.873239,4.167155,10687.516476,4.179104
121,0.000897,3.237500,0.696840,3.935237,10687.520423,3.947356
122,0.001051,3.269950,1.103500,4.374501,10687.524810,4.386400
123,0.000974,3.220760,0.932580,4.154314,10687.528976,4.166177
124,0.000964,3.295035,0.851696,4.147695,10687.533136,4.159656
125,0.000850,3.268488,0.824703,4.094041,10687.537242,4.106140
126,0.000898,3.239013,0.985327,4.225238,10687.541479,4.237241
127,0.000924,3.238774,0.691253,3.930951,10687.545422,3.942855
128,0.001208,3.461030,0.803266,4.265504,10687.549699,4.277562
129,0.002955,3.433101,0.828978,4.265034,10687.553998,4.298569
130,0.001274,3.307153,0.802101,4.110528,10687.558128,4.129936
131,0.001153,3.244001,0.915990,4.161144,10687.562301,4.173331
132,0.000927,3.317613,0.754031,4.072571,10687.566386,4.084690
133,0.000875,3.240052,0.922274,4.163201,10687.570561,4.174979
134,0.000846,3.236750,0.785437,4.023033,10687.574596,4.035015
135,0.000888,3.233907,1.143477,4.378272,10687.578986,4.390412
136,0.001449,3.303589,0.822016,4.127054,10687.583132,4.146102
137,0.000799,3.236249,0.914051,4.151099,10687.587296,4.163135
138,0.000935,3.235990,0.939549,4.176474,10687.591484,4.188383
139,0.000908,3.281336,0.626263,3.908507,10687.595404,3.920298
140,0.001234,3.311602,0.870984,4.183820,10687.599600,4.195775
141,0.000838,3.238612,1.140434,4.379884,10687.603992,4.391914
