FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.000962,3.462361,0.655932,4.119255,7689.361267,N/A
1,0.000764,3.488256,0.670662,4.159682,7689.365441,4.173811
2,0.000742,4.527566,0.172517,4.700825,7689.370154,4.713412
3,0.001948,3.551614,0.158212,3.711774,7689.373883,3.728402
4,0.000808,3.463797,0.584122,4.048727,7689.377943,4.060004
5,0.001147,3.425185,0.782563,4.208895,7689.382165,4.221998
6,0.000821,3.453528,0.644227,4.098576,7689.386276,4.111113
7,0.000785,3.454167,0.701026,4.155978,7689.390444,4.168354
8,0.000780,3.453276,0.775399,4.229455,7689.394686,4.241950
9,0.000830,3.495040,0.589005,4.084875,7689.398784,4.097986
10,0.000825,3.437490,0.773051,4.211366,7689.403008,4.224038
11,0.000824,3.450191,0.707276,4.158291,7689.407183,4.174631
12,0.000797,3.471425,0.606440,4.078662,7689.411274,4.091034
13,0.000814,3.466017,0.690911,4.157742,7689.415444,4.170212
14,0.000804,3.464948,0.762849,4.228601,7689.419685,4.240997
15,0.000805,3.406747,0.742518,4.150070,7689.423848,4.162679
16,0.000839,3.406748,0.756150,4.163737,7689.428024,4.176111
17,0.000894,3.442026,0.670788,4.113708,7689.432151,4.127077
18,0.000797,3.446976,0.672908,4.120681,7689.436284,4.133214
19,0.000732,3.483843,0.670857,4.155432,7689.440452,4.168112
20,0.000708,3.473340,0.740241,4.214289,7689.444679,4.226860
21,0.000751,3.430105,0.729458,4.160314,7689.448852,4.172942
22,0.000755,3.422088,0.729157,4.152000,7689.453017,4.164747
23,0.000781,3.443826,0.695599,4.140206,7689.457169,4.152662
24,0.001211,3.438778,0.661184,4.101173,7689.461283,4.113597
25,0.000748,3.472650,0.675273,4.148671,7689.465445,4.162127
26,0.000713,3.498516,0.666219,4.165448,7689.469623,4.178013
27,0.001064,3.656915,3.519618,7.177597,7689.476819,7.195857
28,0.002325,3.855328,0.178424,4.036077,7689.480881,4.062102
29,0.001036,3.446883,0.149393,3.597312,7689.484494,3.612967
30,0.000722,3.493658,0.126731,3.621111,7689.488126,3.632021
31,0.000797,3.509847,0.159226,3.669870,7689.491807,3.680841
32,0.000949,3.447805,0.150175,3.598929,7689.495417,3.609891
33,0.000739,3.399509,0.104671,3.504919,7689.498932,3.515668
34,0.000745,3.388396,0.585417,3.974558,7689.502917,3.984592
35,0.000831,3.357868,1.155667,4.514366,7689.507441,4.524500
36,0.000738,3.502647,0.335221,3.838606,7689.511292,3.850932
37,0.000762,3.491687,0.662175,4.154624,7689.515459,4.166922
38,0.000962,3.498098,0.714439,4.213499,7689.519685,4.225762
39,0.000729,3.446964,0.879776,4.327469,7689.524025,4.339835
40,0.000807,3.497592,0.414528,3.912927,7689.527950,3.925161
41,0.000777,3.503544,0.716983,4.221304,7689.532184,4.234188
42,0.000757,3.499715,0.639055,4.139527,7689.536336,4.151815
43,0.000886,3.493001,0.627464,4.121351,7689.540470,4.133675
44,0.000820,3.485543,0.714658,4.201021,7689.544683,4.213376
45,0.000764,3.505102,0.617148,4.123014,7689.548818,4.135275
46,0.000820,3.455421,0.741762,4.198003,7689.553029,4.210226
47,0.000806,10.975807,0.344976,11.321589,7689.564362,11.333879
48,0.000859,3.371925,0.148085,3.520869,7689.567894,3.531548
49,0.000751,3.531953,2.300334,5.833038,7689.573737,5.843407
50,0.001920,3.530332,0.679326,4.211578,7689.577975,4.237325
51,0.000855,3.512959,0.599885,4.113699,7689.582101,4.126646
52,0.000738,3.493062,0.550846,4.044646,7689.586158,4.056842
53,0.000778,3.481912,0.807441,4.290131,7689.590461,4.303059
54,0.000789,3.482735,0.698749,4.182273,7689.594656,4.194486
55,0.000723,3.467340,0.671402,4.139465,7689.598807,4.151555
56,0.000841,3.462994,0.698495,4.162330,7689.602982,4.174605
57,0.000773,3.494068,0.635773,4.130614,7689.607125,4.142770
58,0.001064,3.488339,0.678437,4.167840,7689.611305,4.179995
59,0.000738,3.499983,0.581658,4.082379,7689.615399,4.094344
60,0.000790,3.490672,0.741399,4.232861,7689.619644,4.244815
61,0.000715,3.495161,0.658543,4.154419,7689.623810,4.166433
62,0.000817,3.497319,0.675102,4.173238,7689.627996,4.185308
63,0.000822,3.486106,0.619293,4.106221,7689.632119,4.123743
64,0.000838,3.494020,0.679470,4.174328,7689.636306,4.186624
65,0.000765,3.503885,0.482318,3.986968,7689.640306,3.999733
66,0.000745,3.489661,0.845878,4.336284,7689.644654,4.348314
67,0.000831,3.524767,0.587623,4.113221,7689.648779,4.125371
68,0.000738,3.496388,0.688780,4.185906,7689.652977,4.198056
69,0.000740,3.491246,0.656422,4.148408,7689.657138,4.160742
70,0.000704,3.497086,0.678963,4.176753,7689.661327,4.189009
71,0.000868,3.477312,0.620028,4.098208,7689.665438,4.110451
72,0.000802,3.494412,0.703880,4.199094,7689.669649,4.211288
73,0.000749,4.494024,0.207610,4.702383,7689.674363,4.714431
74,0.001880,3.532419,0.087878,3.622177,7689.678004,3.640791
75,0.000882,3.464423,0.674703,4.140008,7689.682155,4.150973
76,0.000718,3.485195,0.672911,4.158824,7689.686326,4.171007
77,0.000821,3.480762,0.508180,3.989763,7689.690331,4.004860
78,0.000782,3.504479,0.810397,4.315658,7689.694659,4.327725
79,0.000802,3.493472,0.660361,4.154635,7689.698826,4.166831
80,0.000847,3.464244,0.683876,4.148967,7689.702987,4.161141
81,0.000753,3.494668,0.646901,4.142322,7689.707141,4.154417
82,0.000791,3.487083,0.682680,4.170554,7689.711324,4.182912
83,0.000843,3.476080,0.639726,4.116649,7689.715453,4.128768
84,0.000761,3.493533,0.697520,4.191814,7689.719657,4.203933
85,0.000808,3.464758,0.690565,4.156131,7689.723825,4.168223
86,0.000833,3.449883,0.709203,4.159919,7689.727997,4.171886
87,0.000757,3.474120,0.651639,4.126516,7689.732140,4.143511
88,0.001178,3.475349,0.696199,4.172726,7689.736325,4.184751
89,0.000748,3.427974,0.607127,4.035849,7689.740373,4.047619
90,0.000769,3.431635,0.843285,4.275689,7689.744660,4.287636
91,0.000754,3.469752,0.691264,4.161770,7689.748834,4.173671
92,0.000712,3.488118,0.664698,4.153528,7689.752999,4.165349
93,0.000714,3.439171,0.680507,4.120392,7689.757139,4.139923
94,0.000771,3.418462,0.767831,4.187064,7689.761338,4.198974
95,0.000772,3.440476,0.582828,4.024076,7689.765374,4.035855
96,0.001036,3.479401,0.810201,4.290638,7689.769677,4.302369
97,0.000796,3.489215,0.632734,4.122745,7689.773811,4.134587
98,0.003048,3.550888,0.566515,4.120451,7689.777956,4.145128
99,0.001210,3.398804,0.796820,4.196834,7689.782169,4.213096
100,0.000750,3.469782,0.699667,4.170199,7689.786351,4.182144
101,0.000705,3.466982,0.602773,4.070460,7689.790434,4.082319
102,0.000792,3.418732,0.805679,4.225203,7689.794671,4.237011
103,0.000796,3.508840,0.631357,4.140993,7689.798824,4.152879
104,0.000714,3.474800,0.703474,4.178988,7689.803015,4.190836
105,0.000727,3.451309,0.666390,4.118426,7689.807145,4.130188
106,0.000734,3.428464,0.745277,4.174475,7689.811331,4.186326
107,0.000798,3.469820,0.647410,4.118028,7689.815461,4.129876
108,0.000724,3.472664,0.726993,4.200381,7689.819673,4.212118
109,0.000738,3.407737,0.747052,4.155527,7689.823843,4.170022
110,0.000813,3.399191,0.772578,4.172582,7689.828027,4.184429
111,0.000800,3.454626,0.709879,4.165305,7689.832205,4.177295
112,0.000798,3.488156,0.615890,4.104844,7689.836321,4.116727
113,0.000753,3.467564,0.687302,4.155619,7689.840489,4.167486
114,0.000888,3.417112,0.761165,4.179165,7689.844680,4.191024
115,0.000774,3.426441,0.708790,4.136005,7689.848828,4.147727
116,0.000757,3.395818,0.822041,4.218616,7689.853058,4.230472
117,0.000728,3.424779,0.655932,4.081439,7689.857151,4.093234
118,0.000727,3.420077,0.763116,4.183920,7689.861347,4.195865
119,0.000721,3.432556,0.590843,4.024120,7689.865383,4.035839
