FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001244,3.380670,0.093152,3.475066,13343.386922,N/A
1,0.000908,3.366780,0.139400,3.507088,13343.390440,3.518721
2,0.000886,3.365547,0.095302,3.461735,13343.393913,3.472563
3,0.000940,3.389248,0.130246,3.520434,13343.397444,3.530792
4,0.000927,3.371775,0.092609,3.465311,13343.400919,3.475349
5,0.000886,3.377632,0.142046,3.520564,13343.404450,3.531029
6,0.000965,3.401561,0.068907,3.471433,13343.407931,3.481257
7,0.000980,3.347815,0.142917,3.491712,13343.411433,3.501650
8,0.001014,3.383357,0.105536,3.489907,13343.414933,3.499660
9,0.000854,3.380589,0.157586,3.539029,13343.418482,3.549229
10,0.000869,3.492406,0.219343,3.712618,13343.422205,3.722775
11,0.003316,3.584265,0.123335,3.710916,13343.425939,3.734836
12,0.001391,3.425902,0.142395,3.569688,13343.429524,3.584184
13,0.000868,3.382277,0.070507,3.453652,13343.432988,3.464332
14,0.001000,3.371665,0.141266,3.513931,13343.436512,3.524172
15,0.000860,3.386679,0.067988,3.455527,13343.439977,3.465190
16,0.000934,3.464864,0.166259,3.632057,13343.443619,3.641998
17,0.001017,3.443855,0.145259,3.590131,13343.447221,3.601427
18,0.000966,3.379612,0.134073,3.514651,13343.450746,3.524984
19,0.000891,3.395318,0.139306,3.535515,13343.454291,3.545529
20,0.000944,3.380627,0.141672,3.523243,13343.457825,3.533283
21,0.000877,3.394968,0.140451,3.536296,13343.461371,3.546178
22,0.000920,3.379326,0.133442,3.513688,13343.464894,3.523451
23,0.000863,3.384130,0.140966,3.525959,13343.468430,3.535753
24,0.000923,3.410800,0.069306,3.481029,13343.471921,3.490732
25,0.000878,3.386252,0.142529,3.529659,13343.475461,3.540144
26,0.001048,3.374790,0.068742,3.444580,13343.478915,3.454446
27,0.000821,3.395213,0.138157,3.534191,13343.482459,3.543880
28,0.000903,3.347724,0.100093,3.448720,13343.485918,3.458522
29,0.000878,3.357889,0.138373,3.497140,13343.489424,3.506828
30,0.000884,3.396800,0.069716,3.467400,13343.492902,3.477288
31,0.000827,3.378801,0.138744,3.518372,13343.496430,3.528459
32,0.000864,3.381406,0.100633,3.482903,13343.499923,3.492714
33,0.000865,3.381036,0.140166,3.522067,13343.503455,3.532191
34,0.000846,3.366171,0.070582,3.437599,13343.506902,3.447342
35,0.000896,3.387310,0.135419,3.523625,13343.510436,3.533502
36,0.001013,3.380440,0.097491,3.478944,13343.513925,3.488925
37,0.000950,3.385897,0.139048,3.525895,13343.517461,3.535736
38,0.000912,3.368538,0.069790,3.439240,13343.520910,3.449101
39,0.000892,3.554663,0.186113,3.741668,13343.524661,3.751424
40,0.001997,3.421234,0.144222,3.567453,13343.528244,3.582997
41,0.000953,3.374408,0.140042,3.515403,13343.531771,3.526751
42,0.001069,3.375180,0.156111,3.532360,13343.535313,3.542148
43,0.000897,3.373188,0.140039,3.514124,13343.538837,3.524472
44,0.000966,3.385367,0.137909,3.524242,13343.542372,3.534482
45,0.000927,3.368631,0.101678,3.471236,13343.545853,3.481018
46,0.000894,3.378023,0.142871,3.521788,13343.549384,3.531393
47,0.000943,3.375478,0.128947,3.505368,13343.552900,3.515502
48,0.000843,3.380143,0.137723,3.518709,13343.556428,3.528540
49,0.001104,3.372958,0.100038,3.474100,13343.559912,3.483842
50,0.000753,3.371905,0.141522,3.514180,13343.563436,3.524074
51,0.000829,3.374838,0.094308,3.469975,13343.566916,3.479756
52,0.000883,3.413789,0.138848,3.553520,13343.570479,3.563255
53,0.000875,3.376337,0.072128,3.449340,13343.573940,3.460238
54,0.000965,3.385777,0.137559,3.524301,13343.577474,3.534180
55,0.001144,3.426656,0.068096,3.495896,13343.580980,3.505806
56,0.000918,3.381629,0.141723,3.524270,13343.584513,3.533901
57,0.000899,3.374137,0.068373,3.443409,13343.587967,3.453143
58,0.000899,3.377589,0.140465,3.518953,13343.591495,3.528828
59,0.000869,3.380198,0.068178,3.449245,13343.594954,3.458937
60,0.001273,3.517770,0.145426,3.664469,13343.598629,3.674172
61,0.001045,3.502311,0.153798,3.657154,13343.602297,3.667960
62,0.001144,3.433246,0.073359,3.507749,13343.605815,3.518557
63,0.000949,3.436154,0.137716,3.574819,13343.609400,3.585103
64,0.000978,10.870531,0.136292,11.007801,13343.620418,11.017766
65,0.000852,3.446564,0.082456,3.529872,13343.623960,3.542227
66,0.001349,3.612055,0.190260,3.803664,13343.627776,3.816157
67,0.001554,3.493753,0.140446,3.635753,13343.631431,3.654580
68,0.001042,3.436968,0.067550,3.505560,13343.634947,3.515907
69,0.000841,3.448264,0.143756,3.592861,13343.638550,3.602744
70,0.000885,3.429889,0.110068,3.540842,13343.642100,3.550649
71,0.000908,3.434209,0.104966,3.540083,13343.645650,3.549968
72,0.000906,3.431228,0.137945,3.570079,13343.649230,3.579948
73,0.000914,3.443997,0.139824,3.584735,13343.652825,3.594479
74,0.000979,3.474065,0.143421,3.618465,13343.656453,3.627958
75,0.000802,3.436513,0.067250,3.504565,13343.659967,3.514402
76,0.001249,3.438634,0.140518,3.580401,13343.663557,3.590124
77,0.000868,3.441161,0.148956,3.590985,13343.667160,3.603391
78,0.001123,3.437842,0.107316,3.546281,13343.670717,3.556488
79,0.001016,3.441998,0.138541,3.581555,13343.674308,3.591181
80,0.000973,3.436108,0.130356,3.567437,13343.677885,3.577218
81,0.000803,3.441196,0.134410,3.576409,13343.681471,3.585989
82,0.000843,3.433620,0.065607,3.500070,13343.684981,3.509779
83,0.000859,3.433481,0.138248,3.572588,13343.688563,3.582222
84,0.000956,3.436142,0.148255,3.585353,13343.692159,3.595163
85,0.000857,3.430246,0.068557,3.499660,13343.695668,3.509350
86,0.000929,3.412672,0.136795,3.550396,13343.699228,3.560334
87,0.000936,3.460927,0.142680,3.604543,13343.702842,3.614185
88,0.000985,3.443345,0.135967,3.580297,13343.706432,3.589965
89,0.000944,3.443308,0.066990,3.511242,13343.709953,3.521081
90,0.000755,3.386893,0.138650,3.526298,13343.713489,3.535873
91,0.000783,3.379864,0.065292,3.445939,13343.716945,3.455544
92,0.000902,3.387480,0.137757,3.526139,13343.720481,3.535842
93,0.000854,3.375387,0.066391,3.442632,13343.723934,3.453424
94,0.000937,3.737463,0.181609,3.920009,13343.727864,3.929440
95,0.001863,3.523432,0.139091,3.664386,13343.731546,3.682224
96,0.000918,3.419876,0.126133,3.546927,13343.735102,3.556535
97,0.000835,3.383981,0.135945,3.520761,13343.738633,3.530623
98,0.000826,3.391604,0.134642,3.527072,13343.742170,3.536666
99,0.000892,3.414762,0.065234,3.480888,13343.745660,3.490560
100,0.000941,3.422079,0.134527,3.557547,13343.749227,3.567152
101,0.000872,3.405336,0.151057,3.557265,13343.752794,3.566917
102,0.000916,3.413490,0.136782,3.551188,13343.756355,3.560638
103,0.000934,3.376990,0.136668,3.514592,13343.759879,3.524491
104,0.000911,3.450773,0.142544,3.594228,13343.763483,3.603827
105,0.000829,3.403489,0.066188,3.470506,13343.766963,3.480046
106,0.001164,3.380246,0.147787,3.529197,13343.770502,3.538653
107,0.000838,3.376918,0.066116,3.443872,13343.773955,3.453547
108,0.000858,3.383324,0.137626,3.521808,13343.777487,3.531064
109,0.001280,3.472957,0.074969,3.549206,13343.781048,3.561525
110,0.000871,3.428894,0.150160,3.579925,13343.784638,3.589500
111,0.001033,3.440204,0.141613,3.582850,13343.788231,3.593314
112,0.001016,3.426252,0.141911,3.569179,13343.791810,3.579568
113,0.001026,3.379280,0.142372,3.522678,13343.795344,3.533162
114,0.000914,3.371552,0.139778,3.512244,13343.798866,3.522498
115,0.000852,3.414452,0.138987,3.554291,13343.802430,3.564121
116,0.000967,3.426474,0.067286,3.494727,13343.805934,3.504298
117,0.000977,3.382357,0.145801,3.529135,13343.809473,3.538712
118,0.001078,3.384223,0.065789,3.451090,13343.812934,3.461080
119,0.000966,3.396078,0.136021,3.533065,13343.816477,3.542913
120,0.001009,3.378917,0.066591,3.446517,13343.819934,3.456530
121,0.000932,3.377684,0.185482,3.564098,13343.823507,3.573433
122,0.000982,3.469226,0.289463,3.759671,13343.827276,3.769134
123,0.002837,5.469680,0.170234,5.642751,13343.832938,5.661669
124,0.002241,3.474822,0.141165,3.618228,13343.836578,3.639544
125,0.000806,3.316854,0.068182,3.385842,13343.839974,3.396379
126,0.001037,3.314698,0.135468,3.451203,13343.843435,3.461083
127,0.000859,3.352533,0.106349,3.459741,13343.846904,3.469403
128,0.000972,3.362016,0.137655,3.500643,13343.850415,3.510202
129,0.000891,3.328144,0.131535,3.460570,13343.853888,3.473744
130,0.000903,3.410853,0.143570,3.555326,13343.857453,3.565163
131,0.000839,3.310362,0.130923,3.442124,13343.860905,3.451881
132,0.000974,3.398940,0.137865,3.537779,13343.864453,3.547288
133,0.000961,3.316651,0.111250,3.428862,13343.867891,3.438818
134,0.000882,3.378767,0.136071,3.515720,13343.871417,3.525397
135,0.000872,3.339268,0.129126,3.469266,13343.874896,3.478943
136,0.000954,3.353654,0.139548,3.494156,13343.878400,3.503812
137,0.000839,3.373030,0.127246,3.501115,13343.881910,3.510724
138,0.000962,3.381924,0.139670,3.522556,13343.885443,3.532359
139,0.000919,3.305005,0.128700,3.434624,13343.888887,3.444245
140,0.000966,3.409514,0.139129,3.549609,13343.892446,3.559155
141,0.000780,3.376286,0.067265,3.444331,13343.895900,3.453691
142,0.000929,3.370178,0.135990,3.507097,13343.899416,3.516610
143,0.000920,3.362117,0.105557,3.468594,13343.902895,3.478225
144,0.000869,3.345915,0.135652,3.482436,13343.906387,3.492116
145,0.001253,3.299626,0.138728,3.439607,13343.909836,3.449502
146,0.000778,3.380569,0.138562,3.519909,13343.913366,3.529460
147,0.000920,3.306311,0.134608,3.441839,13343.916817,3.451721
148,0.000877,3.323838,0.138937,3.463652,13343.920291,3.473422
149,0.000953,3.355880,0.147227,3.504060,13343.923807,3.516504
150,0.000905,3.600912,0.193335,3.795152,13343.927612,3.804961
151,0.002695,4.270603,0.144144,4.417442,13343.932051,4.438428
152,0.001366,3.355871,0.139334,3.496571,13343.935564,3.513275
153,0.000897,3.316231,0.070823,3.387951,13343.938962,3.398328
154,0.000840,3.311103,0.139312,3.451255,13343.942423,3.461022
155,0.000889,3.305404,0.102063,3.408356,13343.945841,3.417941
156,0.000966,3.351564,0.139092,3.491622,13343.949342,3.501114
157,0.000901,3.376936,0.134635,3.512472,13343.952865,3.522155
158,0.000855,3.394179,0.133039,3.528073,13343.956402,3.537600
159,0.000861,3.308444,0.147687,3.456992,13343.959869,3.466444
160,0.000909,3.386271,0.163735,3.550915,13343.963429,3.560455
161,0.000823,3.342398,0.102964,3.446185,13343.966885,3.455822
162,0.000877,3.336705,0.138607,3.476189,13343.970370,3.485545
163,0.000815,3.311200,0.142507,3.454522,13343.973835,3.464192
164,0.000933,3.363359,0.136885,3.501177,13343.977345,3.510710
165,0.000691,3.343756,0.136811,3.481258,13343.980836,3.490803
166,0.000663,3.311224,0.135284,3.447171,13343.984293,3.456673
167,0.000686,3.346102,0.137246,3.484034,13343.987786,3.493620
168,0.000781,3.294323,0.133786,3.428890,13343.991225,3.438366
169,0.000783,3.365003,0.139964,3.505750,13343.994740,3.515332
170,0.000730,3.417087,0.135901,3.553718,13343.998304,3.563774
171,0.000703,3.340675,0.133125,3.474503,13344.001788,3.483930
172,0.000759,3.372373,0.135768,3.508900,13344.005306,3.518627
173,0.000829,3.355266,0.136589,3.492684,13344.008811,3.504553
174,0.000794,3.334803,0.136648,3.472245,13344.012293,3.482168
175,0.000790,3.330103,0.136204,3.467097,13344.015770,3.476551
176,0.000680,3.372319,0.138338,3.511337,13344.019290,3.520631
177,0.000710,3.344197,0.134709,3.479616,13344.022779,3.489116
178,0.000772,3.298965,0.145788,3.445525,13344.026235,3.455030
179,0.000787,3.622474,0.126516,3.749777,13344.029994,3.759096
180,0.002659,3.439582,0.144770,3.587011,13344.033607,3.613009
181,0.001257,3.314374,0.072789,3.388420,13344.037005,3.398827
182,0.000914,3.371111,0.140991,3.513016,13344.040528,3.522877
183,0.000827,3.306715,0.064998,3.372540,13344.043911,3.382253
184,0.000813,3.345797,0.142831,3.489441,13344.047410,3.499067
185,0.000938,3.344994,0.127990,3.473922,13344.050893,3.483493
186,0.001071,3.373202,0.133813,3.508086,13344.054411,3.517821
187,0.000918,3.310029,0.234042,3.544989,13344.057965,3.554534
188,0.000833,3.414778,0.139027,3.554638,13344.061530,3.564419
189,0.000870,3.416715,0.069640,3.487225,13344.065027,3.496789
190,0.000912,3.330412,0.139626,3.470950,13344.068507,3.480789
191,0.001043,3.347039,0.066612,3.414694,13344.071932,3.424151
192,0.001178,3.309134,0.149649,3.459961,13344.075401,3.469702
193,0.000820,3.309809,0.137901,3.448530,13344.078859,3.458031
194,0.000939,3.453776,0.136856,3.591571,13344.082460,3.600959
195,0.000826,3.309095,0.101408,3.411329,13344.085881,3.420944
196,0.000852,3.398992,0.139542,3.539386,13344.089430,3.548816
197,0.000861,3.406585,0.067019,3.474465,13344.092914,3.483976
198,0.001192,3.312116,0.138162,3.451470,13344.096375,3.460805
199,0.000788,3.349479,0.136699,3.486966,13344.099871,3.496186
200,0.001006,3.346472,0.135529,3.483007,13344.103364,3.492897
201,0.001019,3.322950,0.170280,3.494249,13344.106871,3.506694
202,0.000865,3.348002,0.138648,3.487515,13344.110368,3.497003
203,0.000758,3.307384,0.136208,3.444350,13344.113822,3.454000
204,0.000880,3.319350,0.143259,3.463489,13344.117295,3.472853
205,0.000807,3.337162,0.135859,3.473828,13344.120778,3.483263
206,0.000900,3.361367,0.103236,3.465503,13344.124253,3.474815
207,0.000883,3.345936,0.164881,3.511700,13344.127774,3.521237
208,0.001253,3.650388,0.198486,3.850127,13344.131633,3.859469
209,0.001848,3.440031,0.147332,3.589211,13344.135241,3.607277
210,0.000853,3.304256,0.137307,3.442416,13344.138693,3.452486
211,0.000836,3.351124,0.158380,3.510340,13344.142213,3.519867
212,0.001220,3.343999,0.107319,3.452538,13344.145675,3.462202
213,0.000831,3.390283,0.138665,3.529779,13344.149214,3.539098
214,0.000953,3.307699,0.177512,3.486164,13344.152710,3.495702
215,0.000971,3.320118,0.128693,3.449782,13344.156169,3.459203
216,0.000844,3.367472,0.140818,3.509134,13344.159688,3.518722
217,0.000851,3.351332,0.140596,3.492779,13344.163190,3.502102
218,0.000858,3.343808,0.102854,3.447520,13344.166647,3.457170
219,0.000848,3.335931,0.127386,3.464165,13344.170121,3.473486
220,0.000799,3.304216,0.161665,3.466680,13344.173597,3.476141
221,0.000868,3.346088,0.069060,3.416016,13344.177022,3.425495
222,0.000841,3.339864,0.140569,3.481274,13344.180513,3.490712
223,0.000947,3.369109,0.064991,3.435047,13344.183958,3.444752
224,0.000838,3.373455,0.134949,3.509242,13344.187476,3.518515
225,0.000731,3.374998,0.066562,3.442291,13344.190928,3.451664
226,0.000814,3.467893,0.138823,3.607530,13344.194545,3.616877
227,0.000810,3.444473,0.186929,3.632212,13344.198186,3.641678
228,0.000853,3.420997,0.141780,3.563630,13344.201760,3.573534
229,0.000796,3.390722,0.137031,3.528549,13344.205298,3.537942
230,0.000796,3.305168,0.141326,3.447290,13344.208755,3.456780
231,0.001002,3.421308,0.104370,3.526680,13344.212291,3.535988
232,0.001269,3.384172,0.143118,3.528559,13344.215829,3.538268
233,0.000841,3.389865,0.138536,3.529242,13344.219370,3.541333
