FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001258,3.445860,0.147685,3.594803,10740.310806,N/A
1,0.000996,3.437553,0.146609,3.585158,10740.314402,3.596860
2,0.001411,3.431745,0.745554,4.178710,10740.318597,4.194235
3,0.001054,3.428413,0.936779,4.366246,10740.322974,4.377409
4,0.001289,3.446393,0.630605,4.078287,10740.327065,4.090659
5,0.000968,3.443852,0.719725,4.164545,10740.331242,4.177522
6,0.001050,3.446918,0.762235,4.210203,10740.335465,4.222558
7,0.000883,3.441397,0.690910,4.133190,10740.339610,4.145575
8,0.000982,3.450635,0.686261,4.137878,10740.343761,4.150211
9,0.001005,3.443723,0.727270,4.171998,10740.347946,4.185002
10,0.000948,3.438875,0.707846,4.147669,10740.352106,4.160356
11,0.000971,3.450789,0.628387,4.080147,10740.356198,4.092450
12,0.000977,3.446488,0.822427,4.269892,10740.360481,4.282170
13,0.000916,3.442862,0.671072,4.114850,10740.364608,4.127169
14,0.000991,3.452137,0.683533,4.136661,10740.368757,4.149082
15,0.001034,3.449200,0.680335,4.130569,10740.372900,4.142947
16,0.000948,3.436168,0.781619,4.218735,10740.377131,4.231065
17,0.000956,3.474699,0.618768,4.094423,10740.381239,4.107771
18,0.001105,3.449831,0.773864,4.224800,10740.385476,4.237237
19,0.000941,3.441735,0.664813,4.107489,10740.389596,4.120086
20,0.000887,3.496949,0.627156,4.124992,10740.393733,4.137386
21,0.004170,3.605140,0.542982,4.152292,10740.397917,4.183426
22,0.001460,3.455088,0.669258,4.125806,10740.402058,4.141751
23,0.000927,3.456863,0.747635,4.205425,10740.406277,4.218420
24,0.000949,3.451850,0.581439,4.034238,10740.410323,4.046625
25,0.000887,3.450014,0.694437,4.145338,10740.414482,4.158613
26,0.000892,3.457807,0.859531,4.318230,10740.418813,4.330720
27,0.000883,3.439275,0.571584,4.011742,10740.422837,4.024181
28,0.000970,3.439747,0.835095,4.275812,10740.427125,4.288276
29,0.000913,3.447600,0.650045,4.098558,10740.431236,4.111168
30,0.000957,3.447196,0.798384,4.246537,10740.435496,4.259181
31,0.001145,3.442769,0.593903,4.037817,10740.439546,4.050130
32,0.000975,3.437937,0.818173,4.257085,10740.443815,4.269511
33,0.000989,3.411200,0.585994,3.998183,10740.447826,4.010818
34,0.001216,3.446942,0.848728,4.296886,10740.452136,4.309467
35,0.001004,3.448714,0.574457,4.024175,10740.456172,4.036850
36,0.000920,3.439232,0.866466,4.306618,10740.460492,4.319327
37,0.000898,3.414713,0.671682,4.087293,10740.464592,4.099884
38,0.000972,3.464679,0.717378,4.183029,10740.468787,4.195786
39,0.000964,3.440026,0.659123,4.100113,10740.472900,4.112441
40,0.001029,3.440447,0.790735,4.232211,10740.477144,4.244576
41,0.000943,3.477907,0.603783,4.082633,10740.481240,4.095721
42,0.001021,3.448462,0.785037,4.234520,10740.485487,4.247051
43,0.000920,3.432295,0.717830,4.151045,10740.489651,4.163438
44,0.000900,3.440143,0.657287,4.098330,10740.493761,4.110621
45,0.001070,3.767047,0.229994,3.998111,10740.497772,4.010734
46,0.001885,3.475854,0.865034,4.342773,10740.502130,4.358468
47,0.000942,3.473802,0.505896,3.980640,10740.506124,3.993304
48,0.000963,3.479384,0.876107,4.356454,10740.510493,4.369233
49,0.000890,12.478465,0.150468,12.629823,10740.523135,12.641876
50,0.001253,3.293728,0.556507,3.851488,10740.526997,3.862298
51,0.001184,3.382830,0.771684,4.155698,10740.531170,4.172787
52,0.000863,3.308613,0.899894,4.209370,10740.535391,4.221472
53,0.000926,3.353832,0.580332,3.935090,10740.539339,3.947877
54,0.000924,3.317911,1.060461,4.379296,10740.543731,4.391351
55,0.000897,3.365938,0.785626,4.152461,10740.547895,4.164513
56,0.000923,3.374790,0.778584,4.154297,10740.552062,4.166381
57,0.000866,3.312604,0.782344,4.095814,10740.556169,4.107875
58,0.000857,3.314184,0.901599,4.216640,10740.560398,4.228607
59,0.000901,3.379076,0.559128,3.939105,10740.564349,3.951168
60,0.000861,3.339680,1.029272,4.369813,10740.568731,4.381862
61,0.000826,3.404200,0.741164,4.146190,10740.572889,4.158204
62,0.000889,3.314987,0.868899,4.184775,10740.577086,4.197023
63,0.001272,3.357323,0.622744,3.981339,10740.581080,3.993622
64,0.000853,3.376979,0.924267,4.302099,10740.585394,4.314079
65,0.000815,3.336019,0.607701,3.944535,10740.589351,3.957238
66,0.001082,3.415552,0.733177,4.149811,10740.593513,4.161876
67,0.000939,3.580262,0.797541,4.378742,10740.597904,4.390644
