FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001183,3.485687,0.651778,4.138648,7698.024877,N/A
1,0.000969,3.436365,0.685749,4.123083,7698.029014,4.137354
2,0.000819,3.489053,0.716953,4.206825,7698.033233,4.219482
3,0.000819,3.489227,0.604229,4.094275,7698.037340,4.106967
4,0.000832,3.506609,0.662754,4.170195,7698.041523,4.182654
5,0.000765,3.430144,0.764314,4.195223,7698.045731,4.207998
6,0.000816,3.500159,0.615092,4.116067,7698.049859,4.128435
7,0.000803,3.439121,0.760610,4.200534,7698.054072,4.212831
8,0.000838,3.519127,0.558480,4.078445,7698.058163,4.090984
9,0.002489,3.685061,0.469064,4.156614,7698.062350,4.186709
10,0.001292,3.521615,0.608825,4.131732,7698.066501,4.150815
11,0.000822,3.524474,0.682600,4.207896,7698.070721,4.220458
12,0.000900,3.498195,0.652779,4.151874,7698.074885,4.164269
13,0.000766,3.463283,0.705068,4.169117,7698.079067,4.181557
14,0.001171,3.508616,0.592708,4.102495,7698.083182,4.114968
15,0.000787,3.504263,0.838546,4.343596,7698.087538,4.355896
16,0.000784,3.490087,0.477973,3.968844,7698.091519,3.981350
17,0.000731,3.509880,0.670577,4.181188,7698.095714,4.194260
18,0.000777,3.507995,0.630967,4.139739,7698.099866,4.152343
19,0.000768,3.431440,0.766358,4.198566,7698.104077,4.211319
20,0.000865,3.503121,0.601736,4.105722,7698.108195,4.118219
21,0.000768,3.498263,0.829345,4.328376,7698.112536,4.340596
22,0.000773,3.500266,0.456239,3.957278,7698.116506,3.969526
23,0.000785,3.501071,0.718074,4.219930,7698.120738,4.232286
24,0.000819,3.494320,0.641640,4.136779,7698.124887,4.149039
25,0.000900,3.462600,0.688212,4.151712,7698.129051,4.164530
26,0.000790,3.478311,0.688436,4.167537,7698.133231,4.179843
27,0.000806,3.497925,0.615019,4.113750,7698.137357,4.126104
28,0.000928,3.504034,0.669121,4.174083,7698.141544,4.186365
29,0.000833,3.424619,0.753388,4.178840,7698.145735,4.191049
30,0.000785,3.481622,0.652368,4.134775,7698.149882,4.147114
31,0.000971,3.452459,0.732777,4.186207,7698.154080,4.198411
32,0.000842,3.495359,0.619255,4.115456,7698.158208,4.128055
33,0.000779,3.688867,0.475932,4.165578,7698.162387,4.178352
34,0.001552,3.542925,0.599514,4.143991,7698.166550,4.163680
35,0.000915,3.432190,0.759292,4.192397,7698.170755,4.204870
36,0.000927,3.501016,0.595874,4.097817,7698.174865,4.110173
37,0.000771,3.459715,0.756889,4.217375,7698.179095,4.229819
38,0.000797,3.509799,0.581887,4.092483,7698.183200,4.104947
39,0.000768,3.496960,0.655875,4.153603,7698.187366,4.166035
40,0.001043,3.501030,0.681911,4.183984,7698.191562,4.196064
41,0.000785,3.423824,0.759011,4.183620,7698.195759,4.196541
42,0.000794,3.502746,0.577820,4.081360,7698.199853,4.093741
43,0.000844,3.469086,0.742267,4.212197,7698.204077,4.224586
44,0.000929,3.502736,0.632351,4.136016,7698.208226,4.148818
45,0.000761,3.507489,0.625483,4.133733,7698.212372,4.146259
46,0.000805,12.245926,0.251625,12.498356,7698.224883,12.510752
47,0.000864,3.413524,0.640706,4.055094,7698.228949,4.066142
48,0.000857,3.412275,0.817738,4.230870,7698.233190,4.241395
49,0.000769,3.497742,0.687478,4.185989,7698.237389,4.198269
50,0.000760,3.492244,0.628641,4.121645,7698.241523,4.133853
51,0.000797,3.503494,0.646060,4.150351,7698.245685,4.162471
52,0.000939,3.500990,0.682960,4.184889,7698.249882,4.197121
53,0.000776,3.460708,0.710083,4.171567,7698.254067,4.184683
54,0.000775,3.494750,0.623453,4.118978,7698.258198,4.131158
55,0.000800,3.600726,0.537024,4.138550,7698.262349,4.150736
56,0.002078,3.561386,0.611407,4.174871,7698.266547,4.198678
57,0.000764,3.504572,0.646411,4.151747,7698.270712,4.164281
58,0.000782,3.493802,0.665352,4.159936,7698.274884,4.172395
59,0.000786,3.448154,0.718553,4.167493,7698.279064,4.179681
60,0.001151,3.502659,0.627381,4.131191,7698.283207,4.143548
61,0.000920,3.494854,0.697338,4.193112,7698.287413,4.205435
62,0.000794,3.491958,0.496292,3.989044,7698.291414,4.001173
63,0.000772,3.485198,0.799239,4.285209,7698.295711,4.297315
64,0.000784,3.500982,0.514630,4.016396,7698.299740,4.028639
65,0.000981,3.514285,0.796690,4.311956,7698.304065,4.324958
66,0.001102,3.498610,0.586234,4.085946,7698.308163,4.098185
67,0.000757,3.497486,0.721015,4.219258,7698.312395,4.231590
68,0.000853,3.502980,0.643885,4.147718,7698.316555,4.159940
69,0.000895,3.497615,0.664196,4.162706,7698.320730,4.174990
70,0.000810,3.495228,0.640842,4.136880,7698.324879,4.149131
71,0.000780,3.438001,0.776727,4.215508,7698.329107,4.227880
72,0.000816,3.432004,0.656551,4.089371,7698.333208,4.101419
73,0.000808,3.480828,0.718353,4.199989,7698.337420,4.211994
74,0.000775,3.424452,0.735212,4.160439,7698.341593,4.172564
75,0.000826,3.426651,0.738591,4.166068,7698.345771,4.178166
76,0.000908,3.495941,0.601374,4.098223,7698.349881,4.110187
77,0.000918,3.451471,0.776088,4.228477,7698.354123,4.241975
78,0.000781,3.430627,0.631197,4.062605,7698.358197,4.074553
79,0.000856,6.235699,0.275403,6.511958,7698.364721,6.524018
80,0.002093,3.948305,0.198962,4.149360,7698.368892,4.170132
81,0.001262,3.577235,0.156309,3.734806,7698.372646,3.753920
82,0.000756,3.440715,0.152277,3.593748,7698.376250,3.604330
83,0.000873,3.417721,0.146533,3.565127,7698.379826,3.575663
84,0.000772,3.439093,0.143417,3.583282,7698.383419,3.593286
85,0.000673,3.420340,0.381335,3.802348,7698.387231,3.812251
86,0.000804,3.428832,0.872457,4.302093,7698.391543,4.312433
87,0.000782,3.448613,0.787615,4.237010,7698.395792,4.248869
88,0.000847,3.408280,0.690797,4.099924,7698.399904,4.111742
89,0.000819,3.426474,0.772152,4.199445,7698.404115,4.211368
90,0.000758,3.434291,0.620058,4.055107,7698.408183,4.067253
91,0.000758,3.470815,0.653613,4.125186,7698.412320,4.137094
92,0.000847,3.479649,0.758183,4.238679,7698.416570,4.250668
93,0.000753,3.462502,0.700486,4.163741,7698.420748,4.177613
94,0.000773,3.506514,0.606781,4.114068,7698.424874,4.126139
95,0.000762,3.400670,0.829168,4.230600,7698.429117,4.242526
96,0.000815,3.476192,0.588198,4.065205,7698.433194,4.077077
97,0.001060,3.434808,0.778267,4.214135,7698.437420,4.226103
98,0.000750,3.459974,0.676568,4.137292,7698.441569,4.149285
99,0.000770,3.486175,0.674235,4.161180,7698.445742,4.173103
100,0.000859,3.477958,0.680636,4.159453,7698.449914,4.171543
101,0.000782,3.428907,0.769973,4.199662,7698.454126,4.211644
102,0.000766,3.483203,0.578513,4.062482,7698.458200,4.074675
103,0.000745,3.424763,0.809283,4.234791,7698.462447,4.246611
104,0.000770,3.677482,0.331669,4.009921,7698.466469,4.021798
105,0.001598,3.544853,0.723079,4.269530,7698.470760,4.291194
106,0.000797,3.491415,0.622713,4.114925,7698.474887,4.126987
107,0.000804,3.398674,0.760934,4.160412,7698.479059,4.172366
108,0.001055,3.437545,0.678415,4.117015,7698.483188,4.129039
109,0.000732,3.430724,0.795867,4.227323,7698.487431,4.242418
110,0.000778,3.474914,0.660532,4.136224,7698.491579,4.148151
111,0.000767,3.439641,0.728800,4.169208,7698.495760,4.181187
112,0.000719,3.526505,0.563154,4.090378,7698.499862,4.102222
113,0.000815,3.525804,0.721158,4.247777,7698.504122,4.259822
114,0.000778,3.544230,0.503509,4.048517,7698.508183,4.060753
115,0.001067,3.474178,0.754870,4.230115,7698.512425,4.242181
116,0.000855,3.470744,0.672901,4.144500,7698.516581,4.156347
117,0.000802,3.418022,0.761379,4.180203,7698.520773,4.192090
118,0.000744,3.476897,0.665379,4.143020,7698.524928,4.154910
119,0.000939,3.550175,0.593325,4.144439,7698.529085,4.156411
