FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001244,3.505224,0.635859,4.142327,10814.290187,N/A
1,0.000833,3.475668,0.753877,4.230378,10814.294431,4.244142
2,0.000940,3.456907,0.582711,4.040558,10814.298484,4.053025
3,0.000851,3.461326,0.773939,4.236116,10814.302733,4.248590
4,0.001150,3.469146,0.597023,4.067319,10814.306812,4.079695
5,0.000858,3.455113,0.770278,4.226249,10814.311051,4.238768
6,0.000877,3.474640,0.665989,4.141506,10814.315205,4.153888
7,0.000897,3.481630,0.868902,4.351429,10814.319569,4.363884
8,0.001014,3.461173,0.441691,3.903878,10814.323485,3.916277
9,0.000977,3.471314,0.763091,4.235382,10814.327733,4.248133
10,0.000910,3.489674,0.601224,4.091808,10814.331837,4.104036
11,0.001208,3.434087,0.786986,4.222281,10814.336072,4.234594
12,0.000880,3.473020,0.636200,4.110100,10814.340195,4.122584
13,0.000870,3.467265,0.911722,4.379857,10814.344587,4.392215
14,0.000896,3.441690,0.452846,3.895432,10814.348495,3.907812
15,0.000882,3.426198,0.709761,4.136841,10814.352644,4.149045
16,0.001045,3.446799,0.794937,4.242781,10814.356897,4.253343
17,0.000899,3.433472,0.712256,4.146627,10814.361057,4.160073
18,0.000890,3.454501,0.702615,4.158006,10814.365227,4.170395
19,0.000943,3.470722,0.635801,4.107466,10814.369347,4.119756
20,0.000884,3.470264,0.702152,4.173300,10814.373533,4.186196
21,0.000866,3.470128,0.719298,4.190292,10814.377736,4.202657
22,0.000876,3.711047,0.385084,4.097007,10814.381845,4.109399
23,0.003226,4.161067,0.180291,4.344584,10814.386218,4.372310
24,0.001397,3.514766,0.418631,3.934794,10814.390167,3.948810
25,0.000959,3.461207,0.652541,4.114707,10814.394295,4.128302
26,0.000999,3.450880,0.740096,4.191975,10814.398498,4.202741
27,0.000915,3.473454,0.751288,4.225657,10814.402736,4.237994
28,0.000898,3.486908,0.616382,4.104188,10814.406852,4.116514
29,0.000866,3.433336,0.764109,4.198311,10814.411063,4.210464
30,0.000861,3.488784,0.633621,4.123266,10814.415199,4.135945
31,0.000946,3.466069,0.741237,4.208252,10814.419419,4.220684
32,0.000999,3.462503,0.614247,4.077749,10814.423509,4.090121
33,0.000948,3.460402,0.759792,4.221142,10814.427743,4.233924
34,0.000883,3.432105,0.712782,4.145770,10814.431901,4.158031
35,0.000905,3.440819,0.725076,4.166800,10814.436081,4.179301
36,0.000871,3.465296,0.651221,4.117388,10814.440211,4.129918
37,0.000900,3.468867,0.712205,4.181972,10814.444405,4.194335
38,0.000838,3.455357,0.675880,4.132075,10814.448549,4.144584
39,0.000870,3.475437,0.699282,4.175589,10814.452737,4.187782
40,0.001004,3.468495,0.680685,4.150184,10814.456900,4.162476
