FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001613,3.582089,0.137522,3.721224,13442.369435,N/A
1,0.000973,3.533535,2.354896,5.889404,13442.375337,5.901670
2,0.001095,3.627686,0.127648,3.756429,13442.379106,3.769407
3,0.001022,3.636544,0.143038,3.780604,13442.382898,3.791587
4,0.001105,3.665882,0.150654,3.817641,13442.386726,3.828396
5,0.001033,3.650784,0.143600,3.795417,13442.390533,3.806809
6,0.001255,3.604432,0.144038,3.749725,13442.394294,3.760625
7,0.001298,3.564632,0.073726,3.639656,13442.397944,3.650174
8,0.001382,3.652321,0.144566,3.798269,13442.401753,3.808851
9,0.000976,3.556883,0.154893,3.712752,13442.405477,3.723806
10,0.001557,3.598433,0.148895,3.748885,13442.409242,3.765447
11,0.001282,3.600416,0.074419,3.676117,13442.412931,3.688561
12,0.001072,3.641148,0.142570,3.784790,13442.416726,3.795577
13,0.001000,3.631632,0.142761,3.775393,13442.420512,3.785974
14,0.001036,3.651270,0.140784,3.793090,13442.424316,3.803528
15,0.001134,3.615062,0.082818,3.699014,13442.428025,3.709749
16,0.001090,3.628537,0.150299,3.779926,13442.431816,3.790905
17,0.001063,3.561983,0.149377,3.712423,13442.435540,3.723797
18,0.001388,3.637809,0.142820,3.782017,13442.439333,3.792867
19,0.001246,3.612670,0.185850,3.799766,13442.443143,3.810319
20,0.001838,3.712124,0.115614,3.829576,13442.446991,3.847496
21,0.001866,3.606446,0.155673,3.763985,13442.450780,3.789284
22,0.001342,3.612493,0.140552,3.754387,13442.454553,3.772716
23,0.000990,3.642643,0.149265,3.792898,13442.458357,3.803820
24,0.001137,3.651292,0.143212,3.795641,13442.462163,3.806489
25,0.000969,3.642577,0.101158,3.744704,13442.465919,3.756196
26,0.000909,3.635372,0.140544,3.776825,13442.469707,3.787511
27,0.001050,3.640046,0.150875,3.791971,13442.473509,3.802334
28,0.001009,3.575954,0.139935,3.716898,13442.477236,3.727408
29,0.000925,3.622665,0.074579,3.698169,13442.480945,3.708866
30,0.000981,3.599064,0.172621,3.772666,13442.484729,3.783319
31,0.000953,3.584947,0.144799,3.730699,13442.488471,3.742440
32,0.001316,3.664624,0.148102,3.814042,13442.492298,3.826579
33,0.001178,3.606299,0.069584,3.677061,13442.495988,3.690349
34,0.000937,3.639391,0.141655,3.781983,13442.499781,3.792684
35,0.001298,3.669760,0.140927,3.811985,13442.503603,3.822343
36,0.000929,3.630017,0.146210,3.777156,13442.507391,3.788012
37,0.000945,3.687026,0.143107,3.831078,13442.511233,3.841657
38,0.001070,3.641522,0.079172,3.721764,13442.514965,3.732450
39,0.001110,3.557338,0.145885,3.704333,13442.518682,3.716975
40,0.001047,3.598766,0.145094,3.744907,13442.522438,3.755510
41,0.001021,3.573286,0.152398,3.726705,13442.526176,3.737882
42,0.001030,3.561271,0.140407,3.702708,13442.529893,3.717418
43,0.000886,3.628166,0.142639,3.771691,13442.533675,3.782240
44,0.000998,3.632706,0.148884,3.782588,13442.537468,3.793014
45,0.000873,3.667198,0.142698,3.810769,13442.541289,3.821199
46,0.001062,3.797700,0.194581,3.993343,13442.545293,4.004025
47,0.002184,3.726499,0.149273,3.877956,13442.549188,3.894497
48,0.001150,3.642646,0.075794,3.719590,13442.552920,3.732485
49,0.001032,3.676157,0.142201,3.819390,13442.556751,3.831030
50,0.001041,3.583033,0.143493,3.727567,13442.560489,3.738006
51,0.000954,3.638372,0.145575,3.784901,13442.564285,3.795617
52,0.001019,3.534444,0.113913,3.649376,13442.567945,3.660194
53,0.001138,3.493366,0.143824,3.638328,13442.571599,3.654103
54,0.001627,3.629245,0.138365,3.769237,13442.575384,3.784220
55,0.000965,3.688587,0.144407,3.833959,13442.579228,3.844423
