FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001677,3.455343,0.992516,4.449536,10840.731116,N/A
1,0.001000,3.495896,0.456298,3.953194,10840.735083,3.967388
2,0.000942,3.499810,0.614881,4.115633,10840.739212,4.128303
3,0.001002,3.434708,0.701119,4.136829,10840.743361,4.149216
4,0.000902,3.459071,0.746162,4.206135,10840.747580,4.218844
5,0.000936,3.491352,0.728560,4.220848,10840.751813,4.233541
6,0.001137,3.432488,0.659030,4.092655,10840.755918,4.105140
7,0.001214,3.417138,0.638100,4.056452,10840.759987,4.068858
8,0.002374,5.899889,0.138903,6.041166,10840.766059,6.071965
9,0.002152,3.797730,0.094941,3.894823,10840.769970,3.910640
10,0.001329,3.631591,0.154135,3.787055,10840.773771,3.800659
11,0.001065,3.664461,0.153533,3.819059,10840.777601,3.830214
12,0.001189,3.674082,0.144588,3.819859,10840.781432,3.830848
13,0.001099,3.571986,0.111406,3.684491,10840.785127,3.695647
14,0.001123,3.459016,0.570516,4.030655,10840.789169,4.041428
15,0.001827,3.450881,0.688953,4.141661,10840.793327,4.157849
16,0.001534,3.539381,0.649157,4.190072,10840.797534,4.207904
17,0.001030,3.473711,0.666340,4.141081,10840.801695,4.160185
18,0.001193,3.561199,0.595320,4.157712,10840.805870,4.174918
19,0.001157,3.531763,0.599049,4.131969,10840.810016,4.146406
20,0.001619,3.553417,0.594160,4.149196,10840.814183,4.167525
21,0.000915,3.556377,0.611585,4.168877,10840.818365,4.181356
22,0.001092,3.397026,0.768757,4.166875,10840.822547,4.181983
23,0.000994,3.530407,0.637432,4.168833,10840.826730,4.183677
24,0.000953,3.569397,0.556509,4.126859,10840.830873,4.142610
25,0.001079,3.531586,0.592946,4.125611,10840.835014,4.140995
26,0.001466,3.556269,0.608100,4.165835,10840.839199,4.184784
27,0.001004,3.544175,0.578572,4.123751,10840.843335,4.136273
28,0.001401,3.533794,0.655496,4.190691,10840.847545,4.209433
29,0.001257,3.526898,0.618551,4.146706,10840.851706,4.161644
30,0.001410,3.532560,0.620484,4.154454,10840.855879,4.173121
31,0.001446,3.488507,0.627065,4.117018,10840.860011,4.131313
32,0.001648,3.677088,0.491008,4.169744,10840.864199,4.188689
33,0.002397,3.539378,0.619262,4.161037,10840.868384,4.184182
34,0.000987,3.472308,0.710280,4.183575,10840.872581,4.197113
35,0.001944,3.552590,0.556040,4.110574,10840.876709,4.128525
36,0.000953,3.533534,0.617820,4.152307,10840.880874,4.164693
37,0.001111,3.463718,0.658669,4.123498,10840.885014,4.139659
38,0.001715,3.523587,0.664973,4.190275,10840.889223,4.209401
39,0.001826,3.553975,0.580676,4.136477,10840.893378,4.155029
40,0.000963,3.488729,0.668471,4.158163,10840.897550,4.172179
41,0.000944,3.574843,0.571879,4.147666,10840.901713,4.163299
42,0.001163,3.590420,0.567622,4.159205,10840.905888,4.174329
43,0.001308,3.572323,0.535494,4.109125,10840.910013,4.125709
44,0.001482,3.611153,0.573308,4.185943,10840.914230,4.216286
45,0.000917,3.432773,0.757517,4.191207,10840.918435,4.205602
46,0.001361,3.465578,0.685963,4.152902,10840.922604,4.168513
47,0.001361,3.471506,8.816380,12.289247,10840.934908,12.304400
48,0.001119,3.489191,0.150286,3.640596,10840.938566,3.657887
49,0.001101,3.468503,0.150773,3.620377,10840.942197,3.630739
50,0.001078,3.482399,0.081887,3.565364,10840.945773,3.576441
51,0.001114,3.431436,0.152302,3.584852,10840.949369,3.595496
52,0.001246,3.391872,0.147021,3.540139,10840.952920,3.550988
53,0.000966,3.347371,0.145107,3.493444,10840.956425,3.504783
54,0.001044,3.341237,0.127708,3.469989,10840.959905,3.480267
55,0.000997,3.515498,0.683673,4.200168,10840.964115,4.210184
56,0.002114,3.416000,0.822477,4.240591,10840.968377,4.262018
57,0.000838,3.407261,0.782204,4.190303,10840.972578,4.201014
58,0.001116,3.395906,0.771271,4.168293,10840.976759,4.180514
59,0.000899,3.369227,0.780349,4.150475,10840.980922,4.162931
60,0.000924,3.341394,0.769792,4.112110,10840.985046,4.124193
61,0.000937,3.413897,0.739975,4.154809,10840.989213,4.166987
62,0.000964,3.405449,0.789625,4.196038,10840.993421,4.208269
63,0.001227,3.392578,0.770283,4.164088,10840.997597,4.176344
64,0.000927,3.384481,0.773488,4.158896,10841.001768,4.170920
65,0.000923,3.388031,0.739017,4.127971,10841.005910,4.141281
66,0.000918,3.330176,0.842558,4.173652,10841.010095,4.185795
67,0.000934,3.391712,0.733637,4.126283,10841.014234,4.138407
68,0.000928,3.439204,0.738206,4.178338,10841.018424,4.190504
69,0.000908,3.397960,0.757706,4.156574,10841.022593,4.168755
70,0.001085,3.378847,0.773265,4.153197,10841.026758,4.165413
71,0.000920,3.367334,0.784303,4.152557,10841.030923,4.164616
72,0.000904,3.322329,0.779196,4.102429,10841.035038,4.114745
73,0.000930,3.427076,0.744710,4.172716,10841.039223,4.184972
74,0.001019,3.386284,0.807349,4.194652,10841.043429,4.206754
75,0.000919,3.379291,0.770499,4.150709,10841.047592,4.162931
76,0.000899,3.375174,0.786591,4.162664,10841.051767,4.174632
77,0.000907,3.350993,0.786268,4.138168,10841.055920,4.153218
78,0.000943,3.316050,0.793665,4.110658,10841.060043,4.122764
79,0.000830,3.415327,0.661609,4.077766,10841.064133,4.090105
80,0.001354,3.634536,0.474020,4.109910,10841.068261,4.127489
81,0.001602,3.430497,0.849145,4.281244,10841.072561,4.300403
82,0.001311,3.391286,0.802137,4.194734,10841.076768,4.207194
83,0.000934,3.357846,0.789102,4.147882,10841.080928,4.160063
84,0.000885,3.323331,0.829642,4.153858,10841.085095,4.166253
85,0.000998,3.417228,0.705438,4.123664,10841.089230,4.135913
86,0.001162,3.388846,0.802613,4.192621,10841.093435,4.204790
87,0.000949,3.396083,0.751729,4.148761,10841.097596,4.160971
