FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001029,3.507535,0.675870,4.184434,7710.813959,N/A
1,0.000776,3.429283,0.692169,4.122228,7710.818095,4.136005
2,0.000764,3.507630,0.664177,4.172571,7710.822280,4.184758
3,0.000787,3.492411,0.635695,4.128893,7710.826421,4.141134
4,0.000759,3.494515,0.708922,4.204196,7710.830638,4.216310
5,0.000875,3.468196,0.670346,4.139417,7710.834790,4.151951
6,0.001089,3.491978,0.633115,4.126182,7710.838928,4.138656
7,0.000760,3.457359,0.704298,4.162417,7710.843103,4.174675
8,0.000823,3.515471,0.659784,4.176078,7710.847291,4.188302
9,0.000787,3.484031,0.624213,4.109031,7710.851413,4.121600
10,0.000836,3.498548,0.701875,4.201259,7710.855626,4.213452
11,0.000755,3.464538,0.677049,4.142342,7710.859781,4.154614
12,0.000764,3.493623,0.656642,4.151029,7710.863945,4.163778
13,0.000740,3.514310,0.636516,4.151566,7710.868109,4.164087
14,0.001205,3.496755,0.665331,4.163291,7710.872284,4.175485
15,0.000751,3.500665,0.608215,4.109631,7710.876407,4.122254
16,0.000824,3.497174,0.659581,4.157579,7710.880576,4.169958
17,0.000752,3.493753,0.716328,4.210833,7710.884800,4.223631
18,0.000762,3.497477,0.618177,4.116416,7710.888929,4.128568
19,0.000688,3.422504,0.722290,4.145482,7710.893086,4.157765
20,0.000811,3.502758,0.691428,4.194997,7710.897294,4.207304
21,0.000733,3.637136,0.531189,4.169058,7710.901475,4.181281
22,0.001814,3.559250,0.528979,4.090043,7710.905585,4.109508
23,0.000797,3.504739,0.701951,4.207487,7710.909804,4.219807
24,0.000747,3.426280,0.718989,4.146016,7710.913963,4.158345
25,0.000949,3.422777,0.699658,4.123384,7710.918099,4.136651
26,0.000802,3.512647,0.661498,4.174947,7710.922287,4.187355
27,0.000783,3.507676,0.621579,4.130038,7710.926429,4.142323
28,0.000750,3.495892,0.642261,4.138903,7710.930580,4.151179
29,0.000727,3.491668,0.710317,4.202712,7710.934795,4.215100
30,0.000982,3.486044,0.664909,4.151935,7710.938960,4.164213
31,0.000809,3.425209,0.688446,4.114464,7710.943086,4.126980
32,0.000778,3.506265,0.696302,4.203345,7710.947302,4.215645
33,0.000754,3.505270,0.602869,4.108893,7710.951423,4.121322
34,0.000748,3.487102,0.717952,4.205802,7710.955641,4.217959
35,0.000775,3.477234,0.648973,4.126982,7710.959781,4.139203
36,0.000766,3.490330,0.647815,4.138911,7710.963932,4.151144
37,0.000827,3.424777,0.795572,4.221176,7710.968165,4.233589
38,0.000815,3.490851,0.606859,4.098525,7710.972276,4.110776
39,0.000819,3.498967,0.630703,4.130489,7710.976419,4.142691
40,0.000801,3.487630,0.723947,4.212378,7710.980644,4.224726
41,0.000741,3.476035,0.678417,4.155193,7710.984812,4.168265
42,0.000785,3.461177,0.687108,4.149070,7710.988973,4.161315
