FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001116,3.444759,0.137090,3.582965,13500.107535,N/A
1,0.000973,3.395875,2.278751,5.675599,13500.113222,5.687490
2,0.001159,3.430715,0.143684,3.575558,13500.116811,3.588352
3,0.001019,3.400682,0.144674,3.546375,13500.120368,3.557377
4,0.000882,3.407228,0.112448,3.520558,13500.123899,3.531026
5,0.000886,3.404961,0.141234,3.547081,13500.127457,3.557605
6,0.000901,3.419229,0.073914,3.494044,13500.130961,3.504404
7,0.000926,3.365605,0.153864,3.520395,13500.134492,3.530813
8,0.000834,3.393779,0.069317,3.463930,13500.137966,3.474244
9,0.000955,3.388635,0.135925,3.525515,13500.141502,3.535613
10,0.000878,3.379432,0.069331,3.449641,13500.144961,3.459546
11,0.000970,3.377096,0.168710,3.546776,13500.148518,3.556953
12,0.000897,3.430647,0.077551,3.509095,13500.152037,3.519280
13,0.000899,3.401396,0.140935,3.543230,13500.155591,3.553573
14,0.000909,3.438965,0.236131,3.676005,13500.159277,3.685742
15,0.000925,3.540681,0.149937,3.691543,13500.162979,3.701852
16,0.002881,3.536745,0.154149,3.693775,13500.166712,3.733115
17,0.001207,3.428874,0.138717,3.568798,13500.170294,3.581801
18,0.000974,3.398840,0.121672,3.521486,13500.173825,3.531542
19,0.000897,3.418335,0.135467,3.554699,13500.177390,3.565143
20,0.000930,3.395786,0.118011,3.514727,13500.180915,3.525155
21,0.000891,3.349470,0.125578,3.475939,13500.184401,3.486050
22,0.000809,3.396714,0.099747,3.497270,13500.187909,3.507126
23,0.001252,3.396020,0.122698,3.519970,13500.191438,3.529734
24,0.000860,3.406935,0.071111,3.478906,13500.194927,3.488844
25,0.000902,3.413088,0.140831,3.554821,13500.198493,3.565430
26,0.001041,3.388969,0.077916,3.467926,13500.201971,3.478006
27,0.000875,3.383998,0.143766,3.528639,13500.205510,3.539071
28,0.001187,3.506535,0.195077,3.702799,13500.209222,3.712878
29,0.000921,3.491368,0.137662,3.629951,13500.212863,3.640429
30,0.000975,3.510415,0.133496,3.644886,13500.216519,3.655647
31,0.001143,3.491120,0.135790,3.628053,13500.220157,3.638881
32,0.001066,3.487036,0.130383,3.618485,13500.223787,3.629286
33,0.000988,3.481475,0.134869,3.617332,13500.227415,3.628574
34,0.001053,3.476016,0.075239,3.552308,13500.230979,3.563341
35,0.000981,3.404091,0.130673,3.535745,13500.234525,3.546664
36,0.000896,3.426477,0.075910,3.503283,13500.238039,3.513884
37,0.000800,3.428361,0.127525,3.556686,13500.241606,3.567207
38,0.000866,3.439059,0.095152,3.535077,13500.245151,3.544921
39,0.001081,3.438961,0.123899,3.563941,13500.248725,3.573957
40,0.000832,3.454397,0.122936,3.578165,13500.252313,3.587984
41,0.000853,3.427575,0.126719,3.555147,13500.255879,3.565435
42,0.000904,3.421914,0.122751,3.545569,13500.259434,3.555659
43,0.000928,3.442118,0.075139,3.518185,13500.262962,3.527999
44,0.000979,3.662208,0.170584,3.833771,13500.266808,3.845577
45,0.001711,3.502858,0.148064,3.652633,13500.270475,3.666969
46,0.000896,3.428245,0.066914,3.496055,13500.273981,3.506530
47,0.000978,3.464275,0.126162,3.591415,13500.277583,3.601581
48,0.000953,3.437635,0.111856,3.550444,13500.281143,3.560472
49,0.000941,3.429172,0.144691,3.574804,13500.284728,3.584770
50,0.000928,3.437058,0.171227,3.609213,13500.288347,3.619030
51,0.000930,3.434956,0.094755,3.530641,13500.291888,3.540971
52,0.001155,3.427839,0.126130,3.555124,13500.295453,3.564981
53,0.000827,3.431388,0.068211,3.500426,13500.298965,3.511407
54,0.000850,3.433984,0.120670,3.555504,13500.302530,3.565574
55,0.000813,3.431062,0.075730,3.507605,13500.306048,3.517607
56,0.000851,3.433762,0.129020,3.563633,13500.309622,3.573744
57,0.000881,3.441798,0.110417,3.553096,13500.313185,3.562935
58,0.000959,3.441360,0.139329,3.581648,13500.316776,3.591701
59,0.000919,13.194430,0.096365,13.291714,13500.330078,13.301528
60,0.001471,3.461874,0.144769,3.608114,13500.333696,3.618740
61,0.000948,3.449598,0.141034,3.591580,13500.337298,3.601616
62,0.000899,3.440023,0.126953,3.567875,13500.340876,3.577791
63,0.001031,3.443774,0.138224,3.583029,13500.344469,3.592687
64,0.000847,3.439264,0.065166,3.505277,13500.347984,3.515024
65,0.000857,3.446453,0.141712,3.589022,13500.351584,3.600017
66,0.000986,3.441856,0.146745,3.589587,13500.355183,3.599362
67,0.000946,3.439800,0.139040,3.579786,13500.358773,3.589708
68,0.000743,3.444762,0.135321,3.580826,13500.362363,3.590475
69,0.000827,3.602716,0.164241,3.767784,13500.366141,3.777524
70,0.002223,3.486063,0.138180,3.626466,13500.369786,3.645354
71,0.000959,3.450426,0.148137,3.599522,13500.373395,3.609328
72,0.000860,3.462868,0.067705,3.531433,13500.376937,3.541160
73,0.000874,3.519173,0.145447,3.665494,13500.380612,3.675062
74,0.000891,3.451166,0.139612,3.591669,13500.384213,3.601602
75,0.000901,3.443921,0.137701,3.582523,13500.387805,3.592218
76,0.000738,3.440142,0.138413,3.579293,13500.391395,3.589219
77,0.000928,3.440055,0.069428,3.510411,13500.394918,3.523066
78,0.001166,3.448024,0.150093,3.599283,13500.398527,3.609345
79,0.000928,3.442155,0.121527,3.564610,13500.402101,3.574439
80,0.000836,3.436867,0.138336,3.576039,13500.405687,3.585930
81,0.000798,3.449549,0.143009,3.593356,13500.409290,3.602953
82,0.000842,3.442819,0.137346,3.581007,13500.412881,3.591134
83,0.000882,3.476184,0.139742,3.616808,13500.416508,3.626515
84,0.000881,3.443899,0.072235,3.517015,13500.420035,3.526710
85,0.000871,3.456043,0.140370,3.597284,13500.423642,3.607256
86,0.000853,3.444691,0.139834,3.585378,13500.427237,3.595372
87,0.000873,3.437799,0.144823,3.583495,13500.430830,3.593161
88,0.000867,3.434529,0.136723,3.572119,13500.434412,3.581527
89,0.000816,3.427906,0.069958,3.498680,13500.437920,3.508180
90,0.000894,3.433620,0.140076,3.574590,13500.441505,3.584605
91,0.000752,3.435881,0.069028,3.505661,13500.445020,3.515441
92,0.000868,3.443109,0.141261,3.585238,13500.448615,3.595234
93,0.000833,3.438934,0.151171,3.590938,13500.452217,3.601966
94,0.001068,3.437288,0.140512,3.578868,13500.455806,3.588817
95,0.000798,3.448052,0.138531,3.587381,13500.459404,3.597312
96,0.000905,3.443798,0.068362,3.513065,13500.462927,3.523104
97,0.000755,6.407019,0.219271,6.627045,13500.469563,6.636811
98,0.003415,3.496854,0.144273,3.644542,13500.473228,3.664753
