FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001557,3.500737,0.653617,4.155911,10899.708910,N/A
1,0.000886,3.413178,0.727568,4.141632,10899.713066,4.155980
2,0.000992,3.492869,0.698750,4.192611,10899.717271,4.205425
3,0.000992,3.495704,0.567029,4.063725,10899.721347,4.076247
4,0.001089,3.496089,0.744663,4.241841,10899.725602,4.254279
5,0.000998,3.480169,0.672373,4.153540,10899.729768,4.166518
6,0.000951,3.498101,0.637497,4.136549,10899.733917,4.149040
7,0.000939,3.436150,0.724142,4.161231,10899.738091,4.173507
8,0.000952,3.494672,0.650897,4.146521,10899.742250,4.159331
9,0.000938,3.489478,0.655448,4.145864,10899.746409,4.158828
10,0.000982,3.487496,0.677689,4.166167,10899.750587,4.178516
11,0.000929,3.500811,0.683313,4.185053,10899.754785,4.197524
12,0.001029,3.507392,0.591947,4.100368,10899.758898,4.112873
13,0.001071,3.436295,0.740676,4.178042,10899.763088,4.190573
14,0.000963,3.494517,0.668284,4.163764,10899.767265,4.176061
15,0.000945,3.496780,0.638124,4.135849,10899.771413,4.148210
16,0.000932,3.498375,0.687341,4.186648,10899.775612,4.199000
17,0.000953,3.473848,0.612482,4.087283,10899.779712,4.100476
18,0.001275,3.589597,0.574794,4.165666,10899.783890,4.177963
19,0.002247,3.502854,0.680989,4.186090,10899.788098,4.207359
20,0.001004,3.512498,0.615893,4.129395,10899.792240,4.142513
21,0.000902,3.503977,0.632045,4.136924,10899.796390,4.149579
22,0.000905,3.493213,0.736865,4.230983,10899.800633,4.243406
23,0.000891,3.504147,0.592568,4.097606,10899.804743,4.109870
24,0.000883,3.507936,0.670994,4.179813,10899.808935,4.192217
25,0.000928,3.435982,0.680466,4.117376,10899.813066,4.130503
26,0.001141,3.501332,0.705424,4.207897,10899.817286,4.220589
27,0.000863,3.495790,0.611127,4.107780,10899.821406,4.120181
28,0.000938,3.470573,0.741611,4.213122,10899.825632,4.225671
29,0.000899,3.503062,0.588290,4.092251,10899.829737,4.104812
30,0.000940,3.504958,0.694056,4.199954,10899.833949,4.212283
31,0.000904,3.431561,0.731541,4.164006,10899.838125,4.176288
32,0.000910,3.491336,0.587159,4.079405,10899.842217,4.091933
33,0.000906,3.500149,0.653547,4.154602,10899.846385,4.167213
34,0.001382,3.505399,0.722434,4.229215,10899.850626,4.241561
35,0.000900,3.516361,0.587429,4.104690,10899.854743,4.117003
36,0.001038,3.508062,0.680938,4.190038,10899.858946,4.202384
37,0.000964,3.439714,0.700078,4.140756,10899.863099,4.153102
38,0.000904,3.507298,0.650137,4.158339,10899.867270,4.171199
39,0.000867,3.486163,0.632300,4.119330,10899.871401,4.131580
40,0.000875,3.485929,0.725947,4.212751,10899.875627,4.225441
41,0.000905,3.502215,0.617804,4.120924,10899.879761,4.134142
42,0.000934,3.573171,0.595307,4.169412,10899.883943,4.181802
43,0.002952,3.618961,0.489175,4.111088,10899.888086,4.143009
44,0.001119,3.520927,0.660511,4.182557,10899.892284,4.197796
45,0.000928,3.494409,0.635075,4.130412,10899.896426,4.142751
46,0.000946,3.491627,0.707087,4.199660,10899.900639,4.212248
47,0.000874,3.477590,0.640501,4.118965,10899.904770,4.131403
48,0.000911,3.512295,0.649890,4.163096,10899.908946,4.175666
49,0.000918,12.255097,0.266143,12.522158,10899.921480,12.534691
50,0.000994,3.402277,0.779535,4.182806,10899.925674,4.193398
51,0.000885,3.494019,0.470943,3.965847,10899.929652,3.978098
52,0.001122,3.499152,0.766623,4.266897,10899.933931,4.279146
53,0.000863,3.455831,0.690591,4.147285,10899.938092,4.160564
54,0.000882,3.488859,0.662012,4.151753,10899.942256,4.164286
55,0.000903,3.498560,0.503734,4.003197,10899.946271,4.015510
56,0.000940,3.497147,0.619035,4.117122,10899.950401,4.129490
57,0.000854,3.507725,0.843245,4.351824,10899.954765,4.364050
58,0.000927,3.497479,0.649062,4.147468,10899.958925,4.159706
59,0.000937,3.465930,0.693473,4.160340,10899.963097,4.172750
60,0.000944,3.500759,0.640704,4.142407,10899.967252,4.154950
61,0.000957,3.495808,0.561741,4.058506,10899.971323,4.070831
62,0.001271,3.486048,0.788923,4.276242,10899.975612,4.288552
63,0.000871,3.472267,0.684346,4.157484,10899.979781,4.169761
64,0.000904,3.496381,0.526880,4.024165,10899.983818,4.036478
65,0.002060,5.553463,0.207087,5.762610,10899.989600,5.782354
66,0.002116,3.579446,0.171900,3.753462,10899.993373,3.772593
67,0.001056,3.492905,0.088451,3.582412,10899.996968,3.594682
68,0.001024,3.453643,0.152841,3.607508,10900.000586,3.618552
69,0.000975,3.460454,0.528231,3.989660,10900.004587,4.000665
70,0.000887,3.447820,0.837767,4.286474,10900.008884,4.296979
71,0.000826,3.406809,0.734560,4.142195,10900.013037,4.152949
72,0.001065,3.494510,0.704568,4.200143,10900.017249,4.212549
73,0.000916,3.496885,0.570692,4.068493,10900.021330,4.080724
74,0.000938,3.495226,0.774376,4.270540,10900.025613,4.282934
75,0.000879,3.474830,0.630725,4.106434,10900.029732,4.118782
76,0.000959,3.503745,0.702497,4.207201,10900.033951,4.219670
77,0.001029,3.434204,0.695467,4.130700,10900.038096,4.145025
78,0.000940,3.498221,0.671898,4.171059,10900.042280,4.183522
79,0.000934,3.491899,0.462995,3.955828,10900.046248,3.967992
80,0.000880,3.480865,0.667792,4.149537,10900.050410,4.161824
