FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001118,3.493664,0.707949,4.202731,10921.969987,N/A
1,0.001125,3.499129,0.588689,4.088943,10921.974096,4.109068
2,0.000986,3.515332,0.679003,4.195321,10921.978305,4.208744
3,0.001015,3.484569,0.618094,4.103678,10921.982422,4.116878
4,0.000925,3.466499,0.755308,4.222732,10921.986658,4.235702
5,0.001033,3.484734,0.628268,4.114035,10921.990785,4.127118
6,0.001071,3.486373,0.708036,4.195480,10921.994993,4.208288
7,0.000966,3.517513,0.522245,4.040724,10921.999052,4.058585
8,0.001097,3.503432,0.747231,4.251760,10922.003316,4.264713
9,0.000958,3.483956,0.624764,4.109678,10922.007439,4.122689
10,0.000929,3.462242,0.742279,4.205450,10922.011657,4.218494
11,0.000976,3.457907,0.697779,4.156662,10922.015827,4.169487
12,0.000965,3.450388,0.704835,4.156188,10922.019996,4.168961
13,0.000945,3.486712,0.613101,4.100758,10922.024115,4.118777
14,0.001095,3.466891,0.673478,4.141464,10922.028269,4.154331
15,0.001016,3.586747,0.581568,4.169331,10922.032451,4.182143
16,0.002389,3.568282,0.569043,4.139714,10922.036612,4.160593
17,0.000993,3.511022,0.680242,4.192257,10922.040819,4.207015
18,0.000951,3.551756,0.561971,4.114678,10922.044947,4.128183
19,0.000948,3.482002,0.709856,4.192806,10922.049152,4.205360
20,0.000981,3.483174,0.627573,4.111728,10922.053277,4.124607
21,0.000958,3.473317,0.683825,4.158100,10922.057447,4.170578
22,0.001039,3.462056,0.742793,4.205888,10922.061666,4.218372
23,0.000950,3.530507,0.566582,4.098039,10922.065776,4.110589
24,0.000934,3.499659,0.721943,4.222536,10922.070012,4.235334
25,0.001000,3.487132,0.638784,4.126916,10922.074154,4.142150
26,0.000940,3.475410,0.634117,4.110467,10922.078277,4.122892
27,0.000939,3.491657,0.650463,4.143059,10922.082432,4.155525
28,0.001154,3.482526,0.735250,4.218930,10922.086664,4.231393
29,0.000869,3.451101,0.711014,4.162984,10922.090839,4.175439
30,0.000959,3.441169,0.695926,4.138054,10922.094990,4.150555
31,0.001527,3.504652,0.659308,4.165487,10922.099176,4.186225
32,0.000958,3.485764,0.602853,4.089575,10922.103278,4.102009
33,0.000935,3.564000,0.595888,4.160823,10922.107452,4.173980
34,0.000920,3.472794,0.734419,4.208133,10922.111673,4.220659
35,0.000920,3.463844,0.663996,4.128760,10922.115814,4.141212
36,0.000858,3.469813,0.699509,4.170180,10922.119997,4.182898
37,0.001598,3.444373,0.700119,4.146090,10922.124166,4.168998
38,0.001079,3.484787,0.597945,4.083811,10922.128262,4.096547
39,0.000811,3.998968,0.289806,4.289585,10922.132564,4.302116
40,0.003127,4.109600,0.188165,4.300892,10922.136892,4.327381
41,0.001463,3.440934,0.380723,3.823120,10922.140730,3.838502
42,0.000986,3.488422,0.778887,4.268295,10922.145012,4.281381
43,0.001000,3.492337,0.626672,4.120009,10922.149147,4.135752
44,0.000904,3.481205,0.635457,4.117566,10922.153278,4.130365
45,0.000908,3.491035,0.680546,4.172489,10922.157463,4.185310
46,0.000981,14.223796,0.158839,14.383616,10922.171859,14.396340
47,0.001068,3.423154,0.145050,3.569272,10922.175440,3.580491
48,0.001068,3.460915,0.083629,3.545612,10922.178996,3.556001
49,0.001439,3.469557,0.154988,3.625984,10922.182643,3.647286
50,0.001261,3.446791,0.444059,3.892111,10922.186546,3.903240
51,0.000925,3.473348,0.587248,4.061521,10922.190620,4.073914
52,0.001047,3.433710,0.841984,4.276741,10922.194908,4.287976
53,0.001157,3.380792,0.822108,4.204057,10922.199124,4.215569
54,0.001048,3.464782,0.710933,4.176763,10922.203313,4.189420
