FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001417,3.677966,0.343577,4.022960,7719.744135,N/A
1,0.001426,3.612793,0.499336,4.113555,7719.748268,4.132921
2,0.000955,3.626422,0.691505,4.318882,7719.752604,4.336116
3,0.001393,3.619453,0.412414,4.033260,7719.756654,4.049520
4,0.001555,3.658601,0.540232,4.200388,7719.760871,4.217357
5,0.001286,3.638508,0.407871,4.047665,7719.764936,4.064711
6,0.001011,3.649217,0.553355,4.203583,7719.769156,4.220431
7,0.001113,3.618897,0.467890,4.087900,7719.773262,4.106213
8,0.000957,3.613143,0.716612,4.330712,7719.777609,4.346523
9,0.001031,3.630683,0.401758,4.033472,7719.781660,4.051031
10,0.000878,3.654125,0.549950,4.204953,7719.785882,4.222227
11,0.001094,3.607205,0.480025,4.088324,7719.789989,4.106609
12,0.001074,3.828163,0.352282,4.181519,7719.794195,4.206606
13,0.001655,3.672608,0.497387,4.171650,7719.798393,4.197283
14,0.001244,3.662859,0.367255,4.031358,7719.802442,4.049219
15,0.001811,3.633804,0.600007,4.235622,7719.806695,4.252885
16,0.001291,3.653103,0.506487,4.160881,7719.810873,4.178093
17,0.001089,3.645463,0.495510,4.142062,7719.815033,4.160210
18,0.001138,3.637002,0.462863,4.101003,7719.819152,4.118525
19,0.001017,3.617645,0.524661,4.143323,7719.823312,4.160711
20,0.001183,3.632474,0.652691,4.286348,7719.827616,4.303671
21,0.001461,3.610482,0.442169,4.054112,7719.831687,4.071520
22,0.001263,3.634795,0.531664,4.167722,7719.835873,4.185070
23,0.001030,3.646140,0.418285,4.065455,7719.839955,4.082264
24,0.000941,3.631406,0.569489,4.201836,7719.844174,4.218861
25,0.000969,3.613603,0.576725,4.191297,7719.848383,4.209358
26,0.001190,3.669094,0.381261,4.051545,7719.852451,4.067943
27,0.001212,3.683493,0.537844,4.222549,7719.856687,4.236197
28,0.001235,3.494778,0.777558,4.273571,7719.860973,4.286067
29,0.000786,3.498936,0.463446,3.963168,7719.864949,3.975730
30,0.000980,3.422971,0.883332,4.307283,7719.869268,4.318723
31,0.000778,3.498772,0.533610,4.033160,7719.873313,4.045563
32,0.000806,3.503839,0.787900,4.292545,7719.877618,4.304922
33,0.000748,3.469233,0.648948,4.118929,7719.881750,4.131716
34,0.000765,3.507503,0.655091,4.163359,7719.885926,4.175752
35,0.000854,3.460154,0.706370,4.167378,7719.890105,4.179805
36,0.000754,3.651134,0.408573,4.060461,7719.894178,4.072896
37,0.001634,3.591516,0.613075,4.206225,7719.898405,4.226514
38,0.001083,3.500935,0.607685,4.109703,7719.902528,4.122812
39,0.000846,3.499472,0.766344,4.266662,7719.906807,4.279193
40,0.000740,3.463493,0.618993,4.083226,7719.910903,4.095827
41,0.000776,3.473823,0.723752,4.198351,7719.915114,4.211328
42,0.001109,3.506643,0.533161,4.040913,7719.919167,4.053468
43,0.000807,3.515599,0.677863,4.194269,7719.923374,4.206693
44,0.001317,3.493869,0.738580,4.233766,7719.927620,4.246064
45,0.000903,3.462832,0.660216,4.123951,7719.931757,4.136326
46,0.000844,3.506253,0.652273,4.159370,7719.935929,4.171937
47,0.000825,3.464178,0.695569,4.160572,7719.940102,4.173048
48,0.000776,13.148534,0.164842,13.314152,7719.953428,13.326645
49,0.000888,3.489612,0.089111,3.579611,7719.957019,3.591032
50,0.000873,3.502618,0.213156,3.716647,7719.960747,3.727839
51,0.000840,3.501375,0.603379,4.105594,7719.964865,4.117979
52,0.001018,3.406312,0.851299,4.258629,7719.969135,4.269649
53,0.000859,3.471225,0.766166,4.238250,7719.973385,4.249912
54,0.000807,3.495434,0.646345,4.142586,7719.977539,4.154850
55,0.000769,3.515375,0.650169,4.166313,7719.981718,4.178691
56,0.000776,3.505094,0.632778,4.138648,7719.985869,4.150867
57,0.000771,3.439335,0.733536,4.173642,7719.990055,4.186127
58,0.000785,3.583780,0.477434,4.061999,7719.994130,4.074557
59,0.003905,3.597188,0.485998,4.087091,7719.998241,4.111077
60,0.000868,3.518882,0.628443,4.148193,7720.002402,4.161604
61,0.000809,3.499555,0.810336,4.310700,7720.006725,4.322945
62,0.000821,3.509638,0.497861,4.008320,7720.010746,4.020723
63,0.000744,3.539087,0.746614,4.286445,7720.015045,4.298936
64,0.000875,3.501677,0.482644,3.985196,7720.019042,3.996664
65,0.000934,3.505664,0.819497,4.326095,7720.023380,4.337864
66,0.000738,3.501609,0.639028,4.141375,7720.027533,4.153617
67,0.000786,3.495227,0.679572,4.175585,7720.031721,4.187798
68,0.000800,3.506292,0.640303,4.147395,7720.035881,4.159801
69,0.000794,3.467692,0.709139,4.177625,7720.040071,4.189871
70,0.000859,3.492394,0.625770,4.119023,7720.044202,4.131331
71,0.000834,3.506669,0.529336,4.036839,7720.048251,4.049159
72,0.000791,3.506771,0.756350,4.263912,7720.052527,4.276307
73,0.001007,3.497421,0.687450,4.185878,7720.056726,4.198184
74,0.001171,3.523178,0.588811,4.113160,7720.060851,4.125536
75,0.000760,3.466122,0.722553,4.189435,7720.065053,4.201823
76,0.000942,3.497132,0.620145,4.118219,7720.069182,4.129137
77,0.000789,3.484254,0.709413,4.194456,7720.073391,4.208731
78,0.000784,3.480626,0.683045,4.164455,7720.077567,4.176594
79,0.000836,3.511259,0.607028,4.119123,7720.081699,4.131448
80,0.000785,3.504806,0.679355,4.184946,7720.085896,4.197618
81,0.000769,3.456794,0.696598,4.154161,7720.090063,4.166655
82,0.000788,3.540788,0.523597,4.065173,7720.094141,4.077455
83,0.002390,3.649199,0.519111,4.170700,7720.098348,4.207258
84,0.001167,3.520812,0.680938,4.202917,7720.102567,4.219418
85,0.000767,3.505725,0.631050,4.137542,7720.106717,4.149846
86,0.000830,3.517918,0.632175,4.150923,7720.110880,4.163227
87,0.001055,3.501680,0.684130,4.186865,7720.115080,4.199308
88,0.000820,3.495491,0.599217,4.095528,7720.119188,4.108150
89,0.000823,3.501517,0.605450,4.107790,7720.123308,4.120097
90,0.000762,3.481502,0.788895,4.271159,7720.127591,4.283589
91,0.000764,3.490724,0.648998,4.140486,7720.131744,4.152663
92,0.001035,3.449952,0.736522,4.187509,7720.135944,4.199496
93,0.000772,3.420519,0.718701,4.139992,7720.140098,4.154495
94,0.000834,3.447732,0.650967,4.099533,7720.144210,4.111620
95,0.000808,3.474783,0.707653,4.183244,7720.148405,4.195440
96,0.000825,3.476807,0.711126,4.188758,7720.152606,4.200805
97,0.000760,3.483160,0.637168,4.121088,7720.156739,4.133107
98,0.000797,3.437587,0.748145,4.186529,7720.160938,4.198648
99,0.001264,3.413640,0.746748,4.161652,7720.165112,4.173913
100,0.000869,3.434357,0.652172,4.087398,7720.169211,4.099707
101,0.000837,3.482633,0.707934,4.191404,7720.173415,4.203455
102,0.001029,3.475795,0.705297,4.182121,7720.177609,4.194217
103,0.000804,3.474944,0.655106,4.130854,7720.181752,4.142987
104,0.000802,3.488299,0.680845,4.169946,7720.185934,4.182060
105,0.000751,3.489745,0.642626,4.133122,7720.190080,4.145510
106,0.000872,3.593843,0.405149,3.999864,7720.194090,4.010612
107,0.001321,3.718773,0.479401,4.199495,7720.198326,4.235866
108,0.001359,3.601887,0.511142,4.114388,7720.202464,4.137867
109,0.000770,3.507667,0.797646,4.306083,7720.206786,4.321646
110,0.000802,3.408845,0.742016,4.151663,7720.210949,4.163874
111,0.000868,3.421491,0.724160,4.146519,7720.215108,4.158439
112,0.000734,3.438167,0.671227,4.110128,7720.219230,4.122180
113,0.000801,3.439778,0.760478,4.201057,7720.223443,4.213127
114,0.000799,3.436008,0.719795,4.156602,7720.227612,4.168883
115,0.000766,3.441181,0.708950,4.150897,7720.231775,4.163002
116,0.000739,3.438428,0.723187,4.162354,7720.235950,4.174576
117,0.000809,3.461889,0.675260,4.137958,7720.240100,4.150129
118,0.000776,3.481575,0.613656,4.096007,7720.244208,4.108026
119,0.000773,3.551060,0.583576,4.135409,7720.248355,4.147665
