FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001317,3.379669,0.138842,3.519828,13560.264870,N/A
1,0.001395,3.386633,0.142413,3.530441,13560.268412,3.541955
2,0.000839,3.622115,0.171200,3.794154,13560.272217,3.805086
3,0.001879,3.427614,0.141789,3.571282,13560.275802,3.585285
4,0.001195,3.392481,0.140551,3.534227,13560.279346,3.544355
5,0.001024,3.380031,0.125171,3.506226,13560.282863,3.516654
6,0.000955,3.381655,0.120276,3.502886,13560.286376,3.513081
7,0.000831,3.378258,0.126541,3.505630,13560.289892,3.515753
8,0.000893,3.386346,0.124473,3.511712,13560.293413,3.521256
9,0.000885,3.380972,0.093429,3.475286,13560.296899,3.485605
10,0.000869,3.373873,0.128132,3.502874,13560.300411,3.512627
11,0.000900,3.375008,0.096918,3.472826,13560.303894,3.482554
12,0.000940,3.373277,0.127290,3.501507,13560.307405,3.511252
13,0.000926,3.368635,0.121912,3.491473,13560.310906,3.501230
14,0.001004,3.374090,0.118501,3.493595,13560.314410,3.503293
15,0.000936,3.357342,0.069476,3.427754,13560.317847,3.437337
16,0.000822,3.376557,0.071936,3.449315,13560.321306,3.459215
17,0.000833,3.380748,0.145139,3.526720,13560.324844,3.537408
18,0.000935,3.390955,0.137968,3.529858,13560.328383,3.539846
19,0.001176,3.387347,0.105520,3.494043,13560.331887,3.503668
20,0.001020,3.383051,0.147490,3.531561,13560.335429,3.541830
21,0.000892,3.372873,0.097573,3.471338,13560.338910,3.481305
22,0.000846,3.361675,0.126313,3.488834,13560.342409,3.498345
23,0.000941,3.394097,0.091684,3.486722,13560.345905,3.496178
24,0.000858,3.406611,0.144025,3.551494,13560.349466,3.561032
25,0.000873,3.382540,0.067511,3.450924,13560.352927,3.461284
26,0.000982,3.391179,0.143534,3.535695,13560.356473,3.545855
27,0.000975,3.380813,0.068253,3.450041,13560.359933,3.459768
28,0.001213,3.381993,0.076724,3.459930,13560.363402,3.469536
29,0.000887,3.332192,0.076866,3.409945,13560.366822,3.419704
30,0.000869,3.457516,0.169159,3.627544,13560.370459,3.637269
31,0.001818,5.488608,0.127837,5.618263,13560.376094,5.634898
32,0.002263,3.435651,0.145455,3.583369,13560.379694,3.599840
33,0.000998,3.385397,0.145218,3.531613,13560.383236,3.542554
34,0.000863,3.390720,0.145747,3.537330,13560.386785,3.548231
35,0.000949,3.386747,0.133715,3.521411,13560.390316,3.531395
36,0.000944,3.387991,0.148008,3.536943,13560.393863,3.546689
37,0.000919,3.394422,0.150128,3.545469,13560.397418,3.555410
38,0.000977,3.379302,0.092729,3.473008,13560.400901,3.482822
39,0.000962,3.394880,0.137463,3.533305,13560.404444,3.543326
40,0.001129,3.387759,0.072327,3.461215,13560.407915,3.470886
41,0.000909,3.381975,0.138047,3.520931,13560.411447,3.531383
42,0.000858,3.392929,0.068091,3.461878,13560.414918,3.471444
43,0.000889,3.388177,0.138970,3.528036,13560.418456,3.537595
44,0.000943,3.391681,0.069072,3.461696,13560.421927,3.471764
45,0.000758,3.388438,0.135976,3.525172,13560.425463,3.535217
46,0.000880,3.381141,0.069438,3.451459,13560.428924,3.461323
47,0.000852,3.388418,0.135538,3.524808,13560.432459,3.534761
48,0.000787,3.377700,0.071898,3.450385,13560.435919,3.460298
49,0.000918,3.389821,0.136255,3.526994,13560.439456,3.537133
50,0.000838,3.378165,0.069154,3.448157,13560.442914,3.457858
51,0.000871,3.394540,0.184586,3.579997,13560.446504,3.589662
52,0.001553,3.402975,0.070366,3.474894,13560.449988,3.484825
53,0.006340,3.384755,0.141186,3.532281,13560.453531,3.543024
54,0.000865,3.375249,0.065307,3.441421,13560.456983,3.451145
55,0.000856,3.380815,0.138854,3.520525,13560.460513,3.530042
56,0.000829,3.374134,0.068127,3.443090,13560.463965,3.452602
57,0.000795,3.392490,0.137447,3.530732,13560.467506,3.540380
58,0.000836,3.376303,0.067857,3.444996,13560.470961,3.454896
59,0.000871,3.575111,0.162160,3.738142,13560.474708,3.747832
60,0.001770,3.432057,0.138003,3.571830,13560.478295,3.587010
61,0.000836,3.387390,0.141099,3.529325,13560.481835,3.539956
62,0.000994,3.388376,0.158989,3.548359,13560.485394,3.558246
63,0.000902,3.380298,0.104676,3.485876,13560.488889,3.495548
64,0.000933,13.657347,0.140874,13.799154,13560.502698,13.808819
65,0.000840,3.396566,0.135075,3.532481,13560.506242,3.543632
66,0.000808,3.384109,0.134718,3.519635,13560.509771,3.529413
67,0.000787,3.381304,0.104784,3.486875,13560.513268,3.496522
68,0.001096,3.377978,0.144695,3.523769,13560.516801,3.533338
69,0.000860,3.380168,0.137303,3.518331,13560.520329,3.527715
70,0.001220,3.389825,0.144870,3.535915,13560.523874,3.545395
71,0.000865,3.393302,0.138352,3.532519,13560.527416,3.542202
72,0.000804,3.384378,0.092520,3.477702,13560.530904,3.487538
73,0.000885,3.386103,0.140369,3.527357,13560.534440,3.536702
74,0.000910,3.377743,0.094644,3.473297,13560.537923,3.482806
75,0.000800,3.378498,0.142297,3.521595,13560.541454,3.531106
76,0.000948,3.376591,0.066791,3.444330,13560.544908,3.453836
77,0.001002,3.387101,0.145487,3.533590,13560.548454,3.546079
78,0.000990,3.381955,0.065979,3.448924,13560.551913,3.458468
79,0.000810,3.393810,0.145908,3.540528,13560.555463,3.550211
80,0.000890,3.384897,0.066109,3.451896,13560.558924,3.461462
81,0.000901,3.385522,0.102937,3.489360,13560.562423,3.498967
82,0.000830,3.373650,0.096303,3.470783,13560.565903,3.480141
83,0.000771,3.389019,0.148662,3.538452,13560.569452,3.548130
84,0.000901,3.411255,0.094293,3.506449,13560.572968,3.516000
85,0.001866,3.565387,0.172528,3.739781,13560.576722,3.754453
86,0.001494,3.429711,0.142966,3.574171,13560.580314,3.591653
87,0.000864,3.380847,0.143681,3.525392,13560.583849,3.535623
88,0.001042,3.388263,0.118235,3.507540,13560.587367,3.517280
89,0.000863,3.384669,0.093723,3.479255,13560.590855,3.488852
90,0.000876,3.377766,0.142201,3.520843,13560.594386,3.530122
91,0.000878,3.379198,0.105744,3.485820,13560.597881,3.495279
92,0.001003,3.389467,0.156042,3.546512,13560.601437,3.556242
93,0.000750,3.318114,0.128663,3.447527,13560.604896,3.458704
94,0.000884,3.292971,0.136981,3.430836,13560.608336,3.440364
95,0.000778,3.300352,0.136757,3.437887,13560.611783,3.447283
96,0.000863,3.296461,0.134276,3.431600,13560.615225,3.441230
97,0.000798,3.311214,0.137708,3.449720,13560.618684,3.459354
98,0.000820,3.323339,0.148284,3.472443,13560.622166,3.482023
99,0.000840,3.309345,0.143585,3.453770,13560.625629,3.463208
100,0.000906,3.342957,0.069249,3.413112,13560.629052,3.422588
101,0.000833,3.338349,0.133615,3.472797,13560.632534,3.482330
102,0.000831,3.302358,0.065433,3.368622,13560.635912,3.377797
103,0.000829,3.331813,0.140938,3.473580,13560.639395,3.482910
104,0.000831,3.303835,0.133329,3.437995,13560.642843,3.447632
105,0.000795,3.344790,0.174244,3.519829,13560.646372,3.529324
106,0.000770,3.293693,0.141673,3.436136,13560.649817,3.445402
107,0.000912,3.382025,0.100202,3.483139,13560.653310,3.492614
108,0.001260,3.310486,0.140553,3.452299,13560.656772,3.461728
109,0.000933,3.349353,0.135425,3.485711,13560.660269,3.497444
110,0.001332,3.338689,0.139624,3.479645,13560.663758,3.489016
111,0.000991,3.306897,0.139920,3.447808,13560.667215,3.457008
112,0.000795,3.343135,0.104035,3.447965,13560.670673,3.457683
113,0.000806,3.567604,0.191852,3.760262,13560.674442,3.769741
114,0.002212,3.390297,0.073529,3.466038,13560.677928,3.485565
115,0.001317,3.417207,0.142899,3.561423,13560.681501,3.572589
116,0.001226,3.312467,0.095288,3.408981,13560.684919,3.418735
117,0.000839,3.316971,0.136465,3.454275,13560.688383,3.464032
118,0.000998,3.313474,0.124001,3.438473,13560.691832,3.448626
119,0.000708,3.343931,0.138282,3.482921,13560.695324,3.492350
120,0.001008,3.308814,0.141681,3.451503,13560.698786,3.461199
121,0.000840,3.342386,0.133979,3.477205,13560.702272,3.486673
122,0.000777,3.341680,0.137487,3.479944,13560.705761,3.489197
123,0.000904,3.321806,0.134098,3.456808,13560.709228,3.466366
124,0.000956,3.339770,0.137144,3.477870,13560.712715,3.487241
125,0.000946,3.365327,0.135621,3.501894,13560.716226,3.511206
126,0.000954,3.309371,0.132687,3.443012,13560.719679,3.452351
127,0.000796,3.303070,0.105906,3.409772,13560.723098,3.419142
128,0.000818,3.310735,0.142551,3.454104,13560.726561,3.463495
129,0.000805,3.336623,0.064963,3.402391,13560.729975,3.414075
130,0.000806,3.306859,0.141737,3.449402,13560.733434,3.458862
131,0.000886,3.306832,0.120279,3.427997,13560.736872,3.437582
132,0.000921,3.442581,0.135148,3.578650,13560.740460,3.588040
133,0.000807,3.309141,0.103910,3.413858,13560.743883,3.423002
134,0.000853,3.341880,0.140592,3.483325,13560.747375,3.492629
135,0.001252,3.321764,0.138939,3.461955,13560.750847,3.471238
136,0.001235,3.314133,0.136202,3.451570,13560.754308,3.460925
137,0.000833,3.302022,0.133572,3.436427,13560.757754,3.446102
138,0.000827,3.313327,0.135792,3.449946,13560.761213,3.459221
139,0.001201,3.383661,0.138383,3.523245,13560.764745,3.532284
140,0.001008,3.338043,0.143090,3.482141,13560.768237,3.491574
141,0.000795,3.309485,0.134993,3.445273,13560.771691,3.454428
142,0.000827,3.600784,0.194541,3.796152,13560.775497,3.805479
143,0.002071,3.540490,0.159863,3.702424,13560.779217,3.720125
144,0.001235,3.315264,0.133277,3.449776,13560.782677,3.460314
145,0.000795,3.311454,0.155937,3.468186,13560.786155,3.477689
146,0.000798,3.349195,0.133637,3.483630,13560.789648,3.493097
147,0.001067,3.306614,0.072221,3.379902,13560.793037,3.389174
148,0.000973,3.343598,0.138112,3.482683,13560.796529,3.492322
149,0.000941,3.410374,0.067676,3.478991,13560.800021,3.491803
150,0.000902,3.309781,0.140269,3.450952,13560.803482,3.460528
151,0.000852,3.309284,0.101034,3.411170,13560.806902,3.420571
152,0.000930,3.312674,0.135129,3.448733,13560.810360,3.458114
153,0.000918,3.368753,0.137403,3.507074,13560.813877,3.516463
154,0.000832,3.308910,0.135022,3.444764,13560.817331,3.453963
155,0.001086,3.322446,0.107699,3.431231,13560.820771,3.440505
156,0.000966,3.330573,0.141373,3.472912,13560.824254,3.482402
157,0.000990,3.424249,0.135613,3.560852,13560.827824,3.570121
158,0.000893,3.447982,0.134278,3.583153,13560.831416,3.592307
159,0.000855,3.308604,0.139411,3.448870,13560.834874,3.458070
160,0.000815,3.347143,0.139777,3.487735,13560.838371,3.496867
161,0.000860,3.314968,0.136016,3.451844,13560.841832,3.461178
162,0.000890,3.340812,0.139325,3.481027,13560.845323,3.490374
163,0.000821,3.424056,0.130053,3.554930,13560.848887,3.564260
164,0.000977,3.528985,0.136621,3.666583,13560.852563,3.675918
165,0.000746,3.374291,0.068993,3.444030,13560.856016,3.453548
166,0.000645,3.319731,0.138269,3.458645,13560.859485,3.468286
167,0.000656,3.307963,0.095361,3.403980,13560.862898,3.413209
168,0.000634,3.341993,0.139540,3.482167,13560.866389,3.491428
169,0.000683,3.317680,0.141120,3.459483,13560.869858,3.468687
170,0.000647,3.337018,0.134696,3.472361,13560.873340,3.481729
171,0.000712,3.562489,0.195502,3.758703,13560.877108,3.767991
172,0.001998,3.446016,0.139686,3.587700,13560.880713,3.605715
173,0.000887,3.351315,0.136840,3.489042,13560.884217,3.503102
174,0.000892,3.351874,0.142972,3.495738,13560.887722,3.505565
175,0.001002,3.345563,0.135671,3.482236,13560.891214,3.491778
176,0.000892,3.308775,0.133881,3.443548,13560.894667,3.453020
177,0.000726,3.342901,0.136348,3.479975,13560.898156,3.489507
178,0.000844,3.348190,0.139406,3.488440,13560.901654,3.497982
179,0.000890,3.348794,0.149860,3.499544,13560.905164,3.509263
180,0.001414,3.343517,0.137154,3.482085,13560.908655,3.491760
181,0.000900,3.305877,0.067262,3.374039,13560.912039,3.383610
182,0.000963,3.401847,0.138226,3.541036,13560.915590,3.550575
183,0.000836,3.313122,0.065616,3.379574,13560.918979,3.388973
184,0.000950,3.343605,0.138883,3.483438,13560.922471,3.492831
185,0.000741,3.314134,0.101462,3.416337,13560.925897,3.425790
186,0.000904,3.405876,0.137981,3.544761,13560.929451,3.554233
187,0.000866,3.347046,0.095067,3.442979,13560.932904,3.452373
188,0.000981,3.312858,0.138478,3.452317,13560.936366,3.461739
189,0.000914,3.309152,0.138471,3.448537,13560.939824,3.458310
190,0.000917,3.507633,0.140232,3.648782,13560.943482,3.658045
191,0.000875,3.382088,0.067678,3.450641,13560.946942,3.460108
192,0.000862,3.434635,0.137777,3.573274,13560.950525,3.582764
193,0.000869,3.409713,0.068808,3.479390,13560.954014,3.488892
194,0.000835,3.350652,0.139322,3.490809,13560.957514,3.500227
195,0.000788,3.310800,0.067236,3.378824,13560.960902,3.388355
196,0.001030,3.350386,0.143342,3.494758,13560.964406,3.504137
197,0.000945,3.306407,0.136849,3.444201,13560.967860,3.453481
198,0.001014,3.405045,0.139144,3.545203,13560.971414,3.554386
199,0.001028,3.380393,0.115817,3.497238,13560.974921,3.506551
200,0.001269,5.496282,0.175387,5.672938,13560.980603,5.682256
201,0.002743,3.645507,0.168780,3.817030,13560.984455,3.851496
202,0.001361,3.461676,0.070761,3.533798,13560.988006,3.551881
203,0.000920,3.445105,0.173209,3.619234,13560.991654,3.647536
