FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001573,3.452213,0.657149,4.110935,7726.928374,N/A
1,0.000876,3.455069,0.785717,4.241662,7726.932630,4.256201
2,0.000934,3.453980,0.628685,4.083599,7726.936726,4.096450
3,0.000730,3.444164,0.757055,4.201949,7726.940941,4.214515
4,0.000826,3.511770,0.571151,4.083747,7726.945037,4.096470
5,0.000759,3.453611,0.776012,4.230382,7726.949281,4.243223
6,0.000920,3.484928,0.583679,4.069527,7726.953363,4.082496
7,0.000814,3.476939,0.728455,4.206208,7726.957582,4.218617
8,0.000845,3.559807,0.622516,4.183168,7726.961777,4.195587
9,0.002678,3.519473,0.569862,4.092013,7726.965899,4.121284
10,0.001019,3.418367,0.756643,4.176029,7726.970089,4.189989
11,0.000842,3.496020,0.634101,4.130963,7726.974232,4.143723
12,0.000841,3.480854,0.658558,4.140253,7726.978385,4.152615
13,0.000789,3.461103,0.686852,4.148744,7726.982546,4.161224
14,0.000797,3.487898,0.736866,4.225561,7726.986784,4.238147
15,0.000789,3.470699,0.685186,4.156674,7726.990953,4.169140
16,0.000790,3.493870,0.604914,4.099574,7726.995065,4.112046
17,0.000780,3.461777,0.742587,4.205144,7726.999284,4.218526
18,0.000808,3.504727,0.587662,4.093197,7727.003390,4.105548
19,0.000798,3.467281,0.747557,4.215636,7727.007618,4.228030
20,0.000904,3.466573,0.671809,4.139286,7727.011769,4.151644
21,0.000790,3.490414,0.656780,4.147984,7727.015930,4.160677
22,0.000833,3.420923,0.736079,4.157835,7727.020101,4.170674
23,0.000759,3.503857,0.604672,4.109288,7727.024222,4.121830
24,0.000828,3.499577,0.629407,4.129812,7727.028365,4.142537
25,0.000832,3.499170,0.750175,4.250177,7727.032628,4.263217
26,0.000844,3.511771,0.558137,4.070752,7727.036711,4.083279
27,0.000790,3.529051,0.706442,4.236283,7727.040960,4.248626
28,0.000865,3.510224,0.564388,4.075477,7727.045048,4.088211
29,0.000844,3.406199,0.754022,4.161065,7727.049222,4.173694
30,0.000976,3.509348,0.659800,4.170124,7727.053405,4.182590
31,0.000924,3.498981,0.736130,4.236035,7727.057653,4.248484
32,0.000837,3.545957,0.548257,4.095051,7727.061760,4.107423
33,0.001244,5.549313,0.125942,5.676499,7727.067461,5.700821
34,0.002268,3.544201,0.154899,3.701368,7727.071179,3.717673
35,0.000908,3.502967,0.184490,3.688365,7727.074879,3.699817
36,0.000847,3.417265,0.175599,3.593711,7727.078484,3.604805
37,0.000805,3.428179,0.658677,4.087661,7727.082582,4.098356
38,0.000871,3.497065,0.705511,4.203447,7727.086798,4.215896
39,0.000843,3.495660,0.593487,4.089990,7727.090900,4.102388
40,0.000808,3.434785,0.749158,4.184751,7727.095097,4.197309
41,0.000832,3.506672,0.644910,4.152414,7727.099263,4.165741
42,0.000899,3.508207,0.622488,4.131594,7727.103407,4.144008
43,0.001040,3.502915,0.708546,4.212501,7727.107632,4.224970
44,0.000832,3.471765,0.653295,4.125892,7727.111771,4.138321
45,0.000774,3.508972,0.616989,4.126735,7727.115910,4.139074
46,0.000873,3.434544,0.743219,4.178636,7727.120101,4.191023
47,0.000801,3.511191,0.634979,4.146971,7727.124260,4.159813
48,0.000780,13.190449,0.163061,13.354290,7727.137628,13.367175
49,0.001056,3.504518,0.151544,3.657118,7727.141296,3.668250
50,0.000988,3.494144,0.128724,3.623856,7727.144930,3.634625
51,0.000990,3.428030,0.811924,4.240944,7727.149183,4.252081
52,0.000975,3.470596,0.692070,4.163641,7727.153357,4.174277
53,0.000774,3.487298,0.737210,4.225282,7727.157595,4.238334
54,0.000784,3.485887,0.658393,4.145064,7727.161753,4.157482
55,0.000822,3.627459,0.527170,4.155451,7727.165920,4.167721
56,0.001573,3.550381,0.547688,4.099642,7727.170043,4.122268
57,0.000854,3.500959,0.687060,4.188873,7727.174243,4.200302
58,0.000827,3.504662,0.532213,4.037702,7727.178293,4.050182
59,0.000771,3.519095,0.630127,4.149993,7727.182456,4.162416
60,0.000872,3.502000,0.804385,4.307257,7727.186775,4.319556
61,0.000767,3.492258,0.659462,4.152487,7727.190940,4.164711
62,0.000773,3.481249,0.677207,4.159229,7727.195111,4.171501
63,0.000754,3.500684,0.585764,4.087202,7727.199211,4.099483
64,0.000753,3.529326,0.538365,4.068444,7727.203292,4.080853
65,0.000814,3.514189,0.794609,4.309612,7727.207614,4.322713
66,0.000818,3.520028,0.592881,4.113727,7727.211740,4.126079
67,0.000748,3.465292,0.727198,4.193238,7727.215946,4.205576
68,0.000785,3.430806,0.711798,4.143389,7727.220102,4.155822
69,0.000760,3.486020,0.645298,4.132078,7727.224246,4.144500
70,0.000756,3.461858,0.610744,4.073358,7727.228332,4.085674
71,0.000838,3.517877,0.775981,4.294696,7727.232639,4.306784
72,0.000753,3.455853,0.708526,4.165132,7727.236816,4.177067
73,0.000745,3.433683,0.696270,4.130698,7727.240959,4.142821
74,0.000787,3.432435,0.685482,4.118704,7727.245090,4.130862
75,0.000708,3.442929,0.746778,4.190415,7727.249292,4.202484
76,0.000882,3.472522,0.556779,4.030183,7727.253334,4.042388
77,0.000801,3.501717,0.637136,4.139654,7727.257488,4.153829
78,0.000921,3.485753,0.809132,4.295806,7727.261796,4.307803
79,0.001176,3.555611,0.500489,4.057276,7727.265865,4.069341
80,0.001860,3.498524,0.763570,4.263954,7727.270152,4.286346
81,0.000787,3.432751,0.695222,4.128760,7727.274293,4.141327
82,0.000763,3.430338,0.596779,4.027880,7727.278333,4.040259
83,0.000792,3.540487,0.763014,4.304293,7727.282650,4.316347
84,0.000773,3.490839,0.626553,4.118165,7727.286780,4.130181
85,0.000786,3.427323,0.765542,4.193651,7727.290986,4.205911
86,0.000826,3.440480,0.662573,4.103879,7727.295102,4.115970
87,0.025205,3.454545,0.553845,4.033595,7727.299148,4.045813
88,0.000772,3.516174,0.814526,4.331472,7727.303492,4.344077
89,0.000717,3.469928,0.659289,4.129934,7727.307634,4.142164
90,0.000853,3.440552,0.736965,4.178370,7727.311824,4.190494
91,0.000901,3.412405,0.732881,4.146187,7727.315983,4.158327
92,0.001210,3.463437,0.612986,4.077633,7727.320073,4.090077
93,0.000813,3.427142,0.775945,4.203900,7727.324291,4.218492
94,0.000736,3.603317,0.500408,4.104461,7727.328408,4.116586
95,0.001053,3.488969,0.750159,4.240181,7727.332662,4.254189
96,0.000794,3.468099,0.653622,4.122515,7727.336797,4.134790
97,0.000774,3.435774,0.736610,4.173158,7727.340982,4.185400
98,0.000902,3.555665,0.544517,4.101084,7727.345094,4.111855
99,0.000774,3.570665,0.513770,4.085209,7727.349191,4.097295
100,0.000786,3.487084,0.799454,4.287324,7727.353491,4.299429
101,0.000805,3.419568,0.737978,4.158351,7727.357661,4.170411
102,0.000991,3.473165,0.658904,4.133060,7727.361806,4.145180
103,0.000793,3.490159,0.595640,4.086592,7727.365905,4.098701
104,0.001995,3.619302,0.523315,4.144612,7727.370085,4.180436
105,0.001139,3.446072,0.741981,4.189192,7727.374291,4.205182
106,0.000869,3.433844,0.555303,3.990016,7727.378293,4.002341
107,0.000775,3.433946,0.721977,4.156698,7727.382462,4.168857
108,0.000849,3.438115,0.913053,4.352017,7727.386826,4.363982
109,0.000787,3.426869,0.741521,4.169177,7727.391010,4.183796
110,0.000888,3.436014,0.620332,4.057234,7727.395079,4.069432
111,0.000829,3.504805,0.734851,4.240485,7727.399332,4.252612
