FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001071,3.390277,0.067558,3.458906,13635.790968,N/A
1,0.000881,3.394965,0.142120,3.537966,13635.794517,3.549402
2,0.000850,3.418520,0.080631,3.500001,13635.798028,3.510750
3,0.001046,3.396596,0.138268,3.535910,13635.801574,3.546408
4,0.000935,3.392419,0.128136,3.521490,13635.805106,3.531774
5,0.000844,3.398683,0.142470,3.541997,13635.808659,3.552674
6,0.001299,3.372162,2.122352,5.495813,13635.814165,5.505987
7,0.000972,3.410372,0.147418,3.558762,13635.817735,3.570681
8,0.000867,3.422682,0.142396,3.565945,13635.821312,3.576859
9,0.000868,3.409301,0.142335,3.552504,13635.824875,3.562928
10,0.000876,3.419119,0.141077,3.561072,13635.828446,3.571397
11,0.000910,3.408932,0.071111,3.480953,13635.831938,3.491251
12,0.000873,3.365720,0.143474,3.510067,13635.835458,3.520153
13,0.001005,3.400289,0.070326,3.471620,13635.838939,3.481674
14,0.000932,3.418628,0.140065,3.559625,13635.842509,3.569848
15,0.000972,3.402098,0.068601,3.471671,13635.845991,3.482005
16,0.001395,3.560281,0.183296,3.744972,13635.849754,3.763085
17,0.001724,3.442072,0.138228,3.582024,13635.853352,3.598042
18,0.000874,3.404493,0.123203,3.528570,13635.856892,3.539370
19,0.000869,3.372360,0.141733,3.514962,13635.860417,3.525432
20,0.000829,3.429529,0.072262,3.502620,13635.863930,3.512683
21,0.001395,3.403345,0.158031,3.562771,13635.867503,3.573207
22,0.001353,3.397525,0.069594,3.468472,13635.870982,3.478451
23,0.000832,3.404937,0.136965,3.542734,13635.874535,3.552926
24,0.001144,3.390440,0.079614,3.471198,13635.878016,3.481030
25,0.001396,3.449014,0.142997,3.593407,13635.881622,3.606916
26,0.000981,3.501562,0.143019,3.645562,13635.885278,3.656016
27,0.000883,3.406966,0.138570,3.546419,13635.888835,3.556764
28,0.000921,3.408251,0.144132,3.553304,13635.892399,3.563810
29,0.000953,3.418631,0.104795,3.524379,13635.895934,3.534718
30,0.000920,3.423154,0.143844,3.567918,13635.899512,3.577889
31,0.001396,3.397278,0.071302,3.469976,13635.902992,3.480294
32,0.001404,3.393520,0.141128,3.536052,13635.906546,3.554359
33,0.000873,3.392304,0.075360,3.468537,13635.910025,3.478735
34,0.000896,3.442964,0.140013,3.583873,13635.913619,3.594294
35,0.000890,3.412965,0.138925,3.552780,13635.917182,3.563094
36,0.000986,3.415810,0.137213,3.554009,13635.920747,3.564198
37,0.000838,3.407960,0.141292,3.550090,13635.924306,3.559837
38,0.000980,3.412337,0.143941,3.557258,13635.927874,3.567131
39,0.000874,3.436368,0.145867,3.583109,13635.931467,3.593048
40,0.000943,3.400714,0.071433,3.473090,13635.934950,3.483175
41,0.000883,3.372734,0.143778,3.517395,13635.938478,3.527973
42,0.000953,3.430969,0.067172,3.499094,13635.941987,3.508995
43,0.000892,3.414374,0.142945,3.558211,13635.945555,3.568289
44,0.000839,4.191103,0.218946,4.410888,13635.949976,4.420848
45,0.003081,3.706168,0.150597,3.859846,13635.953870,3.893637
46,0.001162,3.424698,0.149439,3.575299,13635.957458,3.588811
47,0.000942,3.393994,0.074633,3.469569,13635.960939,3.480695
48,0.000912,3.387028,0.144169,3.532109,13635.964482,3.542671
49,0.000811,3.403492,0.069842,3.474145,13635.967966,3.484049
50,0.000842,3.402019,0.143101,3.545962,13635.971522,3.556133
51,0.000838,3.368796,0.068003,3.437637,13635.974970,3.447650
52,0.000841,3.390598,0.142948,3.534387,13635.978514,3.544412
53,0.000888,3.404961,0.066902,3.472751,13635.981997,3.483271
54,0.001222,3.403229,0.156005,3.560456,13635.985576,3.579089
55,0.001128,3.400793,0.115310,3.517231,13635.989104,3.527376
56,0.000950,3.397381,0.140267,3.538598,13635.992653,3.548836
57,0.000944,3.430193,0.142488,3.573625,13635.996236,3.583360
58,0.000923,3.420543,0.137250,3.558716,13635.999804,3.568455
59,0.000866,3.407411,0.140279,3.548556,13636.003363,3.558365
60,0.001131,3.399777,0.126690,3.527598,13636.006900,3.537428
61,0.001034,3.370449,0.145468,3.516951,13636.010427,3.526922
62,0.001389,3.409177,0.071844,3.482410,13636.013919,3.492358
63,0.000838,3.403153,0.136065,3.540056,13636.017470,3.550299
64,0.000985,12.424872,0.077671,12.503528,13636.029984,12.513747
65,0.001235,3.418175,0.140445,3.559855,13636.033557,3.573359
66,0.000773,3.401592,0.078116,3.480481,13636.037047,3.490511
67,0.000865,3.395832,0.139662,3.536359,13636.040594,3.546781
68,0.000841,3.411138,0.144270,3.556249,13636.044161,3.566571
69,0.000870,3.415788,0.138198,3.554856,13636.047726,3.564894
70,0.000922,3.557575,0.189148,3.747645,13636.051483,3.757557
71,0.001714,3.475987,0.112761,3.590462,13636.055092,3.608517
72,0.000891,3.408231,0.136278,3.545400,13636.058648,3.556070
73,0.000791,3.411531,0.138972,3.551294,13636.062209,3.561361
74,0.000813,3.417626,0.141254,3.559693,13636.065779,3.569842
75,0.000894,3.414583,0.107823,3.523300,13636.069312,3.533462
76,0.000908,3.402067,0.141874,3.544849,13636.072867,3.554971
77,0.000838,3.403306,0.142637,3.546781,13636.076427,3.559382
78,0.000909,3.458294,0.071082,3.530285,13636.079967,3.540263
79,0.000921,3.396313,0.143242,3.540476,13636.083518,3.550552
80,0.000849,3.392326,0.066372,3.459547,13636.086987,3.469481
81,0.000856,3.400750,0.138390,3.539996,13636.090537,3.549841
82,0.000840,3.406003,0.079667,3.486510,13636.094033,3.496176
83,0.000783,3.426375,0.144655,3.571813,13636.097615,3.582172
84,0.000785,3.357457,0.109678,3.467920,13636.101093,3.477888
85,0.000832,3.323897,0.141493,3.466222,13636.104569,3.476080
86,0.000991,3.321753,0.067423,3.390167,13636.107969,3.399902
87,0.000973,3.356208,0.140521,3.497702,13636.111476,3.507341
88,0.001011,3.355808,0.069736,3.426555,13636.114913,3.436127
89,0.000876,3.343114,0.141415,3.485405,13636.118408,3.495205
90,0.000801,3.335523,0.136663,3.472987,13636.121891,3.482719
91,0.000799,3.368984,0.193974,3.563757,13636.125464,3.573668
92,0.001109,3.338118,0.094410,3.433637,13636.128908,3.443679
93,0.000699,3.350739,0.143785,3.495223,13636.132414,3.505948
94,0.000895,3.382548,0.094714,3.478157,13636.135902,3.488166
95,0.000924,3.344238,0.142696,3.487858,13636.139400,3.497729
96,0.000974,3.327464,0.137476,3.465914,13636.142875,3.475759
97,0.000940,3.392449,0.138831,3.532220,13636.146417,3.541878
98,0.000894,3.423767,0.067372,3.492033,13636.149919,3.502067
99,0.000941,5.964848,0.127407,6.093196,13636.156023,6.103194
100,0.002095,4.375161,0.160726,4.537982,13636.160579,4.556377
101,0.001267,3.361024,0.080494,3.442785,13636.164037,3.457815
102,0.000982,3.340176,0.158283,3.499441,13636.167547,3.510184
103,0.000921,3.379083,0.075710,3.455714,13636.171013,3.465589
104,0.000985,3.339120,0.137527,3.477632,13636.174500,3.487806
105,0.000888,3.362081,0.067759,3.430728,13636.177941,3.440482
106,0.000801,3.487697,0.141990,3.630488,13636.181581,3.640147
107,0.000971,3.451828,0.154929,3.607728,13636.185199,3.617801
108,0.000826,3.451661,0.137908,3.590395,13636.188799,3.600315
109,0.000783,3.482458,0.165676,3.648917,13636.192461,3.661850
110,0.001369,3.425036,0.070663,3.497068,13636.195968,3.506774
111,0.000770,3.527965,0.144595,3.673330,13636.199651,3.683061
112,0.001043,3.553865,0.147888,3.702796,13636.203364,3.713150
113,0.001020,3.347039,0.139717,3.487776,13636.206863,3.498609
114,0.000847,3.370104,0.142024,3.512975,13636.210386,3.523086
115,0.000818,3.376619,0.130357,3.507794,13636.213903,3.517635
116,0.000829,3.380977,0.166645,3.548451,13636.217462,3.558314
117,0.000776,3.332307,0.095060,3.428143,13636.220900,3.438092
118,0.000978,3.408006,0.140259,3.549243,13636.224459,3.559240
119,0.000909,3.330700,0.107032,3.438641,13636.227908,3.448605
120,0.000881,3.476056,0.142567,3.619504,13636.231537,3.629123
121,0.000915,3.340095,0.067458,3.408468,13636.234956,3.418858
122,0.000817,3.351045,0.136479,3.488341,13636.238454,3.498378
123,0.000828,3.377685,0.069249,3.447762,13636.241912,3.457707
124,0.000990,3.381744,0.142161,3.524895,13636.245447,3.534962
125,0.000880,3.368391,0.095131,3.464402,13636.248921,3.474411
126,0.000913,3.491613,0.233869,3.726395,13636.252657,3.736436
127,0.002184,3.506244,0.154416,3.662844,13636.256341,3.683791
128,0.001188,3.346722,0.137154,3.485064,13636.259840,3.499172
129,0.000833,3.351844,0.142201,3.494878,13636.263349,3.509054
130,0.000898,3.368271,0.139875,3.509044,13636.266869,3.519349
131,0.000782,3.406623,0.136442,3.543847,13636.270422,3.553302
132,0.000851,3.339962,0.132180,3.472993,13636.273905,3.482918
133,0.000894,3.353381,0.143351,3.497626,13636.277412,3.507234
134,0.001284,3.356625,0.106896,3.464805,13636.280887,3.474678
135,0.000867,3.367735,0.137794,3.506396,13636.284403,3.516189
136,0.000842,3.322107,0.139470,3.462419,13636.287875,3.472285
137,0.000895,3.401306,0.140454,3.542655,13636.291428,3.552432
138,0.000763,3.321781,0.128187,3.450731,13636.294888,3.460638
139,0.000936,3.367839,0.135081,3.503856,13636.298402,3.513438
140,0.000996,3.379121,0.106329,3.486446,13636.301898,3.496176
141,0.000805,3.374775,0.148776,3.524356,13636.305432,3.534053
