FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001956,3.620566,0.537662,4.160184,11037.384006,N/A
1,0.001300,3.644936,0.446276,4.092512,11037.388119,4.112715
2,0.001525,3.616190,0.493204,4.110919,11037.392248,4.128679
3,0.001366,3.634924,0.542819,4.179109,11037.396442,4.194726
4,0.001396,3.612433,0.701236,4.315065,11037.400776,4.333120
5,0.001389,3.708975,0.327891,4.038255,11037.404832,4.056277
6,0.001257,3.625406,0.553442,4.180105,11037.409029,4.196740
7,0.001336,3.636299,0.460231,4.097866,11037.413143,4.114832
8,0.001135,3.622615,0.455002,4.078752,11037.417240,4.096278
9,0.001476,3.599534,0.546365,4.147375,11037.421403,4.163380
10,0.001011,3.576757,0.827685,4.405453,11037.425819,4.416129
11,0.001471,3.790319,0.270258,4.062048,11037.429899,4.079575
12,0.002499,3.730364,0.316797,4.049660,11037.433972,4.073207
13,0.001313,3.618309,0.535317,4.154939,11037.438142,4.170507
14,0.001618,3.617786,0.501770,4.121174,11037.442282,4.139326
15,0.001256,3.637674,0.514316,4.153246,11037.446453,4.170795
16,0.001524,3.615989,0.687898,4.305411,11037.450776,4.322918
17,0.001483,3.618426,0.505103,4.125012,11037.454919,4.143653
18,0.001405,3.618210,0.486488,4.106103,11037.459042,4.123223
19,0.001882,3.641925,0.463988,4.107795,11037.463168,4.125447
20,0.001606,3.619810,0.441482,4.062898,11037.467247,4.078958
21,0.001171,3.610858,0.757905,4.369934,11037.471634,4.387159
22,0.001280,3.687437,0.329900,4.018617,11037.475669,4.035205
23,0.001455,3.620693,0.567395,4.189543,11037.479876,4.206826
24,0.001709,3.616425,0.531919,4.150053,11037.484043,4.166589
25,0.001464,3.641546,0.462434,4.105444,11037.488166,4.123384
26,0.001480,3.610609,0.502524,4.114613,11037.492298,4.132059
27,0.001432,3.634326,0.504259,4.140017,11037.496455,4.157207
28,0.001417,3.615842,0.702686,4.319945,11037.500792,4.337217
29,0.001845,3.603192,0.465251,4.070288,11037.504880,4.087296
30,0.001378,3.620744,0.530487,4.152609,11037.509050,4.170320
31,0.001439,3.646122,0.455355,4.102916,11037.513171,4.121094
32,0.001574,3.605873,0.461927,4.069374,11037.517258,4.086489
33,0.001117,3.614795,0.659595,4.275507,11037.521550,4.292589
34,0.001431,3.646710,0.522905,4.171046,11037.525739,4.188917
35,0.001345,3.746486,0.277204,4.025035,11037.529781,4.042116
36,0.005292,3.871699,0.212016,4.089007,11037.533904,4.122793
37,0.001470,3.653489,0.712154,4.367113,11037.538284,4.380260
38,0.001813,3.616100,0.463995,4.081908,11037.542384,4.100159
39,0.001358,3.649915,0.502645,4.153918,11037.546555,4.170321
40,0.001602,3.649937,0.505836,4.157375,11037.550730,4.174730
41,0.001391,3.644040,0.506240,4.151671,11037.554898,4.168663
42,0.001435,3.631294,0.481077,4.113806,11037.559029,4.130941
43,0.001517,3.643734,0.485508,4.130759,11037.563178,4.148924
44,0.002136,3.566880,0.532293,4.101309,11037.567296,4.117846
45,0.001835,3.611808,0.635151,4.248794,11037.571561,4.265325
46,0.001469,3.649476,0.499309,4.150254,11037.575729,4.167762
47,0.001288,13.352022,0.158114,13.511424,11037.589257,13.528061
48,0.001058,3.457854,0.153077,3.611989,11037.592880,3.622698
49,0.000984,3.446092,0.120090,3.567166,11037.596458,3.577918
50,0.001298,3.487464,0.767384,4.256146,11037.600724,4.266459
51,0.000925,3.503962,0.425212,3.930099,11037.604666,3.942294
52,0.001077,3.462561,0.834165,4.297803,11037.608975,4.308671
53,0.000964,3.473837,0.586800,4.061601,11037.613048,4.073264
54,0.000950,3.506906,0.823296,4.331152,11037.617392,4.343548
55,0.001274,3.486611,0.650038,4.137923,11037.621542,4.150224
