FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001348,3.458491,0.142204,3.602043,13667.077395,N/A
1,0.001335,3.457442,0.073023,3.531800,13667.080939,3.543894
2,0.001002,3.480529,0.141742,3.623273,13667.084573,3.634667
3,0.001283,3.453320,0.140078,3.594681,13667.088179,3.605314
4,0.001154,3.452604,0.139864,3.593622,13667.091783,3.604364
5,0.000933,3.467374,0.142634,3.610941,13667.095405,3.621675
6,0.000972,3.413074,0.102807,3.516853,13667.098932,3.527372
7,0.001088,3.458643,0.148526,3.608257,13667.102556,3.624135
8,0.001011,3.478947,0.137769,3.617727,13667.106184,3.628143
9,0.000965,3.458334,0.140324,3.599623,13667.109795,3.610665
10,0.001138,3.473259,0.140427,3.614824,13667.113420,3.625489
11,0.001026,3.469126,0.075314,3.545466,13667.116976,3.555825
12,0.001089,3.456549,0.140789,3.598427,13667.120585,3.609136
13,0.000957,3.495476,0.143727,3.640160,13667.124236,3.650641
14,0.001111,3.419217,0.154114,3.574442,13667.127821,3.584996
15,0.001188,3.500429,0.142747,3.644364,13667.131478,3.657161
16,0.000934,3.438888,0.069620,3.509442,13667.134998,3.519985
17,0.000978,3.443178,0.143404,3.587560,13667.138606,3.608242
18,0.001005,3.489131,0.142212,3.632348,13667.142249,3.642968
19,0.001025,3.441022,0.148165,3.590212,13667.145850,3.600637
20,0.001132,3.477464,0.144580,3.623176,13667.149484,3.633651
21,0.000952,3.424754,0.071816,3.497522,13667.152992,3.508339
22,0.001442,3.454255,0.146007,3.601704,13667.156613,3.621344
23,0.000886,3.475679,0.143319,3.619884,13667.160244,3.630353
24,0.001020,3.471231,0.142885,3.615136,13667.163869,3.625735
25,0.000926,3.637840,0.133292,3.772058,13667.167653,3.783259
26,0.002412,3.539183,0.152942,3.694537,13667.171366,3.713430
27,0.000956,3.470291,0.075197,3.546444,13667.174925,3.559161
28,0.001029,3.544869,0.150595,3.696493,13667.178633,3.707795
29,0.001073,3.449768,0.143055,3.593896,13667.182239,3.606326
30,0.000913,3.446377,0.137515,3.584805,13667.185834,3.594997
31,0.000909,3.454846,0.139515,3.595270,13667.189440,3.605838
32,0.001024,3.454464,0.069972,3.525460,13667.192976,3.535892
33,0.000895,3.445884,0.138808,3.585587,13667.196572,3.596336
34,0.000980,3.543224,0.143302,3.687506,13667.200271,3.698157
35,0.001178,3.479778,0.136059,3.617015,13667.203898,3.627395
36,0.000955,3.555236,0.147288,3.703479,13667.207612,3.713669
37,0.000943,3.398778,0.143306,3.543027,13667.211165,3.553662
38,0.001056,3.467715,0.138960,3.607731,13667.214783,3.618079
39,0.000853,3.477947,0.138778,3.617578,13667.218411,3.627937
40,0.000913,3.378086,0.106051,3.485050,13667.221906,3.495078
41,0.000919,3.413084,0.182454,3.596457,13667.225513,3.607010
42,0.000965,3.412723,0.091550,3.505238,13667.229029,3.515632
43,0.000957,3.504116,0.142406,3.647479,13667.232703,3.673557
44,0.001141,3.391161,0.137690,3.529992,13667.236243,3.540379
45,0.000935,3.434579,0.142884,3.578398,13667.239832,3.588707
46,0.001025,3.565629,0.133427,3.700081,13667.243542,3.710293
47,0.000877,3.529963,0.143181,3.674021,13667.247226,3.684244
48,0.000962,3.403257,0.138050,3.542269,13667.250779,3.552308
49,0.000960,3.419413,0.139127,3.559500,13667.254348,3.569420
