FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.002040,3.527547,0.692121,4.221708,11069.458841,N/A
1,0.001099,3.454187,0.719668,4.174954,11069.463030,4.188833
2,0.000895,3.494054,0.482636,3.977585,11069.467020,3.990024
3,0.000923,3.497026,0.846652,4.344601,11069.471377,4.357087
4,0.001076,3.485883,0.565114,4.052073,11069.475442,4.064383
5,0.001273,3.496404,0.648917,4.146594,11069.479601,4.159291
6,0.001029,3.483433,0.784108,4.268570,11069.483882,4.280764
7,0.000950,3.433637,0.696605,4.131192,11069.488025,4.143673
8,0.000930,3.494130,0.486656,3.981716,11069.492020,3.994129
9,0.000946,3.477832,0.721415,4.200193,11069.496233,4.213017
10,0.000925,3.501209,0.652292,4.154426,11069.500399,4.166694
11,0.000947,3.495863,0.818123,4.314933,11069.504726,4.327152
12,0.000993,3.504047,0.536471,4.041511,11069.508780,4.053739
13,0.000945,3.484264,0.615023,4.100232,11069.512893,4.112462
14,0.000964,3.446940,0.780261,4.228165,11069.517133,4.240404
15,0.000974,3.459272,0.672047,4.132293,11069.521278,4.144534
16,0.001134,3.492463,0.612642,4.106239,11069.525396,4.118644
17,0.001062,3.455991,0.740067,4.197120,11069.529606,4.210290
18,0.000972,3.488761,0.792224,4.281957,11069.533901,4.294145
19,0.000963,3.454742,0.616385,4.072090,11069.537985,4.084543
20,0.001368,3.509696,0.548283,4.059347,11069.542057,4.071683
21,0.000839,3.481519,0.768244,4.250602,11069.546320,4.263477
22,0.000872,3.496569,0.572204,4.069645,11069.550402,4.081923
23,0.000916,5.458389,0.150854,5.610159,11069.556025,5.622503
24,0.002562,4.326166,0.184256,4.512984,11069.560553,4.528226
25,0.001653,3.476856,2.140508,5.619017,11069.566190,5.636742
26,0.001037,3.403103,0.152711,3.556851,11069.569759,3.569389
27,0.000938,3.387857,0.145333,3.534128,11069.573304,3.544714
28,0.001109,3.383863,0.160347,3.545319,11069.576859,3.555455
29,0.001054,3.412601,0.159413,3.573068,11069.580442,3.583028
30,0.001058,3.390273,0.076261,3.467592,11069.583920,3.477892
31,0.000929,3.391424,0.535763,3.928116,11069.587858,3.938092
32,0.000988,3.364932,0.955809,4.321729,11069.592191,4.332271
