FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001562,3.574277,0.150356,3.726195,13684.963113,N/A
1,0.001624,3.404038,0.139646,3.545308,13684.966674,3.560551
2,0.000856,3.377085,0.147006,3.524947,13684.970209,3.535756
3,0.000852,3.350871,0.145916,3.497639,13684.973717,3.507699
4,0.001090,3.359234,0.144354,3.504678,13684.977232,3.514837
5,0.001106,3.379782,0.139106,3.519994,13684.980762,3.530422
6,0.000926,3.385509,0.143322,3.529757,13684.984302,3.539935
7,0.001280,3.382051,0.141750,3.525081,13684.987837,3.534908
8,0.000998,3.384396,0.111606,3.497000,13684.991344,3.507146
9,0.001069,3.389414,0.137285,3.527768,13684.994883,3.538333
10,0.000920,3.388945,0.137656,3.527521,13684.998420,3.537654
11,0.000831,3.393775,0.093267,3.487873,13685.001918,3.497637
12,0.000791,3.384368,0.139414,3.524573,13685.005453,3.534755
13,0.000871,3.376900,0.065223,3.442994,13685.008906,3.453046
14,0.000985,3.397427,0.135234,3.533646,13685.012449,3.543245
15,0.000906,3.351053,0.097969,3.449928,13685.015909,3.459972
16,0.001304,3.345503,0.139845,3.486652,13685.019406,3.496766
17,0.000938,3.376659,0.102849,3.480446,13685.022897,3.491091
18,0.000844,3.383570,0.141245,3.525659,13685.026432,3.535196
19,0.000830,3.384368,0.094685,3.479883,13685.029922,3.489475
20,0.000862,3.392715,0.144088,3.537665,13685.033469,3.547508
21,0.000868,3.378281,0.066828,3.445977,13685.036925,3.455594
22,0.001284,3.377467,0.140465,3.519216,13685.040454,3.528970
23,0.001101,3.380702,0.069774,3.451577,13685.043915,3.461338
24,0.000968,3.381006,0.143287,3.525261,13685.047450,3.534984
25,0.000791,3.379096,0.066531,3.446418,13685.050907,3.456559
26,0.000866,3.383084,0.138517,3.522467,13685.054439,3.532156
27,0.000840,3.357960,0.095994,3.454794,13685.057903,3.464344
28,0.000807,6.443284,0.157150,6.601241,13685.064514,6.610681
29,0.002831,3.568603,0.174359,3.745793,13685.068280,3.766301
30,0.001594,3.426210,0.140525,3.568329,13685.071864,3.584256
31,0.000896,3.389579,0.137276,3.527751,13685.075402,3.538191
32,0.000940,3.343961,0.129174,3.474075,13685.078886,3.483705
33,0.000894,3.349127,0.140875,3.490896,13685.082387,3.500889
34,0.000941,3.388537,0.108453,3.497931,13685.085894,3.507413
35,0.000862,3.367914,0.136157,3.504933,13685.089409,3.514321
36,0.000880,3.426600,0.069489,3.496969,13685.092916,3.506834
37,0.000807,3.377305,0.141521,3.519633,13685.096445,3.529179
38,0.000924,3.375266,0.066090,3.442280,13685.099897,3.452050
39,0.000863,3.389377,0.135335,3.525575,13685.103432,3.535212
40,0.001115,3.339580,0.105465,3.446160,13685.106888,3.455898
41,0.000992,3.377223,0.138148,3.516363,13685.110415,3.526563
42,0.000901,3.413237,0.065740,3.479878,13685.113904,3.489386
43,0.000924,3.375845,0.137760,3.514529,13685.117428,3.524014
44,0.000900,3.375110,0.094920,3.470930,13685.120908,3.480203
45,0.000791,3.368694,0.134914,3.504399,13685.124422,3.513965
46,0.000807,3.371194,0.097290,3.469291,13685.127901,3.478616
47,0.000781,3.344061,0.145590,3.490432,13685.131401,3.499985
48,0.000953,3.332592,0.138197,3.471742,13685.134882,3.481188
49,0.000862,3.383234,0.138098,3.522194,13685.138414,3.531778
50,0.000844,3.370239,0.102379,3.473462,13685.141896,3.482826
51,0.000837,3.378824,0.150338,3.529999,13685.145436,3.539726
52,0.001036,3.371942,0.098612,3.471590,13685.148918,3.481314
53,0.000807,3.380288,0.152174,3.533269,13685.152461,3.543631
