FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001197,3.358641,0.112093,3.471931,13700.992103,N/A
1,0.000883,3.379722,0.128054,3.508659,13700.995623,3.520256
2,0.000859,3.369288,0.136178,3.506325,13700.999140,3.516592
3,0.000959,3.347765,0.067228,3.415952,13701.002566,3.426224
4,0.000878,3.356823,0.065900,3.423601,13701.006000,3.433647
5,0.000946,3.371478,0.075499,3.447923,13701.009462,3.462624
6,0.000876,3.368122,0.071191,3.440189,13701.012912,3.450108
7,0.000891,3.344317,0.152680,3.497888,13701.016420,3.507690
8,0.000994,3.371856,0.094041,3.466891,13701.019897,3.476991
9,0.000991,3.385027,0.139841,3.525859,13701.023434,3.536545
10,0.000893,3.376473,0.098196,3.475562,13701.026919,3.485538
11,0.000876,3.383429,0.140103,3.524408,13701.030453,3.534189
12,0.000912,3.502793,0.187596,3.691301,13701.034154,3.700773
13,0.002682,3.516899,0.134000,3.653581,13701.037824,3.670155
14,0.001114,3.409769,0.136722,3.547605,13701.041385,3.560490
15,0.000828,3.395179,0.105274,3.501281,13701.044897,3.512485
16,0.001707,3.387187,0.136892,3.525786,13701.048433,3.535451
17,0.000893,3.377031,0.097634,3.475558,13701.051919,3.485888
18,0.001221,3.379025,0.134424,3.514670,13701.055443,3.524448
19,0.000827,3.382499,0.067834,3.451160,13701.058904,3.461009
20,0.000852,3.380193,0.138121,3.519166,13701.062433,3.528828
21,0.001263,3.379111,0.096254,3.476628,13701.065919,3.486483
22,0.000874,3.377477,0.135091,3.513442,13701.069442,3.522942
23,0.000856,3.380946,0.066827,3.448629,13701.072900,3.458248
24,0.001133,3.377418,0.143198,3.521749,13701.076432,3.531519
25,0.000984,3.375099,0.097546,3.473629,13701.079916,3.483772
26,0.000826,3.371071,0.146504,3.518401,13701.083444,3.528410
27,0.000815,3.372115,0.093293,3.466223,13701.086920,3.475426
28,0.000921,3.380610,0.140544,3.522075,13701.090451,3.531335
29,0.001186,3.380670,0.066750,3.448606,13701.093909,3.457942
30,0.000918,3.376104,0.135552,3.512574,13701.097431,3.521888
31,0.000892,3.376112,0.094252,3.471256,13701.100911,3.480459
32,0.001366,3.375429,0.137186,3.513981,13701.104435,3.523374
33,0.000868,3.377056,0.100492,3.478416,13701.107923,3.488211
34,0.000819,3.376213,0.138651,3.515683,13701.111448,3.525631
35,0.000792,3.376370,0.066482,3.443644,13701.114902,3.453439
36,0.000767,3.369922,0.133956,3.504645,13701.118416,3.513933
37,0.000983,3.376226,0.117779,3.494988,13701.121920,3.504290
38,0.000805,3.380661,0.110909,3.492375,13701.125422,3.501871
39,0.000910,3.374612,0.104987,3.480509,13701.128912,3.489810
40,0.000939,3.374315,0.123474,3.498728,13701.132420,3.507864
41,0.000930,3.515770,0.163973,3.680673,13701.136111,3.691094
42,0.002094,3.460605,0.139884,3.602583,13701.139731,3.620115
43,0.001027,3.351209,0.135509,3.487745,13701.143230,3.499243
44,0.000946,3.372075,0.118111,3.491132,13701.146731,3.500968
45,0.001285,3.351123,0.123658,3.476066,13701.150217,3.485691
46,0.000908,3.335495,0.124662,3.461065,13701.153687,3.470649
47,0.001336,3.394835,0.120075,3.516246,13701.157213,3.525675
48,0.000948,3.368259,0.128445,3.497652,13701.160720,3.507257
49,0.000785,3.384510,0.124675,3.509970,13701.164240,3.519865
50,0.000871,3.365924,0.122637,3.489432,13701.167739,3.499061
51,0.000880,3.371644,0.092437,3.464961,13701.171214,3.474454
52,0.000800,3.365111,0.123531,3.489442,13701.174713,3.498815
53,0.001191,3.359995,0.120458,3.481644,13701.178205,3.492226
54,0.000792,3.372433,0.124433,3.497658,13701.181712,3.507253
55,0.000830,3.365161,0.119893,3.485884,13701.185207,3.495199
56,0.001015,3.371293,0.124406,3.496714,13701.188713,3.506003
57,0.000940,3.372615,0.126295,3.499850,13701.192222,3.509195
58,0.000826,3.367592,0.122949,3.491367,13701.195723,3.500851
59,0.000851,3.334939,0.119514,3.455304,13701.199188,3.464882
60,0.000857,3.365370,0.119351,3.485578,13701.202683,3.494769
61,0.000841,13.201203,0.335348,13.537392,13701.216230,13.546910
62,0.000770,3.340048,0.138068,3.478886,13701.219718,3.488568
63,0.000889,3.361866,0.136364,3.499119,13701.223227,3.508763
64,0.001056,3.392097,0.137859,3.531012,13701.226768,3.540640
65,0.000864,3.379686,0.140190,3.520740,13701.230299,3.531245
66,0.000857,3.359936,0.142231,3.503024,13701.233812,3.512534
67,0.000812,3.502241,0.189394,3.692447,13701.237514,3.701960
68,0.002592,3.446069,0.124150,3.572811,13701.241106,3.592623
69,0.000825,3.379488,0.141631,3.521944,13701.244638,3.532150
70,0.000863,3.377544,0.137380,3.515787,13701.248164,3.525436
71,0.000853,3.370323,0.139677,3.510853,13701.251684,3.520277
72,0.000980,3.386952,0.138517,3.526449,13701.255220,3.535677
73,0.000836,3.370664,0.073776,3.445276,13701.258674,3.454758
74,0.000801,3.380163,0.138776,3.519740,13701.262203,3.529011
75,0.000843,3.373067,0.136512,3.510422,13701.265723,3.519813
76,0.000820,3.364057,0.136986,3.501863,13701.269234,3.511094
77,0.000969,3.373712,0.147161,3.521842,13701.272768,3.533661
78,0.000840,3.377428,0.136251,3.514519,13701.276292,3.523997
