FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001117,3.428378,0.166566,3.596061,13727.031186,N/A
1,0.000985,3.420164,0.146354,3.567503,13727.034765,3.579325
2,0.000994,3.469502,0.143038,3.613534,13727.038389,3.624466
3,0.000864,3.414937,0.096650,3.512451,13727.041912,3.522658
4,0.000860,3.489480,2.225747,5.716087,13727.047638,5.726033
5,0.000896,3.454837,0.140398,3.596131,13727.051246,3.608007
6,0.000961,3.452902,0.150808,3.604671,13727.054861,3.614542
7,0.001073,3.418719,0.136379,3.556171,13727.058429,3.568091
8,0.001043,3.408574,0.069529,3.479146,13727.061918,3.489529
9,0.001025,3.540352,0.146085,3.687462,13727.065616,3.698162
10,0.001003,3.479836,0.137560,3.618399,13727.069245,3.628300
11,0.001048,3.451744,0.144779,3.597571,13727.072852,3.607584
12,0.000978,3.509532,0.135096,3.645606,13727.076508,3.655591
13,0.000922,3.391862,0.066150,3.458934,13727.079977,3.468794
14,0.000951,3.347620,0.150879,3.499450,13727.083486,3.509437
15,0.000960,3.336760,0.068627,3.406347,13727.086903,3.416566
16,0.000952,3.394913,0.136439,3.532304,13727.090445,3.542032
17,0.001200,3.429819,0.066148,3.497167,13727.093953,3.507954
18,0.000934,3.553230,0.147378,3.701542,13727.097664,3.711468
19,0.001119,3.461593,0.145593,3.608305,13727.101285,3.620686
20,0.000998,3.489570,0.111260,3.601828,13727.104897,3.612318
21,0.001036,3.485220,0.173922,3.660178,13727.108569,3.672268
22,0.001091,3.375488,0.070993,3.447572,13727.112029,3.459765
23,0.000883,3.583336,0.182196,3.766415,13727.115806,3.776606
24,0.001758,3.498403,0.142837,3.642998,13727.119467,3.661118
25,0.001190,3.434842,0.067137,3.503169,13727.122982,3.515136
26,0.000908,3.467112,0.149461,3.617481,13727.126610,3.627641
27,0.000868,3.436351,0.139189,3.576408,13727.130197,3.586792
28,0.000868,3.493959,0.144712,3.639539,13727.133846,3.649638
29,0.000975,3.428947,0.140404,3.570326,13727.137429,3.582582
30,0.001000,3.403185,0.071830,3.476015,13727.140915,3.485990
31,0.000816,3.459530,0.140130,3.600476,13727.144525,3.610547
32,0.000889,3.437863,0.129799,3.568551,13727.148104,3.578371
33,0.000934,3.441452,0.140077,3.582463,13727.151696,3.592686
34,0.000962,3.449538,0.139042,3.589542,13727.155296,3.599609
35,0.000867,3.438106,0.139131,3.578104,13727.158884,3.588244
36,0.000895,3.423926,0.068587,3.493408,13727.162388,3.503550
37,0.001127,3.397721,0.104823,3.503671,13727.165902,3.513861
38,0.001039,3.461795,0.143162,3.605996,13727.169518,3.615931
39,0.001166,3.426393,0.071369,3.498928,13727.173027,3.509262
40,0.001026,3.526927,0.144698,3.672651,13727.176709,3.682647
41,0.001146,3.431772,0.138290,3.571208,13727.180293,3.583831
42,0.000967,3.417053,0.139434,3.557454,13727.183861,3.567558
