FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001070,3.505354,0.858200,4.364624,11131.841515,N/A
1,0.000951,3.465213,0.492948,3.959112,11131.845488,3.972792
2,0.000901,3.485785,0.736626,4.223312,11131.849723,4.235675
3,0.000945,3.475594,0.797475,4.274014,11131.854009,4.286298
4,0.000925,3.501931,0.518419,4.021275,11131.858043,4.033601
5,0.000939,3.495114,0.799731,4.295784,11131.862352,4.308774
6,0.001055,3.491166,0.511501,4.003722,11131.866368,4.016120
7,0.001036,3.500208,0.768964,4.270208,11131.870650,4.282486
8,0.001235,3.499797,0.486353,3.987385,11131.874650,3.999709
9,0.000995,3.495557,0.865543,4.362095,11131.879025,4.374768
10,0.000958,3.499416,0.531864,4.032238,11131.883070,4.044548
11,0.000965,3.493686,0.752252,4.246903,11131.887329,4.259417
12,0.000944,3.487915,0.485263,3.974122,11131.891316,3.986704
13,0.001006,3.504782,0.655657,4.161445,11131.895489,4.173864
14,0.001059,3.524631,0.714046,4.239736,11131.899741,4.251868
15,0.002622,3.682616,0.422051,4.107289,11131.903877,4.136061
16,0.001634,3.452983,0.805394,4.260011,11131.908153,4.276003
17,0.001016,3.448364,0.681627,4.131007,11131.912298,4.144538
18,0.000948,3.512753,0.549026,4.062727,11131.916373,4.075076
19,0.000911,3.496073,0.801540,4.298524,11131.920684,4.310961
20,0.001235,3.503910,0.517440,4.022585,11131.924719,4.034862
21,0.000850,3.502613,0.699904,4.203367,11131.928934,4.215620
22,0.000957,3.465606,0.764269,4.230832,11131.933178,4.243027
23,0.000885,3.506859,0.508997,4.016741,11131.937207,4.029002
24,0.000862,3.499225,0.598601,4.098688,11131.941318,4.111237
25,0.000901,3.506551,0.847394,4.354846,11131.945686,4.367857
26,0.001279,3.517685,0.530239,4.049203,11131.949747,4.061640
27,0.000903,3.507866,0.721813,4.230582,11131.953990,4.242713
28,0.001303,3.500696,0.519501,4.021500,11131.958029,4.039513
29,0.000884,3.505288,0.722062,4.228234,11131.962270,4.240631
30,0.001012,3.495109,0.540882,4.037003,11131.966319,4.049287
31,0.000911,3.504971,0.652369,4.158251,11131.970490,4.170553
32,0.001261,3.493322,0.864403,4.358986,11131.974861,4.371206
33,0.000916,3.445571,0.578881,4.025368,11131.978899,4.038100
34,0.000898,3.470256,0.777327,4.248481,11131.983160,4.260685
35,0.000890,3.511279,0.545904,4.058073,11131.987230,4.070382
36,0.000917,3.500690,0.574245,4.075852,11131.991318,4.088129
37,0.001101,3.501435,0.860365,4.362901,11131.995694,4.375217
38,0.000968,3.521585,0.494274,4.016827,11131.999723,4.029028
39,0.002393,3.793123,0.318967,4.114483,11132.003861,4.138291
40,0.001470,3.491459,0.782528,4.275457,11132.008154,4.293007
41,0.000929,3.477949,0.609478,4.088356,11132.012255,4.101421
42,0.000883,3.496602,0.558528,4.056013,11132.016324,4.068234
43,0.000918,3.507847,0.650844,4.159609,11132.020496,4.172005
44,0.001002,3.498577,0.845880,4.345459,11132.024853,4.357619
45,0.000934,3.503397,0.511938,4.016269,11132.028882,4.028456
