FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001171,3.632128,0.554047,4.187346,7746.464093,N/A
1,0.001959,3.533333,0.590321,4.125613,7746.468242,4.149502
2,0.000908,3.502389,0.691626,4.194923,7746.472450,4.207888
3,0.000842,3.442338,0.740817,4.183997,7746.476647,4.196783
4,0.001018,3.506972,0.622062,4.130052,7746.480790,4.142912
5,0.000845,3.463547,0.821368,4.285760,7746.485089,4.299186
6,0.000811,3.471040,0.518823,3.990674,7746.489093,4.003564
7,0.000800,3.445414,0.872748,4.318962,7746.493424,4.331652
8,0.000801,3.508073,0.540910,4.049784,7746.497487,4.062372
9,0.000790,3.504326,0.646164,4.151280,7746.501651,4.164548
10,0.001137,3.524388,0.593074,4.118599,7746.505783,4.131623
11,0.000878,3.471093,0.719036,4.191007,7746.509987,4.203798
12,0.006606,3.517600,0.617764,4.141970,7746.514141,4.154734
13,0.000917,3.427657,0.845145,4.273719,7746.518428,4.286630
14,0.000963,3.493678,0.520676,4.015317,7746.522456,4.028003
15,0.001056,3.482736,0.697005,4.180797,7746.526650,4.193540
16,0.000855,3.521340,0.624799,4.146994,7746.530810,4.160028
17,0.000887,3.485980,0.785006,4.271873,7746.535095,4.285561
18,0.000860,3.453443,0.532122,3.986425,7746.539094,3.999173
19,0.000804,3.430026,0.892529,4.323359,7746.543431,4.336176
20,0.001298,3.475195,0.538151,4.014644,7746.547458,4.027289
21,0.000879,3.477786,0.814392,4.293057,7746.551764,4.306055
22,0.001083,3.484100,0.543061,4.028244,7746.555805,4.041410
23,0.000858,3.492759,0.776468,4.270085,7746.560088,4.282705
24,0.000725,3.593303,0.496050,4.090078,7746.564191,4.103169
25,0.001860,3.546767,0.496285,4.044912,7746.568259,4.067520
26,0.000880,3.378969,0.802406,4.182255,7746.572453,4.194064
27,0.000773,3.507436,0.705756,4.213965,7746.576679,4.226518
28,0.001035,3.519648,0.597996,4.118679,7746.580811,4.131327
29,0.000792,3.455974,0.816245,4.273011,7746.585097,4.286168
30,0.000737,3.465083,0.507859,3.973679,7746.589084,3.986877
31,0.000856,3.497251,0.841342,4.339449,7746.593436,4.351889
32,0.000815,3.468207,0.519726,3.988748,7746.597437,4.001461
33,0.001089,3.468257,0.821365,4.290711,7746.601741,4.304051
34,0.000751,3.513218,0.506626,4.020595,7746.605774,4.033241
35,0.000843,3.482252,0.773748,4.256843,7746.610044,4.269804
36,0.000927,3.496751,0.560820,4.058498,7746.614115,4.070922
37,0.000786,3.457163,0.696618,4.154567,7746.618282,4.167033
38,0.000791,3.433438,0.710649,4.144878,7746.622439,4.157285
39,0.000820,3.437594,0.879789,4.318203,7746.626770,4.330704
40,0.000781,3.498770,0.513573,4.013124,7746.630796,4.025500
