FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001129,3.431939,0.766972,4.200040,11148.906090,N/A
1,0.000918,3.495890,0.482569,3.979377,11148.910084,3.993360
2,0.001222,3.485400,0.856062,4.342684,11148.914439,4.355122
3,0.001314,3.468154,0.611906,4.081374,11148.918532,4.093656
4,0.000976,3.492400,0.690877,4.184253,11148.922729,4.196482
5,0.000957,3.491226,0.626681,4.118864,11148.926861,4.131968
6,0.000938,3.459736,0.758680,4.219354,11148.931092,4.231762
7,0.000932,3.485984,0.492733,3.979649,11148.935085,3.992314
8,0.001038,3.484669,0.750201,4.235908,11148.939333,4.248263
9,0.000935,3.488053,0.543854,4.032842,11148.943379,4.045702
10,0.000931,3.494288,0.889703,4.384922,11148.947776,4.397606
11,0.000956,3.484937,0.563060,4.048953,11148.951838,4.061323
12,0.000959,3.430174,0.659063,4.090196,11148.955941,4.102969
13,0.000944,3.429157,0.785887,4.215988,11148.960169,4.228243
14,0.001051,3.495066,0.747780,4.243897,11148.964425,4.256146
15,0.000938,3.487754,0.625739,4.114431,11148.968552,4.126907
16,0.000965,3.493535,0.656571,4.151071,11148.972716,4.163713
17,0.000971,3.491986,0.645617,4.138574,11148.976868,4.151864
18,0.001017,3.604756,0.466115,4.071888,11148.980952,4.084613
19,0.001788,3.476684,0.663909,4.142381,11148.985114,4.161591
20,0.000970,3.489956,0.830157,4.321083,11148.989447,4.333737
21,0.000890,3.486787,0.602826,4.090503,11148.993550,4.102874
22,0.000875,3.498223,0.635769,4.134867,11148.997698,4.147192
23,0.000979,3.499159,0.689551,4.189689,11149.001900,4.202201
24,0.000957,3.423660,0.607819,4.032436,11149.005945,4.045051
25,0.001280,3.450388,0.709035,4.160703,11149.010119,4.174306
26,0.000996,3.496618,0.651245,4.148859,11149.014280,4.161036
27,0.001078,3.481067,0.771800,4.253945,11149.018547,4.266354
28,0.001118,3.491192,0.671751,4.164061,11149.022723,4.176537
29,0.001139,3.491591,0.667293,4.160023,11149.026895,4.172353
30,0.000924,3.445539,0.686219,4.132682,11149.031040,4.144925
31,0.000949,3.471128,0.565086,4.037163,11149.035090,4.049608
32,0.000920,3.486002,0.795054,4.281976,11149.039385,4.294790
33,0.000915,3.488239,0.678274,4.167428,11149.043565,4.180481
34,0.000926,3.498434,0.628142,4.127502,11149.047705,4.140135
35,0.000892,3.492312,0.713413,4.206617,11149.051924,4.219137
36,0.000941,3.457325,0.660575,4.118841,11149.056056,4.131137
37,0.000965,3.487654,0.529384,4.018003,11149.060086,4.030444
38,0.000890,3.499044,0.858646,4.358580,11149.064457,4.371118
39,0.000891,3.465689,0.633104,4.099684,11149.068569,4.112113
40,0.000918,3.489873,0.641106,4.131897,11149.072714,4.144444
41,0.000867,3.486477,0.714746,4.202090,11149.076929,4.214953
42,0.000926,3.543027,3.673610,7.217563,11149.084159,7.230161
43,0.003499,3.776450,0.114617,3.894566,11149.088086,3.927512
44,0.001243,3.508633,0.162944,3.672820,11149.091772,3.685313
45,0.000996,3.492905,0.143888,3.637789,11149.095421,3.648961
46,0.000995,3.500086,0.086308,3.587389,11149.099019,3.598086
47,0.000950,9.692029,0.345858,10.038837,11149.109068,10.049777
48,0.001011,3.402817,0.121860,3.525688,11149.112604,3.535966
49,0.000865,3.444618,0.146032,3.591515,11149.116206,3.601584
50,0.001026,3.437519,0.141469,3.580014,11149.119796,3.590058
51,0.000730,3.418023,0.148987,3.567740,11149.123374,3.577622
52,0.000750,3.401722,0.073896,3.476368,11149.126860,3.486144
53,0.000870,3.424885,0.509515,3.935270,11149.130806,3.945893
54,0.001058,3.396754,0.842062,4.239874,11149.135056,4.249774
55,0.000843,3.410754,0.672974,4.084571,11149.139150,4.094180
56,0.000962,3.491137,0.770130,4.262229,11149.143424,4.274316
57,0.000973,3.468193,0.755583,4.224749,11149.147661,4.236802
