FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001138,3.400850,0.149105,3.551093,13772.756291,N/A
1,0.000999,3.424299,0.144275,3.569573,13772.759873,3.581978
2,0.000948,3.398722,0.144119,3.543789,13772.763428,3.554578
3,0.000936,3.392251,0.068746,3.461933,13772.766900,3.472394
4,0.001015,3.405336,0.140145,3.546496,13772.770457,3.556986
5,0.001392,3.383489,0.070286,3.455167,13772.773923,3.465777
6,0.000972,3.387623,0.143480,3.532075,13772.777465,3.542305
7,0.000893,3.413988,0.068655,3.483536,13772.780959,3.493780
8,0.001128,3.376132,0.137426,3.514686,13772.784484,3.524850
9,0.000979,3.403886,0.072626,3.477491,13772.787972,3.488286
10,0.000998,3.411263,0.149900,3.562161,13772.791545,3.572334
11,0.000918,3.389293,0.074669,3.464880,13772.795020,3.475148
12,0.001011,3.398333,0.145450,3.544794,13772.798575,3.555497
13,0.000978,3.388513,0.121711,3.511202,13772.802097,3.521550
14,0.001193,3.377964,0.136398,3.515555,13772.805623,3.525837
15,0.000843,3.406735,0.075158,3.482736,13772.809115,3.492650
16,0.001175,3.600992,0.176297,3.778464,13772.812904,3.788752
17,0.001729,3.457849,0.145981,3.605559,13772.816527,3.623203
18,0.000927,3.403038,0.075237,3.479202,13772.820018,3.490541
19,0.001180,3.397439,0.138079,3.536698,13772.823568,3.550317
20,0.000837,3.393132,0.118016,3.511985,13772.827090,3.521920
21,0.000951,3.397577,0.135790,3.534318,13772.830634,3.544328
22,0.000858,3.401148,0.141663,3.543669,13772.834188,3.553921
23,0.001048,3.400740,0.140929,3.542717,13772.837741,3.552609
24,0.001040,3.425891,0.137486,3.564417,13772.841315,3.574533
25,0.000887,3.407471,0.144083,3.552441,13772.844879,3.563197
26,0.000845,3.419871,0.142320,3.563036,13772.848452,3.573337
27,0.000799,3.413214,0.070149,3.484162,13772.851946,3.494213
28,0.000890,3.374033,0.141126,3.516049,13772.855472,3.525999
29,0.000889,3.397452,0.071980,3.470321,13772.858952,3.480125
30,0.000880,3.429634,0.160144,3.590658,13772.862553,3.600674
31,0.000915,3.430748,0.151307,3.582970,13772.866146,3.593313
32,0.001251,3.417383,0.141956,3.560590,13772.869718,3.571325
33,0.000956,3.408311,0.147857,3.557124,13772.873285,3.567578
34,0.000920,3.397834,0.154095,3.552849,13772.876848,3.563059
35,0.000846,3.370651,0.147316,3.518813,13772.880377,3.529010
36,0.000827,3.403265,0.110547,3.514639,13772.883902,3.524663
37,0.000869,3.419282,0.141451,3.561602,13772.887473,3.571602
38,0.000845,3.389258,0.069706,3.459809,13772.890943,3.469939
