FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001639,3.475456,0.822679,4.299774,11218.260417,N/A
1,0.001042,3.453533,0.647972,4.102547,11218.264533,4.116432
2,0.001228,3.468136,0.695446,4.164810,11218.268711,4.177557
3,0.000872,3.473819,0.627334,4.102025,11218.272825,4.114760
4,0.000945,3.419721,0.826445,4.247111,11218.277085,4.259555
5,0.000855,3.464259,0.565356,4.030470,11218.281128,4.043386
6,0.000935,3.466140,0.814565,4.281640,11218.285422,4.294250
7,0.001207,3.453450,0.571037,4.025694,11218.289460,4.037935
8,0.000955,3.460321,0.822934,4.284210,11218.293757,4.296758
9,0.000917,3.458550,0.608380,4.067847,11218.297838,4.080680
10,0.000889,3.468904,0.767405,4.237198,11218.302088,4.250046
11,0.000948,3.467118,0.542097,4.010163,11218.306111,4.023064
12,0.000936,3.466533,0.833949,4.301418,11218.310425,4.313761
13,0.000917,3.452410,0.641063,4.094390,11218.314531,4.106587
14,0.001241,3.527326,0.564256,4.092823,11218.318637,4.105217
15,0.001761,3.684606,0.469294,4.155661,11218.322813,4.176541
16,0.001608,3.450119,0.841478,4.293205,11218.327123,4.310002
17,0.000992,3.473509,0.516325,3.990826,11218.331128,4.004722
18,0.001005,3.384074,0.899987,4.285066,11218.335425,4.297655
19,0.000903,3.462951,0.571687,4.035541,11218.339474,4.048106
20,0.000928,3.461571,0.813822,4.276321,11218.343763,4.289106
21,0.000937,3.456169,0.627373,4.084479,11218.347860,4.097390
22,0.000935,3.477451,0.720076,4.198462,11218.352071,4.210916
23,0.000891,3.463675,0.575999,4.040565,11218.356124,4.053187
24,0.000976,3.471182,0.825523,4.297681,11218.360434,4.310036
25,0.000952,3.454003,0.638473,4.093428,11218.364541,4.106849
26,0.000867,3.453368,0.735389,4.189624,11218.368743,4.202343
27,0.001046,3.464961,0.567490,4.033497,11218.372790,4.046153
28,0.000893,3.458058,0.843790,4.302741,11218.377105,4.315365
29,0.000877,3.463779,0.549274,4.013930,11218.381131,4.026340
30,0.000968,3.461555,0.829271,4.291794,11218.385435,4.304194
