FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001169,3.423194,0.139895,3.564258,13827.864481,N/A
1,0.001007,3.382271,2.090610,5.473888,13827.869967,5.485649
2,0.001119,3.401114,0.139434,3.541667,13827.873521,3.553972
3,0.000905,5.930226,0.182822,6.113953,13827.879645,6.123998
4,0.003778,3.887544,0.168566,4.059888,13827.883729,4.084266
5,0.001847,3.694899,0.144413,3.841159,13827.887587,3.857369
6,0.001244,3.630904,0.147870,3.780018,13827.891378,3.790976
7,0.001024,3.550610,0.074741,3.626375,13827.895014,3.636811
8,0.001074,3.624341,0.149709,3.775124,13827.898800,3.785577
9,0.001081,3.611181,0.140162,3.752424,13827.902563,3.763448
10,0.001078,3.610070,0.141517,3.752665,13827.906327,3.763473
11,0.001026,3.599443,0.085250,3.685719,13827.910023,3.696273
12,0.001071,3.504309,0.145938,3.651318,13827.913686,3.662342
13,0.001029,3.578701,0.139242,3.718972,13827.917415,3.729341
14,0.001045,3.567976,0.177220,3.746241,13827.921172,3.756728
15,0.001104,3.596405,0.116592,3.714101,13827.924896,3.724532
16,0.001068,3.557342,0.112547,3.670957,13827.928577,3.681309
17,0.001008,3.602925,0.147199,3.751132,13827.932340,3.762299
18,0.000990,3.595566,0.076751,3.673307,13827.936024,3.684277
19,0.001063,3.588139,0.151628,3.740830,13827.939776,3.751851
20,0.001135,3.577690,0.141868,3.720693,13827.943507,3.731400
21,0.000982,3.509755,0.163248,3.673985,13827.947192,3.684360
22,0.001025,3.480262,0.137128,3.618415,13827.950821,3.629485
23,0.001024,3.591626,0.147320,3.739970,13827.954571,3.750330
24,0.001031,3.610417,0.142812,3.754260,13827.958336,3.764731
25,0.001001,3.596050,0.078247,3.675298,13827.962023,3.686365
26,0.001075,3.538031,0.142134,3.681240,13827.965714,3.691831
27,0.001064,3.591178,0.141596,3.733838,13827.969459,3.744228
28,0.001105,3.585876,0.141236,3.728217,13827.973197,3.738446
29,0.001483,3.614496,0.114641,3.730620,13827.976938,3.741192
30,0.001723,3.746402,0.195617,3.943742,13827.980896,3.958039
31,0.001855,3.544835,0.170555,3.717245,13827.984630,3.733885
32,0.001205,3.547353,0.140542,3.689100,13827.988334,3.703936
33,0.000972,3.570967,0.071559,3.643498,13827.991988,3.654249
34,0.001105,3.609388,0.074223,3.684716,13827.995684,3.695219
35,0.001063,3.531468,0.154938,3.687469,13827.999381,3.697492
