FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001110,3.496467,0.800468,4.298045,7760.290972,N/A
1,0.000807,3.446637,0.522721,3.970165,7760.294956,3.984260
2,0.001109,3.407419,0.808003,4.216531,7760.299186,4.229427
3,0.000795,3.453885,0.642484,4.097164,7760.303296,4.110061
4,0.000818,3.485565,0.687759,4.174142,7760.307483,4.186885
5,0.000740,3.445289,0.750405,4.196434,7760.311693,4.210133
6,0.000742,3.481494,0.645992,4.128228,7760.315834,4.141151
7,0.000780,3.381484,0.812767,4.195031,7760.320042,4.207799
8,0.000796,3.664758,0.364840,4.030394,7760.324085,4.043313
9,0.002055,3.567438,0.601014,4.170507,7760.328282,4.196867
10,0.001050,3.407919,0.780479,4.189448,7760.332483,4.201296
11,0.001098,3.457796,0.744321,4.203215,7760.336699,4.216161
12,0.000867,3.493316,0.597541,4.091724,7760.340804,4.104374
13,0.000818,3.427775,0.780244,4.208837,7760.345025,4.221800
14,0.000799,3.488058,0.633610,4.122467,7760.349161,4.135327
15,0.000767,3.479084,0.811850,4.291701,7760.353465,4.304180
16,0.000827,3.475307,0.499444,3.975578,7760.357453,3.988306
17,0.000897,3.423045,0.782145,4.206087,7760.361673,4.219625
18,0.000759,3.412253,0.764926,4.177938,7760.365863,4.190444
19,0.000870,3.453058,0.704865,4.158793,7760.370035,4.171651
20,0.000843,3.437551,0.726668,4.165062,7760.374213,4.178036
21,0.000754,3.458813,0.677724,4.137291,7760.378363,4.150310
22,0.000750,3.457166,0.645282,4.103198,7760.382479,4.115990
23,0.000755,3.461892,0.771086,4.233733,7760.386727,4.247216
24,0.000768,3.467906,0.631139,4.099813,7760.390839,4.112726
25,0.000801,3.430370,0.750237,4.181408,7760.395034,4.195115
26,0.000811,3.453738,0.703137,4.157686,7760.399205,4.170674
27,0.000855,3.449859,0.706399,4.157113,7760.403376,4.170482
28,0.001115,3.471019,0.599356,4.071490,7760.407460,4.084271
29,0.000821,3.427148,0.798690,4.226659,7760.411699,4.239382
30,0.000751,3.477142,0.680401,4.158294,7760.415870,4.170784
31,0.000744,3.494263,0.645625,4.140632,7760.420023,4.153284
32,0.000766,3.616335,0.502853,4.119954,7760.424156,4.132829
33,0.002045,3.524624,0.561737,4.088406,7760.428266,4.109709
34,0.001026,3.485869,0.758654,4.245549,7760.432523,4.257454
35,0.000766,3.487742,0.683292,4.171800,7760.436708,4.184818
36,0.000739,3.482622,0.658790,4.142151,7760.440863,4.154593
37,0.001085,3.403061,0.769168,4.173314,7760.445048,4.185753
38,0.000753,3.474361,0.659878,4.134992,7760.449196,4.147452
39,0.000823,3.482954,0.675150,4.158927,7760.453367,4.171492
40,0.000738,3.471504,0.665704,4.137946,7760.457518,4.150510
41,0.000756,3.396599,0.779000,4.176355,7760.461707,4.189513
42,0.000815,3.485619,0.669117,4.155551,7760.465876,4.168431
43,0.000889,3.413849,0.736011,4.150749,7760.470039,4.163527
44,0.000817,3.473353,0.693838,4.168008,7760.474220,4.180462
45,0.000733,3.466941,0.660540,4.128214,7760.478360,4.140673
46,0.000645,3.459147,0.699270,4.159062,7760.482532,4.171762
47,0.001041,3.399176,0.763126,4.163343,7760.486708,4.175788
48,0.000788,12.086118,0.122123,12.209029,7760.498929,12.221330
49,0.000901,3.387176,1.044111,4.432188,7760.503373,4.443302
50,0.000808,3.479082,0.638644,4.118534,7760.507504,4.130944
51,0.000768,3.564741,0.587729,4.153238,7760.511669,4.165617
52,0.000784,3.484859,0.692456,4.178099,7760.515860,4.190339
53,0.000831,3.443218,0.726109,4.170158,7760.520043,4.183104
54,0.000971,6.128702,0.244852,6.374525,7760.526430,6.386937
55,0.004023,3.717831,0.200350,3.922204,7760.530378,3.948495
56,0.001203,3.517259,0.085794,3.604256,7760.533998,3.620292
57,0.000900,3.458697,0.160117,3.619714,7760.537636,3.637829
58,0.000943,3.419758,0.151279,3.571980,7760.541219,3.582831
59,0.000787,3.408943,0.192650,3.602380,7760.544832,3.613051
60,0.000870,3.395341,0.885558,4.281769,7760.549124,4.292288
61,0.000797,3.380927,0.805445,4.187169,7760.553322,4.197683
62,0.000807,3.485937,0.637820,4.124564,7760.557457,4.134899
63,0.000750,3.470743,0.740500,4.211993,7760.561681,4.224328
64,0.001000,3.446151,0.709989,4.157140,7760.565851,4.169625
65,0.000773,3.475482,0.679892,4.156147,7760.570020,4.169323
66,0.000925,3.484620,0.645820,4.131365,7760.574164,4.143931
67,0.000798,3.480083,0.699683,4.180564,7760.578357,4.193081
68,0.000841,3.474994,0.666981,4.142816,7760.582512,4.155134
69,0.000780,3.465881,0.695613,4.162274,7760.586687,4.174677
70,0.000712,3.463901,0.543679,4.008292,7760.590708,4.020945
71,0.001151,3.505608,0.797767,4.304526,7760.595025,4.317021
72,0.000753,3.471382,0.665290,4.137425,7760.599175,4.149733
73,0.000760,3.485215,0.679763,4.165738,7760.603353,4.178046
74,0.000886,3.479909,0.671327,4.152122,7760.607517,4.164450
75,0.000780,3.466768,0.694610,4.162158,7760.611692,4.174708
76,0.000836,3.477235,0.672462,4.150533,7760.615855,4.162994
77,0.000786,3.443978,0.716114,4.160878,7760.620030,4.175435
78,0.000784,3.496621,0.531917,4.029322,7760.624072,4.041651
79,0.000798,3.604622,0.611813,4.217233,7760.628303,4.231067
80,0.001260,3.469894,0.707002,4.178156,7760.632502,4.198704
81,0.000761,3.386982,0.793794,4.181537,7760.636696,4.193746
82,0.000834,3.380489,0.788760,4.170083,7760.640878,4.182206
83,0.000726,3.413838,0.761436,4.176000,7760.645066,4.188037
84,0.001149,3.468515,0.652824,4.122488,7760.649201,4.134709
85,0.000802,3.393692,0.762392,4.156886,7760.653370,4.169188
86,0.000748,3.376832,0.660189,4.037769,7760.657420,4.049919
87,0.000789,3.389538,0.874048,4.264375,7760.661696,4.276594
88,0.000747,3.454455,0.701849,4.157051,7760.665865,4.169237
89,0.000751,3.360604,0.799985,4.161340,7760.670039,4.173467
90,0.000846,3.432907,0.709889,4.143642,7760.674195,4.155838
91,0.000928,3.527966,0.539183,4.068077,7760.678275,4.080280
92,0.000830,3.391358,0.672560,4.064748,7760.682352,4.076893
93,0.000817,3.411450,0.807122,4.219389,7760.686584,4.232284
94,0.000756,3.393920,0.891227,4.285903,7760.690882,4.298002
95,0.000743,3.396510,0.575405,3.972658,7760.694867,3.984716
96,0.000867,3.361907,0.922194,4.284968,7760.699163,4.295666
97,0.000820,3.502052,0.684296,4.187168,7760.703362,4.199410
98,0.001151,3.485729,0.647357,4.134237,7760.707508,4.146347
99,0.000793,3.391379,0.791351,4.183523,7760.711704,4.195573
100,0.000950,3.377605,0.780405,4.158960,7760.715875,4.171043
101,0.000738,3.388601,0.768823,4.158162,7760.720045,4.170197
102,0.000736,3.400567,0.679598,4.080901,7760.724138,4.092992
103,0.000676,3.642792,0.558130,4.201598,7760.728352,4.213910
104,0.001779,3.552156,0.583670,4.137605,7760.732511,4.159105
105,0.000773,3.445917,0.734406,4.181096,7760.736705,4.193523
106,0.000850,3.392023,0.763567,4.156440,7760.740874,4.168968
107,0.001140,3.342831,0.846203,4.190174,7760.745076,4.202307
108,0.000820,3.427974,0.672503,4.101297,7760.749189,4.113320
109,0.000813,3.421270,0.751350,4.173433,7760.753377,4.187911
110,0.000760,3.389036,0.646398,4.036194,7760.757425,4.048167
111,0.000827,3.387747,0.913360,4.301934,7760.761739,4.314046
112,0.000736,3.427748,0.699525,4.128009,7760.765879,4.140042
113,0.000686,3.345594,0.813014,4.159294,7760.770051,4.171368
114,0.000849,3.400532,0.728616,4.129997,7760.774193,4.142173
115,0.000820,3.427233,0.749890,4.177943,7760.778383,4.190073
116,0.000770,3.382941,0.647061,4.030772,7760.782426,4.042811
117,0.001368,3.468262,0.804434,4.274064,7760.786712,4.286120
118,0.000694,3.405249,0.747228,4.153171,7760.790877,4.165461
119,0.000964,3.381290,0.824384,4.206638,7760.795096,4.218763
