FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001561,3.355368,0.078915,3.435844,13846.743431,N/A
1,0.000981,3.408674,0.074351,3.484006,13846.746927,3.495869
2,0.000999,3.375727,0.142432,3.519158,13846.750457,3.530097
3,0.000889,3.378980,0.070497,3.450366,13846.753917,3.460366
4,0.000799,3.397887,0.077546,3.476232,13846.757404,3.486356
5,0.000866,3.375706,0.074436,3.451008,13846.760865,3.461325
6,0.000952,3.349533,0.142040,3.492525,13846.764368,3.502585
7,0.001143,3.399837,0.107651,3.508631,13846.767886,3.518569
8,0.001079,3.384745,0.145192,3.531016,13846.771427,3.541180
9,0.000920,3.373050,0.099102,3.473072,13846.774911,3.483694
10,0.000981,3.383753,0.142161,3.526895,13846.778448,3.536865
11,0.000984,3.391187,0.071574,3.463745,13846.781921,3.473536
12,0.001033,3.401840,0.144685,3.547558,13846.785479,3.557525
13,0.000812,6.937551,0.177516,7.115879,13846.792605,7.125960
14,0.003161,3.675128,0.159082,3.837371,13846.796462,3.856863
15,0.001265,3.423547,0.114876,3.539688,13846.800013,3.551566
16,0.001070,3.411383,0.141851,3.554304,13846.803578,3.565143
17,0.001107,3.373364,0.077068,3.451539,13846.807041,3.462686
18,0.000987,3.402732,0.141889,3.545608,13846.810597,3.556029
19,0.001018,3.427750,0.146646,3.575414,13846.814183,3.585651
20,0.000966,3.407889,0.138208,3.547063,13846.817740,3.557218
21,0.001155,3.456989,0.139861,3.598005,13846.821348,3.607936
22,0.001031,3.412443,0.136028,3.549502,13846.824908,3.559728
23,0.000949,3.429984,0.135601,3.566534,13846.828484,3.576575
24,0.000981,3.398363,0.068978,3.468322,13846.831963,3.478306
25,0.000942,3.415026,0.141491,3.557459,13846.835531,3.568887
26,0.000860,3.418676,0.081528,3.501064,13846.839043,3.511140
27,0.000911,3.400131,0.139855,3.540897,13846.842594,3.551057
28,0.000781,3.378313,0.111935,3.491029,13846.846095,3.501107
29,0.000847,3.448482,0.138888,3.588217,13846.849693,3.598468
30,0.001289,3.444109,0.150644,3.596042,13846.853299,3.606089
31,0.001038,3.388968,0.141205,3.531211,13846.856841,3.541714
32,0.000966,3.399575,0.142230,3.542771,13846.860394,3.552695
33,0.001070,3.405466,0.098612,3.505148,13846.863910,3.516019
34,0.000811,3.365593,0.141594,3.507998,13846.867428,3.517844
35,0.000924,3.399140,0.069211,3.469275,13846.870907,3.479326
36,0.000947,3.394871,0.142001,3.537819,13846.874455,3.547969
37,0.001311,3.408153,0.069767,3.479231,13846.877944,3.489199
38,0.001047,3.400693,0.139243,3.540983,13846.881495,3.551253
39,0.000988,3.362645,0.070816,3.434449,13846.884940,3.444870
40,0.000964,3.454124,0.170597,3.625685,13846.888576,3.635673
41,0.001817,3.611069,0.165490,3.778376,13846.892370,3.794243
42,0.001478,3.464278,0.082055,3.547811,13846.895933,3.562659
43,0.001477,3.520586,0.144238,3.666301,13846.899613,3.679803
44,0.001029,3.402971,0.143037,3.547037,13846.903170,3.557794
45,0.000990,3.407922,0.139581,3.548493,13846.906729,3.558666
46,0.000842,3.384252,0.104199,3.489293,13846.910228,3.499322
47,0.001044,3.410552,0.145652,3.557248,13846.913796,3.567256
48,0.001030,3.419654,0.148423,3.569107,13846.917375,3.579301
49,0.000953,3.408410,0.114338,3.523701,13846.920909,3.534186
50,0.000939,3.433848,0.139031,3.573818,13846.924493,3.583826
51,0.000800,3.381096,0.068351,3.450247,13846.927953,3.460157
52,0.001032,3.420869,0.142809,3.564710,13846.931528,3.574545
53,0.000825,3.377683,0.068860,3.447368,13846.934986,3.458203
54,0.001042,3.406917,0.142070,3.550029,13846.938546,3.560083
55,0.000942,3.399637,0.077330,3.477909,13846.942034,3.488053
56,0.001002,3.415839,0.070520,3.487361,13846.945531,3.497483
57,0.000895,3.384772,0.068898,3.454565,13846.948996,3.464598
