FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001222,3.504513,0.883841,4.389576,7767.033519,N/A
1,0.000943,3.465713,0.484674,3.951330,7767.037484,3.965075
2,0.001070,3.492478,0.837143,4.330691,7767.041828,4.343894
3,0.000872,3.470387,0.514659,3.985918,7767.045827,3.998608
4,0.001332,3.455878,0.798495,4.255705,7767.050095,4.267908
5,0.000793,3.495992,0.520736,4.017521,7767.054125,4.030652
6,0.000743,3.493053,0.843104,4.336900,7767.058475,4.349392
7,0.000784,3.470672,0.537324,4.008780,7767.062496,4.021146
8,0.000795,3.490567,0.812124,4.303486,7767.066812,4.315831
9,0.000755,3.452065,0.546367,3.999187,7767.070823,4.011814
10,0.000695,3.421082,0.839001,4.260778,7767.075096,4.273051
11,0.001072,3.489084,0.566065,4.056221,7767.079165,4.068672
12,0.000817,3.489650,0.838319,4.328786,7767.083507,4.341629
13,0.000759,3.487309,0.500118,3.988186,7767.087507,4.000392
14,0.000806,3.573338,0.569464,4.143608,7767.091663,4.155977
15,0.002434,3.657070,0.443676,4.103180,7767.095790,4.126575
16,0.000959,3.507928,0.699208,4.208095,7767.100013,4.223145
17,0.000767,3.505565,0.775913,4.282245,7767.104308,4.295692
18,0.000739,3.492816,0.514376,4.007931,7767.108329,4.020155
19,0.000748,3.498017,0.652283,4.151048,7767.112492,4.163339
20,0.000834,3.500837,0.847538,4.349209,7767.116854,4.361515
21,0.000772,3.462960,0.473145,3.936877,7767.120803,3.949271
22,0.000767,3.466949,0.810161,4.277877,7767.125093,4.290193
23,0.000732,3.509052,0.545775,4.055559,7767.129161,4.067887
24,0.000742,3.486218,0.850706,4.337666,7767.133512,4.350694
25,0.000801,3.468322,0.507632,3.976755,7767.137501,3.989578
26,0.000733,3.495943,0.831003,4.327679,7767.141841,4.339952
27,0.000758,3.465042,0.492826,3.958626,7767.145812,3.970826
28,0.000737,3.471295,0.798495,4.270527,7767.150095,4.282845
29,0.000744,3.490958,0.572831,4.064533,7767.154172,4.076917
30,0.000764,3.493504,0.832600,4.326868,7767.158511,4.339011
31,0.000835,3.492148,0.456141,3.949124,7767.162472,3.961350
32,0.000780,3.493828,0.877626,4.372234,7767.166857,4.384763
33,0.000741,3.428832,0.544635,3.974208,7767.170844,3.986887
34,0.000713,3.410843,0.838857,4.250413,7767.175106,4.262640
35,0.000785,3.472648,0.550756,4.024189,7767.179144,4.037200
36,0.000775,3.498463,0.870153,4.369391,7767.183525,4.381548
37,0.000778,3.458678,0.512847,3.972303,7767.187510,3.984482
38,0.000746,3.489078,0.627480,4.117304,7767.191639,4.129686
39,0.000905,3.672256,0.501714,4.174875,7767.195827,4.188157
40,0.001528,3.481165,0.777729,4.260422,7767.200108,4.280619
41,0.000788,3.472669,0.593749,4.067206,7767.204189,4.081151
42,0.000751,3.496224,0.837526,4.334501,7767.208536,4.346867
43,0.000807,3.492923,0.460460,3.954190,7767.212502,3.966412
44,0.000814,3.499594,0.838105,4.338513,7767.216853,4.350770
45,0.000747,3.507938,0.471685,3.980370,7767.220846,3.992564
46,0.000761,13.286410,0.154828,13.441999,7767.234300,13.454243
47,0.000818,3.488852,0.122120,3.611790,7767.237922,3.622285
48,0.000848,3.439634,0.147996,3.588478,7767.241522,3.599486
49,0.000843,3.487425,0.655091,4.143359,7767.245675,4.153369
50,0.000792,3.411531,0.842912,4.255235,7767.249941,4.266052
51,0.000915,3.407603,0.639217,4.047735,7767.253999,4.057698
52,0.000998,3.460046,0.894093,4.355137,7767.258368,4.369351
53,0.000786,3.484010,0.648546,4.133342,7767.262514,4.146155
