FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001431,3.439722,0.143245,3.584398,13900.846704,N/A
1,0.000983,3.410658,0.070108,3.481749,13900.850198,3.493954
2,0.001066,3.407950,0.138203,3.547219,13900.853756,3.558495
3,0.000946,3.409024,0.140368,3.550338,13900.857317,3.560636
4,0.000924,3.403760,0.137245,3.541929,13900.860869,3.552482
5,0.000950,3.406930,0.140234,3.548114,13900.864428,3.558965
6,0.001262,3.394006,0.069675,3.464943,13900.867903,3.475141
7,0.000906,3.409403,2.304336,5.714645,13900.873628,5.724831
8,0.001077,3.428844,0.142081,3.572002,13900.877212,3.584291
9,0.000977,3.402328,0.139841,3.543146,13900.880767,3.554225
10,0.000902,3.411589,0.144348,3.556839,13900.884334,3.567146
11,0.000834,3.350286,0.139736,3.490856,13900.887835,3.501173
12,0.001357,3.629149,0.213156,3.843662,13900.891690,3.854874
13,0.001788,3.460790,0.133279,3.595857,13900.895303,3.613704
14,0.001146,3.401659,0.140617,3.543422,13900.898858,3.554581
15,0.000948,3.408566,0.146877,3.556391,13900.902425,3.566837
16,0.001176,3.399553,0.069594,3.470323,13900.905906,3.480853
17,0.000903,3.423603,0.138023,3.562529,13900.909479,3.573684
18,0.000923,3.404652,0.071385,3.476960,13900.912967,3.487390
19,0.000939,3.457048,0.151002,3.608989,13900.916586,3.619511
20,0.001012,3.393515,0.109926,3.504453,13900.920101,3.514586
21,0.001145,3.397521,0.139614,3.538280,13900.923649,3.548558
22,0.001193,3.410808,0.143036,3.555037,13900.927214,3.564992
23,0.000948,3.395417,0.140996,3.537361,13900.930762,3.547391
24,0.000849,3.401828,0.133638,3.536315,13900.934308,3.546462
25,0.000902,3.397130,0.134366,3.532398,13900.937851,3.542996
26,0.000924,3.454154,0.177886,3.632964,13900.941494,3.642820
27,0.001009,3.390802,0.071849,3.463660,13900.944968,3.473728
28,0.001052,3.369142,0.129226,3.499420,13900.948477,3.509399
29,0.000970,3.394362,0.068919,3.464251,13900.951952,3.474465
30,0.000990,3.394768,0.128088,3.523846,13900.955486,3.533922
31,0.000979,3.374688,0.072764,3.448431,13900.958944,3.458251
32,0.000924,3.399087,0.131366,3.531377,13900.962486,3.541586
33,0.000891,3.392249,0.068392,3.461532,13900.965958,3.472083
34,0.000903,3.388066,0.122878,3.511847,13900.969480,3.521918
35,0.000951,3.392141,0.071773,3.464865,13900.972955,3.475196
36,0.001019,3.465613,0.167372,3.634004,13900.976599,3.644294
37,0.001790,3.527134,0.157987,3.686911,13900.980300,3.701127
38,0.001480,3.480861,0.127172,3.609513,13900.983923,3.622839
39,0.002362,3.523291,0.164266,3.689919,13900.987627,3.704503
40,0.001569,6.237363,0.165723,6.404655,13900.994047,6.419717
41,0.002768,3.942162,0.175093,4.120023,13900.998193,4.145401
42,0.001378,3.533767,0.146409,3.681554,13901.001890,3.697389
43,0.001069,3.453052,0.140437,3.594558,13901.005496,3.605667
44,0.001152,3.463001,0.133218,3.597371,13901.009103,3.607656
45,0.001057,3.472931,0.076173,3.550161,13901.012664,3.560432
46,0.001154,3.442968,0.107863,3.551985,13901.016226,3.562563
47,0.001416,3.370580,0.102089,3.474085,13901.019711,3.484452
48,0.000919,3.371067,0.136172,3.508158,13901.023229,3.518069
49,0.000873,3.382461,0.134477,3.517811,13901.026756,3.527614
50,0.000793,3.382104,0.133420,3.516317,13901.030282,3.526028
51,0.000894,3.386759,0.132375,3.520028,13901.033813,3.530099
52,0.001016,3.431487,0.131900,3.564403,13901.037387,3.574237
53,0.000924,3.362256,0.102232,3.465412,13901.040863,3.476013
54,0.000896,3.340152,0.120747,3.461795,13901.044334,3.471299
55,0.000877,3.373722,0.174607,3.549206,13901.047893,3.558688
56,0.000823,3.396786,0.124227,3.521836,13901.051425,3.531872
57,0.000887,3.373050,0.094275,3.468212,13901.054902,3.477717
58,0.000853,3.369276,0.122986,3.493115,13901.058405,3.503070
59,0.000927,3.374641,0.097412,3.472980,13901.061888,3.482761
60,0.001220,3.374640,0.074197,3.450057,13901.065348,3.459759
61,0.001277,3.370202,0.120910,3.492389,13901.068850,3.501947
62,0.000876,3.371234,0.119462,3.491572,13901.072351,3.500953
63,0.000844,3.374401,0.124885,3.500130,13901.075861,3.509715
64,0.000849,10.272525,0.333352,10.606726,13901.086477,10.616347
65,0.000976,3.346329,0.067070,3.414375,13901.089902,3.425030
66,0.000872,3.526639,0.184608,3.712119,13901.093624,3.721632
67,0.002268,3.464704,0.135800,3.602772,13901.097245,3.621052
68,0.000973,3.386808,0.137683,3.525464,13901.100780,3.535826
69,0.000930,3.384208,0.064793,3.449931,13901.104240,3.459796
70,0.001010,3.379795,0.136000,3.516805,13901.107767,3.526406
71,0.000926,3.382896,0.143989,3.527811,13901.111304,3.537172
72,0.001139,3.385310,0.137728,3.524177,13901.114838,3.534036
73,0.000994,3.375443,0.134357,3.510794,13901.118358,3.520133
74,0.000861,3.377054,0.138069,3.515984,13901.121884,3.525484
75,0.000851,3.389867,0.143522,3.534240,13901.125428,3.544150
76,0.000941,3.370232,0.154766,3.525939,13901.128963,3.535457
77,0.000898,3.376186,0.136364,3.513448,13901.132489,3.526346
78,0.000956,3.374256,0.067399,3.442611,13901.135942,3.452274
79,0.000955,3.390076,0.138934,3.529965,13901.139481,3.539575
80,0.000781,3.379431,0.065958,3.446170,13901.142937,3.455819
81,0.001106,3.378078,0.165774,3.544958,13901.146492,3.554554
82,0.000990,3.348623,0.069025,3.418638,13901.149920,3.428009
83,0.000763,3.380412,0.137368,3.518543,13901.153448,3.527954
84,0.000939,3.368862,0.099461,3.469262,13901.156926,3.478589
85,0.000886,3.381866,0.142866,3.525618,13901.160461,3.534954
86,0.000748,3.376734,0.068035,3.445517,13901.163916,3.454639
87,0.000907,3.377145,0.138408,3.516460,13901.167442,3.525771
88,0.000936,3.374340,0.095347,3.470623,13901.170922,3.479970
89,0.001002,3.384944,0.145141,3.531087,13901.174462,3.540463
90,0.001203,3.376946,0.067612,3.445761,13901.177917,3.455400
91,0.000854,3.382367,0.137546,3.520767,13901.181448,3.530186
92,0.000881,3.371605,0.091629,3.464115,13901.184921,3.473644
93,0.000976,3.371753,0.151911,3.524640,13901.188458,3.536284
94,0.000938,3.430320,0.067082,3.498340,13901.191965,3.507369
95,0.000817,3.742133,0.173358,3.916308,13901.195891,3.925673
96,0.001684,3.569783,0.135741,3.707208,13901.199614,3.723465
97,0.001142,3.414129,0.125114,3.540385,13901.203164,3.550093
98,0.000812,3.310767,0.137471,3.449050,13901.206623,3.458544
99,0.000805,3.341924,0.072427,3.415156,13901.210047,3.424533
100,0.001013,3.316755,0.133220,3.450988,13901.213508,3.460599
101,0.000831,3.342263,0.064751,3.407845,13901.216925,3.417184
102,0.000989,3.430028,0.144112,3.575129,13901.220509,3.584328
103,0.000993,3.375615,0.065548,3.442156,13901.223961,3.451576
104,0.000846,3.438937,0.137247,3.577030,13901.227547,3.586454
105,0.000868,3.367635,0.062791,3.431294,13901.230988,3.440686
106,0.000785,3.343952,0.138321,3.483058,13901.234481,3.492466
107,0.000887,3.369959,0.063957,3.434803,13901.237925,3.444310
108,0.000878,3.355757,0.186361,3.542996,13901.241477,3.552519
109,0.000998,3.339472,0.065638,3.406108,13901.244896,3.418654
110,0.000974,3.376851,0.141176,3.519001,13901.248425,3.528531
111,0.000808,3.307687,0.135919,3.444414,13901.251878,3.453896
112,0.000818,3.405728,0.132432,3.538978,13901.255427,3.548379
113,0.000840,3.339368,0.123476,3.463684,13901.258900,3.472890
114,0.000800,3.452176,0.137757,3.590733,13901.262500,3.600294
115,0.000868,3.405612,0.062157,3.468637,13901.265978,3.478171
116,0.000923,3.453284,0.139766,3.593973,13901.269582,3.603395
117,0.000989,3.333784,0.062264,3.397037,13901.272988,3.406417
118,0.000845,3.444427,0.147566,3.592838,13901.276591,3.602674
119,0.001024,3.429130,0.143626,3.573780,13901.280174,3.583213
120,0.000856,3.415942,0.137936,3.554734,13901.283738,3.564351
121,0.000822,3.450580,0.190779,3.642181,13901.287390,3.651558
122,0.000834,3.405284,0.092976,3.499094,13901.290898,3.508530
123,0.000779,3.572562,0.180951,3.754292,13901.294662,3.763998
124,0.002554,3.482469,0.142583,3.627606,13901.298308,3.645410
125,0.001002,3.383467,0.136968,3.521437,13901.301840,3.532770
126,0.001023,3.380471,0.149335,3.530829,13901.305381,3.540622
127,0.000904,3.377841,0.131888,3.510633,13901.308902,3.520444
128,0.000911,3.428459,0.139665,3.569035,13901.312480,3.578852
129,0.000912,3.383587,0.065422,3.449921,13901.315944,3.463499
130,0.000918,3.377226,0.148129,3.526273,13901.319480,3.535970
131,0.000859,3.374720,0.064832,3.440411,13901.322930,3.450027
132,0.001200,3.381452,0.138037,3.520689,13901.326460,3.530218
133,0.000891,3.398981,0.068756,3.468628,13901.329938,3.478242
134,0.000888,3.380300,0.140391,3.521579,13901.333470,3.531501
135,0.000791,3.385666,0.065513,3.451970,13901.336932,3.461674
136,0.000779,3.384724,0.140444,3.525947,13901.340467,3.535511
137,0.001028,3.379722,0.065260,3.446010,13901.343922,3.455427
138,0.000879,3.389506,0.140509,3.530894,13901.347463,3.540308
139,0.000771,3.381289,0.065459,3.447519,13901.350920,3.457207
140,0.001157,3.387432,0.140490,3.529079,13901.354459,3.538552
141,0.000791,3.368453,0.066240,3.435484,13901.357903,3.444948
142,0.001177,3.386279,0.140856,3.528312,13901.361441,3.537663
143,0.000868,3.385624,0.065654,3.452146,13901.364903,3.461781
144,0.000796,3.379902,0.138585,3.519283,13901.368432,3.528790
145,0.000905,3.378074,0.095653,3.474632,13901.371916,3.483890
146,0.000875,3.374193,0.142680,3.517748,13901.375443,3.527348
147,0.000856,3.375771,0.095042,3.471669,13901.378924,3.481200
148,0.000863,3.379181,0.140427,3.520471,13901.382454,3.530222
149,0.000801,3.375158,0.065357,3.441316,13901.385908,3.453995
150,0.000871,3.369559,0.137253,3.507683,13901.389425,3.517020
151,0.000855,3.344509,0.100725,3.446089,13901.392881,3.455952
152,0.000773,3.714478,0.176714,3.891965,13901.396783,3.901289
153,0.001940,3.451723,0.137562,3.591225,13901.400391,3.608683
154,0.000765,3.469911,0.070616,3.541292,13901.403943,3.551289
155,0.001084,3.375446,0.146417,3.522947,13901.407475,3.532625
156,0.001139,3.343109,0.091576,3.435824,13901.410920,3.445066
157,0.000927,3.385951,0.145135,3.532013,13901.414462,3.541280
158,0.000933,3.307963,0.100639,3.409535,13901.417881,3.419016
159,0.000875,3.346445,0.134618,3.481938,13901.421372,3.491456
160,0.000854,3.340624,0.154539,3.496017,13901.424877,3.505373
161,0.000873,3.593826,0.143391,3.738090,13901.428625,3.747558
162,0.000998,3.459549,0.139615,3.600162,13901.432235,3.609655
163,0.000934,3.384281,0.136343,3.521558,13901.435766,3.531175
164,0.001022,3.507276,0.133660,3.641958,13901.439417,3.651431
165,0.000752,3.306336,0.132645,3.439733,13901.442866,3.449106
166,0.000777,3.428521,0.137939,3.567237,13901.446443,3.576878
167,0.000731,3.371366,0.096944,3.469041,13901.449922,3.478953
168,0.000775,3.313718,0.136092,3.450585,13901.453382,3.460184
169,0.000813,3.340180,0.133901,3.474894,13901.456867,3.484225
170,0.000735,3.379672,0.134944,3.515351,13901.460392,3.525056
171,0.000731,3.337443,0.131479,3.469653,13901.463870,3.478825
172,0.000695,3.386738,0.141267,3.528700,13901.467409,3.538209
173,0.000758,3.294935,0.138962,3.434655,13901.470856,3.446981
174,0.000766,3.310678,0.138599,3.450043,13901.474315,3.459443
175,0.000714,3.303129,0.139996,3.443839,13901.477768,3.453214
176,0.000735,3.377354,0.135006,3.513095,13901.481291,3.522354
177,0.000757,3.347637,0.151102,3.499496,13901.484799,3.508793
178,0.000796,3.460394,0.135825,3.597015,13901.488406,3.606668
179,0.000742,3.407363,0.092963,3.501068,13901.491917,3.510612
180,0.000806,3.719475,0.183962,3.904243,13901.495831,3.913844
181,0.002435,4.163460,0.143879,4.309774,13901.500160,4.329454
182,0.001538,3.386257,0.136566,3.524361,13901.503702,3.541725
183,0.000878,3.363137,0.134004,3.498019,13901.507210,3.507874
184,0.000908,3.343990,0.134233,3.479131,13901.510698,3.488718
185,0.000810,3.361102,0.134939,3.496851,13901.514205,3.506208
186,0.000994,3.344087,0.139201,3.484282,13901.517698,3.493592
187,0.000896,3.346147,0.135037,3.482080,13901.521190,3.491803
188,0.001005,3.339426,0.135010,3.475441,13901.524675,3.484798
189,0.001056,3.344618,0.135883,3.481557,13901.528166,3.490788
190,0.000968,3.393662,0.137780,3.532410,13901.531707,3.541735
191,0.001168,3.370153,0.136764,3.508085,13901.535225,3.517621
192,0.000876,3.298966,0.134305,3.434147,13901.538668,3.443403
193,0.001046,3.351112,0.145380,3.497538,13901.542175,3.506793
194,0.000920,3.345263,0.188314,3.534497,13901.545719,3.543903
195,0.000810,3.376709,0.134602,3.512121,13901.549240,3.521435
196,0.000929,3.307406,0.136398,3.444733,13901.552695,3.454227
197,0.000965,3.380693,0.135566,3.517224,13901.556221,3.526740
198,0.000902,3.349356,0.134819,3.485077,13901.559716,3.494465
199,0.000979,3.362226,0.135529,3.498734,13901.563224,3.508229
200,0.000820,3.329344,0.135206,3.465370,13901.566699,3.474707
201,0.000849,3.373729,0.135501,3.510079,13901.570221,3.522432
202,0.000907,3.303980,0.144277,3.449164,13901.573680,3.458482
203,0.001080,3.349619,0.136424,3.487123,13901.577176,3.496509
204,0.000909,3.388606,0.147750,3.537265,13901.580723,3.546555
205,0.000959,3.377932,0.139227,3.518118,13901.584250,3.527586
206,0.000929,3.307982,0.136382,3.445293,13901.587705,3.454533
207,0.000904,3.356485,0.142469,3.499858,13901.591214,3.509146
208,0.000886,3.343778,0.132702,3.477366,13901.594701,3.486581
