FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001370,3.393445,0.147260,3.542075,13946.370708,N/A
1,0.000910,3.409777,0.149565,3.560252,13946.374280,3.571712
2,0.000963,3.379109,0.141802,3.521874,13946.377813,3.533044
3,0.001049,3.388708,0.136322,3.526079,13946.381349,3.535864
4,0.000996,3.389414,0.126243,3.516653,13946.384876,3.526898
5,0.001081,3.389347,0.124314,3.514742,13946.388401,3.524914
6,0.001032,3.382435,0.096660,3.480127,13946.391891,3.489824
7,0.000960,3.389748,0.140333,3.531041,13946.395432,3.540994
8,0.001058,3.387115,0.099502,3.487675,13946.398929,3.497543
9,0.000907,3.583663,0.174658,3.759228,13946.402699,3.769722
10,0.002491,3.461537,0.140231,3.604259,13946.406316,3.617496
11,0.001056,3.387910,0.146058,3.535024,13946.409863,3.546832
12,0.001003,3.403575,0.136437,3.541015,13946.413415,3.551315
13,0.000863,3.394090,0.095544,3.490497,13946.416915,3.500555
14,0.000904,3.391326,0.139102,3.531332,13946.420456,3.541018
15,0.001186,3.390663,0.069576,3.461425,13946.423927,3.471134
16,0.001129,3.384832,0.154527,3.540488,13946.427478,3.550272
17,0.001098,3.407619,0.070137,3.478854,13946.430967,3.489836
18,0.000945,3.387236,0.156792,3.544973,13946.434522,3.554794
19,0.001047,3.386334,0.065460,3.452841,13946.437985,3.462911
20,0.000932,3.395353,0.140553,3.536838,13946.441532,3.546620
21,0.000822,3.379042,0.067880,3.447744,13946.444989,3.457697
22,0.005986,3.385840,0.139658,3.531484,13946.448531,3.541174
23,0.000756,3.390284,0.068014,3.459054,13946.452000,3.468956
24,0.000810,3.392284,0.141358,3.534452,13946.455549,3.549704
25,0.000948,3.390233,0.070237,3.461418,13946.459022,3.472278
26,0.001058,3.398681,0.144068,3.543807,13946.462575,3.553758
27,0.000901,3.381892,0.072946,3.455739,13946.466041,3.465526
28,0.001039,3.398006,0.164996,3.564041,13946.469615,3.573971
29,0.000902,3.409750,0.141191,3.551843,13946.473176,3.561571
30,0.000868,3.379196,0.143722,3.523786,13946.476710,3.533580
31,0.000894,3.427747,0.142959,3.571600,13946.480291,3.581348
32,0.000842,3.398778,0.137970,3.537590,13946.483839,3.547295
33,0.000879,3.388994,0.135718,3.525591,13946.487374,3.535819
34,0.000899,3.384061,0.128204,3.513164,13946.490897,3.523047
35,0.000872,3.385942,0.139221,3.526035,13946.494433,3.535895
36,0.000846,3.395278,0.073762,3.469886,13946.497913,3.479483
37,0.000768,3.550950,0.193011,3.744729,13946.501667,3.754423
38,0.002272,3.533307,0.247943,3.783522,13946.505470,3.803034
39,0.001059,3.418289,0.066707,3.486055,13946.508969,3.498756
40,0.000875,3.383165,0.145740,3.529780,13946.512509,3.539948
41,0.000849,3.382548,0.067940,3.451337,13946.515971,3.462316
42,0.001013,3.385378,0.146292,3.532683,13946.519514,3.542533
43,0.000776,3.407556,0.066158,3.474490,13946.522998,3.484330
