FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001091,3.454716,0.734960,4.190767,11356.218961,N/A
1,0.000839,3.461483,0.642396,4.104718,11356.223080,4.118692
2,0.000958,3.462740,0.551972,4.015670,11356.227109,4.029268
3,0.000973,3.466298,0.911599,4.378870,11356.231501,4.391293
4,0.000918,3.430904,0.605054,4.036876,11356.235550,4.049441
5,0.001030,3.482939,0.702196,4.186165,11356.239749,4.198809
6,0.001023,3.471396,0.752669,4.225088,11356.243987,4.237620
7,0.006672,3.493766,0.593887,4.094325,11356.248093,4.106805
8,0.000997,3.470903,0.585439,4.057339,11356.252163,4.070085
9,0.001001,3.613650,0.564338,4.178989,11356.256355,4.191750
10,0.001755,3.519702,0.732280,4.253737,11356.260627,4.271484
11,0.000962,3.460886,0.688301,4.150149,11356.264790,4.162948
12,0.001043,3.468476,0.666827,4.136346,11356.268939,4.149178
13,0.001132,3.449865,0.607722,4.058719,11356.273010,4.071318
14,0.001021,3.476730,0.659542,4.137293,11356.277161,4.150838
15,0.001064,3.470695,0.863199,4.334958,11356.281508,4.347494
16,0.001151,3.452985,0.621037,4.075173,11356.285596,4.087711
17,0.001027,3.482728,0.668733,4.152488,11356.289762,4.165625
18,0.000978,3.484190,0.585020,4.070188,11356.293844,4.082541
19,0.000932,3.427370,0.871736,4.300038,11356.298157,4.312331
20,0.000945,3.449521,0.577675,4.028141,11356.302198,4.040927
21,0.000925,3.457609,0.844898,4.303432,11356.306514,4.316027
22,0.000962,3.450171,0.617078,4.068211,11356.310594,4.080545
23,0.000881,3.467526,0.752878,4.221285,11356.314828,4.233923
24,0.000968,3.440234,0.662561,4.103763,11356.318944,4.116365
25,0.000920,3.431980,0.748995,4.181895,11356.323139,4.194959
26,0.001063,3.468086,0.544469,4.013618,11356.327165,4.026034
27,0.001085,3.438504,0.811308,4.250897,11356.331429,4.263401
28,0.000843,3.450417,0.671896,4.123156,11356.335565,4.135684
29,0.000882,3.476633,0.739922,4.217437,11356.339795,4.230030
30,0.001014,3.459472,0.698061,4.158547,11356.343966,4.171135
31,0.001128,3.498463,0.621722,4.121313,11356.348099,4.133752
32,0.000974,3.479648,0.679618,4.160240,11356.352272,4.172845
33,0.000906,3.581647,0.586704,4.169257,11356.356454,4.182064
34,0.002701,3.547338,0.548686,4.098725,11356.360574,4.119268
35,0.000922,3.491445,0.758689,4.251056,11356.364837,4.263775
36,0.000934,3.431597,0.679573,4.112104,11356.368962,4.124935
37,0.000918,3.392234,0.797648,4.190800,11356.373166,4.203434
38,0.000998,3.465095,0.518535,3.984628,11356.377163,3.997369
39,0.000913,3.481033,0.859694,4.341640,11356.381517,4.354125
40,0.000997,3.458067,0.468364,3.927428,11356.385457,3.940078
41,0.000882,3.471552,0.890690,4.363124,11356.389833,4.375875
42,0.000900,3.455359,0.638328,4.094587,11356.393940,4.106954
43,0.000847,3.457330,0.742094,4.200271,11356.398153,4.212674
44,0.000935,3.471649,0.525046,3.997630,11356.402163,4.010405
45,0.000962,3.473939,0.861286,4.336187,11356.406512,4.348585
46,0.001076,3.457440,0.471956,3.930472,11356.410455,3.942945
47,0.000921,3.466634,0.921160,4.388715,11356.414856,4.401267
48,0.000908,3.461163,0.608153,4.070224,11356.418939,4.082893
49,0.000923,11.003322,0.337520,11.341765,11356.430293,11.354042
50,0.001086,3.436802,0.153169,3.591057,11356.433895,3.601759
51,0.000941,3.413639,0.144753,3.559333,11356.437465,3.570259
52,0.000897,3.469499,0.086770,3.557166,11356.441033,3.567647
53,0.001072,3.402809,0.148064,3.551945,11356.444596,3.563560
54,0.001042,3.375963,0.123957,3.500962,11356.448107,3.511115
55,0.000989,3.388948,0.498313,3.888250,11356.452006,3.898565
56,0.000951,3.515745,0.690198,4.206894,11356.456223,4.217128
57,0.002704,3.576046,0.760426,4.339176,11356.460585,4.362293
58,0.001490,3.472987,0.520286,3.994763,11356.464594,4.008588
59,0.000902,3.473965,0.833128,4.307995,11356.468914,4.320344
60,0.000900,3.443741,0.708596,4.153237,11356.473080,4.166032
61,0.000908,3.471085,0.616579,4.088572,11356.477181,4.101021
62,0.001046,3.447942,0.589693,4.038681,11356.481232,4.051097
63,0.000992,3.480083,0.705924,4.186999,11356.485432,4.199563
64,0.001136,3.431105,0.807904,4.240145,11356.489685,4.252675
65,0.000879,3.392736,0.816112,4.209727,11356.493907,4.222812
66,0.000864,3.362754,0.820578,4.184196,11356.498104,4.196422
67,0.000833,3.429013,0.632708,4.062554,11356.502179,4.074823
68,0.001082,3.399884,0.793853,4.194819,11356.506386,4.207097
69,0.000912,3.390713,0.674402,4.066027,11356.510464,4.078234
70,0.000981,3.371835,0.897469,4.270285,11356.514746,4.282310
71,0.000856,3.387571,0.770981,4.159408,11356.518918,4.171634
72,0.000881,3.345916,0.803894,4.150691,11356.523081,4.162843
73,0.000884,3.414315,0.671441,4.086640,11356.527180,4.098735
74,0.000993,3.492346,0.736923,4.230262,11356.531422,4.242379
75,0.000884,3.388629,0.824013,4.213526,11356.535647,4.225525
76,0.001116,3.412328,0.592029,4.005473,11356.539665,4.017507
77,0.000898,3.386397,0.827407,4.214702,11356.543895,4.229814
78,0.001057,3.434147,0.782280,4.217484,11356.548126,4.231663
79,0.000868,3.403413,0.643797,4.048078,11356.552187,4.060227
80,0.000913,3.494480,0.713055,4.208448,11356.556407,4.220423
