FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001253,3.501174,0.760222,4.262649,11382.668047,N/A
1,0.001052,3.496527,0.465676,3.963255,11382.672024,3.977216
2,0.001044,3.387345,0.948485,4.336874,11382.676374,4.349698
3,0.001336,3.489072,0.560613,4.051021,11382.680437,4.063545
4,0.000938,3.487245,0.772946,4.261129,11382.684711,4.273566
5,0.000899,3.503260,0.556342,4.060501,11382.688784,4.073433
6,0.001042,3.500705,0.745199,4.246946,11382.693044,4.259674
7,0.001071,3.499623,0.470147,3.970841,11382.697027,3.983171
8,0.000991,3.537005,0.699940,4.237936,11382.701276,4.249149
9,0.000993,3.495584,0.653484,4.150061,11382.705439,4.162892
10,0.000996,3.500148,0.763695,4.264839,11382.709716,4.277338
11,0.000993,3.520686,0.508337,4.030016,11382.713759,4.042690
12,0.001014,3.469694,0.678156,4.148864,11382.717920,4.161310
13,0.003478,3.665300,0.454690,4.123468,11382.722070,4.150003
14,0.001556,3.539804,0.759765,4.301125,11382.726389,4.318180
15,0.001019,3.510626,0.532170,4.043815,11382.730445,4.056603
16,0.001040,3.495462,0.783368,4.279870,11382.734738,4.292401
17,0.000974,3.505734,0.526509,4.033217,11382.738784,4.046499
18,0.001026,3.495566,0.769780,4.266372,11382.743063,4.278941
19,0.001072,3.502124,0.457850,3.961046,11382.747036,3.973475
20,0.001003,3.508621,0.833888,4.343512,11382.751393,4.356060
21,0.001174,3.480791,0.558367,4.040332,11382.755445,4.052693
22,0.001514,3.498513,0.779495,4.279522,11382.759737,4.291940
23,0.000951,3.503902,0.528473,4.033326,11382.763783,4.045675
24,0.000909,3.494005,0.775885,4.270799,11382.768066,4.283173
25,0.000936,3.490543,0.495176,3.986655,11382.772066,3.999677
26,0.000927,3.506878,0.804023,4.311828,11382.776390,4.324434
27,0.000984,3.489551,0.566842,4.057377,11382.780460,4.069825
28,0.000939,3.495800,0.754517,4.251256,11382.784724,4.263710
29,0.000902,3.475475,0.569610,4.045987,11382.788782,4.058421
30,0.001055,3.493549,0.791156,4.285760,11382.793080,4.298215
31,0.001215,3.494728,0.452210,3.948153,11382.797041,3.960516
