FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001019,3.480483,0.741336,4.222838,7780.447510,N/A
1,0.000754,3.475678,0.747157,4.223589,7780.451747,4.237491
2,0.001176,3.467230,0.639210,4.107616,7780.455867,4.120227
3,0.000786,3.466093,0.719463,4.186342,7780.460066,4.198977
4,0.000773,3.478769,0.501735,3.981277,7780.464060,3.993930
5,0.000825,3.511917,0.773211,4.285953,7780.468359,4.298967
6,0.001152,3.473856,0.591671,4.066679,7780.472439,4.079506
7,0.000790,3.489670,0.819266,4.309726,7780.476761,4.322621
8,0.000769,3.498432,0.569681,4.068882,7780.480843,4.081399
9,0.000786,3.480925,0.782786,4.264497,7780.485120,4.277665
10,0.000804,3.468411,0.517005,3.986220,7780.489119,3.998972
11,0.000749,3.493310,0.823375,4.317434,7780.493449,4.329893
12,0.001049,3.467275,0.620611,4.088935,7780.497551,4.101513
13,0.000753,3.499953,0.645914,4.146620,7780.501710,4.159430
14,0.000877,3.484467,0.689436,4.174780,7780.505897,4.187340
15,0.000814,3.449149,0.728163,4.178126,7780.510090,4.192422
16,0.000784,3.495434,0.524363,4.020581,7780.514123,4.033520
17,0.000771,3.488291,0.812398,4.301460,7780.518438,4.314757
18,0.000824,3.470411,0.631547,4.102782,7780.522554,4.115478
19,0.000869,3.492357,0.526632,4.019858,7780.526586,4.032398
20,0.001095,3.683584,0.615447,4.300126,7780.530900,4.314145
21,0.001735,3.507988,0.492841,4.002564,7780.534923,4.022981
22,0.000981,3.459572,0.758366,4.218919,7780.539157,4.233551
23,0.000852,3.490770,0.785220,4.276842,7780.543446,4.289753
24,0.000774,3.501267,0.599131,4.101172,7780.547560,4.113927
25,0.000769,3.505618,0.610275,4.116662,7780.551690,4.130091
26,0.000839,3.492413,0.699155,4.192407,7780.555896,4.205172
27,0.000870,3.450612,0.726923,4.178405,7780.560089,4.192842
28,0.000854,3.489466,0.501674,3.991994,7780.564093,4.004631
29,0.000772,3.482948,0.889621,4.373341,7780.568479,4.386060
30,0.000843,3.439970,0.633905,4.074718,7780.572566,4.087228
31,0.000809,3.501805,0.626999,4.129613,7780.576709,4.142471
32,0.000851,3.499944,0.672172,4.172967,7780.580896,4.187409
33,0.000792,3.428207,0.760583,4.189582,7780.585099,4.202440
34,0.000790,3.478343,0.515995,3.995128,7780.589106,4.007692
35,0.000771,3.482012,0.769217,4.252000,7780.593371,4.264658
36,0.000793,3.479054,0.707348,4.187195,7780.597571,4.199775
37,0.000808,3.478006,0.534411,4.013225,7780.601597,4.025768
38,0.000854,3.493415,0.847541,4.341810,7780.605951,4.354346
39,0.000696,3.495985,0.577813,4.074494,7780.610038,4.087258
