FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001079,3.410458,2.133756,5.545293,14009.094021,N/A
1,0.000917,3.417028,0.142373,3.560318,14009.097595,3.573657
2,0.000910,3.413141,0.146092,3.560143,14009.101166,3.571186
3,0.000895,3.379217,0.143799,3.523911,14009.104701,3.534691
4,0.000906,3.386270,0.141018,3.528194,14009.108240,3.538598
5,0.000960,3.400689,0.136388,3.538037,14009.111788,3.548509
6,0.001204,3.401210,0.143780,3.546194,14009.115344,3.556354
7,0.000907,3.396190,0.134688,3.531785,14009.118886,3.542009
8,0.000928,3.413113,0.139677,3.553718,14009.122450,3.563897
9,0.000922,3.415888,0.070665,3.487475,14009.125948,3.497915
10,0.000718,3.402477,0.145858,3.549053,14009.129508,3.559463
11,0.000941,3.409901,0.067725,3.478567,14009.132996,3.488601
12,0.001297,3.396802,0.136807,3.534906,14009.136552,3.555607
13,0.000904,3.391462,0.079214,3.471580,14009.140033,3.481455
14,0.000977,3.401576,0.138296,3.540849,14009.143585,3.551251
15,0.000844,3.394959,0.110592,3.506395,14009.147101,3.516666
16,0.000931,3.423786,0.127693,3.552410,14009.150664,3.562401
17,0.000887,3.403016,0.139971,3.543874,14009.154218,3.554706
18,0.000861,3.404999,0.142373,3.548233,14009.157777,3.558336
19,0.000876,3.406442,0.137956,3.545274,14009.161332,3.555342
20,0.000919,3.535671,0.112596,3.649186,14009.164991,3.659035
21,0.002070,3.492968,0.145096,3.640134,14009.168660,3.668829
22,0.001088,3.421837,0.155784,3.578709,14009.172250,3.590060
23,0.001028,3.392558,0.145917,3.539503,14009.175801,3.550672
24,0.000838,3.417954,0.139721,3.558513,14009.179369,3.568309
25,0.000923,3.415423,0.107165,3.523511,14009.182903,3.534341
26,0.000819,3.414248,0.148524,3.563591,14009.186477,3.573592
27,0.000914,3.405633,0.068763,3.475310,14009.189962,3.485251
28,0.000983,3.401076,0.139256,3.541315,14009.193514,3.551322
29,0.000908,3.400147,0.068729,3.469784,14009.196993,3.479518
30,0.000999,3.404063,0.146205,3.551267,14009.200564,3.570676
31,0.000816,3.409128,0.116364,3.526308,14009.204100,3.536285
32,0.000830,3.416788,0.143078,3.560696,14009.207671,3.570750
33,0.000944,3.402366,0.139099,3.542409,14009.211224,3.552818
34,0.000931,3.408338,0.140249,3.549518,14009.214783,3.559621
35,0.000824,3.382495,0.108851,3.492170,14009.218285,3.502143
36,0.000843,3.411858,0.137930,3.550631,14009.221846,3.560857
37,0.000975,3.419730,0.143558,3.564263,14009.225420,3.574094
38,0.001404,3.406521,0.070536,3.478461,14009.228909,3.488328
39,0.000831,3.422507,0.141050,3.564388,14009.232483,3.574548
40,0.000874,3.399934,0.068571,3.469379,14009.235963,3.479407
41,0.000917,3.391648,0.142004,3.534569,14009.239508,3.544947
42,0.001082,3.372962,0.071498,3.445542,14009.242963,3.455507
43,0.000855,3.337860,0.143851,3.482566,14009.246456,3.492536
44,0.000970,3.415204,0.070332,3.486506,14009.249952,3.496601
45,0.000897,3.411345,0.140231,3.552473,14009.253515,3.562624
46,0.001105,3.395951,0.070069,3.467125,14009.256992,3.477196
47,0.001438,3.399593,0.140069,3.541100,14009.260552,3.560271
