FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001005,3.458144,0.731267,4.190416,11469.095221,N/A
1,0.000929,3.445158,0.711548,4.157635,11469.099393,4.171764
2,0.000949,3.455783,0.698754,4.155486,11469.103561,4.168314
3,0.000961,3.486315,0.669836,4.157112,11469.107731,4.169743
4,0.001069,3.476881,0.670127,4.148077,11469.111892,4.160679
5,0.000937,3.503659,0.635876,4.140472,11469.116045,4.153392
6,0.002425,3.525989,0.578436,4.106850,11469.120171,4.125692
7,0.000971,3.453788,0.925730,4.380489,11469.124564,4.393231
8,0.000959,3.439865,0.464824,3.905648,11469.128482,3.918229
9,0.000952,3.428684,0.799811,4.229447,11469.132724,4.242106
10,0.001002,3.482577,0.657854,4.141433,11469.136878,4.153820
11,0.000954,3.390031,0.877500,4.268485,11469.141159,4.280988
12,0.001010,3.460846,0.527172,3.989028,11469.145161,4.001713
13,0.000960,3.393014,0.983271,4.377245,11469.149550,4.389704
14,0.000971,3.457330,0.478313,3.936614,11469.153500,3.949101
15,0.000981,3.446666,0.757179,4.204826,11469.157717,4.217342
16,0.001275,3.460536,0.636038,4.097849,11469.161828,4.110681
17,0.001089,3.390836,0.805210,4.197135,11469.166038,4.210331
18,0.000959,3.468482,0.703142,4.172583,11469.170223,4.185318
19,0.000966,3.452162,0.708905,4.162033,11469.174398,4.174591
20,0.000881,3.446856,0.627350,4.075087,11469.178485,4.087673
21,0.000900,3.399845,0.843268,4.244013,11469.182742,4.256556
22,0.000905,3.468336,0.666723,4.135964,11469.186891,4.148574
23,0.000910,3.395524,0.754830,4.151264,11469.191054,4.163735
24,0.000863,3.465469,0.693835,4.160167,11469.195227,4.172983
25,0.000906,3.449333,0.716452,4.166691,11469.199407,4.179944
26,0.000949,3.450869,0.680107,4.131925,11469.203552,4.144411
27,0.001165,3.448234,0.721607,4.171006,11469.207735,4.183513
28,0.000978,3.488288,0.650321,4.139587,11469.211887,4.152123
29,0.001132,3.401135,0.751900,4.154167,11469.216054,4.166709
30,0.004565,3.593226,0.495807,4.093598,11469.220180,4.125960
31,0.001397,3.456241,0.741676,4.199314,11469.224396,4.215756
32,0.000911,3.450202,0.699964,4.151077,11469.228560,4.163871
33,0.000874,3.514747,0.649442,4.165063,11469.232738,4.178171
34,0.001324,3.469636,0.687144,4.158104,11469.236908,4.170533
