FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001259,3.469275,0.667882,4.138416,11495.731800,N/A
1,0.001013,3.506512,0.600837,4.108362,11495.735923,4.122825
2,0.001355,3.433468,0.766915,4.201738,11495.740138,4.214467
3,0.001008,3.465825,0.637085,4.103918,11495.744254,4.116521
4,0.000944,3.468952,0.676166,4.146062,11495.748413,4.158698
5,0.000949,3.496107,0.720631,4.217687,11495.752643,4.230548
6,0.001011,3.438233,0.700528,4.139772,11495.756796,4.152394
7,0.000926,3.446432,0.719134,4.166492,11495.760975,4.178876
8,0.001083,3.392781,0.779956,4.173820,11495.765161,4.186776
9,0.001084,3.487229,0.614619,4.102932,11495.769277,4.115959
10,0.001177,3.496482,0.654003,4.151662,11495.773442,4.164236
11,0.000973,3.518052,0.673072,4.192097,11495.777646,4.204566
12,0.000971,3.438905,0.721864,4.161740,11495.781821,4.174473
13,0.000972,3.454016,0.694416,4.149404,11495.785983,4.162005
14,0.001448,3.499938,0.608697,4.110083,11495.790106,4.123066
15,0.000937,3.464198,0.733041,4.198176,11495.794315,4.209454
16,0.001097,6.526425,0.174972,6.702494,11495.801030,6.715067
17,0.002745,3.589042,0.165841,3.757628,11495.804811,3.780575
18,0.001400,3.414728,2.205756,5.621884,11495.810445,5.633898
19,0.001225,3.407741,1.298301,4.707267,11495.815164,4.719459
20,0.000965,3.478019,0.632655,4.111639,11495.819289,4.124437
21,0.001192,3.510999,0.642271,4.154462,11495.823456,4.167362
22,0.000998,3.454082,0.824819,4.279899,11495.827748,4.292396
23,0.000930,3.467730,0.591049,4.059709,11495.831821,4.072293
24,0.001053,3.419326,0.833913,4.254292,11495.836088,4.266856
25,0.000995,3.490975,0.467202,3.959172,11495.840060,3.972664
26,0.001219,3.508653,0.832502,4.342374,11495.844415,4.354967
27,0.001002,3.481362,0.571353,4.053717,11495.848481,4.066130
28,0.000885,3.499896,0.703946,4.204727,11495.852699,4.217292
29,0.000980,3.546334,0.562785,4.110099,11495.856821,4.122758
30,0.000954,3.423559,0.828837,4.253350,11495.861087,4.266083
31,0.000990,3.485804,0.604934,4.091728,11495.865192,4.104351
32,0.001038,3.534377,0.505215,4.040630,11495.869245,4.053192
33,0.000931,3.511394,0.728383,4.240708,11495.873499,4.253621
34,0.000904,3.456800,0.783967,4.241671,11495.877753,4.254158
35,0.000991,3.445478,0.535566,3.982035,11495.881747,3.994570
36,0.000955,3.502002,0.831647,4.334604,11495.886094,4.347116
37,0.000873,3.485405,0.557753,4.044031,11495.890151,4.056735
38,0.001163,3.517978,0.713455,4.232596,11495.894396,4.245147
39,0.000879,3.550404,0.514348,4.065631,11495.898475,4.078187
40,0.003031,3.653114,0.403071,4.059216,11495.902557,4.082892
41,0.001140,3.520652,0.613502,4.135294,11495.906709,4.151375
42,0.001088,3.502453,0.874119,4.377660,11495.911098,4.388838
43,0.000939,3.457852,0.583416,4.042207,11495.915152,4.054696
44,0.000915,3.516764,0.705891,4.223570,11495.919389,4.236189
45,0.001140,3.515167,0.586857,4.103164,11495.923504,4.115821
46,0.000961,3.511662,0.710542,4.223165,11495.927740,4.235723
47,0.000948,13.097190,0.092039,13.190177,11495.940943,13.202716
48,0.001174,3.517157,0.151938,3.670269,11495.944624,3.681254
49,0.001002,3.460111,0.208396,3.669509,11495.948305,3.680513
50,0.000985,3.502714,0.624211,4.127910,11495.952445,4.140249
51,0.001015,3.498731,0.768721,4.268467,11495.956725,4.280009
52,0.001066,3.491127,0.734596,4.226789,11495.960963,4.237870
53,0.000973,3.483931,0.664824,4.149728,11495.965126,4.163051
54,0.000954,3.494713,0.655777,4.151444,11495.969290,4.163824
55,0.000999,3.501750,0.583044,4.085793,11495.973388,4.098276
56,0.000867,3.489132,0.753767,4.243766,11495.977644,4.256170
57,0.000858,3.453374,0.685226,4.139458,11495.981796,4.151862
58,0.000965,3.431585,0.724628,4.157178,11495.985965,4.169298
59,0.000939,3.457280,0.674595,4.132814,11495.990110,4.145124
60,0.000959,3.389407,0.781071,4.171437,11495.994294,4.183875
61,0.000918,3.410781,0.608164,4.019863,11495.998326,4.032139
62,0.000972,3.656827,0.605629,4.263428,11496.002603,4.276658
63,0.001476,3.474586,0.704756,4.180818,11496.006804,4.201089
64,0.001028,3.337463,0.810264,4.148755,11496.010965,4.161063
65,0.000922,3.349321,0.803669,4.153912,11496.015132,4.167279
66,0.001160,3.432023,0.724824,4.158007,11496.019303,4.170205
67,0.000908,3.441358,0.566760,4.009026,11496.023324,4.021163
68,0.000936,3.437494,0.714095,4.152525,11496.027488,4.164729
69,0.000888,3.410286,0.891222,4.302396,11496.031803,4.314654
70,0.000904,3.431048,0.724657,4.156609,11496.035972,4.168850
71,0.000873,3.378175,0.750675,4.129723,11496.040114,4.141894
72,0.000993,3.388942,0.786096,4.176031,11496.044302,4.188397
73,0.001179,3.394978,0.728869,4.125026,11496.048439,4.137215
74,0.000917,3.431596,0.758043,4.190556,11496.052642,4.202761
75,0.000940,3.437294,0.715026,4.153260,11496.056808,4.165449
76,0.000900,3.399064,0.753946,4.153910,11496.060974,4.166109
77,0.000964,3.394186,0.730530,4.125680,11496.065114,4.140381
78,0.000830,3.436123,0.741468,4.178421,11496.069305,4.190643
79,0.000950,3.443222,0.575517,4.019689,11496.073337,4.031890
80,0.000956,3.464343,0.821476,4.286775,11496.077636,4.299097
81,0.001061,3.473150,0.688268,4.162479,11496.081810,4.174674
82,0.000950,3.427643,0.729425,4.158018,11496.085980,4.169935
83,0.000853,3.495881,0.667856,4.164590,11496.090157,4.176634
84,0.000852,3.395917,0.778587,4.175356,11496.094345,4.187483
85,0.000853,3.384293,0.593671,3.978817,11496.098335,3.990778
86,0.000852,3.616478,0.708995,4.326325,11496.102674,4.338365
87,0.002123,3.439342,0.690328,4.131793,11496.106825,4.151714
88,0.001058,3.498836,0.636506,4.136400,11496.110974,4.148494
89,0.001104,3.514504,0.655883,4.171491,11496.115157,4.183386
90,0.000980,3.442762,0.706586,4.150328,11496.119320,4.162458
91,0.000949,3.442587,0.649461,4.092997,11496.123425,4.104988
92,0.000964,3.458368,0.761561,4.220893,11496.127658,4.232849
93,0.000933,3.469861,0.679649,4.150443,11496.131823,4.165237
94,0.000916,3.461604,0.696695,4.159215,11496.135994,4.171170
95,0.001072,3.483255,0.578395,4.062722,11496.140089,4.095124
96,0.000953,3.441333,0.805150,4.247436,11496.144349,4.259569
97,0.000933,3.482990,0.524338,4.008261,11496.148369,4.020331
98,0.000906,3.535202,0.731021,4.267129,11496.152649,4.279732
99,0.001024,3.477666,0.688380,4.167070,11496.156828,4.179053
100,0.000881,3.417755,0.732208,4.150844,11496.160991,4.162718
101,0.000971,3.508370,0.564019,4.073360,11496.165081,4.090259
102,0.000956,3.511474,0.740510,4.252940,11496.169344,4.263652
103,0.000894,3.596440,0.485124,4.082458,11496.173439,4.094230
104,0.001008,3.436884,0.768770,4.206662,11496.177657,4.218596
105,0.000891,3.433452,0.716365,4.150708,11496.181820,4.162583
106,0.001253,3.401431,0.756410,4.159094,11496.185991,4.171333
107,0.000937,3.456277,0.604092,4.061306,11496.190070,4.079163
108,0.000929,3.463812,0.820118,4.284859,11496.194368,4.297489
109,0.000990,3.496978,0.534527,4.032495,11496.198415,4.047384
110,0.000959,3.765813,0.415284,4.182056,11496.202610,4.194366
111,0.002185,3.533486,0.657923,4.193594,11496.206825,4.215651
112,0.001004,3.322666,0.836321,4.159991,11496.210997,4.172018
113,0.001270,3.389489,0.765981,4.156740,11496.215172,4.174416
114,0.000944,3.483822,0.525616,4.010382,11496.219194,4.022656
115,0.000974,3.431696,0.798161,4.230831,11496.223438,4.243504
116,0.000922,3.429859,0.784637,4.215418,11496.227666,4.227750
117,0.000911,3.410502,0.741099,4.152512,11496.231830,4.164775
118,0.000983,3.428531,0.725519,4.155033,11496.235998,4.167285
119,0.001006,3.426904,0.726339,4.154249,11496.240170,4.172185
120,0.001122,3.425315,0.719379,4.145816,11496.244328,4.158236
121,0.000903,3.406529,0.603766,4.011198,11496.248351,4.023337
122,0.000958,3.441624,0.857790,4.300372,11496.252664,4.312586
123,0.000934,3.415896,0.739456,4.156286,11496.256832,4.168405
124,0.001262,3.435340,0.716193,4.152795,11496.260997,4.164938
125,0.001190,3.408322,0.716174,4.125686,11496.265140,4.142924
126,0.000845,3.426259,0.759506,4.186610,11496.269339,4.198710
127,0.001076,3.433764,0.560737,3.995577,11496.273347,4.007848
128,0.000981,3.437326,0.869013,4.307320,11496.277666,4.319552
129,0.000937,3.418564,0.740899,4.160400,11496.281842,4.175858
130,0.000926,3.435251,0.716377,4.152554,11496.286007,4.164613
