FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001549,3.466638,0.732789,4.200976,11563.131742,N/A
1,0.000968,3.442584,0.687889,4.131441,11563.135888,4.145452
2,0.001120,3.431788,0.740722,4.173630,11563.140075,4.187166
3,0.001054,3.482774,0.593861,4.077689,11563.144166,4.091226
4,0.000961,3.496236,0.719803,4.217000,11563.148396,4.229785
5,0.001032,3.460170,0.670336,4.131538,11563.152541,4.144960
6,0.001042,3.460263,0.745262,4.206567,11563.156760,4.219253
7,0.000961,3.414449,0.725926,4.141336,11563.160914,4.154110
8,0.000947,3.398731,0.749023,4.148701,11563.165075,4.161128
9,0.000948,3.473705,0.655256,4.129909,11563.169219,4.143485
10,0.000901,3.459069,0.726373,4.186343,11563.173418,4.198797
11,0.000927,3.446179,0.666087,4.113193,11563.177543,4.125692
12,0.000981,3.440961,0.759897,4.201839,11563.181758,4.214283
13,0.000937,3.410439,0.746701,4.158077,11563.185928,4.170623
14,0.001011,3.427053,0.709394,4.137458,11563.190078,4.149911
15,0.001220,3.488080,0.628657,4.117957,11563.194209,4.130599
16,0.000975,3.442577,0.900391,4.343943,11563.198565,4.356438
17,0.000993,3.415574,0.508092,3.924659,11563.202503,3.938071
18,0.001019,3.436761,0.798342,4.236122,11563.206752,4.248713
19,0.000936,3.434040,0.721317,4.156293,11563.210921,4.169309
20,0.000957,3.410060,0.725568,4.136585,11563.215071,4.149203
21,0.000992,3.486484,0.617114,4.104590,11563.219188,4.117147
22,0.002288,3.682566,0.423148,4.108002,11563.223317,4.129138
23,0.001617,3.424907,0.727482,4.154006,11563.227489,4.172655
24,0.001178,3.444976,0.812312,4.258466,11563.231760,4.271010
25,0.000890,3.442105,0.702062,4.145057,11563.235919,4.158449
26,0.000956,3.404738,0.752016,4.157710,11563.240089,4.170337
27,0.000928,3.445633,0.702475,4.149036,11563.244251,4.161885
28,0.000903,3.461480,0.596553,4.058936,11563.248323,4.071531
29,0.001095,3.473995,0.749719,4.224809,11563.252560,4.237262
30,0.001019,3.449030,0.740433,4.190482,11563.256763,4.203069
31,0.001324,3.404976,0.738476,4.144776,11563.260920,4.157419
32,0.000976,3.404515,0.749733,4.155224,11563.265088,4.167700
33,0.000949,3.482107,0.638680,4.121736,11563.269223,4.134452
34,0.001058,3.451052,0.736494,4.188604,11563.273424,4.201120
35,0.000943,3.444709,0.689073,4.134725,11563.277571,4.147275
36,0.000977,3.497270,0.649662,4.147909,11563.281732,4.160553
37,0.000974,3.445203,0.737584,4.183761,11563.285928,4.196379
38,0.001043,3.427886,0.718694,4.147623,11563.290088,4.160445
39,0.000899,3.474951,0.653727,4.129577,11563.294230,4.142028
40,0.000901,3.438713,0.898189,4.337803,11563.298581,4.350302
41,0.000976,3.422539,0.514311,3.937826,11563.302532,3.950939
42,0.000989,3.472896,0.751782,4.225667,11563.306770,4.238094
43,0.000893,3.399825,0.745130,4.145848,11563.310928,4.158458
44,0.000942,3.399640,0.747530,4.148112,11563.315089,4.160542
45,0.000872,3.472203,0.657002,4.130077,11563.319231,4.142570
46,0.001029,3.598358,0.519745,4.119132,11563.323363,4.131733
47,0.002469,3.475112,0.718194,4.195775,11563.327578,4.215125
48,0.000960,12.226391,0.277961,12.505312,11563.340096,12.518212
49,0.001092,3.443109,0.761641,4.205842,11563.344314,4.217258
50,0.000965,3.468801,0.470935,3.940701,11563.348267,3.953178
51,0.000911,3.471470,0.596589,4.068970,11563.352348,4.081491
52,0.000921,3.472024,0.689789,4.162734,11563.356524,4.175206
53,0.000885,3.469216,0.884526,4.354627,11563.360892,4.368056
54,0.000979,3.470189,0.567619,4.038787,11563.364943,4.051241
55,0.000900,3.433390,0.796024,4.230314,11563.369186,4.242877
56,0.000878,3.476107,0.711826,4.188811,11563.373387,4.201367
57,0.000871,3.453990,0.499848,3.954709,11563.377354,3.967157
58,0.000895,3.466174,0.886622,4.353691,11563.381720,4.366188
59,0.000919,3.461308,0.692362,4.154589,11563.385888,4.167143
60,0.000903,3.414692,0.704986,4.120581,11563.390021,4.133127
61,0.001010,3.475100,0.653508,4.129618,11563.394163,4.142230
62,0.000995,3.477802,0.739061,4.217858,11563.398393,4.230319
63,0.000895,3.463782,0.688642,4.153319,11563.402559,4.165763
64,0.000941,3.455426,0.701362,4.157729,11563.406729,4.170257
65,0.000919,3.469501,0.688554,4.158974,11563.410902,4.172430
66,0.001051,3.426488,0.731520,4.159059,11563.415073,4.171446
67,0.000909,3.477519,0.632139,4.110567,11563.419196,4.122987
68,0.000937,3.578572,0.510055,4.089564,11563.423298,4.101925
69,0.002214,3.524743,0.704743,4.231700,11563.427552,4.254400
70,0.000922,3.479809,0.699765,4.180496,11563.431746,4.193187
71,0.000918,3.462102,0.679009,4.142029,11563.435900,4.154440
72,0.000896,3.450102,0.708755,4.159753,11563.440072,4.172134
73,0.000923,3.478269,0.647039,4.126231,11563.444211,4.138750
74,0.000873,3.468557,0.713981,4.183411,11563.448407,4.195901
75,0.000879,3.457002,0.694877,4.152758,11563.452572,4.165122
76,0.000875,3.474222,0.674830,4.149927,11563.456734,4.162388
77,0.001215,3.467059,0.689052,4.157326,11563.460907,4.172987
78,0.000947,3.443148,0.712262,4.156357,11563.465076,4.168882
79,0.000859,3.482342,0.620060,4.103261,11563.469192,4.115945
80,0.000855,3.471096,0.723976,4.195927,11563.473401,4.208407
81,0.000874,3.452694,0.693652,4.147220,11563.477560,4.159685
82,0.000972,3.450741,0.721496,4.173209,11563.481746,4.185862
83,0.000861,3.395541,0.794937,4.191339,11563.485950,4.203622
84,0.000937,3.410525,0.735788,4.147250,11563.490109,4.159592
85,0.000870,3.428775,0.696771,4.126416,11563.494248,4.138592
86,0.001299,3.427652,0.758282,4.187233,11563.498448,4.199661
87,0.000903,3.386880,0.727644,4.115427,11563.502575,4.127743
88,0.000846,3.383495,0.772694,4.157035,11563.506744,4.169177
89,0.000874,3.364580,0.826014,4.191468,11563.510948,4.203563
90,0.000858,3.354676,0.800581,4.156115,11563.515116,4.168325
91,0.000887,3.392685,0.728140,4.121712,11563.519250,4.134117
92,0.000990,3.555241,0.506277,4.062508,11563.523325,4.074715
93,0.003257,3.476729,0.717773,4.197759,11563.527560,4.234715
94,0.001279,3.383166,0.776291,4.160736,11563.531733,4.173208
95,0.000915,3.359872,0.788628,4.149415,11563.535895,4.161623
96,0.000855,3.361220,0.791412,4.153487,11563.540060,4.165634
97,0.000923,3.435161,0.659054,4.095138,11563.544168,4.107524
98,0.000949,3.384363,0.835190,4.220502,11563.548401,4.232744
99,0.001155,3.395783,0.757772,4.154710,11563.552568,4.166980
100,0.000860,3.380393,0.773887,4.155140,11563.556735,4.167320
101,0.000959,3.363249,0.786882,4.151090,11563.560898,4.163379
102,0.000928,3.359808,0.796082,4.156818,11563.565067,4.169115
103,0.000863,3.394074,0.731492,4.126429,11563.569206,4.138712
104,0.000868,3.401880,0.783303,4.186051,11563.573404,4.198192
105,0.001189,3.386346,0.764363,4.151898,11563.577568,4.164117
106,0.000931,3.378392,0.782971,4.162294,11563.581743,4.174574
107,0.000875,3.357330,0.792228,4.150433,11563.585906,4.162544
108,0.000995,3.355496,0.807084,4.163575,11563.590081,4.175797
109,0.000843,3.392910,0.733360,4.127113,11563.594224,4.142170
110,0.000970,3.435431,0.731300,4.167701,11563.598404,4.180102
111,0.001260,3.386210,0.768429,4.155899,11563.602572,4.168231
112,0.000865,3.380901,0.772896,4.154662,11563.606739,4.166737
113,0.001179,3.351480,0.806169,4.158828,11563.610910,4.170945
114,0.000921,3.351454,0.806088,4.158463,11563.615080,4.170756
115,0.001079,3.403723,0.717699,4.122501,11563.619215,4.134724
116,0.001029,3.438091,0.733814,4.172934,11563.623400,4.185040
117,0.002279,6.268565,0.221508,6.492352,11563.629919,6.519029
118,0.001697,3.466104,0.150019,3.617820,11563.633559,3.640112
119,0.000912,3.428997,0.167247,3.597156,11563.637167,3.607517
120,0.000925,3.438516,0.158133,3.597574,11563.640775,3.608109
121,0.000967,3.474614,0.159411,3.634992,11563.644420,3.645485
