FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001551,3.507307,0.643492,4.152350,7801.991794,N/A
1,0.001186,3.495917,0.659343,4.156446,7801.995964,4.170765
2,0.000812,3.403907,0.747120,4.151839,7802.000129,4.164993
3,0.000806,3.478213,0.672161,4.151180,7802.004293,4.163930
4,0.000838,3.486471,0.675570,4.162879,7802.008469,4.175362
5,0.000791,3.468414,0.677715,4.146920,7802.012628,4.159536
6,0.000752,3.501159,0.651637,4.153548,7802.016794,4.166082
7,0.000829,3.496137,0.657300,4.154266,7802.020961,4.166663
8,0.000889,3.407171,0.745747,4.153807,7802.025127,4.166379
9,0.000796,3.469905,0.720866,4.191567,7802.029332,4.204358
10,0.000761,3.469075,0.652852,4.122688,7802.033467,4.135015
11,0.000862,3.472618,0.680132,4.153612,7802.037633,4.166095
12,0.000865,3.487179,0.662104,4.150148,7802.041795,4.162613
13,0.000829,3.505118,0.660222,4.166169,7802.045974,4.178684
14,0.000787,3.407700,0.735650,4.144137,7802.050131,4.156704
15,0.000817,3.470920,0.713532,4.185269,7802.054329,4.197783
16,0.000851,3.484731,0.641529,4.127111,7802.058468,4.139472
17,0.000792,3.472348,0.634998,4.108138,7802.062590,4.121523
18,0.000765,3.498852,0.648647,4.148264,7802.066750,4.160835
19,0.000822,3.481798,0.671368,4.153988,7802.070917,4.166585
20,0.000837,3.434838,0.752792,4.188467,7802.075118,4.201160
21,0.001531,3.565406,0.577461,4.144398,7802.079275,4.156915
22,0.002115,3.614037,0.536184,4.152336,7802.083452,4.176803
23,0.000972,3.470787,0.651624,4.123383,7802.087590,4.137969
24,0.000885,3.489191,0.663947,4.154023,7802.091757,4.166620
25,0.000840,3.485627,0.674305,4.160772,7802.095930,4.173970
26,0.001069,3.422838,0.692770,4.116677,7802.100060,4.129577
27,0.000771,3.489277,0.740538,4.230586,7802.104303,4.242966
28,0.001142,3.449136,0.665463,4.115741,7802.108431,4.128295
29,0.000831,3.468056,0.682385,4.151272,7802.112595,4.163940
30,0.000824,3.484318,0.629169,4.114311,7802.116722,4.126973
31,0.000872,3.451372,0.739857,4.192101,7802.120926,4.203602
32,0.000818,3.434152,0.687684,4.122654,7802.125061,4.135288
33,0.000764,3.485471,0.699964,4.186199,7802.129260,4.199072
34,0.000800,3.485134,0.662949,4.148883,7802.133422,4.161338
35,0.000855,3.442912,0.713791,4.157558,7802.137592,4.170140
36,0.000860,3.487258,0.674910,4.163028,7802.141767,4.175419
37,0.000741,3.490207,0.665036,4.155984,7802.145935,4.168364
38,0.000762,3.422093,0.737946,4.160801,7802.150109,4.173079
39,0.000787,3.464760,0.683232,4.148779,7802.154270,4.161137
40,0.000853,3.509268,0.644417,4.154538,7802.158437,4.167295
41,0.001136,3.428466,0.715862,4.145464,7802.162596,4.159097
42,0.000769,3.490175,0.663129,4.154073,7802.166763,4.166696
43,0.000856,3.454292,0.707807,4.162955,7802.170938,4.175370
44,0.000789,3.423241,0.745978,4.170008,7802.175121,4.182667
45,0.000765,3.488379,0.709149,4.198293,7802.179332,4.210767
46,0.002606,3.683220,0.395943,4.081769,7802.183449,4.117299
47,0.001355,3.492881,0.641476,4.135712,7802.187603,4.153646
48,0.000904,3.522379,8.876700,12.399983,7802.200015,12.412274
49,0.000838,3.444302,0.151959,3.597099,7802.203625,3.609901
50,0.000911,3.512528,0.154042,3.667481,7802.207303,3.678237
51,0.000865,3.500974,2.042556,5.544395,7802.212858,5.554941
52,0.000956,3.393107,0.492762,3.886825,7802.216757,3.899082
53,0.000907,3.399255,0.842696,4.242858,7802.221011,4.254413
54,0.001080,3.523791,0.447381,3.972252,7802.224994,3.982963
55,0.000844,3.514374,0.742342,4.257560,7802.229268,4.273348
56,0.000926,3.499898,0.532320,4.033144,7802.233313,4.045556
57,0.000798,3.503153,0.849933,4.353884,7802.237680,4.366359
58,0.000816,3.504876,0.644129,4.149821,7802.241842,4.162156
59,0.000810,3.467154,0.691647,4.159611,7802.246014,4.171966
60,0.000832,3.497301,0.561820,4.059953,7802.250086,4.072226
61,0.000779,3.503388,0.738607,4.242774,7802.254341,4.255288
62,0.000795,3.494945,0.635223,4.130963,7802.258485,4.143405
63,0.000770,3.492716,0.647902,4.141388,7802.262638,4.153671
64,0.001163,3.476516,0.730640,4.208319,7802.266859,4.220744
65,0.000824,3.464214,0.685543,4.150581,7802.271023,4.163945
66,0.000765,3.502013,0.538388,4.041166,7802.275077,4.053603
67,0.000804,3.530936,0.575799,4.107539,7802.279196,4.119846
68,0.000853,3.676762,0.624781,4.302396,7802.283513,4.316222
69,0.001392,3.546358,0.545469,4.093219,7802.287626,4.113492
70,0.000760,3.511426,0.699288,4.211474,7802.291850,4.223918
71,0.000839,3.473984,0.685173,4.159996,7802.296023,4.172491
72,0.001015,3.500910,0.555793,4.057718,7802.300093,4.070250
73,0.000799,3.497178,0.746346,4.244323,7802.304350,4.256808
74,0.000698,3.493498,0.464988,3.959184,7802.308321,3.971518
75,0.000791,3.510654,0.823466,4.334911,7802.312668,4.347232
76,0.000768,3.504227,0.672467,4.177462,7802.316858,4.189860
77,0.000734,3.480807,0.677561,4.159102,7802.321031,4.172998
78,0.000857,3.540301,0.499364,4.040522,7802.325084,4.052888
79,0.000715,3.476854,0.817614,4.295183,7802.329391,4.307349
80,0.000788,3.423669,0.712635,4.137092,7802.333541,4.149177
81,0.000757,3.488869,0.662428,4.152054,7802.337705,4.164199
82,0.000764,3.439326,0.733069,4.173159,7802.341890,4.185297
83,0.000772,3.416785,0.744678,4.162235,7802.346064,4.174281
84,0.000936,3.513892,0.491167,4.005995,7802.350083,4.018175
85,0.000794,3.436581,0.867071,4.304446,7802.354399,4.316664
86,0.000773,3.434563,0.693786,4.129122,7802.358541,4.141338
87,0.000747,3.501556,0.643907,4.146210,7802.362699,4.158293
88,0.000808,3.479635,0.675278,4.155721,7802.366867,4.168029
89,0.000819,3.400715,0.782644,4.184178,7802.371063,4.196248
90,0.000686,3.457603,0.585926,4.044215,7802.375119,4.056184
91,0.000800,3.436952,0.821949,4.259701,7802.379390,4.270536
92,0.000811,3.650831,0.365406,4.017048,7802.383419,4.029239
93,0.001361,3.473761,0.814713,4.289835,7802.387733,4.314104
94,0.000816,3.477781,0.656719,4.135316,7802.391881,4.147535
95,0.000806,3.391329,0.792622,4.184757,7802.396078,4.197023
96,0.000899,3.440053,0.663090,4.104042,7802.400194,4.116153
97,0.000786,3.479152,0.717230,4.197168,7802.404403,4.209316
98,0.000821,3.436620,0.690170,4.127611,7802.408543,4.139889
99,0.000861,3.428512,0.673539,4.102912,7802.412658,4.114981
100,0.000755,3.522370,0.680014,4.203139,7802.416874,4.215409
101,0.000757,3.369216,0.581273,3.951246,7802.420837,3.963361
102,0.000880,3.353178,0.994133,4.348191,7802.425198,4.360955
103,0.000730,3.405429,0.691520,4.097679,7802.429308,4.109927
104,0.000825,3.488393,0.746896,4.236114,7802.433556,4.248422
105,0.000835,3.446875,0.514140,3.961850,7802.437530,3.974003
106,0.000779,3.422719,0.935247,4.358745,7802.441901,4.370983
107,0.000772,3.413189,0.742827,4.156788,7802.446070,4.168751
108,0.001175,3.434469,0.675487,4.111131,7802.450193,4.123214
109,0.000798,3.433334,0.761525,4.195657,7802.454402,4.209143
110,0.000748,3.462042,0.678685,4.141475,7802.458556,4.153694
111,0.000808,3.420659,0.743045,4.164512,7802.462733,4.176668
112,0.000808,3.467419,0.687452,4.155679,7802.466900,4.167740
113,0.000768,3.431383,0.735887,4.168038,7802.471081,4.180206
114,0.000800,3.440051,0.653055,4.093906,7802.475187,4.105923
115,0.000881,3.539499,0.523846,4.064226,7802.479263,4.076408
