FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001375,3.435863,0.924209,4.361447,11593.173029,N/A
1,0.001195,3.532243,0.374767,3.908205,11593.176950,3.921350
2,0.001178,3.425010,1.001332,4.427520,11593.181389,4.438587
3,0.001032,3.489777,0.454375,3.945184,11593.185347,3.957651
4,0.001024,3.486257,0.860577,4.347858,11593.189707,4.360448
5,0.000975,3.495434,0.436147,3.932556,11593.193652,3.945456
6,0.001060,3.507887,0.871050,4.379997,11593.198045,4.392405
7,0.001034,3.490994,0.439668,3.931696,11593.201990,3.944746
8,0.001032,3.491001,0.885913,4.377946,11593.206385,4.395920
9,0.001080,3.500004,0.450841,3.951925,11593.210350,3.964756
10,0.001000,3.485239,0.853843,4.340082,11593.214703,4.352475
11,0.000954,3.460574,0.485350,3.946878,11593.218662,3.959449
12,0.001030,3.493070,0.886254,4.380354,11593.223055,4.392640
13,0.001007,3.488928,0.429179,3.919114,11593.226987,3.932046
14,0.006087,3.482118,0.889277,4.377482,11593.231377,4.390319
15,0.000980,4.438339,0.212853,4.652172,11593.236042,4.664720
16,0.003131,3.527122,0.148227,3.678480,11593.239745,3.702845
17,0.001025,3.504476,0.398739,3.904240,11593.243661,3.916737
18,0.001354,3.506907,0.870098,4.378359,11593.248052,4.390942
19,0.000932,3.491429,0.437672,3.930033,11593.251995,3.942632
20,0.001001,3.483599,0.896203,4.380803,11593.256394,4.399079
21,0.000910,3.478248,0.478098,3.957256,11593.260364,3.969860
22,0.000992,3.488079,0.847310,4.336381,11593.264713,4.348690
23,0.000990,3.501978,0.429672,3.932640,11593.268658,3.945147
24,0.000942,3.523914,0.856232,4.381088,11593.273052,4.393767
25,0.000986,3.499591,0.435577,3.936154,11593.277000,3.948343
26,0.000954,3.497013,0.840170,4.338137,11593.281356,4.355912
27,0.000925,3.486495,0.508803,3.996223,11593.285365,4.008843
28,0.001010,3.471886,0.884176,4.357072,11593.289734,4.369535
29,0.000991,3.502928,0.423541,3.927460,11593.293674,3.939941
30,0.000960,3.491987,0.881991,4.374938,11593.298062,4.387919
31,0.000951,3.492922,0.437125,3.930998,11593.302006,3.943642
32,0.001097,3.486714,0.887362,4.375173,11593.306394,4.387920
33,0.000963,3.490337,0.430464,3.921764,11593.310328,3.934739
34,0.000910,3.499352,0.672969,4.173231,11593.314514,4.185735
35,0.000948,3.520351,0.833042,4.354341,11593.318881,4.366814
36,0.001159,3.414936,0.564987,3.981082,11593.322873,3.992384
37,0.000924,3.463874,0.666827,4.131625,11593.327018,4.144269
38,0.000948,3.487618,0.858855,4.347421,11593.331378,4.359985
39,0.000918,3.480918,0.487218,3.969054,11593.335359,3.981432
40,0.001415,3.697533,0.440973,4.139921,11593.339519,4.160273
41,0.001595,3.530923,0.815380,4.347898,11593.343885,4.365513
42,0.001204,3.457231,0.518604,3.977039,11593.347875,3.989835
43,0.000990,3.429463,0.846470,4.276923,11593.352164,4.289320
44,0.001169,3.491777,0.502596,3.995542,11593.356172,4.008167
45,0.000939,3.491609,0.887312,4.379860,11593.360565,4.392473
46,0.000951,3.480723,0.467198,3.948872,11593.364526,3.961360
47,0.000899,3.489547,0.667717,4.158163,11593.368697,4.170757
48,0.000938,3.507886,0.742221,4.251045,11593.372960,4.263413
49,0.000951,12.128967,0.138808,12.268726,11593.385242,12.281405
50,0.001058,3.345686,0.814436,4.161180,11593.389413,4.171673
51,0.001016,3.475139,0.815390,4.291545,11593.393717,4.304066
52,0.000974,3.517620,0.642824,4.161418,11593.397891,4.173935
53,0.000916,3.431106,0.740047,4.172069,11593.402077,4.185358
54,0.001193,3.497984,0.583558,4.082735,11593.406172,4.095366
55,0.001188,3.501136,0.721127,4.223451,11593.410408,4.235916
56,0.001261,3.500211,0.650864,4.152336,11593.414573,4.164760
57,0.000955,3.497779,0.656335,4.155069,11593.418740,4.167581
58,0.000992,3.497775,0.654204,4.152971,11593.422906,4.165492
59,0.000895,3.502085,0.649626,4.152606,11593.427071,4.165139
60,0.000974,3.519535,0.555206,4.075715,11593.431159,4.088157
61,0.001017,3.465186,0.681154,4.147357,11593.435319,4.159865
62,0.000955,6.895423,0.262780,7.159158,11593.442491,7.171756
63,0.003422,4.216893,0.992145,5.212460,11593.447735,5.244785
64,0.001283,3.489819,0.639663,4.130765,11593.451879,4.143828
65,0.001161,3.507365,0.678957,4.187483,11593.456080,4.200595
66,0.001166,3.527249,0.620619,4.149034,11593.460241,4.161599
67,0.000923,3.665793,0.594312,4.261028,11593.464515,4.273411
68,0.000984,3.460395,0.736272,4.197651,11593.468725,4.210299
69,0.000948,3.436425,0.573509,4.010882,11593.472749,4.023526
70,0.000989,3.442318,0.864780,4.308087,11593.477069,4.320535
71,0.000929,3.511054,0.459531,3.971514,11593.481053,3.984062
72,0.001155,3.473489,0.851239,4.325883,11593.485390,4.337028
73,0.000980,3.503087,0.649860,4.153927,11593.489557,4.166647
74,0.000966,3.487858,0.674206,4.163030,11593.493732,4.175507
75,0.001085,3.462958,0.690329,4.154372,11593.497899,4.166848
76,0.001145,3.466855,0.683488,4.151488,11593.502063,4.164097
77,0.000938,3.494157,0.599282,4.094377,11593.506173,4.109604
78,0.000940,3.522786,0.599793,4.123519,11593.510309,4.136196
79,0.000897,3.495733,0.754863,4.251493,11593.514573,4.264017
80,0.000957,3.489903,0.655203,4.146063,11593.518732,4.158583
81,0.000977,3.490752,0.662607,4.154336,11593.522899,4.166858
82,0.001005,3.464212,0.697291,4.162508,11593.527074,4.174992
83,0.000822,3.508057,0.568835,4.077714,11593.531164,4.090266
84,0.001286,3.493995,0.650064,4.145345,11593.535322,4.157886
85,0.001117,3.601401,0.588758,4.191276,11593.539526,4.203761
86,0.002343,3.561001,0.603126,4.166470,11593.543714,4.188399
87,0.000956,3.497890,0.676464,4.175310,11593.547902,4.187752
88,0.000915,3.460619,0.688748,4.150282,11593.552065,4.162860
89,0.000912,3.501277,0.597422,4.099611,11593.556177,4.112302
90,0.000956,3.500109,0.714941,4.216006,11593.560405,4.228535
91,0.000957,3.494445,0.656218,4.151620,11593.564569,4.164060
92,0.001172,3.503193,0.650566,4.154931,11593.568737,4.167613
93,0.000998,3.496298,0.654924,4.152220,11593.572903,4.166362
94,0.001280,3.485847,0.700313,4.187440,11593.577103,4.199981
95,0.000950,3.472816,0.636460,4.110226,11593.581226,4.122547
96,0.000884,3.530903,0.602294,4.134081,11593.585372,4.146189
97,0.000872,3.506777,0.710413,4.218062,11593.589602,4.230329
