FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001172,3.500340,0.675017,4.176529,7807.613333,N/A
1,0.000780,3.416533,0.705070,4.122383,7807.617469,4.135828
2,0.000852,3.458478,0.958333,4.417663,7807.621899,4.430007
3,0.000820,3.456436,0.450663,3.907919,7807.625819,3.920417
4,0.001026,3.419395,0.767569,4.187990,7807.630019,4.199570
5,0.001001,3.416960,0.784965,4.202926,7807.634233,4.214678
6,0.000890,3.464874,0.618479,4.084243,7807.638330,4.096874
7,0.000718,3.456528,0.681906,4.139152,7807.642482,4.151791
8,0.000772,3.621015,0.546758,4.168545,7807.646664,4.182020
9,0.001588,3.509420,0.653536,4.164544,7807.650846,4.182148
10,0.000894,3.488693,0.647492,4.137079,7807.654995,4.148807
11,0.000831,3.447422,0.773689,4.221942,7807.659234,4.238653
12,0.000845,3.458195,0.637981,4.097021,7807.663343,4.109529
13,0.000789,3.489454,0.687947,4.178190,7807.667534,4.190739
14,0.001061,3.438455,0.740958,4.180474,7807.671727,4.192880
15,0.000852,3.424024,0.731302,4.156178,7807.675896,4.168833
16,0.000909,3.477949,0.621661,4.100519,7807.680011,4.115014
17,0.000858,3.412211,0.776805,4.189874,7807.684212,4.201680
18,0.001099,3.461814,0.709010,4.171923,7807.688397,4.184588
19,0.000753,3.435207,0.710983,4.146943,7807.692557,4.160126
20,0.001028,3.485934,0.644597,4.131559,7807.696703,4.146250
21,0.001461,3.468175,0.715092,4.184728,7807.700901,4.197357
22,0.001189,3.466208,0.646690,4.114087,7807.705027,4.126678
23,0.000766,3.454789,0.735795,4.191350,7807.709232,4.204339
24,0.000838,3.460794,0.684883,4.146515,7807.713391,4.159697
25,0.000799,3.451430,0.700561,4.152790,7807.717558,4.166476
26,0.000996,3.484411,0.668736,4.154143,7807.721727,4.168747
27,0.000787,3.458723,0.681097,4.140607,7807.725880,4.153187
28,0.001008,3.475252,0.657993,4.134253,7807.730028,4.148614
29,0.000812,3.444774,0.739784,4.185370,7807.734226,4.198099
30,0.000848,3.397705,0.672148,4.070701,7807.738310,4.083346
31,0.000935,3.432588,0.575920,4.009443,7807.742335,4.025233
32,0.001346,3.601422,0.653506,4.256274,7807.746606,4.270655
33,0.002326,3.500391,0.661454,4.164171,7807.750792,4.186099
34,0.001260,3.498575,0.645340,4.145175,7807.754952,4.159759
35,0.000925,3.406203,0.867319,4.274447,7807.759241,4.289123
36,0.000911,3.487537,0.575017,4.063465,7807.763317,4.076559
37,0.000897,3.523382,0.644528,4.168807,7807.767501,4.183433
38,0.001170,3.471685,0.643437,4.116292,7807.771630,4.128878
39,0.000769,3.390006,0.797157,4.187932,7807.775830,4.200437
40,0.000839,3.483827,0.632262,4.116928,7807.779959,4.129494
41,0.000929,3.408190,0.846851,4.255970,7807.784230,4.270911
42,0.000862,3.398534,0.697631,4.097027,7807.788340,4.109531
43,0.000867,3.530062,0.668144,4.199073,7807.792552,4.211679
44,0.000897,3.478329,0.686915,4.166141,7807.796730,4.178765
45,0.000839,3.418611,0.630007,4.049457,7807.800792,4.062074
46,0.000780,3.473202,0.717854,4.191836,7807.804997,4.204140
47,0.001176,3.518206,8.843053,12.362435,7807.817380,12.383728
48,0.000917,3.623627,0.153834,3.778378,7807.821174,3.793900
49,0.001066,3.402747,0.147094,3.550907,7807.824736,3.561371
50,0.000850,3.393235,0.149985,3.544070,7807.828290,3.554506
51,0.000859,3.387588,0.160144,3.548591,7807.831849,3.558985
52,0.000859,3.391722,0.146140,3.538721,7807.835398,3.549000
53,0.000775,3.392679,0.107406,3.500860,7807.838910,3.511737
54,0.000749,3.431395,0.115919,3.548063,7807.842468,3.558253
55,0.000817,3.438456,0.658997,4.098270,7807.846577,4.108650
56,0.003523,3.492171,0.602905,4.098599,7807.850705,4.128326
57,0.000952,3.475015,0.859184,4.335151,7807.855052,4.347105
58,0.000871,3.410742,0.703623,4.115236,7807.859180,4.128177
59,0.000748,3.399294,0.739300,4.139342,7807.863332,4.151888
60,0.000826,3.399351,0.596689,3.996866,7807.867342,4.009316
61,0.000825,3.406788,0.753598,4.161211,7807.871515,4.173694
62,0.000881,3.389280,0.970882,4.361043,7807.875889,4.373512
63,0.000746,3.392276,0.762017,4.155039,7807.880056,4.167443
64,0.000776,3.397281,0.702696,4.100753,7807.884169,4.113199
65,0.000854,3.391265,0.814509,4.206628,7807.888389,4.219935
66,0.000819,3.397230,0.749663,4.147712,7807.892549,4.160179
67,0.001074,3.381676,0.741135,4.123885,7807.896686,4.136424
68,0.000807,3.392226,0.807326,4.200359,7807.900899,4.212827
69,0.001112,3.394285,0.750137,4.145534,7807.905057,4.158056
70,0.000834,3.392226,0.709615,4.102675,7807.909172,4.115123
71,0.000808,3.395847,0.809093,4.205748,7807.913390,4.218191
72,0.000764,3.395177,0.723302,4.119243,7807.917522,4.131587
73,0.000785,3.389116,0.829253,4.219154,7807.921753,4.231680
74,0.000762,3.239597,0.917180,4.157539,7807.925923,4.169534
75,0.000709,3.263228,0.681115,3.945052,7807.929880,3.957057
76,0.000831,3.314386,0.947044,4.262261,7807.934169,4.289373
77,0.000719,3.237997,0.978733,4.217449,7807.938401,4.231376
78,0.000791,3.273648,0.786331,4.060770,7807.942473,4.072676
79,0.000770,3.330379,0.920183,4.251332,7807.946737,4.263256
80,0.002799,3.448706,0.698914,4.150419,7807.950917,4.180028
81,0.001683,3.279875,0.886654,4.168212,7807.955099,4.182594
82,0.000799,3.243428,0.849246,4.093473,7807.959205,4.105646
83,0.000778,3.270052,0.746624,4.017454,7807.963234,4.029502
84,0.000787,3.299878,0.953760,4.254425,7807.967501,4.266222
85,0.000958,3.247217,0.786874,4.035049,7807.971548,4.046879
86,0.000746,3.239205,1.130001,4.369952,7807.975929,4.381959
87,0.000878,3.289652,0.821280,4.111810,7807.980055,4.125921
88,0.001097,3.241314,0.890455,4.132866,7807.984200,4.144551
89,0.000786,3.242137,0.964487,4.207410,7807.988419,4.219423
90,0.000873,3.269777,0.796119,4.066769,7807.992498,4.078687
91,0.000699,3.241026,1.063152,4.304877,7807.996815,4.316929
92,0.000827,3.277491,0.819946,4.098264,7808.000925,4.109913
93,0.000780,3.257792,0.904402,4.162974,7808.005102,4.177055
94,0.000766,3.239187,0.855421,4.095374,7808.009209,4.107368
95,0.000709,3.242215,0.912150,4.155074,7808.013376,4.167101
96,0.000715,3.278174,0.830894,4.109783,7808.017499,4.122095
