FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001579,3.505990,4.259136,7.766705,11642.849166,N/A
1,0.003618,3.840139,0.841645,4.685402,11642.853886,4.719462
2,0.001841,3.458396,0.785646,4.245883,11642.858150,4.264707
3,0.000984,3.477720,0.633503,4.112207,11642.862275,4.124759
4,0.001257,3.485995,0.625578,4.112830,11642.866402,4.126997
5,0.001016,3.470810,0.840922,4.312748,11642.870728,4.325448
6,0.001017,3.485321,0.553072,4.039410,11642.874779,4.051791
7,0.000949,3.457587,0.821138,4.279674,11642.879071,4.291713
8,0.001219,3.428419,0.533582,3.963220,11642.883048,3.977367
9,0.001365,3.465923,0.854144,4.321432,11642.887383,4.334298
10,0.001028,3.466481,0.594982,4.062491,11642.891457,4.074753
11,0.000966,3.472468,0.789849,4.263283,11642.895733,4.275573
12,0.001198,3.464487,0.588798,4.054483,11642.899802,4.068508
13,0.001196,3.432387,0.820935,4.254518,11642.904068,4.266856
14,0.001112,3.479418,0.479478,3.960008,11642.908041,3.972224
15,0.000974,3.471729,0.867057,4.339760,11642.912393,4.352156
16,0.001205,3.426909,0.577026,4.005140,11642.916412,4.019089
17,0.000982,3.457446,0.847116,4.305544,11642.920731,4.318741
18,0.000996,3.474519,0.562952,4.038467,11642.924782,4.051105
19,0.001017,3.457925,0.821074,4.280016,11642.929074,4.292276
20,0.001133,3.421491,0.611709,4.034333,11642.933122,4.048443
21,0.000970,3.468540,0.686957,4.156467,11642.937291,4.168749
22,0.000944,3.467951,0.692093,4.160988,11642.941464,4.173339
23,0.001217,3.491037,0.668603,4.160857,11642.945638,4.173066
24,0.004877,3.644598,0.481633,4.131108,11642.949799,4.161822
25,0.001816,3.448665,0.802700,4.253181,11642.954070,4.270517
26,0.000963,3.464278,0.506248,3.971489,11642.958054,3.984317
27,0.000998,3.489200,0.819951,4.310149,11642.962377,4.322312
28,0.001333,3.435854,0.638252,4.075439,11642.966466,4.089607
29,0.000951,3.454228,0.801213,4.256392,11642.970735,4.269188
30,0.000997,3.483236,0.550265,4.034498,11642.974782,4.046942
31,0.000912,3.460473,0.822394,4.283779,11642.979078,4.296212
32,0.001104,3.416852,0.609967,4.027923,11642.983120,4.041891
33,0.000912,3.471231,0.704707,4.176850,11642.987310,4.189689
34,0.000956,3.478477,0.613322,4.092755,11642.991415,4.105113
35,0.000967,3.467297,0.851166,4.319430,11642.995747,4.331828
36,0.001122,3.441244,0.631302,4.073668,11642.999835,4.087834
37,0.000855,3.412403,0.813841,4.227099,11643.004074,4.239578
38,0.000902,3.476503,0.491887,3.969292,11643.008056,3.981614
39,0.000957,3.448227,0.883849,4.333033,11643.012402,4.345753
40,0.001474,3.396159,0.606301,4.003934,11643.016420,4.018104
41,0.000914,3.450207,0.856767,4.307888,11643.020740,4.320489
42,0.000929,3.471855,0.600472,4.073256,11643.024826,4.085382
43,0.000999,3.431812,0.803971,4.236782,11643.029075,4.249081
44,0.001109,3.426012,0.619720,4.046841,11643.033136,4.060948
45,0.000927,3.469957,0.591148,4.062032,11643.037210,4.074418
46,0.001120,3.447849,0.800844,4.249813,11643.041471,4.260878
47,0.001024,3.448172,0.818596,4.267792,11643.045751,4.279989
48,0.001005,3.669190,0.346648,4.016843,11643.049780,4.029104
49,0.002593,13.211647,0.161084,13.375324,11643.063175,13.394992
50,0.001085,3.489623,0.154691,3.645399,11643.066832,3.656499
51,0.001017,3.414145,0.167740,3.582902,11643.070425,3.593558
52,0.001015,3.377082,0.881272,4.259369,11643.074695,4.269580
53,0.000938,3.384286,0.775031,4.160255,11643.078866,4.171408
54,0.001713,3.430316,0.746123,4.178152,11643.083057,4.190553
