FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001212,3.416624,0.746346,4.164182,7810.992975,N/A
1,0.001125,3.532849,0.776919,4.310893,7810.997300,4.324911
2,0.001059,3.488731,0.677587,4.167377,7811.001480,4.180365
3,0.000851,3.480485,0.683667,4.165003,7811.005658,4.177680
4,0.000877,3.431502,0.675934,4.108313,7811.009779,4.121029
5,0.000887,3.495122,0.660286,4.156295,7811.013948,4.169617
6,0.000825,3.434334,0.690024,4.125183,7811.018087,4.138090
7,0.000801,3.493464,0.686882,4.181147,7811.022281,4.193937
8,0.000870,3.461502,0.679424,4.141796,7811.026435,4.154353
9,0.000854,3.503397,0.662521,4.166772,7811.030615,4.180076
10,0.000856,3.465673,0.686842,4.153371,7811.034781,4.166084
11,0.000791,3.495245,0.656099,4.152135,7811.038946,4.164777
12,0.000899,3.410416,0.710848,4.122163,7811.043081,4.134856
13,0.000827,3.471805,0.723928,4.196560,7811.047290,4.209267
14,0.000910,3.492555,0.633001,4.126466,7811.051429,4.139166
15,0.000901,3.512516,0.652717,4.166134,7811.055608,4.179011
16,0.000863,3.464107,0.691868,4.156838,7811.059778,4.169910
17,0.000887,3.497256,0.647026,4.145169,7811.063937,4.158699
18,0.000918,3.372506,0.772573,4.145997,7811.068094,4.157178
19,0.000811,3.490497,0.684401,4.175709,7811.072283,4.188870
20,0.000907,3.466116,0.708448,4.175471,7811.076471,4.187932
21,0.000797,3.612123,0.528718,4.141638,7811.080625,4.154196
22,0.003602,3.631323,0.467418,4.102343,7811.084751,4.125733
23,0.001121,3.530367,0.673103,4.204591,7811.088970,4.219592
24,0.000840,3.401247,0.714703,4.116790,7811.093100,4.129463
25,0.000785,3.460638,0.485585,3.947008,7811.097060,3.960168
26,0.000815,3.511134,0.673532,4.185481,7811.101258,4.198032
27,0.000812,3.491989,0.665772,4.158573,7811.105429,4.170860
28,0.000760,3.470811,0.750228,4.221799,7811.109663,4.234193
29,0.000788,3.523073,0.576136,4.099997,7811.113775,4.112558
30,0.000816,3.499758,0.669109,4.169683,7811.117957,4.181989
