FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001274,3.388996,0.073645,3.463915,14254.473938,N/A
1,0.000861,3.360234,0.163085,3.524180,14254.477473,3.535909
2,0.000828,3.380693,0.070794,3.452315,14254.480936,3.462204
3,0.000825,3.359125,0.144610,3.504560,14254.484451,3.515207
4,0.000769,3.381841,0.068942,3.451552,14254.487912,3.461518
5,0.001236,3.415411,0.141949,3.558596,14254.491482,3.569272
6,0.000881,3.403761,0.069941,3.474583,14254.494966,3.484761
7,0.000938,3.358977,0.141207,3.501122,14254.498477,3.511064
8,0.000854,3.347719,0.070677,3.419250,14254.501907,3.429496
9,0.000824,3.411777,0.139516,3.552117,14254.505470,3.562708
10,0.000921,3.382709,0.068943,3.452573,14254.508932,3.462734
11,0.000867,3.399663,0.075475,3.476005,14254.512418,3.485988
12,0.001013,3.385064,0.097017,3.483094,14254.515911,3.493117
13,0.000853,3.355616,0.137642,3.494111,14254.519416,3.504163
14,0.000801,3.381122,0.102279,3.484202,14254.522910,3.494134
15,0.000823,3.533910,0.196809,3.731542,14254.526651,3.741305
16,0.002283,3.471815,0.140168,3.614266,14254.530284,3.632619
17,0.000815,3.398870,0.139910,3.539595,14254.533835,3.551450
18,0.001025,3.389092,0.141271,3.531388,14254.537377,3.541534
19,0.000951,3.390767,0.109169,3.500887,14254.540887,3.510650
20,0.000895,3.364187,0.140856,3.505938,14254.544403,3.515669
21,0.000822,3.380451,0.109880,3.491153,14254.547904,3.501046
22,0.000842,3.390921,0.141980,3.533743,14254.551447,3.543365
23,0.000793,3.387769,0.067041,3.455603,14254.554913,3.465356
24,0.000879,3.394125,0.135664,3.530668,14254.558453,3.540531
25,0.000814,3.388850,0.069364,3.459028,14254.561923,3.469250
26,0.000930,3.361586,0.143859,3.506375,14254.565439,3.516058
27,0.001272,3.345542,0.106207,3.453021,14254.568901,3.462711
28,0.000914,3.398926,0.070564,3.470404,14254.572382,3.480329
29,0.000832,3.362331,0.135262,3.498425,14254.575890,3.508068
30,0.000870,3.396991,0.148125,3.545986,14254.579446,3.555888
31,0.000797,3.385600,0.068873,3.455270,14254.582911,3.465161
32,0.000887,3.386236,0.138098,3.525221,14254.586446,3.534906
33,0.000826,3.359030,0.097949,3.457805,14254.589914,3.468255
34,0.000783,3.388031,0.140683,3.529497,14254.593453,3.539242
35,0.000833,3.384964,0.069626,3.455423,14254.596919,3.465394
