FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001680,3.441419,0.702241,4.145340,11668.519538,N/A
1,0.003223,3.697734,0.502589,4.203546,11668.523768,4.230131
2,0.001605,3.466975,0.791975,4.260555,11668.528046,4.277433
3,0.001483,3.433307,0.520899,3.955689,11668.532018,3.972817
4,0.000926,3.432697,0.901508,4.335131,11668.536366,4.347679
5,0.000916,3.420481,0.545951,3.967348,11668.540346,3.980110
6,0.001217,3.435586,0.714493,4.151296,11668.544510,4.163675
7,0.001127,3.422453,0.922380,4.345960,11668.548868,4.358386
8,0.000971,3.432396,0.681078,4.114445,11668.552995,4.126742
9,0.001207,3.417725,0.653621,4.072553,11668.557086,4.091033
10,0.001642,3.426634,0.840758,4.269034,11668.561368,4.281984
11,0.000966,3.434440,0.534276,3.969682,11668.565350,3.982160
12,0.000950,3.425215,0.726127,4.152292,11668.569515,4.164555
13,0.000908,3.422726,0.924329,4.347963,11668.573875,4.360239
14,0.001296,3.447531,0.627857,4.076684,11668.577966,4.090760
15,0.000934,3.421815,0.695880,4.118629,11668.582097,4.130762
16,0.001272,3.387861,0.890558,4.279691,11668.586389,4.292143
17,0.000964,3.436915,0.521955,3.959834,11668.590361,3.972523
18,0.001384,3.418940,0.922773,4.343097,11668.594719,4.357559
19,0.000878,3.426841,0.684439,4.112158,11668.598843,4.124378
20,0.000929,3.414425,0.804968,4.220322,11668.603076,4.232815
21,0.000901,3.433784,0.530596,3.965281,11668.607053,3.977340
22,0.001315,3.440917,0.862301,4.304533,11668.611370,4.316604
23,0.000999,3.380305,0.584430,3.965734,11668.615348,3.977656
24,0.001312,3.436109,0.769343,4.206764,11668.619569,4.221543
25,0.000871,3.713269,0.458017,4.172157,11668.623754,4.185038
26,0.001867,3.522179,0.770056,4.294102,11668.628066,4.311463
27,0.001330,3.385318,0.706962,4.093610,11668.632173,4.107183
28,0.000934,3.447175,0.724384,4.172493,11668.636357,4.184706
29,0.000903,3.446264,0.537829,3.984996,11668.640354,3.996928
30,0.001388,3.437982,0.906674,4.346044,11668.644717,4.362229
31,0.000924,3.416539,0.716322,4.133785,11668.648862,4.145708
32,0.001014,3.467370,0.644053,4.112437,11668.652989,4.126252
33,0.001470,3.392498,0.694725,4.088693,11668.657115,4.126829
34,0.001124,3.406033,0.746775,4.153932,11668.661286,4.170551
35,0.000934,3.413027,0.842477,4.256438,11668.665554,4.268523
