FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001167,3.489886,0.893159,4.384212,7816.268799,N/A
1,0.001135,3.529728,0.375498,3.906361,7816.272719,3.920517
2,0.001321,3.440266,0.922364,4.363951,7816.277095,4.376116
3,0.001160,3.501865,0.447961,3.950986,7816.281059,3.963634
4,0.000988,3.477216,0.896946,4.375150,7816.285447,4.387759
5,0.000833,3.467378,0.475648,3.943859,7816.289404,3.956906
6,0.000869,3.489720,0.716938,4.207527,7816.293624,4.220073
7,0.000860,3.465809,0.680455,4.147124,7816.297783,4.159776
8,0.001231,3.503191,0.619108,4.123530,7816.301920,4.136110
9,0.001147,3.445437,0.723519,4.170103,7816.306102,4.182879
10,0.000798,3.506472,0.665142,4.172412,7816.310287,4.184886
11,0.000807,3.521542,0.570743,4.093092,7816.314393,4.105651
12,0.000873,3.490588,0.656822,4.148283,7816.318554,4.160773
13,0.000834,3.484860,0.734182,4.219876,7816.322785,4.231221
14,0.000858,3.495617,0.619599,4.116074,7816.326913,4.128540
15,0.000826,5.650853,0.191339,5.843018,7816.332769,5.855983
16,0.002139,3.539428,0.183896,3.725463,7816.336511,3.741133
17,0.001892,3.524959,0.162077,3.688928,7816.340216,3.705107
18,0.000977,3.503347,0.153626,3.657950,7816.343885,3.668846
19,0.000858,3.450621,0.341752,3.793231,7816.347689,3.804403
20,0.001036,3.408847,0.714514,4.124397,7816.351824,4.135509
21,0.000970,3.454880,0.831079,4.286929,7816.356122,4.297472
22,0.000795,3.492248,0.599279,4.092322,7816.360227,4.104800
23,0.000817,3.502655,0.619979,4.123451,7816.364363,4.136330
24,0.000803,3.498048,0.839668,4.338519,7816.368714,4.351287
25,0.000816,3.508606,0.527549,4.036971,7816.372764,4.050078
26,0.000838,3.502500,0.756126,4.259464,7816.377036,4.271792
27,0.000806,3.504642,0.474418,3.979866,7816.381029,3.992331
28,0.001049,3.515858,0.826492,4.343399,7816.385385,4.356143
29,0.000824,3.490430,0.537242,4.028496,7816.389426,4.041262
30,0.000911,3.493461,0.784060,4.278432,7816.393717,4.290918
31,0.001032,3.518803,0.512076,4.031911,7816.397761,4.044308
32,0.000736,3.504563,0.759731,4.265030,7816.402039,4.277733
33,0.000726,3.520549,0.531813,4.053088,7816.406105,4.066145
34,0.000760,3.519065,0.705367,4.225192,7816.410343,4.237997
35,0.001121,3.509375,0.577724,4.088220,7816.414444,4.100701
36,0.000907,3.498538,0.770859,4.270304,7816.418727,4.282901
37,0.000795,3.501390,0.580446,4.082631,7816.422822,4.095187
38,0.000767,3.423906,0.788106,4.212779,7816.427047,4.225246
39,0.000814,3.533795,0.480651,4.015260,7816.431075,4.027760
40,0.003051,3.694918,0.472982,4.170951,7816.435274,4.199513
41,0.001422,3.530236,0.608336,4.139994,7816.439432,4.157437
42,0.000805,3.503421,0.771309,4.275535,7816.443720,4.288238
43,0.000890,3.511166,0.520155,4.032211,7816.447765,4.044940
44,0.000822,3.504390,0.773943,4.279155,7816.452057,4.291622
45,0.000787,3.507138,0.549746,4.057671,7816.456127,4.070213
46,0.001004,3.509178,0.679420,4.189602,7816.460329,4.202153
47,0.000803,3.502992,0.486284,3.990079,7816.464331,4.002492
48,0.000794,13.398162,0.166002,13.564958,7816.477909,13.577835
49,0.000805,3.419062,0.151367,3.571234,7816.481492,3.583183
50,0.000817,3.436430,0.191177,3.628424,7816.485132,3.639099
51,0.000850,3.466670,0.866540,4.334060,7816.489478,4.346232
52,0.000904,3.497940,0.607458,4.106302,7816.493596,4.118544
53,0.000764,3.486712,0.679259,4.166735,7816.497776,4.180135
54,0.000767,3.510585,0.630125,4.141477,7816.501930,4.153970
55,0.000801,3.479049,0.703567,4.183417,7816.506126,4.195703
56,0.000769,3.508315,0.557402,4.066486,7816.510205,4.078924
57,0.000780,3.501778,0.576802,4.079360,7816.514297,4.091695
58,0.000804,3.500848,0.803756,4.305408,7816.518614,4.317716
59,0.000794,3.485180,0.662411,4.148385,7816.522775,4.160753
60,0.000845,3.490787,0.678317,4.169949,7816.526958,4.182408
61,0.000833,3.502729,0.463412,3.966974,7816.530937,3.979284
62,0.000841,3.681943,0.575568,4.258352,7816.535209,4.272492
63,0.001960,3.533317,0.607742,4.143019,7816.539373,4.163837
64,0.000792,3.501261,0.728181,4.230234,7816.543616,4.242550
65,0.000908,3.515957,0.601337,4.118202,7816.547747,4.131677
66,0.000753,3.507432,0.680696,4.188881,7816.551949,4.201422
67,0.000818,3.524032,0.595573,4.120423,7816.556082,4.132726
68,0.000964,3.509772,0.661100,4.171836,7816.560266,4.184163
69,0.000750,3.507541,0.515544,4.023835,7816.564302,4.036154
70,0.000773,3.514710,0.787700,4.303183,7816.568617,4.315433
71,0.000837,3.481484,0.676117,4.158438,7816.572788,4.170673
72,0.000780,3.493170,0.653159,4.147109,7816.576947,4.159425
73,0.000790,3.504956,0.658344,4.164090,7816.581124,4.176534
74,0.000765,3.503644,0.589322,4.093731,7816.585230,4.106076
75,0.000886,3.508042,0.561457,4.070385,7816.589313,4.082822
76,0.000793,3.509046,0.785143,4.294982,7816.593620,4.307266
77,0.000793,3.514515,0.551829,4.067137,7816.597701,4.080779
78,0.001129,3.471132,0.751232,4.223493,7816.601937,4.235801
79,0.000936,3.449938,0.700263,4.151137,7816.606098,4.161566
80,0.000806,3.506361,0.661040,4.168207,7816.610279,4.180752
81,0.000765,3.500987,0.577973,4.079725,7816.614371,4.091991
82,0.000803,3.495971,0.740434,4.237208,7816.618621,4.249528
83,0.000845,3.515256,0.650687,4.166788,7816.622800,4.179232
84,0.000943,3.442869,0.712248,4.156060,7816.626968,4.168235
85,0.000867,3.468472,0.713689,4.183028,7816.631163,4.195137
86,0.000788,3.645396,0.395610,4.041794,7816.635217,4.053910
87,0.001600,3.519784,0.512903,4.034287,7816.639273,4.055868
88,0.000893,3.541537,0.842359,4.384789,7816.643669,4.395613
89,0.000764,3.580522,0.465541,4.046827,7816.647727,4.058902
90,0.000791,3.599728,0.522588,4.123107,7816.651863,4.135158
91,0.001124,3.445497,0.838518,4.285139,7816.656160,4.297398
92,0.000847,3.431306,0.651863,4.084016,7816.660256,4.096240
93,0.000776,3.442671,0.605195,4.048642,7816.664319,4.063126
94,0.000757,3.487960,0.803709,4.292426,7816.668624,4.304711
95,0.000837,3.499351,0.682515,4.182703,7816.672819,4.194831
96,0.000764,3.419793,0.697924,4.118481,7816.676950,4.130825
97,0.000715,3.470945,0.599078,4.070738,7816.681033,4.082780
98,0.001108,3.489099,0.721196,4.211403,7816.685255,4.222398
99,0.000782,3.438849,0.651436,4.091067,7816.689358,4.103276
100,0.001218,3.478197,0.766206,4.245621,7816.693616,4.257637
101,0.000804,3.465593,0.687102,4.153499,7816.697781,4.165580
102,0.000763,3.433601,0.721511,4.155875,7816.701949,4.167996
103,0.000799,3.370183,0.695011,4.065993,7816.706028,4.078189
104,0.000821,3.441294,0.782762,4.224877,7816.710265,4.237148
105,0.000774,3.476753,0.576753,4.054280,7816.714331,4.066375
106,0.000762,3.484666,0.803210,4.288638,7816.718632,4.300842
107,0.000795,3.453649,0.725205,4.179649,7816.722824,4.191721
108,0.000908,3.511862,0.557082,4.069852,7816.726906,4.082062
109,0.000774,3.557596,0.581927,4.140297,7816.731060,4.153829
110,0.000796,3.692159,0.414799,4.107754,7816.735179,4.119849
111,0.001648,3.540411,0.589322,4.131381,7816.739333,4.153959
112,0.000845,3.450648,0.709282,4.160775,7816.743506,4.172850
113,0.000776,3.467210,0.801176,4.269162,7816.747788,4.281369
114,0.000791,3.401225,0.631888,4.033904,7816.751834,4.046096
115,0.000787,3.425311,0.825409,4.251507,7816.756097,4.263740
116,0.000912,3.430039,0.751488,4.182439,7816.760292,4.194806
117,0.000770,3.513687,0.530721,4.045178,7816.764350,4.057306
118,0.000795,3.434941,0.831061,4.266797,7816.768628,4.278863
119,0.000816,3.435031,0.749823,4.185670,7816.772826,4.197855
