FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001492,3.493623,0.755952,4.251067,11708.849557,N/A
1,0.001042,3.478321,0.664794,4.144157,11708.853715,4.158032
2,0.000870,3.492605,0.660282,4.153757,11708.857881,4.166163
3,0.000949,3.462289,0.681750,4.144988,11708.862039,4.157618
4,0.001179,3.428245,0.692481,4.121905,11708.866173,4.134105
5,0.000943,3.488948,0.686820,4.176711,11708.870362,4.189376
6,0.001008,3.487751,0.688454,4.177213,11708.874551,4.189486
7,0.000946,3.503931,0.642150,4.147027,11708.878711,4.159397
8,0.001032,3.453761,0.715005,4.169798,11708.882893,4.182514
9,0.000934,3.449449,0.687273,4.137656,11708.887044,4.150146
10,0.000951,3.497430,0.667063,4.165444,11708.891221,4.177643
11,0.000930,3.487549,0.623579,4.112058,11708.895345,4.124232
12,0.001096,3.467444,0.709805,4.178345,11708.899536,4.190624
13,0.000960,3.489687,0.671294,4.161941,11708.903710,4.174363
14,0.001028,3.494410,0.679928,4.175366,11708.907898,4.187741
15,0.001279,3.387633,0.741426,4.130338,11708.912041,4.142579
16,0.000969,3.461014,0.742197,4.204180,11708.916257,4.216145
17,0.000974,3.467773,0.605309,4.074056,11708.920344,4.087601
18,0.000998,3.491950,0.704470,4.197418,11708.924554,4.209799
19,0.000941,3.506621,0.696707,4.204269,11708.928771,4.216651
20,0.000931,3.449586,0.658367,4.108884,11708.932892,4.120907
21,0.000933,3.461150,0.712329,4.174412,11708.937079,4.186721
22,0.000941,3.585501,0.541350,4.127792,11708.941219,4.140058
23,0.002333,3.570797,0.482439,4.055569,11708.945297,4.078001
24,0.001129,3.428247,0.796096,4.225472,11708.949536,4.238908
25,0.001224,3.500148,0.689943,4.191315,11708.953740,4.204462
26,0.000905,3.483282,0.651355,4.135542,11708.957888,4.147822
27,0.000916,3.430701,0.728057,4.159674,11708.962060,4.171782
28,0.001022,3.448499,0.719457,4.168978,11708.966241,4.181109
29,0.000865,3.504204,0.602175,4.107244,11708.970360,4.119339
30,0.000992,3.480990,0.707300,4.189282,11708.974562,4.201484
31,0.001250,3.491411,0.661362,4.154023,11708.978728,4.166239
32,0.000924,3.465611,0.685429,4.151964,11708.982892,4.164096
33,0.000855,3.419468,0.753630,4.173953,11708.987078,4.186316
34,0.000973,3.484560,0.631146,4.116679,11708.991207,4.128881
35,0.000918,3.492707,0.638410,4.132035,11708.995351,4.144165
36,0.000932,3.454306,0.747174,4.202412,11708.999566,4.214611
37,0.000915,3.495366,0.649042,4.145323,11709.003723,4.157491
38,0.000921,3.476476,0.703730,4.181127,11709.007917,4.193225
39,0.000947,3.451461,0.686420,4.138828,11709.012068,4.150952
40,0.000931,3.470958,0.690924,4.162813,11709.016242,4.174871
41,0.000951,3.504458,0.610903,4.116312,11709.020371,4.128948
42,0.000931,3.472092,0.677580,4.150603,11709.024534,4.162755
43,0.001369,3.485684,0.671953,4.159006,11709.028705,4.171059
44,0.000932,3.448405,0.746875,4.196212,11709.032913,4.208268
45,0.000850,3.469660,0.670676,4.141186,11709.037067,4.153539
46,0.001017,3.475251,0.662634,4.138902,11709.041218,4.151038
47,0.001978,3.672471,0.436814,4.111263,11709.045350,4.131978
48,0.001634,13.459498,0.116711,13.577843,11709.058945,13.595445
49,0.001024,3.472716,0.163571,3.637311,11709.062594,3.648183
50,0.001001,3.458014,0.149055,3.608070,11709.066212,3.618831
51,0.001026,3.451734,0.526734,3.979494,11709.070202,3.990019
52,0.000892,3.395098,0.848179,4.244169,11709.074457,4.254661
53,0.000894,3.478004,0.768549,4.247447,11709.078717,4.260370
54,0.000890,3.432604,0.554797,3.988291,11709.082718,4.000490
55,0.000920,3.504030,0.820540,4.325490,11709.087056,4.337769
56,0.000919,3.486431,0.606616,4.093966,11709.091162,4.106057
57,0.000934,3.488362,0.744935,4.234231,11709.095408,4.246436
58,0.000855,3.450335,0.685465,4.136655,11709.099557,4.148751
59,0.000910,3.497399,0.649902,4.148211,11709.103717,4.160465
60,0.000972,3.485730,0.681273,4.167975,11709.107897,4.180036
61,0.000926,3.503913,0.562300,4.067139,11709.111977,4.079243
62,0.001222,3.431658,0.730818,4.163698,11709.116152,4.175772
63,0.000908,3.494001,0.734378,4.229287,11709.120394,4.241285
64,0.000957,3.477336,0.658174,4.136467,11709.124543,4.148733
65,0.000851,3.503360,0.638964,4.143175,11709.128699,4.156251
66,0.000878,3.428409,0.755829,4.185116,11709.132896,4.197142
67,0.001111,3.453487,0.693480,4.148078,11709.137056,4.160140
68,0.000879,3.481989,0.619123,4.101991,11709.141170,4.114149
69,0.000899,5.596888,0.156781,5.754568,11709.146937,5.766721
70,0.002381,3.551538,0.162767,3.716686,11709.150674,3.736837
71,0.000974,3.463420,0.155097,3.619491,11709.154304,3.630478
72,0.001241,3.383365,0.145178,3.529784,11709.157845,3.540369
73,0.000966,3.385944,0.663001,4.049911,11709.161905,4.060123
74,0.000867,3.368479,0.855185,4.224531,11709.166139,4.234492
75,0.000811,3.468502,0.763750,4.233063,11709.170382,4.242962
76,0.001048,3.465982,0.687587,4.154617,11709.174549,4.166816
77,0.000964,3.464312,0.687267,4.152543,11709.178717,4.167574
78,0.000929,3.421995,0.730624,4.153548,11709.182882,4.165439
79,0.000853,3.404702,0.753194,4.158749,11709.187052,4.170504
80,0.000933,3.412470,0.706174,4.119577,11709.191184,4.131681
81,0.000906,3.473279,0.712166,4.186351,11709.195382,4.198238
82,0.000928,3.414307,0.744145,4.159380,11709.199554,4.171164
83,0.000836,3.482139,0.667284,4.150259,11709.203716,4.162213
84,0.000878,3.409381,0.746867,4.157126,11709.207885,4.169081
85,0.000891,3.395166,0.801852,4.197909,11709.212095,4.209725
86,0.000897,3.419859,0.654613,4.075369,11709.216182,4.087190
87,0.000822,3.476801,0.711954,4.189577,11709.220383,4.201486
88,0.000871,3.457423,0.573971,4.032265,11709.224427,4.044063
89,0.000883,3.426623,0.772646,4.200152,11709.228639,4.212151
90,0.000904,3.425493,0.817871,4.244268,11709.232896,4.256123
91,0.000883,3.365754,0.817304,4.183941,11709.237091,4.195767
92,0.000901,3.411913,0.659284,4.072098,11709.241175,4.084036
93,0.000938,3.722170,0.364478,4.087586,11709.245276,4.100778
94,0.001993,3.651112,0.493205,4.146310,11709.249445,4.168455
95,0.000875,3.763163,0.383480,4.147518,11709.253605,4.159941
96,0.000972,3.566493,0.704149,4.271614,11709.257888,4.283749
97,0.000940,3.472753,0.716201,4.189894,11709.262090,4.201985
98,0.000893,3.416815,0.683247,4.100955,11709.266203,4.112831
99,0.000893,3.502547,0.689287,4.192727,11709.270408,4.204536
100,0.000883,3.441531,0.708821,4.151235,11709.274571,4.163137
101,0.000893,3.404434,0.759661,4.164988,11709.278748,4.176847
102,0.001180,3.353253,0.799905,4.154338,11709.282914,4.166098
103,0.000853,3.424740,0.766604,4.192197,11709.287118,4.204099
104,0.000858,3.527334,0.531389,4.059581,11709.291189,4.071395
105,0.000803,3.480721,0.728143,4.209667,11709.295411,4.221649
106,0.000873,3.416233,0.628390,4.045496,11709.299468,4.057347
107,0.000873,3.425298,0.883941,4.310112,11709.303790,4.322013
108,0.000946,3.457485,0.645541,4.103972,11709.307906,4.115838
109,0.000927,3.435333,0.764878,4.201138,11709.312123,4.216430
110,0.000908,3.417695,0.631612,4.050215,11709.316185,4.062083
111,0.000866,3.466020,0.748714,4.215600,11709.320412,4.227564
112,0.001023,3.455947,0.686970,4.143940,11709.324568,4.155736
113,0.001211,3.423374,0.789244,4.213829,11709.328794,4.225698
114,0.000841,3.420982,0.574652,3.996475,11709.332802,4.008251
115,0.000877,3.505514,0.798245,4.304636,11709.337119,4.316667
116,0.000849,3.410209,0.653108,4.064166,11709.341195,4.076062
117,0.000903,3.508424,0.670226,4.179553,11709.345386,4.191424
118,0.002036,3.536175,0.653851,4.192062,11709.349599,4.213072
119,0.000875,3.471396,0.672868,4.145139,11709.353756,4.157146
120,0.000866,3.428589,0.726075,4.155530,11709.357924,4.167448
121,0.000881,3.387214,0.799882,4.187977,11709.362124,4.199825
122,0.000892,3.414394,0.663718,4.079004,11709.366215,4.090996
123,0.000918,3.421880,0.771177,4.193975,11709.370420,4.205928
124,0.001239,3.470117,0.685904,4.157260,11709.374590,4.169094
125,0.000922,3.428715,0.733983,4.163620,11709.378765,4.175529
126,0.000919,3.418799,0.731956,4.151674,11709.382929,4.163570
127,0.000906,3.382695,0.796221,4.179822,11709.387120,4.191671
128,0.000975,3.453809,0.624233,4.079017,11709.391211,4.090931
129,0.001035,3.425748,0.691512,4.118295,11709.395345,4.133775
130,0.000906,3.459675,0.765120,4.225701,11709.399583,4.237642
131,0.000886,3.419590,0.753302,4.173778,11709.403768,4.185758
132,0.000847,3.414776,0.741539,4.157162,11709.407937,4.168950
133,0.000883,3.395501,0.719447,4.115831,11709.412065,4.127680
134,0.000852,3.425918,0.729515,4.156285,11709.416233,4.168109
135,0.000874,3.419184,0.758099,4.178157,11709.420423,4.190029
136,0.000925,3.443168,0.716942,4.161035,11709.424596,4.172920
137,0.000849,3.480716,0.670023,4.151588,11709.428760,4.163445
138,0.000868,3.424632,0.735330,4.160830,11709.432932,4.172623
139,0.000909,3.419248,0.756389,4.176546,11709.437121,4.188328
140,0.000916,3.457385,0.630925,4.089226,11709.441222,4.101039
141,0.000923,3.577951,0.580379,4.159253,11709.445393,4.171063
142,0.003617,3.594784,0.503176,4.101577,11709.449520,4.127415
143,0.001139,3.464278,0.758021,4.223438,11709.453757,4.237221
144,0.001321,3.470202,0.694329,4.165852,11709.457935,4.177877
145,0.000930,3.440891,0.696903,4.138724,11709.462086,4.150697
146,0.000884,3.420479,0.697163,4.118526,11709.466216,4.130414
147,0.000880,3.482230,0.720415,4.203525,11709.470432,4.215448
148,0.000868,3.408630,0.630127,4.039625,11709.474483,4.051331
149,0.000889,3.469673,0.803984,4.274546,11709.478773,4.289567
150,0.000868,3.350211,0.805406,4.156485,11709.482941,4.168366
151,0.001064,3.509066,0.652750,4.162880,11709.487116,4.174698
152,0.000917,3.422297,0.679423,4.102637,11709.491230,4.114567
153,0.000901,3.417821,0.775447,4.194169,11709.495436,4.205933
154,0.000866,3.403358,0.754548,4.158772,11709.499607,4.170408
155,0.000828,3.424066,0.723873,4.148767,11709.503767,4.160694
156,0.000926,3.418581,0.744161,4.163668,11709.507943,4.175403
157,0.000919,3.452526,0.723299,4.176744,11709.512131,4.188636
158,0.000923,3.531711,0.428474,3.961108,11709.516104,3.972873
159,0.000943,3.448959,0.861884,4.311786,11709.520428,4.323646
160,0.000933,3.446986,0.727732,4.175651,11709.524615,4.187498
161,0.000825,3.467895,0.674753,4.143473,11709.528771,4.155381
162,0.000927,3.421442,0.739449,4.161818,11709.532944,4.173682
163,0.000855,3.438896,0.713250,4.153001,11709.537109,4.164802
164,0.000848,3.508863,0.589419,4.099130,11709.541220,4.110915
165,0.000762,3.392946,0.790691,4.184399,11709.545416,4.196376
166,0.000845,3.729803,0.376033,4.106681,11709.549536,4.119235
167,0.002074,3.449010,0.770640,4.221724,11709.553777,4.241587
168,0.000953,3.371925,0.785381,4.158259,11709.557948,4.170261
169,0.001178,3.365879,0.797366,4.164423,11709.562124,4.176453
170,0.000868,3.420340,0.715091,4.136299,11709.566272,4.148131
171,0.000844,3.528138,0.551003,4.079985,11709.570364,4.091986
172,0.000949,3.516329,0.724607,4.241885,11709.574618,4.253741
173,0.000872,3.473037,0.519992,3.993901,11709.578626,4.008587
174,0.001001,3.423616,0.880100,4.304717,11709.582957,4.330125
175,0.000890,3.452112,0.667791,4.120793,11709.587089,4.132634
176,0.000910,3.418595,0.741440,4.160945,11709.591262,4.172796
177,0.000869,3.461792,0.604108,4.066769,11709.595341,4.078657
178,0.001061,3.437302,0.708518,4.146881,11709.599499,4.158668
179,0.001092,3.465610,0.811677,4.278379,11709.603790,4.290412
180,0.000912,3.391473,0.644649,4.037034,11709.607839,4.048855
