FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001113,3.475251,0.571173,4.047537,7828.495056,N/A
1,0.000800,3.502677,0.676202,4.179679,7828.499250,4.193883
2,0.001303,3.508684,0.644968,4.154955,7828.503418,4.168486
3,0.000825,3.481047,0.736790,4.218662,7828.507649,4.231277
4,0.001040,3.471409,0.656785,4.129234,7828.511792,4.142387
5,0.001274,3.487723,0.676323,4.165320,7828.515970,4.178203
6,0.000934,3.422815,0.752407,4.176156,7828.520159,4.188979
7,0.000838,3.471468,0.657750,4.130056,7828.524301,4.142492
8,0.000796,3.489016,0.647625,4.137437,7828.528452,4.150206
9,0.000819,3.490524,0.693585,4.184928,7828.532650,4.197947
10,0.000878,3.519745,0.578554,4.099177,7828.536761,4.111864
11,0.000828,3.503096,0.715840,4.219764,7828.540994,4.232090
12,0.001000,3.486041,0.594746,4.081787,7828.545094,4.100201
13,0.000985,3.493983,0.713281,4.208249,7828.549314,4.220687
14,0.000741,3.591539,0.553429,4.145709,7828.553472,4.158051
15,0.002760,3.578758,0.516786,4.098304,7828.557594,4.121719
16,0.000855,3.490471,0.732933,4.224259,7828.561832,4.237358
17,0.000786,3.459478,0.656094,4.116358,7828.565961,4.129612
18,0.000768,3.420457,0.914255,4.335480,7828.570309,4.348109
19,0.000816,3.534732,0.370986,3.906534,7828.574228,3.918973
20,0.000929,3.515303,0.633293,4.149525,7828.578390,4.162070
21,0.000943,3.508991,0.724031,4.233965,7828.582637,4.246502
22,0.000750,3.489734,0.653825,4.144309,7828.586794,4.156838
23,0.000773,3.526129,0.530857,4.057759,7828.590864,4.070242
24,0.001211,3.417276,0.850272,4.268759,7828.595144,4.279813
25,0.000724,3.500262,0.566549,4.067535,7828.599224,4.080475
26,0.000772,3.481980,0.686399,4.169151,7828.603406,4.181595
27,0.000750,3.486803,0.917205,4.404758,7828.607823,4.417342
28,0.000907,3.456252,0.472934,3.930093,7828.611765,3.942302
29,0.000777,3.495079,0.808876,4.304732,7828.616083,4.317241
30,0.000777,3.487796,0.479808,3.968381,7828.620063,3.980613
31,0.000819,3.414490,0.984608,4.399917,7828.624475,4.412227
32,0.000798,3.476745,0.432130,3.909673,7828.628398,3.922136
33,0.000701,3.480023,0.932928,4.413652,7828.632824,4.426450
34,0.000767,3.506872,0.401691,3.909330,7828.636746,3.922358
35,0.000769,3.429445,0.773013,4.203227,7828.640962,4.215373
36,0.000971,3.433129,0.711198,4.145298,7828.645119,4.157543
37,0.000897,3.481669,0.623521,4.106087,7828.649238,4.118428
38,0.000769,3.489253,0.713276,4.203298,7828.653453,4.215680
39,0.003016,5.553249,0.139977,5.696242,7828.659177,5.723982
40,0.001689,3.408152,0.152445,3.562286,7828.662754,3.576761
41,0.000835,3.514307,0.148809,3.663951,7828.666429,3.674902
42,0.000869,3.485818,0.087961,3.574648,7828.670014,3.585230
43,0.000834,3.501278,0.790814,4.292926,7828.674318,4.303633
44,0.000892,3.490977,0.611742,4.103611,7828.678434,4.115921
45,0.000775,3.456050,0.736584,4.193409,7828.682640,4.205997
46,0.000743,3.478715,0.669438,4.148896,7828.686801,4.161054
47,0.000758,3.467142,0.700241,4.168141,7828.690981,4.180424
48,0.000827,3.487374,0.642913,4.131114,7828.695125,4.143814
49,0.000750,13.221768,0.153727,13.376245,7828.708514,13.388931
50,0.000904,3.434637,0.081332,3.516873,7828.712042,3.527517
51,0.001239,3.442653,0.280310,3.724202,7828.715776,3.734598
52,0.000854,3.409794,0.809683,4.220331,7828.720007,4.230532
53,0.000752,3.467562,0.714274,4.182588,7828.724200,4.193454
54,0.000786,3.499668,0.740805,4.241259,7828.728454,4.253519
55,0.000807,3.483374,0.668819,4.153000,7828.732619,4.165069
56,0.000747,3.470244,0.692772,4.163763,7828.736795,4.175948
57,0.000773,3.494811,0.637867,4.133451,7828.740940,4.145635
58,0.000761,3.517660,0.571766,4.090187,7828.745043,4.102259
59,0.000792,3.490331,0.742094,4.233217,7828.749288,4.245348
60,0.000896,3.492503,0.456735,3.950134,7828.753250,3.962226
61,0.000744,3.627392,0.775582,4.403718,7828.757666,4.415920
62,0.001845,3.535385,0.444672,3.981902,7828.761671,4.005072
63,0.000807,3.497515,0.777608,4.275930,7828.765959,4.288032
64,0.000754,3.507868,0.630820,4.139442,7828.770111,4.151530
65,0.001347,3.494863,0.671553,4.167763,7828.774292,4.180773
66,0.000780,3.504049,0.548755,4.053584,7828.778357,4.065617
67,0.000767,3.505974,0.755811,4.262552,7828.782632,4.274591
68,0.000781,3.504736,0.621360,4.126877,7828.786771,4.139006
69,0.000779,3.498036,0.675610,4.174425,7828.790957,4.186412
70,0.000728,3.496296,0.581416,4.078440,7828.795048,4.090579
71,0.000829,3.496061,0.737958,4.234848,7828.799295,4.247149
72,0.000682,3.493985,0.456410,3.951077,7828.803258,3.963250
73,0.000854,3.498374,0.858074,4.357302,7828.807628,4.369477
74,0.000734,3.511214,0.629298,4.141246,7828.811781,4.153374
75,0.000746,3.490549,0.676056,4.167351,7828.815961,4.179567
76,0.000846,3.484176,0.585656,4.070678,7828.820043,4.082918
77,0.000786,3.497665,0.760652,4.259103,7828.824317,4.273973
78,0.000713,3.548559,0.519268,4.068540,7828.828398,4.080354
79,0.000777,3.479124,0.762097,4.241998,7828.832652,4.253955
80,0.000744,3.423951,0.721558,4.146253,7828.836810,4.158096
81,0.000732,3.472731,0.710739,4.184202,7828.841006,4.196037
82,0.000748,3.551847,0.472707,4.025302,7828.845059,4.052706
83,0.000840,3.473180,0.651860,4.125880,7828.849196,4.137742
84,0.000897,3.480839,0.799545,4.281281,7828.853490,4.293415
85,0.000723,3.563046,0.531790,4.095559,7828.857597,4.107294
86,0.001776,3.553046,0.632256,4.187078,7828.861806,4.208764
87,0.000731,3.486834,0.700732,4.188297,7828.866006,4.200311
88,0.000742,3.448884,0.624398,4.074024,7828.870092,4.086073
89,0.000745,3.455987,0.768686,4.225418,7828.874329,4.237289
90,0.000725,3.476760,0.576190,4.053675,7828.878395,4.065733
91,0.000785,3.479095,0.782706,4.262586,7828.882670,4.274473
92,0.000928,3.470126,0.647621,4.118675,7828.886800,4.130412
93,0.000688,3.423348,0.773722,4.197758,7828.891013,4.212809
94,0.000742,3.430542,0.622980,4.054264,7828.895079,4.066208
95,0.000804,3.417323,0.822323,4.240450,7828.899332,4.252612
96,0.000692,3.426654,0.644473,4.071819,7828.903415,4.083747
97,0.000750,3.419366,0.794608,4.214724,7828.907642,4.226682
98,0.000737,3.549539,0.577253,4.127529,7828.911781,4.139324
99,0.000756,3.471372,0.752017,4.224145,7828.916017,4.236007
100,0.000872,3.424739,0.631519,4.057130,7828.920087,4.069077
101,0.000711,3.471841,0.757922,4.230474,7828.924329,4.242470
102,0.000690,3.485830,0.614444,4.100964,7828.928442,4.112749
103,0.000783,3.430886,0.787789,4.219458,7828.932673,4.231355
104,0.000726,3.407941,0.746415,4.155082,7828.936840,4.167003
105,0.000735,3.423188,0.743246,4.167169,7828.941019,4.178918
106,0.000721,3.422722,0.631458,4.054901,7828.945086,4.066824
107,0.000799,3.423133,0.817372,4.241304,7828.949339,4.253249
108,0.000855,3.426397,0.535663,3.962915,7828.953314,3.974810
109,0.000726,3.597099,0.782804,4.380629,7828.957709,4.394937
110,0.001917,3.538425,0.477600,4.017942,7828.961750,4.040696
111,0.000777,3.439475,0.836959,4.277211,7828.966039,4.289329
112,0.000706,3.427636,0.610331,4.038673,7828.970090,4.050631
113,0.000687,3.467463,0.717167,4.185317,7828.974287,4.197095
114,0.000739,3.459341,0.545229,4.005309,7828.978304,4.017030
115,0.000801,3.474859,0.684408,4.160068,7828.982476,4.171998
116,0.000798,3.435494,0.928151,4.364443,7828.986852,4.376379
117,0.000725,3.427036,0.730709,4.158470,7828.991022,4.170443
118,0.000750,3.442954,0.617582,4.061286,7828.995096,4.073128
119,0.000731,3.468261,0.683947,4.152939,7828.999260,4.164801
