FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001082,3.419596,0.722152,4.142830,11804.807097,N/A
1,0.000990,3.476024,0.702130,4.179144,11804.811291,4.193539
2,0.000974,3.472249,0.593383,4.066606,11804.815370,4.079424
3,0.001125,3.481002,0.761752,4.243879,11804.819626,4.256345
4,0.000996,3.460464,0.669685,4.131145,11804.823770,4.143668
5,0.000976,3.467323,0.706481,4.174780,11804.827958,4.187722
6,0.000956,3.540377,0.575214,4.116547,11804.832087,4.129546
7,0.003664,3.598805,0.532942,4.135411,11804.836248,4.160791
8,0.001445,3.484835,0.620546,4.106826,11804.840369,4.121033
9,0.000967,3.484866,0.756776,4.242609,11804.844625,4.255741
10,0.000930,3.458346,0.664255,4.123531,11804.848761,4.136246
11,0.001385,3.494820,0.671811,4.168016,11804.852942,4.180506
12,0.001107,3.406564,0.725476,4.133147,11804.857087,4.145707
13,0.001001,3.488853,0.694615,4.184469,11804.861285,4.197269
14,0.000959,3.463345,0.613697,4.078001,11804.865375,4.090600
15,0.000980,3.474633,0.759574,4.235187,11804.869623,4.247569
16,0.001011,3.459728,0.707527,4.168266,11804.873804,4.180891
17,0.000944,3.439693,0.703495,4.144132,11804.877961,4.157619
18,0.000962,3.414555,0.699513,4.115030,11804.882089,4.127575
19,0.000996,3.468521,0.718065,4.187582,11804.886290,4.200571
20,0.001060,3.464722,0.618273,4.084055,11804.890386,4.096582
21,0.001007,3.456657,0.767439,4.225103,11804.894624,4.237496
22,0.000920,3.466001,0.677472,4.144393,11804.898780,4.156881
23,0.001003,3.473752,0.685590,4.160345,11804.902953,4.173011
24,0.000978,3.420744,0.701356,4.123078,11804.907089,4.135666
25,0.001023,3.480320,0.731389,4.212732,11804.911315,4.226175
26,0.000893,3.459083,0.596714,4.056690,11804.915384,4.069156
27,0.001278,3.456383,0.688561,4.146222,11804.919543,4.158516
28,0.001400,3.458425,0.786302,4.246127,11804.923802,4.258818
29,0.000992,3.432038,0.716230,4.149260,11804.927964,4.161795
30,0.000934,3.433670,3.632403,7.067007,11804.935043,7.079692
31,0.003698,3.804172,1.596302,5.404172,11804.940488,5.445057
32,0.001843,3.544122,0.501151,4.047116,11804.944554,4.065359
33,0.001119,3.449136,0.801308,4.251563,11804.948817,4.263227
34,0.000900,3.516671,0.546613,4.064184,11804.952894,4.076657
35,0.000898,3.476795,0.723428,4.201121,11804.957108,4.213943
36,0.000876,3.427450,0.743143,4.171469,11804.961291,4.183671
37,0.001018,3.483227,0.600131,4.084376,11804.965388,4.096669
38,0.000960,3.419359,0.787441,4.207760,11804.969608,4.220256
39,0.000934,3.465731,0.701549,4.168214,11804.973789,4.180548
40,0.001143,3.499114,0.659015,4.159272,11804.977960,4.171597
41,0.000894,3.506436,0.629414,4.136744,11804.982110,4.149664
42,0.001148,3.508900,0.623753,4.133801,11804.986256,4.146251
43,0.000954,3.476317,0.658004,4.135275,11804.990404,4.147662
44,0.001226,3.500657,0.726713,4.228596,11804.994645,4.240959
45,0.000889,3.483619,0.619722,4.104230,11804.998761,4.116632
46,0.000898,13.287149,0.158312,13.446359,11805.012220,13.458613
47,0.001045,3.498390,0.157348,3.656783,11805.015888,3.667732
48,0.001030,3.420647,0.148255,3.569932,11805.019468,3.580636
49,0.000809,3.488250,0.810895,4.299954,11805.023778,4.309929
50,0.000924,3.488482,0.660639,4.150045,11805.027941,4.162366
51,0.000894,3.518900,0.604921,4.124715,11805.032078,4.137026
52,0.000955,3.569972,0.540497,4.111424,11805.036202,4.123765
53,0.002643,3.614338,0.507428,4.124409,11805.040355,4.153459
54,0.000980,3.505047,0.728471,4.234498,11805.044604,4.248888
55,0.000920,3.487003,0.673945,4.161868,11805.048778,4.174370
56,0.000942,3.498760,0.653891,4.153593,11805.052944,4.165978
57,0.000953,3.437435,0.716530,4.154918,11805.057111,4.167267
58,0.000956,3.497760,0.642165,4.140881,11805.061265,4.153388
59,0.001008,3.489476,0.624488,4.114972,11805.065392,4.127270
60,0.000953,3.508045,0.702947,4.211945,11805.069616,4.224125
61,0.000889,3.472110,0.675921,4.148920,11805.073777,4.161217
62,0.000872,3.497173,0.667291,4.165336,11805.077955,4.177607
63,0.000900,3.476832,0.646695,4.124427,11805.082092,4.136754
64,0.000947,3.499407,0.690041,4.190395,11805.086295,4.202700
65,0.000901,3.498414,0.537688,4.037003,11805.090345,4.050400
66,0.000869,3.495726,0.770715,4.267310,11805.094625,4.279730
67,0.000895,3.470340,0.690950,4.162185,11805.098799,4.174657
68,0.000883,3.501584,0.608569,4.111036,11805.102923,4.123755
69,0.000882,3.430645,0.665545,4.097072,11805.107032,4.109395
70,0.001300,3.471229,0.754184,4.226713,11805.111272,4.239072
71,0.000926,3.493875,0.477071,3.971872,11805.115256,3.984280
72,0.001389,3.472916,0.677545,4.151850,11805.119420,4.164480
73,0.000900,3.485451,0.873633,4.359984,11805.123793,4.372254
74,0.000919,3.503638,0.635612,4.140169,11805.127945,4.152358
75,0.001207,3.473761,0.605313,4.080281,11805.132038,4.092678
76,0.000887,3.505021,0.673550,4.179458,11805.136229,4.191867
77,0.003881,3.642643,0.501533,4.148057,11805.140414,4.184288
78,0.001380,3.517729,0.672593,4.191702,11805.144623,4.209037
79,0.000922,3.486993,0.671392,4.159307,11805.148795,4.171729
80,0.000969,3.489857,0.663900,4.154726,11805.152962,4.167004
81,0.000927,3.500692,0.556126,4.057745,11805.157032,4.070139
82,0.000923,3.497011,0.751431,4.249365,11805.161293,4.261698
83,0.000870,3.502513,0.545221,4.048604,11805.165354,4.060836
84,0.000896,3.500252,0.799694,4.300842,11805.169667,4.313141
85,0.000966,3.409200,0.737326,4.147492,11805.173827,4.159776
86,0.000855,3.403114,0.753461,4.157430,11805.177997,4.169467
87,0.000893,3.422843,0.638551,4.062287,11805.182076,4.079240
88,0.000959,3.437176,0.791939,4.230074,11805.186318,4.242016
89,0.000858,3.426944,0.531018,3.958820,11805.190289,3.970990
90,0.000839,3.439864,0.686273,4.126976,11805.194428,4.139104
91,0.000871,3.471596,0.922457,4.394924,11805.198835,4.406827
92,0.000947,3.432207,0.746750,4.179904,11805.203027,4.192048
93,0.000936,3.429978,0.645250,4.076164,11805.207130,4.103288
94,0.000856,3.427456,0.752136,4.180448,11805.211323,4.192650
95,0.000881,3.474466,0.526591,4.001938,11805.215337,4.014074
96,0.000936,3.437255,0.675308,4.113499,11805.219462,4.125624
97,0.000853,3.532800,0.736052,4.269705,11805.223744,4.281869
98,0.000924,3.572775,0.641219,4.214918,11805.227971,4.226948
99,0.000894,3.496920,0.587203,4.085017,11805.232069,4.097479
100,0.000946,3.516878,0.690314,4.208138,11805.236289,4.220128
101,0.001036,3.599549,0.559435,4.160020,11805.240461,4.172457
102,0.001645,3.630889,0.464330,4.096864,11805.244578,4.116782
103,0.001149,3.505718,0.740891,4.247758,11805.248838,4.259944
104,0.000993,3.397480,0.766938,4.165411,11805.253015,4.177425
105,0.000918,3.428750,0.629070,4.058738,11805.257086,4.070935
106,0.000906,3.435653,0.820184,4.256743,11805.261355,4.268882
107,0.000884,3.430615,0.503042,3.934541,11805.265302,3.946598
108,0.000929,3.442266,0.709542,4.152737,11805.269467,4.164621
109,0.000879,3.420993,0.951797,4.373669,11805.273855,4.388203
110,0.000866,3.409924,0.750785,4.161575,11805.278028,4.173747
111,0.000877,3.435332,0.606863,4.043072,11805.282084,4.055107
112,0.000872,3.434290,0.810329,4.245491,11805.286341,4.257526
113,0.001245,3.474053,0.510349,3.985647,11805.290339,3.997737
114,0.000838,3.472100,0.852669,4.325607,11805.294676,4.337591
115,0.000881,3.513413,0.476291,3.990585,11805.298679,4.002833
116,0.000871,3.447223,0.886070,4.334164,11805.303026,4.346248
117,0.000913,3.447179,0.469227,3.917319,11805.306955,3.929641
118,0.000906,3.444492,0.796981,4.242379,11805.311223,4.267614
119,0.000815,3.477102,0.773461,4.251378,11805.315486,4.263480
120,0.000938,3.423486,0.755183,4.179607,11805.319678,4.191831
121,0.000785,3.461328,0.691815,4.153928,11805.323844,4.166157
122,0.000882,3.481046,0.659259,4.141187,11805.327998,4.153657
123,0.001036,3.492288,0.556914,4.050238,11805.332066,4.068196
124,0.000890,3.439611,0.817209,4.257710,11805.336336,4.269778
125,0.000861,3.576733,0.429577,4.007171,11805.340355,4.019300
126,0.001676,3.514029,0.789017,4.304722,11805.344682,4.326667
127,0.000890,3.415301,0.711356,4.127547,11805.348822,4.140230
128,0.000924,3.437774,0.768119,4.206817,11805.353041,4.218808
129,0.000892,3.479029,0.577240,4.057161,11805.357126,4.085195
130,0.000854,3.435064,0.773047,4.208965,11805.361347,4.221134
131,0.000853,3.483825,0.519740,4.004418,11805.365364,4.016433
132,0.000884,3.439974,0.870748,4.311606,11805.369687,4.323764
133,0.001058,3.483470,0.642440,4.126968,11805.373827,4.139165
134,0.000849,3.430495,0.772250,4.203594,11805.378042,4.215749
135,0.000845,3.434283,0.610011,4.045139,11805.382100,4.057356
136,0.000942,3.435843,0.807796,4.244581,11805.386356,4.256770
137,0.000916,3.470937,0.551615,4.023468,11805.390392,4.035928
138,0.000866,3.434320,0.844933,4.280119,11805.394685,4.292152
139,0.000800,3.443835,0.718839,4.163474,11805.398860,4.175510
140,0.000931,3.473028,0.676516,4.150475,11805.403023,4.162560
141,0.000906,3.472208,0.576589,4.049703,11805.407085,4.062091
142,0.000831,3.426970,0.835761,4.263562,11805.411360,4.275681
143,0.000868,3.431469,0.569881,4.002218,11805.415375,4.014339
144,0.000991,3.431255,0.843046,4.275292,11805.419662,4.287320
145,0.000839,3.475782,0.718648,4.195269,11805.423869,4.207450
146,0.000908,3.338038,0.817223,4.156169,11805.428038,4.168175
147,0.000871,3.435442,0.625415,4.061728,11805.432111,4.073859
148,0.000932,3.426098,0.806572,4.233602,11805.436357,4.245739
149,0.000912,3.571724,0.417855,3.990491,11805.440362,4.005044
150,0.002194,3.479654,0.716208,4.198056,11805.444584,4.221404
151,0.000932,3.497925,0.778634,4.277491,11805.448874,4.289844
152,0.001051,3.427003,0.728057,4.156111,11805.453042,4.168323
