FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001191,3.513614,0.650636,4.165441,11842.724228,N/A
1,0.001058,3.459182,0.705474,4.165714,11842.728408,4.179839
2,0.001687,3.458840,0.690636,4.151163,11842.732572,4.164182
3,0.001075,3.455228,0.695040,4.151343,11842.736736,4.163976
4,0.000959,3.541894,0.579775,4.122628,11842.740872,4.135356
5,0.002400,3.544905,0.607564,4.154869,11842.745050,4.178308
6,0.001088,3.466510,0.720894,4.188492,11842.749253,4.203535
7,0.000989,3.483570,0.588399,4.072958,11842.753339,4.085558
8,0.000995,3.469403,0.746138,4.216536,11842.757568,4.229058
9,0.001073,3.459478,0.705700,4.166251,11842.761747,4.179168
10,0.001058,3.466226,0.682114,4.149398,11842.765909,4.161832
11,0.000963,3.415861,0.710139,4.126963,11842.770049,4.139906
12,0.001006,3.512885,0.666781,4.180672,11842.774243,4.193592
13,0.000983,3.446483,0.701994,4.149460,11842.778405,4.161980
14,0.000929,3.444146,0.719426,4.164501,11842.782581,4.176886
15,0.000957,3.487875,0.647948,4.136780,11842.786731,4.149251
16,0.001119,3.446743,0.718158,4.166020,11842.790909,4.178471
17,0.000994,3.384221,0.758989,4.144204,11842.795067,4.157567
18,0.000993,3.440694,0.736318,4.178005,11842.799257,4.190423
19,0.000976,3.450733,0.693537,4.145246,11842.803415,4.158054
20,0.000959,3.444424,0.702583,4.147966,11842.807576,4.160441
21,0.000955,3.453795,0.706269,4.161019,11842.811749,4.173395
22,0.000948,3.489580,0.657725,4.148253,11842.815910,4.160786
23,0.000987,3.391023,0.751263,4.143273,11842.820066,4.155881
24,0.001166,3.485395,0.693049,4.179610,11842.824258,4.192222
25,0.000966,3.486007,0.549909,4.036882,11842.828308,4.050124
26,0.001034,3.439304,0.748789,4.189127,11842.832509,4.200864
27,0.000938,3.449170,0.781179,4.231287,11842.836753,4.243828
28,0.000950,3.462308,0.641089,4.104347,11842.840870,4.117099
29,0.001862,3.624780,0.496898,4.123540,11842.845020,4.150021
30,0.001625,3.467399,0.761790,4.230814,11842.849269,4.248930
31,0.000945,3.454361,0.601686,4.056992,11842.853339,4.069824
32,0.001051,3.443106,0.714944,4.159101,11842.857510,4.171686
33,0.000947,3.560591,0.642316,4.203854,11842.861727,4.216870
34,0.001003,3.454323,0.729581,4.184907,11842.865925,4.197534
35,0.000939,3.385307,0.739512,4.125758,11842.870063,4.138296
36,0.000936,3.449276,0.729691,4.179903,11842.874255,4.192459
37,0.000986,3.474449,0.612832,4.088267,11842.878356,4.100757
38,0.000902,3.402760,0.744281,4.147943,11842.882517,4.160682
39,0.001212,3.446163,0.785662,4.233037,11842.886762,4.245421
40,0.000941,3.458991,0.687576,4.147508,11842.890922,4.159906
41,0.000954,3.392764,0.743560,4.137278,11842.895073,4.150279
42,0.000962,3.466395,0.705654,4.173011,11842.899258,4.185714
43,0.000919,3.464832,0.613157,4.078908,11842.903350,4.091429
44,0.000861,3.429899,0.722553,4.153313,11842.907515,4.165776
45,0.001104,3.518066,0.707249,4.226419,11842.911754,4.238872
46,0.000956,3.454087,0.713699,4.168742,11842.915935,4.181011
47,0.001171,12.314880,0.282832,12.598883,11842.928547,12.611392
48,0.001077,3.389281,0.702553,4.092911,11842.932651,4.103945
49,0.000923,3.436844,0.612948,4.050715,11842.936714,4.063578
50,0.001340,3.468304,0.687139,4.156783,11842.940884,4.169486
51,0.001020,3.574750,0.571514,4.147284,11842.945044,4.159844
52,0.002196,3.549636,0.548129,4.099961,11842.949164,4.120925
53,0.000903,3.488768,0.741824,4.231495,11842.953409,4.244702
54,0.000924,3.470506,0.683283,4.154713,11842.957576,4.167116
55,0.001049,3.469989,0.686893,4.157931,11842.961747,4.170369
56,0.000957,3.472124,0.674826,4.147907,11842.965907,4.160355
57,0.001075,3.420831,0.746546,4.168452,11842.970088,4.180835
58,0.000960,3.394297,0.702187,4.097444,11842.974198,4.109771
59,0.000938,3.395850,0.813436,4.210224,11842.978420,4.222473
60,0.000919,3.420213,0.725723,4.146855,11842.982579,4.158986
61,0.000896,3.383603,0.775823,4.160322,11842.986752,4.172459
62,0.000927,3.386259,0.640396,4.027582,11842.990791,4.039829
63,0.001117,3.414633,0.873088,4.288838,11842.995092,4.300954
64,0.000977,3.454413,0.640609,4.095999,11842.999200,4.108084
65,0.000902,3.433164,0.771795,4.205861,11843.003419,4.218809
66,0.001258,3.397443,0.754857,4.153558,11843.007585,4.165692
67,0.000940,3.382664,0.776933,4.160537,11843.011758,4.172754
68,0.000851,3.430961,0.506653,3.938465,11843.015708,3.950549
69,0.000844,3.369591,0.994469,4.364904,11843.020085,4.377081
70,0.001136,3.394632,0.746107,4.141875,11843.024239,4.154132
71,0.000896,3.382670,0.725812,4.109378,11843.028361,4.121589
72,0.000921,3.472042,0.746151,4.219114,11843.032592,4.231216
73,0.000922,3.385865,0.771461,4.158248,11843.036763,4.170364
74,0.000952,3.396195,0.551416,3.948563,11843.040723,3.960760
75,0.000853,6.533093,0.248717,6.782663,11843.047518,6.794750
76,0.002283,3.711626,0.131792,3.845701,11843.051384,3.865833
77,0.001157,3.486854,0.084070,3.572081,11843.054970,3.586490
78,0.000988,3.386557,0.155877,3.543422,11843.058525,3.554296
79,0.000927,3.329007,0.146715,3.476649,11843.062012,3.487424
80,0.001022,3.483008,0.238395,3.722425,11843.065745,3.732974
81,0.001062,3.457667,0.809553,4.268282,11843.070024,4.278991
82,0.001065,3.400347,0.646010,4.047422,11843.074104,4.079714
83,0.000962,3.281597,1.114653,4.397212,11843.078511,4.407520
84,0.001278,3.429312,0.662257,4.092847,11843.082616,4.104950
85,0.000907,3.375082,0.760808,4.136797,11843.086765,4.149003
86,0.000907,3.352919,0.818626,4.172452,11843.090950,4.184821
87,0.000899,3.432067,0.740000,4.172966,11843.095135,4.185166
88,0.000910,3.404804,0.693467,4.099181,11843.099247,4.111269
89,0.000895,3.388511,0.781104,4.170510,11843.103429,4.182843
90,0.000961,3.381631,0.793182,4.175774,11843.107617,4.187895
91,0.000929,3.461366,0.698307,4.160602,11843.111790,4.172911
92,0.000887,3.426828,0.723917,4.151632,11843.115954,4.163805
93,0.001000,3.428001,0.694805,4.123806,11843.120091,4.137468
94,0.001215,3.400288,0.728534,4.130037,11843.124250,4.158153
95,0.000863,3.468500,0.588958,4.058321,11843.128320,4.070496
96,0.000992,3.425459,0.728800,4.155251,11843.132488,4.167613
97,0.000849,3.405265,0.872574,4.278688,11843.136779,4.290802
98,0.001023,3.396762,0.623290,4.021075,11843.140812,4.033177
99,0.001048,3.526136,0.628546,4.155730,11843.144980,4.167843
100,0.003415,3.506697,0.654478,4.164590,11843.149208,4.228215
101,0.001119,3.400015,0.807696,4.208830,11843.153429,4.221268
102,0.000937,3.446229,0.692539,4.139705,11843.157581,4.151895
103,0.000918,3.381772,0.779749,4.162439,11843.161755,4.174485
104,0.000946,3.378479,0.652380,4.031805,11843.165799,4.043907
105,0.000935,3.406344,0.903534,4.310813,11843.170123,4.323358
106,0.000967,3.385800,0.679172,4.065939,11843.174201,4.078041
107,0.001186,3.412363,0.710949,4.124498,11843.178337,4.136658
108,0.000900,3.393834,0.726435,4.121169,11843.182471,4.133369
109,0.000911,3.389689,0.884594,4.275194,11843.186761,4.290676
110,0.000924,3.393713,0.630932,4.025569,11843.190799,4.037743
111,0.000932,3.389065,0.923281,4.313278,11843.195125,4.325422
112,0.000958,3.397426,0.673630,4.072014,11843.199209,4.084467
113,0.000849,3.393645,0.823517,4.218011,11843.203439,4.230119
114,0.000958,3.382816,0.635965,4.019739,11843.207471,4.031853
115,0.000899,3.380701,0.910683,4.292283,11843.211775,4.304424
116,0.000954,3.381115,0.752775,4.134844,11843.215922,4.146955
117,0.000923,3.361277,0.837668,4.199868,11843.220134,4.211959
118,0.000945,3.397451,0.665178,4.063574,11843.224210,4.075967
119,0.001044,3.396253,0.810040,4.207337,11843.228430,4.219492
120,0.000859,3.420452,0.726187,4.147498,11843.232589,4.159616
121,0.000873,3.379725,0.781230,4.161828,11843.236764,4.174110
122,0.000978,3.382634,0.644037,4.027649,11843.240803,4.039923
123,0.000964,3.389529,0.729516,4.120009,11843.244936,4.132365
124,0.001525,3.782259,0.407868,4.191652,11843.249145,4.209601
125,0.001710,3.450723,0.914318,4.366751,11843.253531,4.385536
126,0.000922,3.374246,0.677209,4.052377,11843.257596,4.064838
127,0.000921,3.381224,0.809996,4.192141,11843.261800,4.204320
128,0.001159,3.396221,0.716166,4.113546,11843.265926,4.125741
129,0.000979,3.358331,0.832375,4.191685,11843.270132,4.206597
130,0.000964,3.397904,0.678907,4.077775,11843.274223,4.090071
131,0.000941,3.400900,0.800989,4.202830,11843.278437,4.214842
132,0.000912,3.420866,0.685084,4.106862,11843.282556,4.118965
133,0.000951,3.417409,0.784732,4.203092,11843.286772,4.215256
134,0.000852,3.370242,0.656883,4.027977,11843.290812,4.040166
135,0.001227,3.359096,0.830925,4.191248,11843.295015,4.203508
136,0.000958,3.393831,0.804081,4.198870,11843.299226,4.211003
137,0.000978,3.394337,0.811875,4.207190,11843.303446,4.219438
138,0.001137,3.389010,0.630910,4.021057,11843.307479,4.033234
139,0.000928,3.410294,0.882714,4.293936,11843.311785,4.306265
140,0.000910,3.394698,0.734900,4.130508,11843.315928,4.142643
141,0.000929,3.327495,0.859399,4.187823,11843.320128,4.200118
142,0.000934,3.398500,0.711685,4.111119,11843.324251,4.123310
143,0.000880,3.389191,0.788424,4.178495,11843.328442,4.190569
144,0.000985,3.482904,0.674603,4.158492,11843.332613,4.170636
145,0.000964,3.391527,0.760925,4.153416,11843.336778,4.165526
146,0.000910,3.389185,0.759454,4.149549,11843.340940,4.161662
147,0.000906,3.449258,0.667032,4.117196,11843.345069,4.129198
148,0.000940,3.670493,0.411126,4.082559,11843.349164,4.094898
149,0.002129,3.466374,0.702270,4.170773,11843.353361,4.197531
150,0.000924,3.398190,0.717196,4.116310,11843.357490,4.128562
151,0.000904,3.388977,0.903284,4.293165,11843.361795,4.305263
152,0.000969,3.397448,0.737347,4.135764,11843.365943,4.147832
153,0.000900,3.355896,0.744046,4.100842,11843.370056,4.113013
154,0.001022,3.393717,0.793535,4.188274,11843.374257,4.200641
