FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.003084,26.553322,16.731524,43.287930,4181.071041,N/A
1,0.008005,34.068700,0.138600,34.215305,4181.106015,34.974045
2,0.001383,4.784313,0.094612,4.880308,4181.110987,4.971799
3,0.000969,5.867313,0.091120,5.959402,4181.116966,5.979595
4,0.001049,3.489057,0.917774,4.407880,4181.121388,4.421456
5,0.000887,3.490011,0.713885,4.204783,4181.125607,4.218874
6,0.000864,3.601825,0.566394,4.169083,4181.129789,4.182709
7,0.001783,3.519209,0.594152,4.115144,4181.133928,4.138388
8,0.000975,7.575897,0.150060,7.726932,4181.141669,7.741643
9,0.001668,4.234799,0.427919,4.664386,4181.146354,4.684335
10,0.001174,4.887911,0.126548,5.015633,4181.151391,5.037075
11,0.000960,3.751212,0.173885,3.926057,4181.155330,3.939194
12,0.001255,4.385529,0.143344,4.530128,4181.159877,4.547220
13,0.001003,3.646793,0.169722,3.817518,4181.163707,3.830067
14,0.001238,4.456505,0.153636,4.611379,4181.168335,4.628139
15,0.001188,3.724523,0.169096,3.894807,4181.172243,3.907689
16,0.001374,4.331892,0.138299,4.471565,4181.176731,4.488344
17,0.000838,3.849893,0.176234,4.026965,4181.180771,4.039846
18,0.001306,4.196346,0.094829,4.292481,4181.185081,4.309473
19,0.000902,3.783725,0.102286,3.886913,4181.188981,3.899919
20,0.001238,4.309447,0.123923,4.434608,4181.193432,4.451235
21,0.000954,3.879965,0.136119,4.017038,4181.197462,4.030324
22,0.001224,4.172190,0.089690,4.263104,4181.201742,4.280193
23,0.000859,3.793978,0.172216,3.967053,4181.205722,3.979837
24,0.001301,4.236469,0.092789,4.330559,4181.210070,4.347697
25,0.000878,3.784868,0.103481,3.889227,4181.213973,3.902884
26,0.001342,4.277246,0.089320,4.367908,4181.218358,4.384860
27,0.000804,3.752455,0.172876,3.926135,4181.222297,3.939392
28,0.001295,4.287063,0.128456,4.416814,4181.226731,4.433824
29,0.000812,3.858806,0.194273,4.053891,4181.230798,4.066807
30,0.002212,5.508558,0.186658,5.697428,4181.236520,5.722042
31,0.001086,4.103456,0.169449,4.273991,4181.240811,4.291251
32,0.001198,4.749734,0.160042,4.910974,4181.245738,4.927331
33,0.000948,4.652661,0.180203,4.833812,4181.250586,4.847948
34,0.001305,4.878286,0.156431,5.036022,4181.255640,5.054070
35,0.000869,4.721400,0.188726,4.910995,4181.260564,4.923923
36,0.001350,5.296632,0.090700,5.388682,4181.265971,5.406901
37,0.000938,4.801070,1.316563,6.118571,4181.272103,6.131987
38,0.001079,3.511672,0.185645,3.698396,4181.275816,3.713077
39,0.000932,4.820367,0.177070,4.998369,4181.280827,5.010412
40,0.001011,3.905373,0.142774,4.049158,4181.284888,4.061753
41,0.000871,3.709496,0.171433,3.881800,4181.288783,3.894964
42,0.001193,3.604848,0.105968,3.712009,4181.292512,3.728679
43,0.001098,3.594150,0.167971,3.763219,4181.296293,3.781030
44,0.001308,3.773594,0.347522,4.122424,4181.300433,4.139639
45,0.001192,3.755619,0.393326,4.150137,4181.304600,4.167192
46,0.001176,3.772657,0.378077,4.151910,4181.308768,4.168132
47,0.001148,3.778765,0.375083,4.154996,4181.312940,4.172136
48,0.001118,3.772412,0.371803,4.145333,4181.317104,4.163430
49,0.001282,3.749087,0.395542,4.145911,4181.321266,4.162754
50,0.001241,3.756954,0.404591,4.162786,4181.325446,4.179683
51,0.001106,3.780770,0.346167,4.128043,4181.329592,4.145788
52,0.001292,3.998862,0.201667,4.201821,4181.333812,4.219775
53,0.001811,3.903664,0.163938,4.069413,4181.337914,4.102331
54,0.001223,3.803400,0.378952,4.183575,4181.342116,4.202064
55,0.001111,3.747232,0.391442,4.139785,4181.346273,4.156855
56,0.001300,3.814206,0.352656,4.168162,4181.350458,4.185426
57,0.001343,3.777424,0.358546,4.137313,4181.354613,4.155146
58,0.001162,3.803020,0.345731,4.149913,4181.358782,4.168098
59,0.001157,3.790502,0.349960,4.141619,4181.362941,4.159384
60,0.001247,3.759336,0.395609,4.156192,4181.367115,4.174021
61,0.001268,3.833677,0.274174,4.109119,4181.371271,4.156530
62,0.001723,3.755243,0.405797,4.162763,4181.375453,4.181470
63,0.001204,3.785465,0.349045,4.135714,4181.379607,4.153972
64,0.001232,3.783279,0.381575,4.166086,4181.383791,4.184242
65,0.001236,3.787944,0.344381,4.133561,4181.387946,4.155302
66,0.001241,3.769010,0.377380,4.147631,4181.392112,4.165465
67,0.001129,3.756518,0.388645,4.146292,4181.396275,4.163535
68,0.001307,3.782964,0.381789,4.166060,4181.400459,4.183577
69,0.001213,3.782627,0.359941,4.143781,4181.404621,4.162105
70,0.001230,3.782359,0.383248,4.166837,4181.408805,4.184169
71,0.001099,3.782156,0.350248,4.133503,4181.412956,4.151073
72,0.001108,3.802815,0.346512,4.150435,4181.417124,4.168051
73,0.001150,3.775653,0.384335,4.161138,4181.421303,4.178671
74,0.001131,3.783149,0.344005,4.128285,4181.425449,4.146300
75,0.001133,3.765180,0.381423,4.147736,4181.429615,4.165972
76,0.001280,3.927868,0.182540,4.111688,4181.433744,4.129058
77,0.002095,3.902818,0.289570,4.194483,4181.437971,4.226392
78,0.000868,3.467640,0.709275,4.177783,4181.442164,4.193061
79,0.001100,3.790306,0.347038,4.138444,4181.446321,4.156674
80,0.000895,3.477711,0.616541,4.095147,4181.450430,4.109211
81,0.001190,3.777829,0.430772,4.209791,4181.454657,4.227330
82,0.000922,3.498018,0.613757,4.112697,4181.458784,4.126501
83,0.001080,3.799229,0.299596,4.099905,4181.462901,4.117142
84,0.000899,3.419277,0.808123,4.228299,4181.467143,4.242161
85,0.001163,3.758156,0.277186,4.036505,4181.471197,4.054052
86,0.001431,3.449305,0.794518,4.245254,4181.475458,4.260983
87,0.001063,3.768537,0.342961,4.112561,4181.479588,4.130130
88,0.000983,3.491092,0.696479,4.188554,4181.483790,4.202413
89,0.001069,3.769572,0.335800,4.106441,4181.487914,4.124018
90,0.000964,3.423319,0.812999,4.237282,4181.492166,4.251044
91,0.000768,3.480736,0.657858,4.139362,4181.496319,4.153063
92,0.000854,3.473771,0.599657,4.074282,4181.500406,4.087878
93,0.000772,3.427571,0.816629,4.244972,4181.504668,4.261593
