FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.000282,37.872143,7.426565,45.298990,0.045311,N/A
1,0.000297,17.543809,0.077454,17.621560,0.063312,18.001204
2,0.000501,3.640419,0.090341,3.731261,0.067057,3.745003
3,0.000533,3.437055,0.061675,3.499263,0.070574,3.516797
4,0.000226,4.084732,0.101124,4.186082,0.074774,4.200265
5,0.000520,3.342580,0.044546,3.387646,0.078175,3.400849
6,0.000127,3.176847,0.042582,3.219556,0.081401,3.226007
7,0.000066,3.282433,0.076627,3.359126,0.084766,3.365266
8,0.000281,3.339126,0.064841,3.404248,0.088183,3.416919
9,0.000262,3.591418,0.097323,3.689003,0.091882,3.698658
10,0.000583,3.285625,0.043850,3.330058,0.095225,3.343196
11,0.000150,3.261022,0.041774,3.302946,0.098534,3.309167
12,0.000153,3.307641,0.051685,3.359479,0.101900,3.365515
13,0.000156,3.262112,0.045790,3.308058,0.105215,3.315248
14,0.000207,3.462978,0.099111,3.562296,0.108784,3.569182
15,0.000561,3.305455,0.045340,3.351356,0.112149,3.364985
16,0.000112,3.258799,0.052480,3.311391,0.115467,3.318240
17,0.000171,3.209972,0.045232,3.255375,0.118730,3.262852
18,0.000175,3.219396,0.039801,3.259372,0.121996,3.265997
19,0.000061,3.666247,0.094075,3.760383,0.125763,3.766572
20,0.000377,3.317102,0.047319,3.364798,0.129141,3.377655
21,0.000144,3.237516,0.039795,3.277455,0.132424,3.283958
22,0.000110,3.233169,0.039532,3.272811,0.135703,3.278735
23,0.000058,3.303542,0.039456,3.343056,0.139052,3.349027
24,0.000061,5.085105,0.082702,5.167868,0.144226,5.173992
25,0.000305,3.304566,0.049888,3.354759,0.147591,3.365241
26,0.000066,3.203992,0.040863,3.244921,0.150843,3.251646
27,0.000065,3.273891,0.045671,3.319627,0.154169,3.325715
28,0.000105,3.748937,0.146100,3.895142,0.158071,3.901896
29,0.000647,4.245432,0.065572,4.311651,0.162403,4.332325
30,0.000332,3.254661,0.049483,3.304476,0.165716,3.313044
31,0.000159,4.167303,0.149857,4.317319,0.170040,4.324173
32,0.000633,4.091328,0.073462,4.165423,0.174229,4.188677
33,0.000226,4.685080,0.074829,4.760135,0.178998,4.769363
34,0.000244,3.293412,0.055688,3.349344,0.182358,3.359733
35,0.000355,3.310527,0.086374,3.397256,0.185763,3.405019
36,0.000771,3.394033,0.067111,3.461915,0.189238,3.475012
37,0.000267,4.500110,0.151944,4.652321,0.193900,4.661602
38,0.001026,3.810573,0.057553,3.869152,0.197790,3.889847
39,0.000389,3.279618,0.046160,3.326167,0.201124,3.334362
40,0.000172,3.234822,0.041581,3.276575,0.204407,3.283106
41,0.000063,3.403996,0.057496,3.461555,0.207875,3.467796
