FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.000355,19.243571,0.135043,19.378969,0.019392,N/A
1,0.000300,6.171422,0.100371,6.272093,0.026118,6.725115
2,0.000261,4.286444,0.118436,4.405141,0.030534,4.416335
3,0.000246,22.926283,0.135833,23.062362,0.053610,23.075682
4,0.000853,14.832979,0.091170,14.925002,0.068552,14.941982
5,0.000419,4.254838,0.176846,4.432103,0.086993,18.441768
6,0.001099,4.041545,0.195998,4.238642,0.091253,4.259407
7,0.000514,5.855586,0.135380,5.991480,0.097260,6.007016
8,0.000997,3.527658,0.083233,3.611888,0.100886,3.626400
9,0.000522,3.492663,0.078885,3.572070,0.104472,3.585539
10,0.000334,4.352778,0.130468,4.483580,0.108966,4.494374
11,0.000334,3.859285,0.082259,3.941878,0.112922,3.956189
12,0.000194,3.521758,0.095415,3.617367,0.116550,3.627712
13,0.000287,3.764466,0.167345,3.932098,0.120494,3.943825
14,0.000772,6.388181,0.144722,6.533675,0.127044,6.550377
15,0.000630,3.813303,0.112459,3.926392,0.130987,3.942943
16,0.000252,3.414183,0.088868,3.503303,0.134507,3.519663
17,0.000279,3.544784,0.085796,3.630859,0.138148,3.641177
18,0.000256,4.040445,0.116066,4.156767,0.142315,4.167464
19,0.000365,4.032112,0.077638,4.110115,0.146437,4.121474
20,0.000262,3.562354,0.082993,3.645609,0.150091,3.654596
21,0.000288,3.652863,0.079412,3.732563,0.153834,3.742245
22,0.000300,3.456270,0.569351,4.025921,0.157869,4.035796
23,0.000852,4.202361,0.135909,4.339122,0.162226,4.356898
24,0.000973,3.523513,0.357399,3.881885,0.166122,3.895726
25,0.000551,3.389146,0.788191,4.177888,0.170310,4.187532
26,0.000294,3.673952,0.513906,4.188152,0.174509,4.199162
27,0.000354,4.753402,0.145276,4.899032,0.179420,4.911259
28,0.000368,3.565840,0.090119,3.656327,0.183092,3.671706
29,0.000261,3.316168,0.608906,3.925335,0.187028,3.936045
30,0.000590,3.583903,0.548116,4.132609,0.191175,4.147412
31,0.000312,3.914960,0.289799,4.205071,0.195396,4.220388
32,0.001458,3.766669,0.319427,4.087554,0.199506,4.110026
33,0.000494,3.444074,0.681552,4.126120,0.203645,4.139252
34,0.000485,3.459191,0.876644,4.336320,0.207993,4.348367
35,0.000417,4.097959,0.172592,4.270968,0.212277,4.283341
36,0.001133,3.617830,0.232610,3.851573,0.216144,3.866997
37,0.000284,3.544408,0.623700,4.168392,0.220322,4.178284
38,0.000265,5.566450,0.108672,5.675387,0.226011,5.688652
39,0.000225,3.851497,0.095652,3.947374,0.229970,3.959475
40,0.000271,3.529547,0.101884,3.631702,0.233612,3.641986
41,0.000318,3.455645,0.096830,3.552793,0.237176,3.563594
42,0.000265,3.447233,0.490706,3.938204,0.241125,3.949332
43,0.000434,3.553246,0.613341,4.167021,0.245311,4.185804
44,0.000269,3.523151,0.642381,4.165801,0.249492,4.181556
45,0.000327,3.415485,0.707862,4.123674,0.253629,4.136773
46,0.000286,3.483966,0.690788,4.175040,0.257819,4.189856
47,0.001165,3.403116,0.749035,4.153316,0.261989,4.169798
48,0.000456,3.416169,0.770350,4.186975,0.266194,4.205168
49,0.000697,3.607221,0.487365,4.095283,0.270303,4.108985
50,0.000376,4.505785,2.879863,7.386024,0.277700,7.397485
51,0.000489,4.526574,0.485401,5.012464,0.282728,5.027680
52,0.000315,3.495077,0.721541,4.216933,0.286958,4.230057
53,0.000483,3.401991,0.789893,4.192367,0.291166,4.207569
54,0.000275,3.383041,0.738385,4.121701,0.295303,4.137221
55,0.000306,3.457371,0.735362,4.193039,0.299508,4.205134
56,0.000351,3.421069,0.740846,4.162266,0.303685,4.176774
57,0.000319,3.513009,0.641606,4.154934,0.307852,4.167022
58,0.000520,3.409274,0.722732,4.132526,0.311998,4.146567
59,0.000336,3.505944,0.616508,4.122788,0.316135,4.136298
60,0.000388,3.323028,0.837517,4.160933,0.320310,4.175481
61,0.000330,3.535096,0.711917,4.247343,0.324570,4.259567
62,0.000669,3.763334,0.334171,4.098174,0.328693,4.123669
63,0.000549,3.531815,0.610688,4.143052,0.332854,4.160396
64,0.000576,3.610089,0.556208,4.166873,0.337035,4.181338
65,0.000359,3.624762,0.484422,4.109543,0.341160,4.124857
66,0.000354,3.570587,0.549984,4.120925,0.345295,4.134857
67,0.000302,3.668684,0.312358,3.981344,0.349290,3.995424
68,0.000460,3.773010,0.431578,4.205048,0.353507,4.217205
69,0.000310,3.609473,0.532247,4.142030,0.357663,4.155709
70,0.000284,3.528370,0.600937,4.129591,0.361806,4.142841
71,0.000391,3.497252,0.682092,4.179735,0.365999,4.193007
72,0.000306,3.568694,0.579958,4.148958,0.370160,4.160788
73,0.000326,3.457408,0.675211,4.132945,0.374305,4.145367
74,0.000319,3.917614,0.271307,4.189240,0.378509,4.203926
75,0.000561,3.623418,0.519111,4.143090,0.382678,4.169238
76,0.000533,3.502633,0.628088,4.131254,0.386822,4.144170
77,0.000853,3.737104,0.400001,4.137958,0.390978,4.155410
78,0.000419,3.480734,0.668688,4.149841,0.395141,4.162722
79,0.000427,3.515272,0.634254,4.149953,0.399304,4.163275
80,0.000384,3.533884,0.618293,4.152561,0.403469,4.165375
81,0.000530,3.481281,0.711848,4.193659,0.407675,4.205579
82,0.000801,3.506209,0.648802,4.155812,0.411843,4.167781
83,0.000325,3.467194,0.646862,4.114381,0.415972,4.128924
84,0.000320,3.556297,0.632067,4.188684,0.420172,4.200834
85,0.000331,3.297578,0.816491,4.114400,0.424301,4.128145
86,0.000304,3.726516,0.449747,4.176567,0.428490,4.189617
87,0.000669,3.432612,0.729787,4.163068,0.432670,4.179679
88,0.000827,3.435941,0.721978,4.158746,0.436841,4.171169
89,0.000534,3.603964,0.570328,4.174826,0.441029,4.187745
90,0.000641,3.528131,0.584728,4.113500,0.445156,4.127078
91,0.000336,3.451971,0.757323,4.209630,0.449383,4.226800
92,0.000463,3.422358,0.686403,4.109224,0.453504,4.121709
